ID;WijkenEnBuurten;TypeVerwarmingsinstallatie;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Woningen_5
0;Nederland;Individuele cv;Nederland                               ;Land    ;NL00      ;;83.0
1;Nederland;Blokverwarming;Nederland                               ;Land    ;NL00      ;;5.0
2;Nederland;Stadsverwarming met hoog gasverbruik;Nederland                               ;Land    ;NL00      ;;0.0
3;Nederland;Stadsverwarming met laag gasverbruik;Nederland                               ;Land    ;NL00      ;;1.0
4;Nederland;Stadsverwarming zonder gasverbruik;Nederland                               ;Land    ;NL00      ;;6.0
5;Nederland;Elektrisch verwarmd met hoog gasverbruik;Nederland                               ;Land    ;NL00      ;;1.0
6;Nederland;Elektrisch verwarmd met laag gasverbruik;Nederland                               ;Land    ;NL00      ;;0.0
7;Nederland;Elektrisch verwarmd zonder gasverbruik;Nederland                               ;Land    ;NL00      ;;2.0
8;Nederland;Totaal zonder gasverbruik (ex. onbekend);Nederland                               ;Land    ;NL00      ;;7.0
9;Nederland;Type installaties onbekend;Nederland                               ;Land    ;NL00      ;;2.0
10;Aa en Hunze;Individuele cv;Aa en Hunze                             ;Gemeente;GM1680    ;;93.0
11;Aa en Hunze;Blokverwarming;Aa en Hunze                             ;Gemeente;GM1680    ;;2.0
12;Aa en Hunze;Stadsverwarming met hoog gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
13;Aa en Hunze;Stadsverwarming met laag gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
14;Aa en Hunze;Stadsverwarming zonder gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
15;Aa en Hunze;Elektrisch verwarmd met hoog gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;2.0
16;Aa en Hunze;Elektrisch verwarmd met laag gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;0.0
17;Aa en Hunze;Elektrisch verwarmd zonder gasverbruik;Aa en Hunze                             ;Gemeente;GM1680    ;;1.0
