ID;Perioden;TotaleBevolking_1;Mannen_2;Vrouwen_3;TotaleBevolking_4;Ongehuwd_5;Gehuwd_6;Verweduwd_7;Gescheiden_8;TotaleBevolking_9;JongerDan20Jaar_10;k_20Tot40Jaar_11;k_40Tot65Jaar_12;k_65Tot80Jaar_13;k_80JaarOfOuder_14;JongerDan20Jaar_15;k_20Tot40Jaar_16;k_40Tot65Jaar_17;k_65Tot80Jaar_18;k_80JaarOfOuder_19;TotaleDruk_20;GroeneDruk_21;GrijzeDruk_22;TotaleBevolking_23;Mannen_24;Vrouwen_25;TotaleBevolking_26;PersoonMetEenNederlandseAchtergrond_27;PersoonMetEenMigratieachtergrond_28;MigratieachtergrondRelatief_29;TotaalWesterseMigratieachtergrond_30;MiddenEnOostEuropeseLandenInDeEU_31;GIPSLandenInDeEU_32;OverigWesterseMigratieachtergrond_33;TotaalNietWesters_34;Marokko_35;VoormaligNedAntillenAruba_36;Suriname_37;Turkije_38;OverigNietWesters_39;Totaal1eGeneratieMigratieachtergrond_40;TotaalWesters_41;MiddenEnOostEuropeseLandenInDeEU_42;GIPSLandenInDeEU_43;OverigWesters_44;TotaalNietWesters_45;Marokko_46;VoormaligNedAntillenAruba_47;Suriname_48;Turkije_49;OverigNietWesters_50;Totaal2eGeneratieMigratieachtergrond_51;TotaalWesters_52;MiddenEnOostEuropeseLandenInDeEU_53;GIPSLandenInDeEU_54;OverigWesters_55;TotaalNietWesters_56;Marokko_57;VoormaligNedAntillenAruba_58;Suriname_59;Turkije_60;OverigNietWesters_61;TotaalHuishoudens_62;Eenpersoonshuishoudens_63;Meerpersoonshuishoudens_64;GemiddeldeHuishoudensgrootte_65;PersonenInInstitutioneleHuishoudens_66;TotaleBevolkingsgroei_67;TotaleBevolkingsgroeiRelatief_68;LevendGeborenKind_69;Overledenen_70;Geboorteoverschot_71;GeboorteoverschotRelatief_72;Immigratie_73;EmigratieInclusiefAdministratieveC_74;MigratiesaldoInclusiefAdministratie_75;MigratiesaldoInclusiefCoRelatief_76;OverigeCorrecties_77;Bevolkingsdichtheid_78
52;2002;16105285;7971967;8133318;16105285;7241077;7063982;881876;918350;16105285;3940636;4685727;5280208;1667107;531607;24.5;29.1;32.8;10.4;3.3;61.6;39.5;22.1;38.4;37.3;39.6;16105285;13140336.0;2964949.0;18.4;1406596.0;;93806.0;1312790.0;1558353.0;284124.0;124870.0;315177.0;330709.0;503473.0;1547079.0;575379.0;;52365.0;523014.0;971700.0;159605.0;82209.0;186262.0;185943.0;357681.0;1417870.0;831217.0;;41441.0;789776.0;586653.0;124519.0;42661.0;128915.0;144766.0;145792.0;6934;2345;4589;2.29;217.0;87287.0;5.4;202083.0;142355.0;59728.0;3.7;121250.0;96918.0;24332.0;1.5;3227.0;475
53;2003;16192572;8015471;8177101;16192572;7321665;7052176;879742;938989;16192572;3968999;4624170;5378947;1676486;543970;24.5;28.6;33.2;10.4;3.4;61.9;39.7;22.2;38.6;37.4;39.7;16192572;13153814.0;3038758.0;18.8;1416156.0;;95585.0;1320571.0;1622602.0;295332.0;129312.0;320658.0;341400.0;535900.0;1585927.0;581361.0;;53332.0;528029.0;1004566.0;163280.0;84395.0;187279.0;190219.0;379393.0;1452831.0;834795.0;;42253.0;792542.0;618036.0;132052.0;44917.0;133379.0;151181.0;156507.0;6996;2384;4612;2.28;215.0;65460.0;4.0;200297.0;141936.0;58361.0;3.6;104514.0;104831.0;-317.0;0.0;7416.0;479
54;2004;16258032;8045914;8212118;16258032;7389408;7034504;877579;956541;16258032;3987557;4548566;5470755;1692856;558298;24.5;28.0;33.6;10.4;3.4;62.3;39.8;22.5;38.7;37.6;39.8;16258032;13169880.0;3088152.0;19.0;1419855.0;50272.0;96724.0;1272841.0;1668297.0;306219.0;130722.0;325281.0;351648.0;554427.0;1602730.0;581656.0;27790.0;53669.0;500184.0;1021074.0;166464.0;84024.0;187990.0;194319.0;388277.0;1485422.0;838199.0;22482.0;43055.0;772657.0;647223.0;139755.0;46698.0;137291.0;157329.0;166150.0;7049;2424;4625;2.28;215.0;47494.0;2.9;194007.0;136553.0;57454.0;3.5;94019.0;110235.0;-16216.0;-1.0;6256.0;481
55;2005;16305526;8065979;8239547;16305526;7450192;7002557;876605;976172;16305526;3987957;4467783;5561116;1715097;573573;24.5;27.4;34.1;10.5;3.5;62.6;39.8;22.8;39.0;37.9;40.0;16305526;13182809.0;3122717.0;19.2;1423675.0;55189.0;97137.0;1271349.0;1699042.0;315821.0;130538.0;329430.0;358846.0;564407.0;1606664.0;582278.0;32124.0;53389.0;496765.0;1024386.0;168400.0;82321.0;188367.0;195678.0;389620.0;1516053.0;841397.0;23065.0;43748.0;774584.0;674656.0;147421.0;48217.0;141063.0;163168.0;174787.0;7091;2449;4642;2.27;213.0;28684.0;1.8;187910.0;136402.0;51508.0;3.2;92297.0;119725.0;-27428.0;-1.7;4604.0;483
56;2006;16334210;8077407;8256803;16334210;7499312;6964100;874896;995902;16334210;3975626;4389840;5638285;1743443;587016;24.3;26.9;34.5;10.7;3.6;62.9;39.6;23.2;39.2;38.1;40.3;16334210;13186595.0;3147615.0;19.3;1427565.0;61378.0;97721.0;1268466.0;1720050.0;323239.0;129683.0;331890.0;364333.0;570905.0;1604259.0;584268.0;37632.0;53381.0;493255.0;1019991.0;168504.0;80102.0;187483.0;195711.0;388191.0;1543356.0;843297.0;23746.0;44340.0;775211.0;700059.0;154735.0;49581.0;144407.0;168622.0;182714.0;7146;2502;4644;2.26;209.0;23782.0;1.5;185057.0;135372.0;49685.0;3.0;101150.0;132470.0;-31320.0;-1.9;5417.0;483
57;2007;16357992;8088514;8269478;16357992;7543236;6927736;871565;1015455;16357992;3957103;4319136;5713401;1767510;600842;24.2;26.4;34.9;10.8;3.7;63.0;39.4;23.6;39.5;38.4;40.5;16357992;13187586.0;3170406.0;19.4;1431954.0;81589.0;98266.0;1252099.0;1738452.0;329493.0;129965.0;333504.0;368600.0;576890.0;1601194.0;586718.0;53373.0;53378.0;479967.0;1014476.0;167893.0;78907.0;186025.0;195113.0;386538.0;1569212.0;845236.0;28216.0;44888.0;772132.0;723976.0;161600.0;51058.0;147479.0;173487.0;190352.0;7191;2537;4654;2.25;207.0;47407.0;2.9;181336.0;133022.0;48314.0;2.9;116819.0;122576.0;-5757.0;-0.4;4850.0;484
58;2008;16405399;8112073;8293326;16405399;7601904;6898147;869611;1035737;16405399;3940450;4267063;5783060;1799337;615489;24.0;26.0;35.3;11.0;3.8;63.2;39.2;24.0;39.7;38.7;40.7;16405399;13189983.0;3215416.0;19.6;1449686.0;96232.0;100282.0;1253172.0;1765730.0;335127.0;131841.0;335799.0;372714.0;590249.0;1619314.0;602130.0;66682.0;54687.0;480761.0;1017184.0;167063.0;78968.0;185284.0;194556.0;391313.0;1596102.0;847556.0;29550.0;45595.0;772411.0;748546.0;168064.0;52873.0;150515.0;178158.0;198936.0;7242;2571;4671;2.24;207.0;80388.0;4.9;184634.0;135136.0;49498.0;3.0;143516.0;117779.0;25737.0;1.6;5153.0;486
59;2009;16485787;8156396;8329391;16485787;7680426;6882639;866808;1055914;16485787;3933585;4233861;5846526;1840607;631208;23.9;25.7;35.5;11.2;3.8;63.5;39.0;24.5;39.9;38.9;40.9;16485787;13198081.0;3287706.0;19.9;1478396.0;113425.0;104328.0;1260643.0;1809310.0;341528.0;134774.0;338678.0;378330.0;616000.0;1661505.0;627311.0;82302.0;57873.0;487136.0;1034194.0;166774.0;79785.0;184961.0;195375.0;407299.0;1626201.0;851085.0;31123.0;46455.0;773507.0;775116.0;174754.0;54989.0;153717.0;182955.0;208701.0;7313;2619;4693;2.23;207.0;89202.0;5.4;184915.0;134235.0;50680.0;3.1;146378.0;111897.0;34481.0;2.1;4041.0;489
60;2010;16574989;8203476;8371513;16574989;7701812;6875088;866945;1131144;16574989;3928334;4192772;5915555;1890334;647994;23.7;25.3;35.7;11.4;3.9;64.0;38.9;25.1;40.1;39.1;41.1;16574989;13215386.0;3359603.0;20.3;1501309.0;127768.0;107674.0;1265867.0;1858294.0;349005.0;138420.0;342279.0;383957.0;644633.0;1699751.0;644486.0;94527.0;60251.0;489708.0;1055265.0;167305.0;81175.0;185089.0;196385.0;425311.0;1659852.0;856823.0;33241.0;47423.0;776159.0;803029.0;181700.0;57245.0;157190.0;187572.0;219322.0;7386;2670;4717;2.22;209.0;80810.0;4.9;184397.0;136058.0;48339.0;2.9;154432.0;121351.0;33081.0;2.0;-610.0;491
61;2011;16655799;8243482;8412317;16655799;7773306;6864966;866497;1151030;16655799;3913819;4162599;5984435;1927399;667547;23.5;25.0;35.9;11.6;4.0;64.1;38.6;25.6;40.3;39.4;41.3;16655799;13228780.0;3427019.0;20.6;1527774.0;144312.0;110950.0;1272512.0;1899245.0;355883.0;141345.0;344734.0;388967.0;668316.0;1735217.0;665865.0;108701.0;62621.0;494543.0;1069352.0;167607.0;81968.0;184453.0;197042.0;438282.0;1691802.0;861909.0;35611.0;48329.0;777969.0;829893.0;188276.0;59377.0;160281.0;191925.0;230034.0;7444;2708;4736;2.21;219.0;74549.0;4.5;180060.0;135741.0;44319.0;2.7;162962.0;133194.0;29768.0;1.8;462.0;494
62;2012;16730348;8282871;8447477;16730348;7841334;6851016;865790;1172208;16730348;3894754;4141893;5977333;2030353;686015;23.3;24.8;35.7;12.1;4.1;65.3;38.5;26.8;40.6;39.6;41.5;16730348;13236155.0;3494193.0;20.9;1556542.0;164667.0;115117.0;1276758.0;1937651.0;362954.0;143992.0;346797.0;392923.0;690985.0;1772204.0;690203.0;126307.0;65889.0;498007.0;1082001.0;168214.0;82693.0;183752.0;197107.0;450235.0;1721989.0;866339.0;38360.0;49228.0;778751.0;855650.0;194740.0;61299.0;163045.0;195816.0;240750.0;7513;2762;4751;2.2;219.0;49227.0;2.9;175959.0;140813.0;35146.0;2.1;158374.0;144491.0;13883.0;0.8;198.0;496
63;2013;16779575;8307339;8472236;16779575;7895899;6823832;864180;1195664;16779575;3870773;4120358;5964099;2121525;702820;23.1;24.6;35.5;12.6;4.2;66.4;38.4;28.0;40.8;39.9;41.7;16779575;13236494.0;3543081.0;21.1;1576986.0;179482.0;120390.0;1277114.0;1966095.0;368838.0;145499.0;347631.0;395302.0;708825.0;1793189.0;706512.0;138187.0;70250.0;498075.0;1086677.0;168117.0;82476.0;182342.0;196203.0;457539.0;1749892.0;870474.0;41295.0;50140.0;779039.0;879418.0;200721.0;63023.0;165289.0;199099.0;251286.0;7569;2802;4767;2.19;215.0;49714.0;3.0;171341.0;141245.0;30096.0;1.8;164772.0;145669.0;19103.0;1.1;515.0;498
64;2014;16829289;8334385;8494904;16829289;7956499;6787029;863292;1222469;16829289;3846040;4117652;5946573;2201935;717089;22.9;24.5;35.3;13.1;4.3;67.2;38.2;29.0;41.0;40.1;41.9;16829289;13234545.0;3594744.0;21.4;1597160.0;209005.0;125890.0;1262265.0;1997584.0;374996.0;146855.0;348291.0;396414.0;731028.0;1818497.0;722766.0;158898.0;74704.0;489164.0;1095731.0;168320.0;82148.0;180863.0;194759.0;469641.0;1776247.0;874394.0;50107.0;51186.0;773101.0;901853.0;206676.0;64707.0;167428.0;201655.0;261387.0;7590;2804;4786;2.18;250.0;71437.0;4.2;175181.0;139223.0;35958.0;2.1;182949.0;147862.0;35087.0;2.1;392.0;500
65;2015;16900726;8372858;8527868;16900726;8031966;6753259;862705;1252796;16900726;3828059;4134447;5930535;2272709;734976;22.7;24.5;35.1;13.4;4.3;67.9;38.0;29.9;41.3;40.4;42.1;16900726;13235405.0;3665321.0;21.7;1626812.0;230842.0;130608.0;1265362.0;2038509.0;380755.0;148926.0;348662.0;396555.0;763611.0;1860977.0;747703.0;177025.0;78412.0;492266.0;1113274.0;168451.0;82289.0;179236.0;192311.0;490987.0;1804344.0;879109.0;53817.0;52196.0;773096.0;925235.0;212304.0;66637.0;169426.0;204244.0;272624.0;7665;2868;4797;2.17;245.0;78394.0;4.6;170510.0;147134.0;23376.0;1.4;204615.0;149509.0;55106.0;3.3;-88.0;502
66;2016;16979120;8417135;8561985;16979120;8112153;6727554;860883;1278530;16979120;3818499;4163702;5911611;2336560;748748;22.5;24.5;34.8;13.8;4.4;68.5;37.9;30.6;41.5;40.6;42.3;16979120;13226829.0;3752291.0;22.1;1655699.0;249554.0;135637.0;1270508.0;2096592.0;385761.0;150981.0;349022.0;397471.0;813357.0;1920877.0;772428.0;191719.0;82511.0;498198.0;1148449.0;168336.0;82462.0;177720.0;190621.0;529310.0;1831414.0;883271.0;57835.0;53126.0;772310.0;948143.0;217425.0;68519.0;171302.0;206850.0;284047.0;7721;2906;4814;2.17;255.0;102387.0;6.0;172520.0;148997.0;23523.0;1.4;230739.0;151545.0;79194.0;4.7;-330.0;504
67;2017;17081507;8475102;8606405;17081507;8201061;6718468;859720;1302258;17081507;3817173;4206639;5898035;2395385;764275;22.3;24.6;34.5;14.0;4.5;69.0;37.8;31.3;41.6;40.7;42.5;17081507;13218754.0;3862753.0;22.6;1689030.0;268218.0;141629.0;1279183.0;2173723.0;391088.0;153469.0;349978.0;400367.0;878821.0;2001175.0;801203.0;206291.0;87487.0;507425.0;1199972.0;168536.0;82995.0;176801.0;190331.0;581309.0;1861578.0;887827.0;61927.0;54142.0;771758.0;973751.0;222552.0;70474.0;173177.0;210036.0;297512.0;7794;2961;4833;2.16;245.0;99577.0;5.8;169836.0;150214.0;19622.0;1.1;234957.0;154292.0;80665.0;4.7;-710.0;507
68;2018;17181084;8527041;8654043;17181084;8287607;6710175;858676;1324626;17181084;3810656;4253083;5878229;2460202;778914;22.2;24.8;34.2;14.3;4.5;69.6;37.6;32.0;41.8;41.0;42.6;17181084;13209225.0;3971859.0;23.1;1729016.0;290614.0;148736.0;1289666.0;2242843.0;396539.0;157114.0;351681.0;404459.0;933050.0;2079329.0;836178.0;224382.0;93475.0;518321.0;1243151.0;169018.0;84526.0;176412.0;191513.0;621682.0;1892530.0;892838.0;66232.0;55261.0;771345.0;999692.0;227521.0;72588.0;175269.0;212946.0;311368.0;7858;2998;4860;2.15;249.0;101079.0;5.9;168525.0;153363.0;15162.0;0.9;243737.0;157366.0;86371.0;5.0;-454.0;510
69;2019;17282163;8581086;8701077;17282163;8374133;6706554;858443;1343033;17282163;3791838;4309987;5866334;2515184;798820;21.9;24.9;33.9;14.6;4.6;69.8;37.3;32.6;42.0;41.2;42.8;17282163;13196025.0;4086138.0;23.6;1774271.0;316095.0;156545.0;1301631.0;2311867.0;402492.0;161265.0;353909.0;409877.0;984324.0;2161684.0;876946.0;245393.0;100235.0;531318.0;1284738.0;170357.0;86517.0;176564.0;193698.0;657602.0;1924454.0;897325.0;70702.0;56310.0;770313.0;1027129.0;232135.0;74748.0;177345.0;216179.0;326722.0;7925;3038;4887;2.15;247.0;125422.0;7.3;169680.0;151885.0;17795.0;1.0;269064.0;161029.0;108035.0;6.3;-408.0;513
70;2020;17407585;8648031;8759554;17407585;8474556;6713002;859020;1361007;17407585;3775257;4381481;5858292;2570467;822088;21.7;25.2;33.7;14.8;4.7;70.0;36.9;33.1;42.2;41.3;43.0;17407585;13186880.0;4220705.0;24.2;1828645.0;343984.0;166031.0;1318630.0;2392060.0;408864.0;166265.0;356402.0;416864.0;1043665.0;2262256.0;925952.0;269058.0;108458.0;548436.0;1336304.0;172040.0;89118.0;176963.0;197446.0;700737.0;1958449.0;902693.0;74926.0;57573.0;770194.0;1055756.0;236824.0;77147.0;179439.0;219418.0;342928.0;7998;3080;4918;2.14;259.0;67830.0;3.9;168681.0;168678.0;3.0;0.0;220853.0;152494.0;68359.0;3.9;-532.0;517
71;2021;17475415;8686536;8788879;17475415;8558739;6678969;859784;1377923;17475415;3743466;4421003;5853411;2618874;838661;21.4;25.3;33.5;15.0;4.8;70.1;36.4;33.7;42.3;41.5;43.1;17475415;13169507.0;4305908.0;24.6;1858730.0;381614.0;169781.0;1307335.0;2447178.0;414186.0;171413.0;358266.0;422030.0;1081283.0;2312921.0;951072.0;296419.0;110815.0;543838.0;1361849.0;172542.0;91728.0;176571.0;199402.0;721606.0;1992987.0;907658.0;85195.0;58966.0;763497.0;1085329.0;241644.0;79685.0;181695.0;222628.0;359677.0;8043;3097;4946;2.14;259.0;115257.0;6.6;179441.0;170972.0;8469.0;0.5;252528.0;145330.0;107198.0;6.1;-410.0;519
72;2022;17590672;8745468;8845204;17590672;8674526;6667185;862818;1386143;17590672;3737817;4487841;5839561;2672346;853107;21.2;25.5;33.2;15.2;4.9;70.3;36.2;34.1;42.4;41.6;43.2;17590672;13151772.0;4438900.0;25.2;1909408.0;410032.0;181453.0;1317923.0;2529492.0;419272.0;176912.0;359814.0;429978.0;1143516.0;2412344.0;996928.0;320281.0;121155.0;555492.0;1415416.0;173279.0;94770.0;176127.0;204249.0;766991.0;2026556.0;912480.0;89751.0;60298.0;762431.0;1114076.0;245993.0;82142.0;183687.0;225729.0;376525.0;8139;3173;4966;2.13;263.0;;;;;;;;;;;;522
