ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalOpheffingenVanBedrijven_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
0;A-U Alle economische activiteiten;2007 1e kwartaal;23005;16500;6070;350;90;0;22920;23005;18500;4505
1;A-U Alle economische activiteiten;2007 2e kwartaal;22605;14465;7565;475;100;0;22505;22605;17310;5295
2;A-U Alle economische activiteiten;2007 3e kwartaal;20650;15925;4180;425;120;0;20530;20650;15170;5485
3;A-U Alle economische activiteiten;2007 4e kwartaal;18565;13220;4875;375;100;0;18470;18565;14350;4215
4;A-U Alle economische activiteiten;2007;84830;60110;22690;1625;405;0;84425;84830;65330;19500
5;A-U Alle economische activiteiten;2008 1e kwartaal;26855;21635;4810;330;85;0;26770;26855;19905;6950
6;A-U Alle economische activiteiten;2008 2e kwartaal;24050;18575;4965;415;95;0;23955;24050;19505;4545
7;A-U Alle economische activiteiten;2008 3e kwartaal;21425;17140;4030;220;35;0;21390;21425;15430;5995
8;A-U Alle economische activiteiten;2008 4e kwartaal;21820;16770;4550;435;60;0;21760;21820;15820;6000
9;A-U Alle economische activiteiten;2008;94150;74120;18355;1400;280;0;93875;94150;70660;23490
10;A-U Alle economische activiteiten;2009 1e kwartaal;25355;20330;4625;325;75;0;25280;25355;21845;3510
11;A-U Alle economische activiteiten;2009 2e kwartaal;25885;20780;4565;450;90;0;25795;25885;20880;5005
12;A-U Alle economische activiteiten;2009 3e kwartaal;24015;19200;4275;480;65;0;23950;24015;17355;6660
13;A-U Alle economische activiteiten;2009 4e kwartaal;34820;23320;10715;700;90;0;34735;34820;21380;13440
14;A-U Alle economische activiteiten;2009;110080;83625;24180;1955;320;0;109760;110080;81460;28620
15;A-U Alle economische activiteiten;2010 1e kwartaal;15795;10640;4860;240;55;0;15740;15795;12830;2970
16;A-U Alle economische activiteiten;2010 2e kwartaal;37145;31000;5745;345;55;0;37090;37145;31320;5825
17;A-U Alle economische activiteiten;2010 3e kwartaal;24225;19310;4470;385;60;5;24165;24225;16475;7750
18;A-U Alle economische activiteiten;2010 4e kwartaal;21145;16285;4480;335;45;0;21095;21145;16925;4215
19;A-U Alle economische activiteiten;2010;98310;77230;19555;1305;215;5;98090;98305;77550;20760
20;A-U Alle economische activiteiten;2011 1e kwartaal;30770;24930;5495;285;60;0;30710;30770;25705;5065
21;A-U Alle economische activiteiten;2011 2e kwartaal;26260;21800;4165;260;30;0;26225;26260;21545;4715
22;A-U Alle economische activiteiten;2011 3e kwartaal;25475;21150;3970;310;45;5;25425;25475;18190;7285
23;A-U Alle economische activiteiten;2011 4e kwartaal;24155;20105;3740;260;45;0;24105;24150;19835;4320
24;A-U Alle economische activiteiten;2011;106660;87985;17370;1115;185;5;106470;106655;85275;21385
25;A-U Alle economische activiteiten;2012 1e kwartaal;30115;23845;5890;320;60;0;30055;30115;24300;5815
26;A-U Alle economische activiteiten;2012 2e kwartaal;40400;36245;3925;185;45;0;40355;40400;36345;4055
27;A-U Alle economische activiteiten;2012 3e kwartaal;29345;24175;4710;425;35;0;29315;29345;21450;7895
28;A-U Alle economische activiteiten;2012 4e kwartaal;27185;22355;4475;325;30;0;27155;27185;22495;4690
29;A-U Alle economische activiteiten;2012;127050;106625;19005;1250;170;0;126880;127045;104590;22455
30;A-U Alle economische activiteiten;2013 1e kwartaal;29060;23300;5390;315;55;0;29005;29060;23490;5570
31;A-U Alle economische activiteiten;2013 2e kwartaal;25100;19870;4840;320;65;0;25030;25100;19705;5395
32;A-U Alle economische activiteiten;2013 3e kwartaal;33435;27365;5605;420;45;0;33385;33435;25820;7615
33;A-U Alle economische activiteiten;2013 4e kwartaal;26760;21315;5035;375;35;0;26725;26760;21310;5455
34;A-U Alle economische activiteiten;2013;114355;91855;20870;1425;200;0;114150;114355;90325;24030
35;A-U Alle economische activiteiten;2014 1e kwartaal;25805;21710;3765;290;45;0;25760;25805;21000;4805
36;A-U Alle economische activiteiten;2014 2e kwartaal;26595;22110;4105;315;60;0;26535;26595;20470;6130
37;A-U Alle economische activiteiten;2014 3e kwartaal;23015;19230;3445;290;50;0;22965;23015;15190;7825
38;A-U Alle economische activiteiten;2014 4e kwartaal;20175;16495;3330;310;40;5;20130;20170;14975;5200
39;A-U Alle economische activiteiten;2014;95595;79540;14645;1205;195;5;95390;95590;71635;23960
40;A-U Alle economische activiteiten;2015 1e kwartaal;29055;24270;4510;245;35;0;29025;29055;23385;5675
41;A-U Alle economische activiteiten;2015 2e kwartaal;21485;17920;3300;240;25;0;21460;21485;16510;4975
42;A-U Alle economische activiteiten;2015 3e kwartaal;21590;18105;3220;230;40;0;21550;21590;14370;7225
43;A-U Alle economische activiteiten;2015 4e kwartaal;23025;18945;3810;230;40;0;22980;23020;17415;5610
44;A-U Alle economische activiteiten;2015;95155;79240;14835;940;140;5;95015;95155;71675;23480
45;A-U Alle economische activiteiten;2016 1e kwartaal;27825;23330;4235;205;55;5;27765;27820;22315;5510
46;A-U Alle economische activiteiten;2016 2e kwartaal;22910;19440;3245;190;30;0;22880;22905;18025;4885
47;A-U Alle economische activiteiten;2016 3e kwartaal;31295;27515;3535;215;35;0;31265;31295;23595;7700
48;A-U Alle economische activiteiten;2016 4e kwartaal;29290;22765;6190;300;35;0;29255;29290;22620;6670
49;A-U Alle economische activiteiten;2016;111320;93050;17205;910;155;5;111160;111315;86555;24765
50;A-U Alle economische activiteiten;2017 1e kwartaal;25420;21755;3505;135;25;0;25395;25420;21380;4040
51;A-U Alle economische activiteiten;2017 2e kwartaal;21655;18505;2985;150;15;0;21640;21655;16920;4735
52;A-U Alle economische activiteiten;2017 3e kwartaal;21320;18140;2995;165;15;0;21305;21320;13665;7655
53;A-U Alle economische activiteiten;2017 4e kwartaal;22885;19455;3210;185;30;0;22850;22885;17675;5210
54;A-U Alle economische activiteiten;2017;91280;77855;12695;635;90;0;91190;91280;69635;21645
55;A-U Alle economische activiteiten;2018 1e kwartaal;32705;27925;4595;150;30;0;32675;32700;26520;6185
56;A-U Alle economische activiteiten;2018 2e kwartaal;22320;19120;3035;150;15;0;22305;22320;17735;4580
57;A-U Alle economische activiteiten;2018 3e kwartaal;24060;20620;3250;175;20;0;24040;24060;16565;7495
58;A-U Alle economische activiteiten;2018 4e kwartaal;22195;18800;3240;150;10;0;22190;22195;16995;5200
59;A-U Alle economische activiteiten;2018;101280;86460;14120;625;70;0;101210;101280;77815;23465
60;A-U Alle economische activiteiten;2019 1e kwartaal;33165;28310;4625;185;45;0;33125;33165;26510;6655
61;A-U Alle economische activiteiten;2019 2e kwartaal;33385;28445;4660;240;35;5;33345;33380;25785;7600
62;A-U Alle economische activiteiten;2019 3e kwartaal;18050;15905;2035;90;10;5;18035;18045;11995;6055
63;A-U Alle economische activiteiten;2019 4e kwartaal;24935;21485;3275;155;15;5;24915;24930;19565;5365
64;A-U Alle economische activiteiten;2019;109530;94150;14600;670;100;10;109420;109520;83855;25675
65;A-U Alle economische activiteiten;2020 1e kwartaal;37800;33825;3775;165;30;5;37765;37795;31045;6755
66;A-U Alle economische activiteiten;2020 2e kwartaal;27120;23790;3165;155;10;0;27110;27115;21445;5670
67;A-U Alle economische activiteiten;2020 3e kwartaal;35000;31725;3090;160;25;0;34970;35000;26425;8575
68;A-U Alle economische activiteiten;2020 4e kwartaal;33215;30030;2995;160;30;5;33185;33215;27565;5650
69;A-U Alle economische activiteiten;2020;133130;119370;13020;640;95;10;133030;133120;106480;26650
70;A-U Alle economische activiteiten;2021 1e kwartaal;27870;23770;3975;105;15;0;27850;27870;25580;2285
71;A-U Alle economische activiteiten;2021 2e kwartaal;19325;16665;2575;75;5;0;19320;19325;18240;1085
72;A-U Alle economische activiteiten;2021 3e kwartaal;16980;14385;2510;80;5;0;16975;16980;15785;1195
73;A-U Alle economische activiteiten;2021 4e kwartaal;21135;17790;3270;65;5;0;21125;21135;19520;1615
74;A-U Alle economische activiteiten;2021;85310;72615;12335;325;35;0;85270;85305;79130;6180
75;A-U Alle economische activiteiten;2022 1e kwartaal;45440;39075;6170;150;40;5;45395;45435;32155;13285
76;A-U Alle economische activiteiten;2022 2e kwartaal;28865;23460;5305;85;5;5;28855;28860;24310;4550
77;A-U Alle economische activiteiten;2022 3e kwartaal;25650;22120;3440;80;5;0;25640;25650;18805;6840
78;A-U Alle economische activiteiten;2022 4e kwartaal;43780;39050;4570;145;10;0;43765;43775;28090;15685
79;A-U Alle economische activiteiten;2022;143730;123705;19490;460;65;10;143655;143720;103365;40365
80;A-U Alle economische activiteiten;2023 1e kwartaal;29275;25515;3635;100;25;0;29250;29275;25030;4245
81;A-U Alle economische activiteiten;2023 2e kwartaal;30000;26130;3745;110;15;0;29985;30000;25445;4555
82;A-U Alle economische activiteiten;2023 3e kwartaal;31180;27925;3125;110;20;0;31160;31180;23305;7875
83;A-U Alle economische activiteiten;2023 4e kwartaal;30235;27265;2860;95;15;0;30220;30235;24085;6150
84;A-U Alle economische activiteiten;2023;120690;106830;13365;420;75;0;120615;120690;97865;22825
85;A-U Alle economische activiteiten;2024 1e kwartaal;48730;43945;4595;175;20;0;48710;48730;41515;7220
86;A-U Alle economische activiteiten;2024 2e kwartaal;34095;30585;3370;130;5;0;34085;34095;27345;6750
87;A-U Alle economische activiteiten;2024 3e kwartaal;40900;37940;2840;100;20;0;40885;40900;29515;11385
88;A-U Alle economische activiteiten;2024 4e kwartaal;29290;26425;2765;90;10;0;29275;29290;26365;2920
89;A-U Alle economische activiteiten;2024;153015;138895;13570;490;60;0;152955;153015;124740;28275
90;Totaal (ex. financieel of nutsbedrijven);2007 1e kwartaal;21615;15285;5910;335;85;0;21530;21615;18120;3500
91;Totaal (ex. financieel of nutsbedrijven);2007 2e kwartaal;21415;13450;7415;455;95;0;21320;21415;17035;4380
92;Totaal (ex. financieel of nutsbedrijven);2007 3e kwartaal;18770;14280;3975;405;115;0;18655;18770;14935;3840
93;Totaal (ex. financieel of nutsbedrijven);2007 4e kwartaal;17405;12230;4725;355;95;0;17310;17405;14115;3290
94;Totaal (ex. financieel of nutsbedrijven);2007;79210;55240;22025;1550;390;0;78815;79210;64205;15005
95;Totaal (ex. financieel of nutsbedrijven);2008 1e kwartaal;24240;19160;4690;315;80;0;24160;24240;19575;4670
96;Totaal (ex. financieel of nutsbedrijven);2008 2e kwartaal;22675;17385;4820;385;85;0;22590;22675;19205;3470
97;Totaal (ex. financieel of nutsbedrijven);2008 3e kwartaal;18855;14740;3865;215;35;0;18820;18855;15195;3660
98;Totaal (ex. financieel of nutsbedrijven);2008 4e kwartaal;19940;15085;4390;405;55;0;19885;19940;15445;4495
99;Totaal (ex. financieel of nutsbedrijven);2008;85710;66370;17765;1320;255;0;85455;85710;69420;16290
100;Totaal (ex. financieel of nutsbedrijven);2009 1e kwartaal;24070;19145;4540;320;70;0;24000;24070;21440;2635
101;Totaal (ex. financieel of nutsbedrijven);2009 2e kwartaal;24385;19420;4440;435;90;0;24295;24385;20610;3775
102;Totaal (ex. financieel of nutsbedrijven);2009 3e kwartaal;21475;16885;4075;455;60;0;21410;21475;17170;4300
103;Totaal (ex. financieel of nutsbedrijven);2009 4e kwartaal;29955;19160;10055;655;85;0;29870;29955;20880;9070
104;Totaal (ex. financieel of nutsbedrijven);2009;99885;74605;23105;1865;305;0;99580;99885;80100;19785
105;Totaal (ex. financieel of nutsbedrijven);2010 1e kwartaal;14960;9900;4765;235;55;0;14905;14955;12675;2285
106;Totaal (ex. financieel of nutsbedrijven);2010 2e kwartaal;35405;29420;5595;330;55;0;35345;35405;30965;4440
107;Totaal (ex. financieel of nutsbedrijven);2010 3e kwartaal;21630;16880;4320;375;55;5;21575;21630;16310;5325
108;Totaal (ex. financieel of nutsbedrijven);2010 4e kwartaal;19940;15205;4365;325;45;0;19895;19940;16760;3180
109;Totaal (ex. financieel of nutsbedrijven);2010;91930;71405;19050;1265;210;5;91720;91925;76710;15225
110;Totaal (ex. financieel of nutsbedrijven);2011 1e kwartaal;29245;23550;5365;270;60;0;29185;29245;25490;3755
111;Totaal (ex. financieel of nutsbedrijven);2011 2e kwartaal;24890;20520;4080;255;30;0;24855;24885;21360;3530
112;Totaal (ex. financieel of nutsbedrijven);2011 3e kwartaal;23190;19035;3810;300;45;5;23140;23190;18045;5145
113;Totaal (ex. financieel of nutsbedrijven);2011 4e kwartaal;22870;18920;3655;245;40;0;22825;22865;19655;3210
114;Totaal (ex. financieel of nutsbedrijven);2011;100195;82025;16910;1075;175;5;100010;100185;84550;15645
115;Totaal (ex. financieel of nutsbedrijven);2012 1e kwartaal;28585;22465;5755;310;60;0;28530;28585;24115;4475
116;Totaal (ex. financieel of nutsbedrijven);2012 2e kwartaal;39015;34955;3845;175;45;0;38975;39015;36080;2935
117;Totaal (ex. financieel of nutsbedrijven);2012 3e kwartaal;27015;22035;4540;410;30;0;26980;27015;21300;5715
118;Totaal (ex. financieel of nutsbedrijven);2012 4e kwartaal;25860;21160;4360;315;30;0;25830;25860;22325;3535
119;Totaal (ex. financieel of nutsbedrijven);2012;120480;100610;18500;1210;165;0;120315;120480;103820;16660
120;Totaal (ex. financieel of nutsbedrijven);2013 1e kwartaal;27530;21910;5255;305;55;0;27475;27530;23290;4240
121;Totaal (ex. financieel of nutsbedrijven);2013 2e kwartaal;23640;18535;4735;305;65;0;23575;23640;19555;4085
122;Totaal (ex. financieel of nutsbedrijven);2013 3e kwartaal;31085;25210;5425;410;45;0;31040;31085;25625;5460
123;Totaal (ex. financieel of nutsbedrijven);2013 4e kwartaal;25285;19955;4930;365;35;0;25255;25285;21170;4120
124;Totaal (ex. financieel of nutsbedrijven);2013;107540;85605;20345;1385;200;0;107340;107540;89640;17900
125;Totaal (ex. financieel of nutsbedrijven);2014 1e kwartaal;24560;20555;3680;280;40;0;24515;24560;20850;3710
126;Totaal (ex. financieel of nutsbedrijven);2014 2e kwartaal;24965;20555;4035;310;60;0;24900;24960;20340;4625
127;Totaal (ex. financieel of nutsbedrijven);2014 3e kwartaal;20675;17015;3330;285;50;0;20625;20675;15100;5575
128;Totaal (ex. financieel of nutsbedrijven);2014 4e kwartaal;18770;15170;3255;300;40;5;18725;18765;14850;3920
129;Totaal (ex. financieel of nutsbedrijven);2014;88970;73295;14295;1180;195;5;88770;88960;71140;17830
130;Totaal (ex. financieel of nutsbedrijven);2015 1e kwartaal;27510;22830;4410;240;30;0;27480;27510;23245;4270
131;Totaal (ex. financieel of nutsbedrijven);2015 2e kwartaal;20165;16670;3235;235;25;0;20140;20165;16380;3785
132;Totaal (ex. financieel of nutsbedrijven);2015 3e kwartaal;19385;15985;3130;225;40;0;19340;19380;14275;5110
133;Totaal (ex. financieel of nutsbedrijven);2015 4e kwartaal;21650;17675;3710;225;40;0;21610;21650;17310;4340
134;Totaal (ex. financieel of nutsbedrijven);2015;88710;73160;14485;925;135;5;88570;88705;71210;17500
135;Totaal (ex. financieel of nutsbedrijven);2016 1e kwartaal;26390;21985;4150;200;55;5;26330;26385;22185;4205
136;Totaal (ex. financieel of nutsbedrijven);2016 2e kwartaal;21620;18225;3180;180;30;0;21590;21615;17895;3725
137;Totaal (ex. financieel of nutsbedrijven);2016 3e kwartaal;28935;25265;3430;205;35;0;28900;28935;23480;5455
138;Totaal (ex. financieel of nutsbedrijven);2016 4e kwartaal;27580;21205;6045;295;35;0;27545;27580;22480;5095
139;Totaal (ex. financieel of nutsbedrijven);2016;104520;86680;16805;880;150;5;104365;104515;86040;18480
140;Totaal (ex. financieel of nutsbedrijven);2017 1e kwartaal;24280;20670;3455;130;25;0;24255;24280;21245;3035
141;Totaal (ex. financieel of nutsbedrijven);2017 2e kwartaal;20410;17325;2920;145;15;0;20390;20410;16820;3590
142;Totaal (ex. financieel of nutsbedrijven);2017 3e kwartaal;18965;15875;2910;165;15;0;18950;18965;13580;5385
143;Totaal (ex. financieel of nutsbedrijven);2017 4e kwartaal;21605;18260;3130;185;30;0;21570;21605;17585;4020
144;Totaal (ex. financieel of nutsbedrijven);2017;85255;72130;12415;625;85;0;85170;85255;69230;16025
145;Totaal (ex. financieel of nutsbedrijven);2018 1e kwartaal;30830;26150;4505;145;30;0;30800;30825;26360;4465
146;Totaal (ex. financieel of nutsbedrijven);2018 2e kwartaal;21115;17980;2975;150;15;0;21100;21115;17655;3460
147;Totaal (ex. financieel of nutsbedrijven);2018 3e kwartaal;21785;18435;3165;170;15;0;21770;21785;16465;5320
148;Totaal (ex. financieel of nutsbedrijven);2018 4e kwartaal;20760;17445;3165;145;5;0;20755;20760;16905;3855
149;Totaal (ex. financieel of nutsbedrijven);2018;94485;80005;13810;605;65;0;94420;94485;77385;17105
150;Totaal (ex. financieel of nutsbedrijven);2019 1e kwartaal;31335;26555;4550;185;45;0;31295;31335;26350;4985
151;Totaal (ex. financieel of nutsbedrijven);2019 2e kwartaal;31360;26555;4535;230;35;5;31325;31355;25625;5735
152;Totaal (ex. financieel of nutsbedrijven);2019 3e kwartaal;16325;14240;1985;85;10;5;16310;16320;11940;4390
153;Totaal (ex. financieel of nutsbedrijven);2019 4e kwartaal;23520;20145;3205;150;15;5;23500;23515;19455;4065
154;Totaal (ex. financieel of nutsbedrijven);2019;102540;87500;14280;650;100;10;102430;102530;83370;19170
155;Totaal (ex. financieel of nutsbedrijven);2020 1e kwartaal;35955;32060;3705;155;30;5;35920;35950;30835;5120
156;Totaal (ex. financieel of nutsbedrijven);2020 2e kwartaal;25630;22370;3100;150;10;0;25620;25630;21300;4325
157;Totaal (ex. financieel of nutsbedrijven);2020 3e kwartaal;32285;29115;2990;155;25;0;32260;32285;26290;6000
158;Totaal (ex. financieel of nutsbedrijven);2020 4e kwartaal;31755;28620;2945;160;30;5;31725;31755;27410;4345
159;Totaal (ex. financieel of nutsbedrijven);2020;125625;112165;12740;615;95;10;125525;125615;105835;19790
160;Totaal (ex. financieel of nutsbedrijven);2021 1e kwartaal;27270;23215;3935;105;15;0;27255;27270;25445;1825
161;Totaal (ex. financieel of nutsbedrijven);2021 2e kwartaal;19055;16435;2540;70;5;0;19050;19055;18140;915
162;Totaal (ex. financieel of nutsbedrijven);2021 3e kwartaal;16695;14140;2475;80;5;0;16690;16695;15685;1010
163;Totaal (ex. financieel of nutsbedrijven);2021 4e kwartaal;20730;17450;3220;55;5;0;20725;20730;19410;1325
164;Totaal (ex. financieel of nutsbedrijven);2021;83755;71235;12170;310;35;0;83720;83750;78680;5075
165;Totaal (ex. financieel of nutsbedrijven);2022 1e kwartaal;42020;35770;6060;145;40;5;41975;42015;31815;10205
166;Totaal (ex. financieel of nutsbedrijven);2022 2e kwartaal;27720;22400;5230;85;5;5;27715;27720;24160;3560
167;Totaal (ex. financieel of nutsbedrijven);2022 3e kwartaal;23725;20255;3385;75;5;0;23715;23725;18695;5025
168;Totaal (ex. financieel of nutsbedrijven);2022 4e kwartaal;38670;34080;4435;140;10;0;38660;38670;27885;10790
169;Totaal (ex. financieel of nutsbedrijven);2022;132135;112505;19110;445;65;10;132065;132125;102555;29580
170;Totaal (ex. financieel of nutsbedrijven);2023 1e kwartaal;28170;24455;3590;95;25;0;28145;28170;24910;3260
171;Totaal (ex. financieel of nutsbedrijven);2023 2e kwartaal;28940;25125;3695;105;15;0;28930;28940;25295;3645
