ID;Geslacht;LeeftijdOp31December;Onderwijsniveau;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderLichamelijkeBeperkingen_3;LVZonderPsychischeKlachtenMHI5_4;LVZonderGALIBeperkingen_5
0;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2007/2010;79.0;57.4;65.0;70.3;
1;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2011/2014;79.6;57.8;65.5;69.7;
2;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2015/2018;79.3;57.1;65.3;68.6;52.9
3;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2017/2020;79.5;56.9;65.7;68.4;51.9
4;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Waarde;2019/2022;79.0;56.6;65.5;66.6;51.9
5;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2007/2010;78.9;56.5;;69.5;
6;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2011/2014;79.5;57.1;;69.0;
7;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2015/2018;79.2;56.3;;68.0;
8;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2017/2020;79.4;56.1;;67.7;
9;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Ondergrens 95%-interval;2019/2022;78.8;55.8;;65.8;
10;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2007/2010;79.1;58.3;;71.1;
11;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2011/2014;79.7;58.4;;70.4;
12;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2015/2018;79.4;57.8;;69.3;
13;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2017/2020;79.6;57.8;;69.1;
14;Totaal mannen en vrouwen;0 jaar;Basisonderwijs, vmbo, mbo1;Bovengrens 95%-interval;2019/2022;79.2;57.5;;67.4;
