ID;Perioden;BeeindigdeZaken_1;ZakenWaarinGeenHulpIsAanvaard_2;ZakenWaarinHulpIsAanvaard_3;ZakenZonderVervolgdiensten_4;TotaalZakenMetVervolgdiensten_5;GestructureerdeOpvang_6;AndereEmotioneleOndersteuning_7;Voegen_8;Fondsen_9;VerzekeringTegenpartij_10;BegeleidingBijStrafproces_11;BegeleidingBijSSVSpreekrecht_12;DoorverwijzenNaarExternePartij_13;PraktischeOndersteuning_14
0;2006;111128;30085;81037;;;     .;     .;     .;     .;     .;     .;     .;     .;     .
1;2007;133227;36856;96371;41955.0;54416.0;   8.0;  72.5;  15.8;   6.5;   7.7;  10.7;   5.7;  22.6;  32.3
2;2008;133609;63257;70352;12143.0;58209.0;   5.1;  74.8;  14.6;   5.7;   7.5;  10.3;   6.4;  17.9;  32.0
