ID;Transacties;InstitutioneleSectoren;Perioden;Overheidsuitgaven_1
0;Totaal overheidsuitgaven;Overheid;1995;180812
1;Totaal overheidsuitgaven;Overheid;1996;166162
2;Totaal overheidsuitgaven;Overheid;1997;171721
3;Totaal overheidsuitgaven;Overheid;1998;179165
4;Totaal overheidsuitgaven;Overheid;1999 1e kwartaal;44825
5;Totaal overheidsuitgaven;Overheid;1999 2e kwartaal;48591
6;Totaal overheidsuitgaven;Overheid;1999 3e kwartaal;44186
7;Totaal overheidsuitgaven;Overheid;1999 4e kwartaal;48420
8;Totaal overheidsuitgaven;Overheid;1999;186022
9;Totaal overheidsuitgaven;Overheid;2000 1e kwartaal;46969
10;Totaal overheidsuitgaven;Overheid;2000 2e kwartaal;50950
11;Totaal overheidsuitgaven;Overheid;2000 3e kwartaal;46096
12;Totaal overheidsuitgaven;Overheid;2000 4e kwartaal;51378
13;Totaal overheidsuitgaven;Overheid;2000;195393
14;Totaal overheidsuitgaven;Overheid;2001 1e kwartaal;50961
15;Totaal overheidsuitgaven;Overheid;2001 2e kwartaal;55328
16;Totaal overheidsuitgaven;Overheid;2001 3e kwartaal;50741
17;Totaal overheidsuitgaven;Overheid;2001 4e kwartaal;55828
18;Totaal overheidsuitgaven;Overheid;2001;212858
19;Totaal overheidsuitgaven;Overheid;2002 1e kwartaal;53936
20;Totaal overheidsuitgaven;Overheid;2002 2e kwartaal;58892
21;Totaal overheidsuitgaven;Overheid;2002 3e kwartaal;53585
22;Totaal overheidsuitgaven;Overheid;2002 4e kwartaal;58792
23;Totaal overheidsuitgaven;Overheid;2002;225205
24;Totaal overheidsuitgaven;Overheid;2003 1e kwartaal;56607
25;Totaal overheidsuitgaven;Overheid;2003 2e kwartaal;61371
26;Totaal overheidsuitgaven;Overheid;2003 3e kwartaal;56501
27;Totaal overheidsuitgaven;Overheid;2003 4e kwartaal;61099
28;Totaal overheidsuitgaven;Overheid;2003;235578
29;Totaal overheidsuitgaven;Overheid;2004 1e kwartaal;57321
30;Totaal overheidsuitgaven;Overheid;2004 2e kwartaal;61767
31;Totaal overheidsuitgaven;Overheid;2004 3e kwartaal;56423
32;Totaal overheidsuitgaven;Overheid;2004 4e kwartaal;61959
33;Totaal overheidsuitgaven;Overheid;2004;237470
34;Totaal overheidsuitgaven;Overheid;2005 1e kwartaal;56865
35;Totaal overheidsuitgaven;Overheid;2005 2e kwartaal;61993
36;Totaal overheidsuitgaven;Overheid;2005 3e kwartaal;56935
37;Totaal overheidsuitgaven;Overheid;2005 4e kwartaal;64374
38;Totaal overheidsuitgaven;Overheid;2005;240167
39;Totaal overheidsuitgaven;Overheid;2006 1e kwartaal;61645
40;Totaal overheidsuitgaven;Overheid;2006 2e kwartaal;66819
41;Totaal overheidsuitgaven;Overheid;2006 3e kwartaal;61711
42;Totaal overheidsuitgaven;Overheid;2006 4e kwartaal;68077
43;Totaal overheidsuitgaven;Overheid;2006;258252
44;Totaal overheidsuitgaven;Overheid;2007 1e kwartaal;64756
45;Totaal overheidsuitgaven;Overheid;2007 2e kwartaal;69748
46;Totaal overheidsuitgaven;Overheid;2007 3e kwartaal;64013
47;Totaal overheidsuitgaven;Overheid;2007 4e kwartaal;70949
48;Totaal overheidsuitgaven;Overheid;2007;269466
49;Totaal overheidsuitgaven;Overheid;2008 1e kwartaal;70395
50;Totaal overheidsuitgaven;Overheid;2008 2e kwartaal;74412
51;Totaal overheidsuitgaven;Overheid;2008 3e kwartaal;67495
52;Totaal overheidsuitgaven;Overheid;2008 4e kwartaal;75958
53;Totaal overheidsuitgaven;Overheid;2008;288260
54;Totaal overheidsuitgaven;Overheid;2009 1e kwartaal;74004
55;Totaal overheidsuitgaven;Overheid;2009 2e kwartaal;76748
56;Totaal overheidsuitgaven;Overheid;2009 3e kwartaal;74088
57;Totaal overheidsuitgaven;Overheid;2009 4e kwartaal;80336
58;Totaal overheidsuitgaven;Overheid;2009;305176
59;Totaal overheidsuitgaven;Overheid;2010 1e kwartaal;75992
60;Totaal overheidsuitgaven;Overheid;2010 2e kwartaal;81952
61;Totaal overheidsuitgaven;Overheid;2010 3e kwartaal;75151
62;Totaal overheidsuitgaven;Overheid;2010 4e kwartaal;81128
63;Totaal overheidsuitgaven;Overheid;2010;314223
64;Totaal overheidsuitgaven;Overheid;2011 1e kwartaal;76470
65;Totaal overheidsuitgaven;Overheid;2011 2e kwartaal;81573
66;Totaal overheidsuitgaven;Overheid;2011 3e kwartaal;75052
67;Totaal overheidsuitgaven;Overheid;2011 4e kwartaal;80321
68;Totaal overheidsuitgaven;Overheid;2011;313416
69;Totaal overheidsuitgaven;Overheid;2012 1e kwartaal;75346
70;Totaal overheidsuitgaven;Overheid;2012 2e kwartaal;82043
71;Totaal overheidsuitgaven;Overheid;2012 3e kwartaal;75587
72;Totaal overheidsuitgaven;Overheid;2012 4e kwartaal;80622
73;Totaal overheidsuitgaven;Overheid;2012;313598
74;Totaal overheidsuitgaven;Overheid;2013 1e kwartaal;76955
75;Totaal overheidsuitgaven;Overheid;2013 2e kwartaal;82362
76;Totaal overheidsuitgaven;Overheid;2013 3e kwartaal;76434
77;Totaal overheidsuitgaven;Overheid;2013 4e kwartaal;80674
78;Totaal overheidsuitgaven;Overheid;2013;316425
79;Totaal overheidsuitgaven;Overheid;2014 1e kwartaal;77566
80;Totaal overheidsuitgaven;Overheid;2014 2e kwartaal;83314
81;Totaal overheidsuitgaven;Overheid;2014 3e kwartaal;75433
82;Totaal overheidsuitgaven;Overheid;2014 4e kwartaal;80873
83;Totaal overheidsuitgaven;Overheid;2014;317186
84;Totaal overheidsuitgaven;Overheid;2015 1e kwartaal;77472
85;Totaal overheidsuitgaven;Overheid;2015 2e kwartaal;82975
86;Totaal overheidsuitgaven;Overheid;2015 3e kwartaal;75589
87;Totaal overheidsuitgaven;Overheid;2015 4e kwartaal;80353
88;Totaal overheidsuitgaven;Overheid;2015;316389
89;Totaal overheidsuitgaven;Overheid;2016 1e kwartaal;77374
90;Totaal overheidsuitgaven;Overheid;2016 2e kwartaal;83430
91;Totaal overheidsuitgaven;Overheid;2016 3e kwartaal;76626
92;Totaal overheidsuitgaven;Overheid;2016 4e kwartaal;78849
93;Totaal overheidsuitgaven;Overheid;2016;316279
94;Totaal overheidsuitgaven;Overheid;2017 1e kwartaal;77798
95;Totaal overheidsuitgaven;Overheid;2017 2e kwartaal;84121
96;Totaal overheidsuitgaven;Overheid;2017 3e kwartaal;77386
97;Totaal overheidsuitgaven;Overheid;2017 4e kwartaal;81754
98;Totaal overheidsuitgaven;Overheid;2017;321059
99;Totaal overheidsuitgaven;Overheid;2018 1e kwartaal;79904
100;Totaal overheidsuitgaven;Overheid;2018 2e kwartaal;86989
101;Totaal overheidsuitgaven;Overheid;2018 3e kwartaal;80320
102;Totaal overheidsuitgaven;Overheid;2018 4e kwartaal;86930
103;Totaal overheidsuitgaven;Overheid;2018;334143
104;Totaal overheidsuitgaven;Overheid;2019 1e kwartaal;84689
105;Totaal overheidsuitgaven;Overheid;2019 2e kwartaal;90456
106;Totaal overheidsuitgaven;Overheid;2019 3e kwartaal;85072
107;Totaal overheidsuitgaven;Overheid;2019 4e kwartaal;89101
108;Totaal overheidsuitgaven;Overheid;2019;349318
109;Totaal overheidsuitgaven;Overheid;2020 1e kwartaal;88725
110;Totaal overheidsuitgaven;Overheid;2020 2e kwartaal;104487
111;Totaal overheidsuitgaven;Overheid;2020 3e kwartaal;93086
112;Totaal overheidsuitgaven;Overheid;2020 4e kwartaal;104079
113;Totaal overheidsuitgaven;Overheid;2020;390377
114;Totaal overheidsuitgaven;Overheid;2021 1e kwartaal;99020
115;Totaal overheidsuitgaven;Overheid;2021 2e kwartaal;105405
116;Totaal overheidsuitgaven;Overheid;2021 3e kwartaal;97283
117;Totaal overheidsuitgaven;Overheid;2021 4e kwartaal;107463
118;Totaal overheidsuitgaven;Overheid;2021;409171
119;Totaal overheidsuitgaven;Overheid;2022 1e kwartaal;99332
120;Totaal overheidsuitgaven;Overheid;2022 2e kwartaal;107931
121;Totaal overheidsuitgaven;Overheid;2022 3e kwartaal;106097
122;Totaal overheidsuitgaven;Overheid;2022 4e kwartaal;116386
123;Totaal overheidsuitgaven;Overheid;2022;429746
124;Totaal overheidsuitgaven;Overheid;2023 1e kwartaal;108411
125;Totaal overheidsuitgaven;Overheid;2023 2e kwartaal;119624
126;Totaal overheidsuitgaven;Overheid;2023 3e kwartaal;112105
127;Totaal overheidsuitgaven;Overheid;2023 4e kwartaal;121077
128;Totaal overheidsuitgaven;Overheid;2023;461217
129;Totaal overheidsuitgaven;Overheid;2024 1e kwartaal;114404
130;Totaal overheidsuitgaven;Overheid;2024 2e kwartaal;129663
131;Totaal overheidsuitgaven;Overheid;2024 3e kwartaal;120731
132;Totaal overheidsuitgaven;Overheid;2024 4e kwartaal;132622
133;Totaal overheidsuitgaven;Overheid;2024;497420
134;Totaal overheidsuitgaven;Centrale overheid;1995;111273
135;Totaal overheidsuitgaven;Centrale overheid;1996;97059
136;Totaal overheidsuitgaven;Centrale overheid;1997;103056
137;Totaal overheidsuitgaven;Centrale overheid;1998;104535
138;Totaal overheidsuitgaven;Centrale overheid;1999 1e kwartaal;27172
139;Totaal overheidsuitgaven;Centrale overheid;1999 2e kwartaal;26738
140;Totaal overheidsuitgaven;Centrale overheid;1999 3e kwartaal;26165
141;Totaal overheidsuitgaven;Centrale overheid;1999 4e kwartaal;28231
142;Totaal overheidsuitgaven;Centrale overheid;1999;108306
143;Totaal overheidsuitgaven;Centrale overheid;2000 1e kwartaal;27774
144;Totaal overheidsuitgaven;Centrale overheid;2000 2e kwartaal;29083
145;Totaal overheidsuitgaven;Centrale overheid;2000 3e kwartaal;26948
146;Totaal overheidsuitgaven;Centrale overheid;2000 4e kwartaal;30233
147;Totaal overheidsuitgaven;Centrale overheid;2000;114038
148;Totaal overheidsuitgaven;Centrale overheid;2001 1e kwartaal;30570
149;Totaal overheidsuitgaven;Centrale overheid;2001 2e kwartaal;32370
150;Totaal overheidsuitgaven;Centrale overheid;2001 3e kwartaal;30586
151;Totaal overheidsuitgaven;Centrale overheid;2001 4e kwartaal;33554
152;Totaal overheidsuitgaven;Centrale overheid;2001;127080
153;Totaal overheidsuitgaven;Centrale overheid;2002 1e kwartaal;32778
154;Totaal overheidsuitgaven;Centrale overheid;2002 2e kwartaal;34593
155;Totaal overheidsuitgaven;Centrale overheid;2002 3e kwartaal;32417
156;Totaal overheidsuitgaven;Centrale overheid;2002 4e kwartaal;34651
157;Totaal overheidsuitgaven;Centrale overheid;2002;134439
158;Totaal overheidsuitgaven;Centrale overheid;2003 1e kwartaal;34671
159;Totaal overheidsuitgaven;Centrale overheid;2003 2e kwartaal;37099
160;Totaal overheidsuitgaven;Centrale overheid;2003 3e kwartaal;33975
161;Totaal overheidsuitgaven;Centrale overheid;2003 4e kwartaal;35908
162;Totaal overheidsuitgaven;Centrale overheid;2003;141653
163;Totaal overheidsuitgaven;Centrale overheid;2004 1e kwartaal;35633
164;Totaal overheidsuitgaven;Centrale overheid;2004 2e kwartaal;37052
165;Totaal overheidsuitgaven;Centrale overheid;2004 3e kwartaal;32974
166;Totaal overheidsuitgaven;Centrale overheid;2004 4e kwartaal;35364
167;Totaal overheidsuitgaven;Centrale overheid;2004;141023
168;Totaal overheidsuitgaven;Centrale overheid;2005 1e kwartaal;34972
169;Totaal overheidsuitgaven;Centrale overheid;2005 2e kwartaal;37220
170;Totaal overheidsuitgaven;Centrale overheid;2005 3e kwartaal;33432
171;Totaal overheidsuitgaven;Centrale overheid;2005 4e kwartaal;37676
172;Totaal overheidsuitgaven;Centrale overheid;2005;143300
173;Totaal overheidsuitgaven;Centrale overheid;2006 1e kwartaal;35517
174;Totaal overheidsuitgaven;Centrale overheid;2006 2e kwartaal;41361
175;Totaal overheidsuitgaven;Centrale overheid;2006 3e kwartaal;35391
176;Totaal overheidsuitgaven;Centrale overheid;2006 4e kwartaal;39702
177;Totaal overheidsuitgaven;Centrale overheid;2006;151971
178;Totaal overheidsuitgaven;Centrale overheid;2007 1e kwartaal;39432
179;Totaal overheidsuitgaven;Centrale overheid;2007 2e kwartaal;40533
180;Totaal overheidsuitgaven;Centrale overheid;2007 3e kwartaal;39684
181;Totaal overheidsuitgaven;Centrale overheid;2007 4e kwartaal;42048
182;Totaal overheidsuitgaven;Centrale overheid;2007;161697
183;Totaal overheidsuitgaven;Centrale overheid;2008 1e kwartaal;43619
184;Totaal overheidsuitgaven;Centrale overheid;2008 2e kwartaal;43744
185;Totaal overheidsuitgaven;Centrale overheid;2008 3e kwartaal;44909
186;Totaal overheidsuitgaven;Centrale overheid;2008 4e kwartaal;43108
187;Totaal overheidsuitgaven;Centrale overheid;2008;175380
188;Totaal overheidsuitgaven;Centrale overheid;2009 1e kwartaal;45455
189;Totaal overheidsuitgaven;Centrale overheid;2009 2e kwartaal;45008
190;Totaal overheidsuitgaven;Centrale overheid;2009 3e kwartaal;45693
191;Totaal overheidsuitgaven;Centrale overheid;2009 4e kwartaal;48505
192;Totaal overheidsuitgaven;Centrale overheid;2009;184661
193;Totaal overheidsuitgaven;Centrale overheid;2010 1e kwartaal;47062
194;Totaal overheidsuitgaven;Centrale overheid;2010 2e kwartaal;48749
195;Totaal overheidsuitgaven;Centrale overheid;2010 3e kwartaal;45097
196;Totaal overheidsuitgaven;Centrale overheid;2010 4e kwartaal;53253
197;Totaal overheidsuitgaven;Centrale overheid;2010;194161
198;Totaal overheidsuitgaven;Centrale overheid;2011 1e kwartaal;46937
199;Totaal overheidsuitgaven;Centrale overheid;2011 2e kwartaal;47724
200;Totaal overheidsuitgaven;Centrale overheid;2011 3e kwartaal;44372
201;Totaal overheidsuitgaven;Centrale overheid;2011 4e kwartaal;48294
202;Totaal overheidsuitgaven;Centrale overheid;2011;187327
203;Totaal overheidsuitgaven;Centrale overheid;2012 1e kwartaal;46214
204;Totaal overheidsuitgaven;Centrale overheid;2012 2e kwartaal;48058
205;Totaal overheidsuitgaven;Centrale overheid;2012 3e kwartaal;43670
206;Totaal overheidsuitgaven;Centrale overheid;2012 4e kwartaal;50811
207;Totaal overheidsuitgaven;Centrale overheid;2012;188753
208;Totaal overheidsuitgaven;Centrale overheid;2013 1e kwartaal;45619
209;Totaal overheidsuitgaven;Centrale overheid;2013 2e kwartaal;45718
210;Totaal overheidsuitgaven;Centrale overheid;2013 3e kwartaal;42614
211;Totaal overheidsuitgaven;Centrale overheid;2013 4e kwartaal;50506
212;Totaal overheidsuitgaven;Centrale overheid;2013;184457
213;Totaal overheidsuitgaven;Centrale overheid;2014 1e kwartaal;46272
214;Totaal overheidsuitgaven;Centrale overheid;2014 2e kwartaal;47430
215;Totaal overheidsuitgaven;Centrale overheid;2014 3e kwartaal;43554
216;Totaal overheidsuitgaven;Centrale overheid;2014 4e kwartaal;50919
217;Totaal overheidsuitgaven;Centrale overheid;2014;188175
218;Totaal overheidsuitgaven;Centrale overheid;2015 1e kwartaal;47876
219;Totaal overheidsuitgaven;Centrale overheid;2015 2e kwartaal;48969
220;Totaal overheidsuitgaven;Centrale overheid;2015 3e kwartaal;44860
221;Totaal overheidsuitgaven;Centrale overheid;2015 4e kwartaal;52308
222;Totaal overheidsuitgaven;Centrale overheid;2015;194013
223;Totaal overheidsuitgaven;Centrale overheid;2016 1e kwartaal;49105
224;Totaal overheidsuitgaven;Centrale overheid;2016 2e kwartaal;49545
225;Totaal overheidsuitgaven;Centrale overheid;2016 3e kwartaal;45863
226;Totaal overheidsuitgaven;Centrale overheid;2016 4e kwartaal;49924
227;Totaal overheidsuitgaven;Centrale overheid;2016;194437
228;Totaal overheidsuitgaven;Centrale overheid;2017 1e kwartaal;48107
229;Totaal overheidsuitgaven;Centrale overheid;2017 2e kwartaal;49332
230;Totaal overheidsuitgaven;Centrale overheid;2017 3e kwartaal;45643
231;Totaal overheidsuitgaven;Centrale overheid;2017 4e kwartaal;50259
232;Totaal overheidsuitgaven;Centrale overheid;2017;193341
233;Totaal overheidsuitgaven;Centrale overheid;2018 1e kwartaal;48963
234;Totaal overheidsuitgaven;Centrale overheid;2018 2e kwartaal;50784
235;Totaal overheidsuitgaven;Centrale overheid;2018 3e kwartaal;47713
236;Totaal overheidsuitgaven;Centrale overheid;2018 4e kwartaal;54432
237;Totaal overheidsuitgaven;Centrale overheid;2018;201892
238;Totaal overheidsuitgaven;Centrale overheid;2019 1e kwartaal;52662
239;Totaal overheidsuitgaven;Centrale overheid;2019 2e kwartaal;53834
240;Totaal overheidsuitgaven;Centrale overheid;2019 3e kwartaal;53375
241;Totaal overheidsuitgaven;Centrale overheid;2019 4e kwartaal;54423
242;Totaal overheidsuitgaven;Centrale overheid;2019;214294
243;Totaal overheidsuitgaven;Centrale overheid;2020 1e kwartaal;58105
244;Totaal overheidsuitgaven;Centrale overheid;2020 2e kwartaal;66746
245;Totaal overheidsuitgaven;Centrale overheid;2020 3e kwartaal;59762
246;Totaal overheidsuitgaven;Centrale overheid;2020 4e kwartaal;69665
247;Totaal overheidsuitgaven;Centrale overheid;2020;254278
248;Totaal overheidsuitgaven;Centrale overheid;2021 1e kwartaal;68613
249;Totaal overheidsuitgaven;Centrale overheid;2021 2e kwartaal;69656
250;Totaal overheidsuitgaven;Centrale overheid;2021 3e kwartaal;65736
251;Totaal overheidsuitgaven;Centrale overheid;2021 4e kwartaal;70938
252;Totaal overheidsuitgaven;Centrale overheid;2021;274943
253;Totaal overheidsuitgaven;Centrale overheid;2022 1e kwartaal;67699
254;Totaal overheidsuitgaven;Centrale overheid;2022 2e kwartaal;69914
255;Totaal overheidsuitgaven;Centrale overheid;2022 3e kwartaal;73566
256;Totaal overheidsuitgaven;Centrale overheid;2022 4e kwartaal;79419
257;Totaal overheidsuitgaven;Centrale overheid;2022;290598
258;Totaal overheidsuitgaven;Centrale overheid;2023 1e kwartaal;87459
259;Totaal overheidsuitgaven;Centrale overheid;2023 2e kwartaal;76690
260;Totaal overheidsuitgaven;Centrale overheid;2023 3e kwartaal;73271
261;Totaal overheidsuitgaven;Centrale overheid;2023 4e kwartaal;81530
262;Totaal overheidsuitgaven;Centrale overheid;2023;318950
263;Totaal overheidsuitgaven;Centrale overheid;2024 1e kwartaal;76566
264;Totaal overheidsuitgaven;Centrale overheid;2024 2e kwartaal;86641
265;Totaal overheidsuitgaven;Centrale overheid;2024 3e kwartaal;83029
266;Totaal overheidsuitgaven;Centrale overheid;2024 4e kwartaal;92258
267;Totaal overheidsuitgaven;Centrale overheid;2024;338494
268;Totaal overheidsuitgaven;Rijksoverheid;1995;106559
269;Totaal overheidsuitgaven;Rijksoverheid;1996;92184
270;Totaal overheidsuitgaven;Rijksoverheid;1997;97726
271;Totaal overheidsuitgaven;Rijksoverheid;1998;98911
272;Totaal overheidsuitgaven;Rijksoverheid;1999 1e kwartaal;26020
273;Totaal overheidsuitgaven;Rijksoverheid;1999 2e kwartaal;24774
274;Totaal overheidsuitgaven;Rijksoverheid;1999 3e kwartaal;24819
275;Totaal overheidsuitgaven;Rijksoverheid;1999 4e kwartaal;26936
276;Totaal overheidsuitgaven;Rijksoverheid;1999;102549
277;Totaal overheidsuitgaven;Rijksoverheid;2000 1e kwartaal;26229
278;Totaal overheidsuitgaven;Rijksoverheid;2000 2e kwartaal;27527
279;Totaal overheidsuitgaven;Rijksoverheid;2000 3e kwartaal;25342
280;Totaal overheidsuitgaven;Rijksoverheid;2000 4e kwartaal;28638
