ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;TotaalMannenEnVrouwenRelatief_8;Mannen_9;Vrouwen_10;TotaalMannenEnVrouwen_11;TotaalMannenEnVrouwenRelatief_12;Mannen_13;Vrouwen_14
0;0;5370746;100.0;760;100.0;529;231;75;100.0;56;19;12;100.0;11;1
1;1;10113;0.2;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
2;2;36538;0.7;2;0.3;2;0;0;0.0;0;0;0;0.0;0;0
3;3;23498;0.4;2;0.3;2;0;0;0.0;0;0;0;0.0;0;0
4;4;19811;0.4;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
5;5;1309960;24.4;194;25.5;135;59;26;34.7;21;5;4;33.3;4;0
6;6;3434;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
7;7;7556;0.1;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
8;8;315710;5.9;39;5.1;22;17;0;0.0;0;0;2;16.7;2;0
9;9;3734;0.1;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
10;FEDERATIE B.O.F.;14097;0.3;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
11;Federatie Gemeentebelangen Frl.;5267;0.1;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
12;Fryske Nasjonale Partij;21333;0.4;4;0.5;3;1;0;0.0;0;0;0;0.0;0;0
13;GELOVIG DEMOCRATISCHE UNIE;258;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
14;Gereformeerd Politiek Verbond;36454;0.7;8;1.1;7;1;0;0.0;0;0;0;0.0;0;0
15;GPV/RPF;148161;2.8;23;3.0;18;5;0;0.0;0;0;0;0.0;0;0
16;GPV/RPF/SGP;33624;0.6;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
17;GROENLINKS;532752;9.9;73;9.6;46;27;1;1.3;1;0;0;0.0;0;0
18;GROENLINKS/DELTA ANDERS;11310;0.2;4;0.5;2;2;0;0.0;0;0;0;0.0;0;0
19;Het Nederlands Blok;3400;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
20;Islamitische Partij Nederland;646;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
21;Leefbaar Gelderland/De Groenen;8676;0.2;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
22;LEEFBAAR OVERIJSSEL/De Groenen;4760;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
23;LIJST LINSSEN;3423;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
24;Natuurwetpartij;1336;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
25;NEDERLAND-MOBIEL;36985;0.7;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
26;Nieuwe Communistische Partij-NCPN;4081;0.1;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
27;Noord-Holland Anders/De Groenen;17564;0.3;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
28;Onafhankelijke Partij Provincie Gr.;854;0.0;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
29;Onafhankelijke Partijen Drenthe O.P.D.;10503;0.2;3;0.4;2;1;0;0.0;0;0;0;0.0;0;0
30;Onafhankelijken Zuid-Holland;23168;0.4;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
31;OUDEREN-UNIE 55+;10036;0.2;0;0.0;0;0;0;0.0;0;0;0;0.0;0;0
32;OUDEREN-UNIE 55+/S.O.L.;8054;0.1;1;0.1;0;1;0;0.0;0;0;0;0.0;0;0
33;Partij Nieuw Gelderland (Fed Lok Gr);11537;0.2;1;0.1;1;0;0;0.0;0;0;0;0.0;0;0
34;Partij Nieuw Limburg;34657;0.6;6;0.8;5;1;0;0.0;0;0;0;0.0;0;0
35;Partij van de Arbeid;1018821;19.0;154;20.3;95;59;27;36.0;17;10;3;25.0;3;0
36;PARTIJ VOOR ZEELAND;10813;0.2;4;0.5;4;0;0;0.0;0;0;0;0.0;0;0
37;Reformatorische Politieke Federatie;19803;0.4;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
38;RPF/SGP;15344;0.3;3;0.4;3;0;0;0.0;0;0;0;0.0;0;0
39;Socialistische Partij;175112;3.3;19;2.5;12;7;0;0.0;0;0;0;0.0;0;0
40;Staatkundig Gereformeerde Partij;142711;2.7;22;2.9;22;0;1;1.3;1;0;0;0.0;0;0
41;Volkspartij voor Vrijheid en Democratie;1274852;23.7;182;23.9;132;50;20;26.7;16;4;3;25.0;2;1
