ID;Provincie;Jaren;Roomkatholiek_1;NederlandsHervormd_2;Gereformeerd_3;OverigeGezindte_4;GeenKerklijkeGezindte_5
0;Groningen(PV);1849;7.0;81.0;6.0;6;0
1;Groningen(PV);1859;7.0;79.0;8.0;5;0
2;Groningen(PV);1869;7.0;77.0;11.0;5;0
3;Groningen(PV);1879;7.0;74.0;13.0;6;1
4;Groningen(PV);1889;7.0;67.0;16.0;6;3
5;Groningen(PV);1899;7.0;66.0;16.0;6;4
6;Groningen(PV);1909;6.0;60.0;19.0;6;9
7;Groningen(PV);1920;6.0;58.0;19.0;4;11
8;Groningen(PV);1930;5.0;48.0;19.0;5;22
9;Groningen(PV);1947;6.0;42.0;21.0;12;27
10;Groningen(PV);1960;7.0;39.0;20.0;5;29
11;Groningen(PV);1971;7.0;28.0;16.0;5;39
12;Groningen(PV);1983;7.0;19.0;21.0;6;48
13;Groningen(PV);1987;5.0;24.0;13.0;7;53
14;Groningen(PV);1991;6.0;21.0;19.0;7;47
15;Groningen(PV);1995;4.0;12.0;17.0;9;58
16;Groningen(PV);1997;6.0;14.0;17.0;8;55
17;Groningen(PV);1999;7.0;14.0;15.0;6;59
18;Friesland;1849;9.0;82.0;2.0;7;0
19;Friesland;1859;8.0;2.0;3.0;7;0
20;Friesland;1869;8.0;80.0;5.0;7;0
21;Friesland;1879;8.0;78.0;7.0;7;1
22;Friesland;1889;8.0;61.0;18.0;9;4
23;Friesland;1899;7.0;60.0;18.0;6;7
24;Friesland;1909;7.0;54.0;22.0;5;12
25;Friesland;1920;7.0;52.0;21.0;5;13
26;Friesland;1930;7.0;42.0;22.0;6;23
27;Friesland;1947;7.0;40.0;24.0;10;23
28;Friesland;1960;8.0;38.0;24.0;8;24
29;Friesland;1971;8.0;30.0;22.0;9;31
30;Friesland;1983;8.0;27.0;22.0;6;35
31;Friesland;1987;8.0;24.0;25.0;7;34
32;Friesland;1991;10.0;20.0;27.0;6;37
33;Friesland;1995;6.0;22.0;23.0;7;42
34;Friesland;1997;7.0;20.0;20.0;9;45
35;Friesland;1999;8.0;19.0;20.0;7;47
36;Drenthe;1849;6.0;85.0;6.0;3;0
37;Drenthe;1859;5.0;84.0;8.0;3;0
38;Drenthe;1869;6.0;82.0;10.0;2;0
39;Drenthe;1879;5.0;80.0;11.0;3;0
40;Drenthe;1889;6.0;77.0;13.0;3;1
41;Drenthe;1899;6.0;75.0;13.0;3;1
42;Drenthe;1909;6.0;72.0;15.0;3;4
43;Drenthe;1920;6.0;70.0;15.0;4;5
44;Drenthe;1930;6.0;64.0;14.0;5;11
45;Drenthe;1947;7.0;60.0;16.0;9;13
46;Drenthe;1960;8.0;56.0;16.0;7;16
47;Drenthe;1971;10.0;42.0;13.0;9;27
48;Drenthe;1983;9.0;36.0;21.0;5;26
49;Drenthe;1987;6.0;30.0;16.0;6;39
50;Drenthe;1991;10.0;27.0;11.0;4;48
51;Drenthe;1995;10.0;26.0;15.0;5;44
52;Drenthe;1997;7.0;24.0;13.0;6;50
53;Drenthe;1999;8.0;22.0;13.0;6;49
54;Overijssel;1849;32.0;62.0;2.0;3;0
55;Overijssel;1859;31.0;63.0;3.0;4;0
56;Overijssel;1869;30.0;63.0;4.0;3;0
57;Overijssel;1879;28.0;63.0;5.0;3;0
58;Overijssel;1889;27.0;60.0;9.0;3;1
59;Overijssel;1899;27.0;59.0;9.0;4;1
60;Overijssel;1909;26.0;56.0;10.0;5;3
61;Overijssel;1920;28.0;53.0;9.0;3;5
62;Overijssel;1930;28.0;45.0;9.0;4;12
63;Overijssel;1947;30.0;41.0;12.0;10;13
64;Overijssel;1960;32.0;37.0;12.0;6;15
65;Overijssel;1971;32.0;31.0;8.0;10;20
66;Overijssel;1983;31.0;26.0;12.0;6;26
67;Overijssel;1987;27.0;27.0;9.0;5;27
68;Overijssel;1991;27.0;25.0;11.0;6;31
69;Overijssel;1995;32.0;25.0;9.0;4;30
70;Overijssel;1997;28.0;21.0;10.0;8;34
71;Overijssel;1999;27.0;21.0;11.0;7;35
72;Flevoland;1849;0.0;0.0;0.0;0;0
73;Flevoland;1859;0.0;0.0;0.0;0;0
74;Flevoland;1869;0.0;0.0;0.0;0;0
75;Flevoland;1879;0.0;0.0;0.0;0;0
76;Flevoland;1889;0.0;0.0;0.0;0;0
77;Flevoland;1899;0.0;0.0;0.0;0;0
78;Flevoland;1909;0.0;0.0;0.0;0;0
79;Flevoland;1920;0.0;0.0;0.0;0;0
80;Flevoland;1930;0.0;0.0;0.0;0;0
81;Flevoland;1947;0.0;0.0;0.0;0;0
82;Flevoland;1960;;;;0;0
83;Flevoland;1971;23.0;31.0;21.0;3;22
84;Flevoland;1983;16.0;16.0;15.0;4;51
85;Flevoland;1987;26.0;11.0;8.0;9;46
86;Flevoland;1991;18.0;16.0;26.0;10;30
87;Flevoland;1995;12.0;10.0;9.0;5;63
88;Flevoland;1997;13.0;13.0;16.0;9;48
89;Flevoland;1999;13.0;12.0;13.0;11;54
90;Gelderland;1849;38.0;59.0;1.0;2;0
91;Gelderland;1859;37.0;60.0;1.0;2;0
92;Gelderland;1869;37.0;60.0;1.0;2;0
93;Gelderland;1879;37.0;60.0;1.0;2;0
94;Gelderland;1889;35.0;56.0;5.0;3;0
95;Gelderland;1899;36.0;56.0;5.0;3;1
96;Gelderland;1909;35.0;53.0;7.0;3;2
97;Gelderland;1920;36.0;52.0;6.0;3;3
98;Gelderland;1930;37.0;47.0;6.0;3;6
99;Gelderland;1947;38.0;44.0;8.0;7;7
100;Gelderland;1960;39.0;40.0;8.0;7;9
101;Gelderland;1971;38.0;35.0;6.0;7;14
102;Gelderland;1983;34.0;28.0;8.0;6;23
103;Gelderland;1987;31.0;31.0;5.0;9;26
104;Gelderland;1991;28.0;29.0;7.0;6;30
105;Gelderland;1995;29.0;27.0;8.0;9;27
106;Gelderland;1997;31.0;22.0;7.0;7;33
107;Gelderland;1999;29.0;23.0;8.0;6;35
108;Utrecht (PV);1849;38.0;58.0;1.0;4;0
109;Utrecht (PV);1859;37.0;58.0;1.0;4;0
110;Utrecht (PV);1869;36.0;58.0;1.0;4;0
111;Utrecht (PV);1879;36.0;59.0;1.0;4;0
112;Utrecht (PV);1889;34.0;53.0;8.0;4;0
113;Utrecht (PV);1899;33.0;54.0;8.0;4;1
114;Utrecht (PV);1909;32.0;51.0;10.0;4;2
115;Utrecht (PV);1920;32.0;48.0;9.0;5;6
116;Utrecht (PV);1930;31.0;42.0;9.0;5;12
117;Utrecht (PV);1947;32.0;39.0;11.0;11;14
118;Utrecht (PV);1960;32.0;36.0;11.0;8;17
119;Utrecht (PV);1971;31.0;29.0;8.0;11;23
120;Utrecht (PV);1983;29.0;22.0;10.0;7;31
121;Utrecht (PV);1987;24.0;21.0;9.0;11;36
122;Utrecht (PV);1991;25.0;21.0;10.0;7;37
123;Utrecht (PV);1995;23.0;16.0;9.0;10;42
124;Utrecht (PV);1997;20.0;17.0;10.0;10;43
125;Utrecht (PV);1999;20.0;18.0;9.0;9;45
126;Noord-Holland;1849;28.0;56.0;0.0;16;0
127;Noord-Holland;1859;27.0;54.0;1.0;17;0
128;Noord-Holland;1869;27.0;54.0;1.0;18;0
129;Noord-Holland;1879;27.0;53.0;2.0;18;0
130;Noord-Holland;1889;27.0;46.0;6.0;19;2
131;Noord-Holland;1899;27.0;46.0;6.0;17;4
132;Noord-Holland;1909;28.0;40.0;6.0;16;9
133;Noord-Holland;1920;27.0;34.0;6.0;7;17
134;Noord-Holland;1930;27.0;26.0;5.0;6;29
135;Noord-Holland;1947;29.0;23.0;7.0;10;34
136;Noord-Holland;1960;31.0;20.0;7.0;7;37
137;Noord-Holland;1971;30.0;15.0;6.0;9;41
138;Noord-Holland;1983;25.0;12.0;6.0;7;50
139;Noord-Holland;1987;25.0;10.0;6.0;9;50
140;Noord-Holland;1991;25.0;10.0;5.0;6;54
141;Noord-Holland;1995;24.0;8.0;4.0;10;54
142;Noord-Holland;1997;22.0;8.0;5.0;11;55
143;Noord-Holland;1999;20.0;7.0;3.0;12;59
144;Zuid-Holland;1849;25.0;69.0;1.0;5;0
145;Zuid-Holland;1859;24.0;70.0;1.0;5;0
146;Zuid-Holland;1869;24.0;68.0;3.0;5;0
147;Zuid-Holland;1879;24.0;68.0;3.0;5;0
148;Zuid-Holland;1889;24.0;61.0;9.0;5;1
149;Zuid-Holland;1899;24.0;60.0;9.0;5;2
150;Zuid-Holland;1909;24.0;54.0;11.0;5;5
151;Zuid-Holland;1920;24.0;51.0;10.0;4;8
152;Zuid-Holland;1930;24.0;43.0;9.0;4;17
153;Zuid-Holland;1947;25.0;39.0;12.0;9;21
154;Zuid-Holland;1960;25.0;36.0;11.0;6;23
155;Zuid-Holland;1971;24.0;30.0;8.0;9;29
156;Zuid-Holland;1983;19.0;29.0;9.0;8;37
157;Zuid-Holland;1987;20.0;25.0;8.0;10;39
158;Zuid-Holland;1991;22.0;19.0;7.0;9;43
159;Zuid-Holland;1995;17.0;20.0;6.0;11;46
160;Zuid-Holland;1997;17.0;18.0;8.0;12;46
161;Zuid-Holland;1999;18.0;17.0;7.0;11;47
162;Zeeland;1849;26.0;71.0;1.0;2;0
163;Zeeland;1859;26.0;69.0;3.0;1;0
164;Zeeland;1869;26.0;68.0;5.0;1;0
165;Zeeland;1879;26.0;66.0;7.0;1;0
166;Zeeland;1889;25.0;60.0;11.0;3;1
167;Zeeland;1899;25.0;58.0;11.0;3;1
168;Zeeland;1909;25.0;54.0;13.0;6;2
169;Zeeland;1920;26.0;53.0;11.0;2;3
170;Zeeland;1930;25.0;48.0;11.0;2;6
171;Zeeland;1947;26.0;46.0;20.0;13;7
172;Zeeland;1960;27.0;43.0;20.0;6;8
173;Zeeland;1971;27.0;38.0;11.0;6;13
174;Zeeland;1983;27.0;34.0;11.0;6;23
175;Zeeland;1987;24.0;32.0;7.0;11;31
176;Zeeland;1991;28.0;26.0;11.0;7;28
177;Zeeland;1995;28.0;25.0;12.0;10;25
178;Zeeland;1997;23.0;25.0;15.0;5;34
179;Zeeland;1999;23.0;23.0;12.0;7;35
180;Noord-Branbant;1849;88.0;11.0;1.0;1;0
181;Noord-Branbant;1859;88.0;11.0;1.0;1;0
182;Noord-Branbant;1869;88.0;10.0;1.0;1;0
183;Noord-Branbant;1879;88.0;10.0;1.0;1;0
184;Noord-Branbant;1889;88.0;9.0;2.0;1;0
185;Noord-Branbant;1899;88.0;9.0;2.0;1;0
186;Noord-Branbant;1909;88.0;8.0;2.0;1;0
187;Noord-Branbant;1920;89.0;8.0;2.0;1;0
188;Noord-Branbant;1930;89.0;7.0;2.0;1;1
189;Noord-Branbant;1947;89.0;7.0;2.0;4;2
190;Noord-Branbant;1960;89.0;6.0;2.0;2;2
191;Noord-Branbant;1971;85.0;6.0;2.0;3;5
192;Noord-Branbant;1983;76.0;6.0;3.0;2;13
193;Noord-Branbant;1987;74.0;6.0;2.0;4;15
194;Noord-Branbant;1991;75.0;5.0;2.0;1;17
195;Noord-Branbant;1995;70.0;5.0;2.0;3;20
196;Noord-Branbant;1997;67.0;5.0;2.0;4;21
197;Noord-Branbant;1999;67.0;5.0;2.0;4;23
198;Limburg;1849;97.0;2.0;0.0;1;0
199;Limburg;1859;98.0;2.0;0.0;1;0
200;Limburg;1869;98.0;1.0;0.0;1;0
201;Limburg;1879;98.0;1.0;0.0;1;0
202;Limburg;1889;98.0;1.0;0.0;1;0
203;Limburg;1899;98.0;1.0;0.0;1;0
204;Limburg;1909;98.0;1.0;0.0;1;0
205;Limburg;1920;95.0;3.0;0.0;1;1
206;Limburg;1930;93.0;3.0;1.0;1;1
207;Limburg;1947;95.0;3.0;1.0;3;1
208;Limburg;1960;94.0;3.0;1.0;3;1
209;Limburg;1971;92.0;3.0;1.0;4;3
210;Limburg;1983;87.0;2.0;1.0;2;8
211;Limburg;1987;81.0;2.0;2.0;5;11
212;Limburg;1991;83.0;2.0;1.0;2;12
213;Limburg;1995;78.0;2.0;1.0;6;13
214;Limburg;1997;80.0;2.0;1.0;5;13
215;Limburg;1999;80.0;2.0;1.0;3;14
