ID;SITC;CountriesGroups;Periods;ImportsValue_1;ExportsValue_2;BalanceOfTrade_3;Coverage_4;MutationOfImports_5;MutationOfExports_6
0;Total goods;Total countries (groups);1996 January;11454559.0;12580840.0;1126281.0;109.8;;
1;Total goods;Total countries (groups);1996 February;11145615.0;12413339.0;1267724.0;111.4;;
2;Total goods;Total countries (groups);1996 March;12158342.0;13671702.0;1513360.0;112.4;;
3;Total goods;Total countries (groups);1996 April;11203068.0;12006131.0;803063.0;107.2;;
4;Total goods;Total countries (groups);1996 May;11571482.0;12653195.0;1081713.0;109.3;;
5;Total goods;Total countries (groups);1996 June;11342260.0;12773503.0;1431243.0;112.6;;
6;Total goods;Total countries (groups);1996 July;11239890.0;12315215.0;1075325.0;109.6;;
7;Total goods;Total countries (groups);1996 August;10379162.0;11543397.0;1164235.0;111.2;;
8;Total goods;Total countries (groups);1996 September;11840633.0;13230139.0;1389506.0;111.7;;
9;Total goods;Total countries (groups);1996 October;13104318.0;13765073.0;660755.0;105.0;;
10;Total goods;Total countries (groups);1996 November;12370916.0;13473968.0;1103052.0;108.9;;
11;Total goods;Total countries (groups);1996 December;12118090.0;13325499.0;1207409.0;110.0;;
12;Total goods;Total countries (groups);1996;139929109.0;153752479.0;13823370.0;109.9;;
13;Total goods;Total countries (groups);1997 January;12461640.0;13546175.0;1084535.0;108.7;8.8;7.7
14;Total goods;Total countries (groups);1997 February;12377716.0;13421683.0;1043967.0;108.4;11.1;8.1
15;Total goods;Total countries (groups);1997 March;13042001.0;14195988.0;1153987.0;108.8;7.3;3.8
16;Total goods;Total countries (groups);1997 April;13227195.0;14175481.0;948286.0;107.2;18.1;18.1
17;Total goods;Total countries (groups);1997 May;12620063.0;13720045.0;1099982.0;108.7;9.1;8.4
18;Total goods;Total countries (groups);1997 June;13289606.0;14504117.0;1214511.0;109.1;17.2;13.5
19;Total goods;Total countries (groups);1997 July;12985942.0;13885990.0;900048.0;106.9;15.5;12.8
20;Total goods;Total countries (groups);1997 August;11655107.0;12847262.0;1192155.0;110.2;12.3;11.3
21;Total goods;Total countries (groups);1997 September;14071854.0;15465346.0;1393492.0;109.9;18.8;16.9
22;Total goods;Total countries (groups);1997 October;14585933.0;15853536.0;1267603.0;108.7;11.3;15.2
23;Total goods;Total countries (groups);1997 November;13647047.0;14847325.0;1200278.0;108.8;10.3;10.2
24;Total goods;Total countries (groups);1997 December;13472532.0;14957282.0;1484750.0;111.0;11.2;12.2
25;Total goods;Total countries (groups);1997;157437451.0;171420944.0;13983493.0;108.9;12.5;11.5
26;Total goods;Total countries (groups);1998 January;13639758.0;14496956.0;857198.0;106.3;9.5;7.0
27;Total goods;Total countries (groups);1998 February;13669069.0;14692127.0;1023058.0;107.5;10.4;9.5
28;Total goods;Total countries (groups);1998 March;15301786.0;16550253.0;1248467.0;108.2;17.3;16.6
29;Total goods;Total countries (groups);1998 April;14034879.0;14946840.0;911961.0;106.5;6.1;5.4
30;Total goods;Total countries (groups);1998 May;13460010.0;14461790.0;1001780.0;107.4;6.7;5.4
31;Total goods;Total countries (groups);1998 June;14730640.0;15439779.0;709139.0;104.8;10.8;6.5
32;Total goods;Total countries (groups);1998 July;13704379.0;15022717.0;1318338.0;109.6;5.5;8.2
33;Total goods;Total countries (groups);1998 August;12228241.0;12940393.0;712152.0;105.8;4.9;0.7
34;Total goods;Total countries (groups);1998 September;14587154.0;15838917.0;1251763.0;108.6;3.7;2.4
35;Total goods;Total countries (groups);1998 October;14594899.0;15781971.0;1187072.0;108.1;0.1;-0.5
