ID;Regions;SIC1993;Periods;VolumeChange_1;Deflator_2
0;The Netherlands;Total commercial activities;1996;2.9;0.6
1;The Netherlands;Total commercial activities;1997;3.7;1.7
2;The Netherlands;Total commercial activities;1998;4.2;1.7
3;The Netherlands;Total commercial activities;1999;4.0;1.5
4;The Netherlands;Total commercial activities;2000;3.5;4.2
5;The Netherlands;Total commercial activities;2001;1.6;4.6
6;The Netherlands;A+B Agriculture, forestry and fishing;1996;-1.9;1.0
7;The Netherlands;A+B Agriculture, forestry and fishing;1997;-5.3;2.9
8;The Netherlands;A+B Agriculture, forestry and fishing;1998;9.3;-4.9
9;The Netherlands;A+B Agriculture, forestry and fishing;1999;6.3;-9.4
10;The Netherlands;A+B Agriculture, forestry and fishing;2000;1.5;5.2
11;The Netherlands;A+B Agriculture, forestry and fishing;2001;-4.3;7.8
12;The Netherlands;C Mining and quarrying;1996;13.4;4.5
13;The Netherlands;C Mining and quarrying;1997;-8.2;10.1
14;The Netherlands;C Mining and quarrying;1998;-0.8;-10.8
15;The Netherlands;C Mining and quarrying;1999;-3.2;-12.1
16;The Netherlands;C Mining and quarrying;2000;-2.3;50.8
17;The Netherlands;C Mining and quarrying;2001;6.0;13.6
18;The Netherlands;D+E Manufacturing, public utilities;1996;1.0;-0.4
19;The Netherlands;D+E Manufacturing, public utilities;1997;1.5;1.4
20;The Netherlands;D+E Manufacturing, public utilities;1998;2.7;1.8
21;The Netherlands;D+E Manufacturing, public utilities;1999;2.0;0.1
22;The Netherlands;D+E Manufacturing, public utilities;2000;4.1;1.1
23;The Netherlands;D+E Manufacturing, public utilities;2001;-0.4;2.6
24;The Netherlands;F Construction;1996;-1.8;4.3
25;The Netherlands;F Construction;1997;3.3;2.4
26;The Netherlands;F Construction;1998;3.2;3.2
27;The Netherlands;F Construction;1999;5.4;4.8
28;The Netherlands;F Construction;2000;4.2;5.9
29;The Netherlands;F Construction;2001;1.9;6.3
30;The Netherlands;G Trade, repair, consumer articles;1996;4.2;-2.5
31;The Netherlands;G Trade, repair, consumer articles;1997;7.7;-2.2
32;The Netherlands;G Trade, repair, consumer articles;1998;6.8;1.8
33;The Netherlands;G Trade, repair, consumer articles;1999;6.9;0.8
34;The Netherlands;G Trade, repair, consumer articles;2000;4.5;1.3
35;The Netherlands;G Trade, repair, consumer articles;2001;0.3;2.9
36;The Netherlands;H Hotels and restaurants;1996;-0.3;3.0
37;The Netherlands;H Hotels and restaurants;1997;6.1;1.6
38;The Netherlands;H Hotels and restaurants;1998;6.1;1.0
39;The Netherlands;H Hotels and restaurants;1999;1.8;6.1
40;The Netherlands;H Hotels and restaurants;2000;3.5;3.8
41;The Netherlands;H Hotels and restaurants;2001;-1.7;6.8
42;The Netherlands;I Transport, storage and communication;1996;3.7;-1.3
43;The Netherlands;I Transport, storage and communication;1997;8.6;1.0
44;The Netherlands;I Transport, storage and communication;1998;9.4;-1.6
45;The Netherlands;I Transport, storage and communication;1999;6.9;-4.8
46;The Netherlands;I Transport, storage and communication;2000;10.4;-1.7
47;The Netherlands;I Transport, storage and communication;2001;3.4;1.1
48;The Netherlands;J Financial intermediation;1996;6.7;-2.9
49;The Netherlands;J Financial intermediation;1997;5.9;0.9
50;The Netherlands;J Financial intermediation;1998;2.1;4.6
51;The Netherlands;J Financial intermediation;1999;6.5;4.3
52;The Netherlands;J Financial intermediation;2000;-0.7;11.2
53;The Netherlands;J Financial intermediation;2001;1.8;6.7
54;The Netherlands;K Renting and business activities;1996;6.5;3.5
55;The Netherlands;K Renting and business activities;1997;5.6;3.2
56;The Netherlands;K Renting and business activities;1998;4.7;3.7
57;The Netherlands;K Renting and business activities;1999;5.5;3.3
58;The Netherlands;K Renting and business activities;2000;4.0;3.4
59;The Netherlands;K Renting and business activities;2001;2.8;3.9
60;The Netherlands;L Government, defence, social security;1996;0.4;0.1
61;The Netherlands;L Government, defence, social security;1997;2.0;1.6
62;The Netherlands;L Government, defence, social security;1998;2.7;0.9
63;The Netherlands;L Government, defence, social security;1999;1.2;3.5
64;The Netherlands;L Government, defence, social security;2000;1.4;4.1
65;The Netherlands;L Government, defence, social security;2001;2.1;5.1
66;The Netherlands;M Education;1996;0.8;1.6
67;The Netherlands;M Education;1997;4.5;-1.8
68;The Netherlands;M Education;1998;2.9;2.1
69;The Netherlands;M Education;1999;0.6;6.1
70;The Netherlands;M Education;2000;0.9;5.1
71;The Netherlands;M Education;2001;0.1;7.8
72;The Netherlands;N Health and social work;1996;1.7;0.7
73;The Netherlands;N Health and social work;1997;1.1;3.8
74;The Netherlands;N Health and social work;1998;2.5;2.9
75;The Netherlands;N Health and social work;1999;1.7;5.9
76;The Netherlands;N Health and social work;2000;1.6;6.1
77;The Netherlands;N Health and social work;2001;4.0;7.1
78;The Netherlands;O+P Environment, culture, other services;1996;1.7;2.8
79;The Netherlands;O+P Environment, culture, other services;1997;4.6;3.9
80;The Netherlands;O+P Environment, culture, other services;1998;2.1;4.6
81;The Netherlands;O+P Environment, culture, other services;1999;2.7;3.8
82;The Netherlands;O+P Environment, culture, other services;2000;2.4;4.1
83;The Netherlands;O+P Environment, culture, other services;2001;2.7;5.0
84;Extraterritorial region;Total commercial activities;1996;8.3;4.0
85;Extraterritorial region;Total commercial activities;1997;-1.0;9.4
86;Extraterritorial region;Total commercial activities;1998;-0.9;-9.7
87;Extraterritorial region;Total commercial activities;1999;10.1;-10.2
88;Extraterritorial region;Total commercial activities;2000;-0.9;47.5
89;Extraterritorial region;Total commercial activities;2001;6.0;12.2
90;Extraterritorial region;A+B Agriculture, forestry and fishing;1996;;
91;Extraterritorial region;A+B Agriculture, forestry and fishing;1997;;
92;Extraterritorial region;A+B Agriculture, forestry and fishing;1998;;
93;Extraterritorial region;A+B Agriculture, forestry and fishing;1999;;
94;Extraterritorial region;A+B Agriculture, forestry and fishing;2000;;
95;Extraterritorial region;A+B Agriculture, forestry and fishing;2001;;
96;Extraterritorial region;C Mining and quarrying;1996;11.0;4.5
