ID;LeeftijdReferentiepersoon;AantalPersonenInHetHuishouden;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13
161;53050;Totaal;1988;380;241.0;139.0;107.0;32.0;68.0;65.0;3.0;52.0;34.0;18.0;11.0;8.0
162;53050;Totaal;1989;388;252.0;136.0;106.0;30.0;70.0;67.0;3.0;48.0;31.0;17.0;10.0;8.0
163;53050;Totaal;1990;395;261.0;135.0;106.0;29.0;73.0;69.0;4.0;45.0;29.0;16.0;9.0;8.0
164;53050;Totaal;1991;402;269.0;134.0;106.0;28.0;75.0;71.0;4.0;42.0;27.0;15.0;9.0;8.0
165;53050;Totaal;1992;405;274.0;132.0;105.0;27.0;77.0;73.0;4.0;39.0;24.0;15.0;8.0;7.0
166;53050;Totaal;1993;402;274.0;127.0;101.0;26.0;77.0;73.0;4.0;35.0;21.0;14.0;8.0;7.0
167;53050;Totaal;1994;393;273.0;120.0;95.0;26.0;74.0;70.0;4.0;31.0;19.0;12.0;9.0;6.0
168;53050;Eenpersoonshuishouden;1971;100;100.0;;;;;;;;;;;
169;53050;Eenpersoonshuishouden;1972;105;105.0;;;;;;;;;;;
170;53050;Eenpersoonshuishouden;1973;111;111.0;;;;;;;;;;;
171;53050;Eenpersoonshuishouden;1974;118;118.0;;;;;;;;;;;
172;53050;Eenpersoonshuishouden;1975;125;125.0;;;;;;;;;;;
173;53050;Eenpersoonshuishouden;1976;134;134.0;;;;;;;;;;;
174;53050;Eenpersoonshuishouden;1977;143;143.0;;;;;;;;;;;
175;53050;Eenpersoonshuishouden;1978;152;152.0;;;;;;;;;;;
176;53050;Eenpersoonshuishouden;1979;160;160.0;;;;;;;;;;;
177;53050;Eenpersoonshuishouden;1980;169;169.0;;;;;;;;;;;
178;53050;Eenpersoonshuishouden;1981;179;179.0;;;;;;;;;;;
179;53050;Eenpersoonshuishouden;1982;187;187.0;;;;;;;;;;;
180;53050;Eenpersoonshuishouden;1983;195;195.0;;;;;;;;;;;
181;53050;Eenpersoonshuishouden;1984;203;203.0;;;;;;;;;;;
182;53050;Eenpersoonshuishouden;1985;211;211.0;;;;;;;;;;;
183;53050;Eenpersoonshuishouden;1986;221;221.0;;;;;;;;;;;
184;53050;Eenpersoonshuishouden;1987;231;231.0;;;;;;;;;;;
185;53050;Eenpersoonshuishouden;1988;241;241.0;;;;;;;;;;;
186;53050;Eenpersoonshuishouden;1989;252;252.0;;;;;;;;;;;
187;53050;Eenpersoonshuishouden;1990;261;261.0;;;;;;;;;;;
188;53050;Eenpersoonshuishouden;1991;269;269.0;;;;;;;;;;;
189;53050;Eenpersoonshuishouden;1992;274;274.0;;;;;;;;;;;
190;53050;Eenpersoonshuishouden;1993;274;274.0;;;;;;;;;;;
191;53050;Eenpersoonshuishouden;1994;273;273.0;;;;;;;;;;;
192;53050;Meerpersoonshuishouden met 2 personen;1971;76;;76.0;74.0;2.0;2.0;2.0;;71.0;71.0;;2.0;1.0
193;53050;Meerpersoonshuishouden met 2 personen;1972;80;;80.0;78.0;3.0;6.0;6.0;;70.0;70.0;;3.0;2.0
194;53050;Meerpersoonshuishouden met 2 personen;1973;84;;84.0;81.0;3.0;10.0;10.0;;69.0;69.0;;3.0;2.0
195;53050;Meerpersoonshuishouden met 2 personen;1974;87;;87.0;84.0;4.0;13.0;13.0;;68.0;68.0;;4.0;3.0
196;53050;Meerpersoonshuishouden met 2 personen;1975;91;;91.0;87.0;4.0;17.0;17.0;;67.0;67.0;;4.0;3.0
197;53050;Meerpersoonshuishouden met 2 personen;1976;95;;95.0;90.0;5.0;21.0;21.0;;66.0;66.0;;5.0;4.0
198;53050;Meerpersoonshuishouden met 2 personen;1977;99;;99.0;94.0;5.0;25.0;25.0;;64.0;64.0;;5.0;4.0
199;53050;Meerpersoonshuishouden met 2 personen;1978;102;;102.0;96.0;6.0;30.0;30.0;;62.0;62.0;;6.0;4.0
200;53050;Meerpersoonshuishouden met 2 personen;1979;105;;105.0;99.0;6.0;34.0;34.0;;60.0;60.0;;6.0;5.0
201;53050;Meerpersoonshuishouden met 2 personen;1980;108;;108.0;101.0;7.0;38.0;38.0;;58.0;58.0;;7.0;5.0
