ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
40;Beiden autochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);;;;;;;;;
41;Beiden autochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);;;;;;;;;
42;Beiden autochtoon;Suriname;2000 (Twee jaar getrouwd);;;;;;;;;
43;Beiden autochtoon;Suriname;2001 (Eén jaar getrouwd);;;;;;;;;
44;Beiden autochtoon;Suriname;2002 (Nog geen jaar getrouwd);;;;;;;;;
45;Beiden autochtoon;Turkije;2000 (Twee jaar getrouwd);;;;;;;;;
46;Beiden autochtoon;Turkije;2001 (Eén jaar getrouwd);;;;;;;;;
47;Beiden autochtoon;Turkije;2002 (Nog geen jaar getrouwd);;;;;;;;;
48;Beiden autochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);;;;;;;;;
49;Beiden autochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);;;;;;;;;
50;Beiden autochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);;;;;;;;;
51;Beiden autochtoon;Westers;2000 (Twee jaar getrouwd);;;;;;;;;
52;Beiden autochtoon;Westers;2001 (Eén jaar getrouwd);;;;;;;;;
53;Beiden autochtoon;Westers;2002 (Nog geen jaar getrouwd);;;;;;;;;
54;Beiden 1e generatie allochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);9089.0;;7494.0;2298.0;242.0;1029.0;1629.0;2296.0;1595.0
55;Beiden 1e generatie allochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);7472.0;;6101.0;1713.0;212.0;787.0;1429.0;1960.0;1371.0
56;Beiden 1e generatie allochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);3699.0;;2732.0;448.0;182.0;534.0;427.0;1141.0;967.0
57;Beiden 1e generatie allochtoon;Autochtoon;2000 (Twee jaar getrouwd);;;;;;;;;
