ID;Perioden;Index_1;MutatiesTOVVierKwartalenEerder_2;Index_3;MutatiesTOVVierKwartalenEerder_4
0;2005 1e kwartaal;98.8;;98.8;
1;2005 2e kwartaal;98.1;;98.1;
2;2005 3e kwartaal;100.3;;100.3;
3;2005 4e kwartaal;102.7;;102.7;
4;2005;100.0;;100.0;
5;2006 1e kwartaal;99.5;0.7;99.5;0.7
6;2006 2e kwartaal;100.5;2.4;100.5;2.4
7;2006 3e kwartaal;100.0;-0.3;100.0;-0.3
8;2006 4e kwartaal;100.3;-2.3;100.3;-2.3
9;2006;100.1;0.1;100.1;0.1
10;2007 1e kwartaal;102.2;2.7;102.2;2.7
11;2007 2e kwartaal;103.2;2.7;103.2;2.7
12;2007 3e kwartaal;105.6;5.6;105.6;5.6
13;2007 4e kwartaal;107.9;7.6;107.9;7.6
14;2007;104.7;4.6;104.7;4.6
15;2008 1e kwartaal;110.0;7.6;110.0;7.6
16;2008 2e kwartaal;110.0;6.6;110.0;6.6
17;2008 3e kwartaal;110.3;4.5;110.3;4.5
18;2008 4e kwartaal;112.8;4.5;112.8;4.5
19;2008;110.8;5.8;110.8;5.8
20;2009 1e kwartaal;111.4;1.3;111.4;1.3
21;2009 2e kwartaal;110.6;0.5;110.6;0.5
22;2009 3e kwartaal;110.5;0.2;110.5;0.2
23;2009 4e kwartaal;107.2;-5.0;107.2;-5.0
24;2009;109.9;-0.8;109.9;-0.8
25;2010 1e kwartaal;103.8;-6.8;103.8;-6.8
26;2010 2e kwartaal;105.0;-5.1;105.0;-5.1
27;2010 3e kwartaal;103.6;-6.2;103.6;-6.2
28;2010 4e kwartaal;105.7;-1.4;105.7;-1.4
29;2010;104.5;-4.9;104.5;-4.9
30;2011 1e kwartaal;104.2;0.4;104.2;0.4
31;2011 2e kwartaal;104.1;-0.9;104.1;-0.9
32;2011 3e kwartaal;103.9;0.3;103.9;0.3
33;2011 4e kwartaal;103.2;-2.4;103.2;-2.4
34;2011;103.8;-0.7;103.8;-0.7
35;2012 1e kwartaal;98.0;-6.0;98.0;-6.0
36;2012 2e kwartaal;101.1;-2.9;101.1;-2.9
37;2012 3e kwartaal;97.5;-6.2;97.5;-6.2
38;2012 4e kwartaal;98.6;-4.5;97.0;-6.0
39;2012;98.8;-4.8;98.4;-5.2
