ID;Geslacht;PrognoseInterval;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;GemiddeldeHuishoudensgrootte_10
0;Totaal mannen en vrouwen;Prognose;2022;17593685;17326992;4654444;3149008;8655458;602665;265418;266692;8120744.0;2.13
1;Totaal mannen en vrouwen;Prognose;2023;17735810;17460560;4667641;3206477;8708517;610112;267812;275251;8212678.0;2.13
2;Totaal mannen en vrouwen;Prognose;2024;17868084;17585578;4679767;3254298;8764633;616566;270314;282506;8295520.0;2.12
3;Totaal mannen en vrouwen;Prognose;2025;17980424;17691802;4690346;3291369;8815966;621808;272313;288622;8363833.0;2.12
4;Totaal mannen en vrouwen;Prognose;2026;18088023;17793408;4701029;3327873;8863986;626215;274304;294616;8429103.0;2.11
5;Totaal mannen en vrouwen;Prognose;2027;18191746;17891392;4713555;3363591;8907763;630279;276204;300354;8491082.0;2.11
6;Totaal mannen en vrouwen;Prognose;2028;18290757;17984754;4726848;3398734;8947069;634024;278079;306003;8549892.0;2.1
7;Totaal mannen en vrouwen;Prognose;2029;18387190;18075556;4742304;3433563;8982079;637661;279950;311633;8606074.0;2.1
8;Totaal mannen en vrouwen;Prognose;2030;18479924;18162726;4759904;3467331;9012464;641226;281801;317198;8658795.0;2.1
9;Totaal mannen en vrouwen;Prognose;2031;18569153;18246424;4779453;3500126;9038387;644873;283584;322730;8708361.0;2.1
10;Totaal mannen en vrouwen;Prognose;2032;18655512;18327244;4800987;3531646;9060592;648677;285341;328269;8754933.0;2.09
11;Totaal mannen en vrouwen;Prognose;2033;18738178;18404398;4823808;3561721;9079390;652429;287050;333780;8798248.0;2.09
12;Totaal mannen en vrouwen;Prognose;2034;18817370;18478124;4847826;3589558;9095130;657009;288601;339246;8838601.0;2.09
13;Totaal mannen en vrouwen;Prognose;2035;18892767;18548152;4872571;3615889;9107786;661747;290158;344616;8876043.0;2.09
14;Totaal mannen en vrouwen;Prognose;2036;18964675;18614726;4897678;3640664;9118060;666642;291682;349949;8910903.0;2.09
15;Totaal mannen en vrouwen;Prognose;2037;19032641;18677484;4922790;3664036;9126090;671396;293171;355158;8943074.0;2.09
16;Totaal mannen en vrouwen;Prognose;2038;19096287;18736128;4947388;3685575;9132089;676566;294511;360158;8972837.0;2.09
17;Totaal mannen en vrouwen;Prognose;2039;19155905;18790934;4971457;3705411;9136262;682057;295747;364971;9000253.0;2.09
18;Totaal mannen en vrouwen;Prognose;2040;19211944;18842456;4994736;3723968;9139002;687830;296920;369488;9025927.0;2.09
19;Totaal mannen en vrouwen;Prognose;2041;19264561;18890790;5016882;3741546;9140602;693688;298072;373771;9050193.0;2.09
20;Totaal mannen en vrouwen;Prognose;2042;19313954;18936126;5037634;3758398;9141377;699523;299194;377828;9073281.0;2.09
21;Totaal mannen en vrouwen;Prognose;2043;19360524;18978850;5056622;3774986;9141753;705183;300306;381674;9095761.0;2.09
22;Totaal mannen en vrouwen;Prognose;2044;19404599;19019172;5073642;3791387;9142060;710591;301492;385427;9117774.0;2.09
23;Totaal mannen en vrouwen;Prognose;2045;19446389;19057268;5088389;3807919;9142569;715702;302690;389120;9139714.0;2.09
24;Totaal mannen en vrouwen;Prognose;2046;19486099;19093352;5100648;3824699;9143695;720373;303938;392746;9161838.0;2.08
25;Totaal mannen en vrouwen;Prognose;2047;19524042;19127676;5110300;3841834;9145689;724597;305257;396365;9184352.0;2.08
26;Totaal mannen en vrouwen;Prognose;2048;19560466;19160504;5117334;3859361;9148910;728220;306678;399963;9207274.0;2.08
27;Totaal mannen en vrouwen;Prognose;2049;19595613;19192102;5121896;3877020;9153702;731310;308174;403511;9230609.0;2.08
28;Totaal mannen en vrouwen;Prognose;2050;19629749;19222792;5124238;3894708;9160294;733808;309745;406956;9254327.0;2.08
29;Totaal mannen en vrouwen;Prognose;2051;19663221;19252988;5124729;3912194;9169073;735661;311332;410232;9278327.0;2.08
30;Totaal mannen en vrouwen;Prognose;2052;19696284;19283000;5123800;3929213;9180120;736965;312902;413284;9302445.0;2.07
31;Totaal mannen en vrouwen;Prognose;2053;19729367;19313308;5121974;3945717;9193272;737851;314495;416058;9326700.0;2.07
32;Totaal mannen en vrouwen;Prognose;2054;19762976;19344458;5119822;3961631;9208584;738338;316083;418518;9351038.0;2.07
33;Totaal mannen en vrouwen;Prognose;2055;19797610;19377004;5117918;3976808;9226100;738539;317640;420605;9375483.0;2.07
34;Totaal mannen en vrouwen;Prognose;2056;19833698;19411412;5116812;3991220;9245751;738467;319161;422287;9399931.0;2.07
35;Totaal mannen en vrouwen;Prognose;2057;19871683;19448144;5116975;4004819;9267497;738222;320631;423539;9424425.0;2.06
36;Totaal mannen en vrouwen;Prognose;2058;19911931;19487592;5118814;4017628;9291242;737873;322034;424340;9449005.0;2.06
37;Totaal mannen en vrouwen;Prognose;2059;19954733;19530012;5122625;4029681;9316837;737503;323367;424720;9473713.0;2.06
38;Totaal mannen en vrouwen;Prognose;2060;20000277;19575594;5128604;4041120;9344105;737136;324629;424683;9498655.0;2.06
39;Totaal mannen en vrouwen;Prognose;2061;20048774;19624512;5136829;4052077;9372928;736863;325816;424261;9523976.0;2.06
40;Totaal mannen en vrouwen;Prognose;2062;20100240;19676720;5147279;4062697;9403068;736730;326946;423520;9549709.0;2.06
41;Totaal mannen en vrouwen;Prognose;2063;20154641;19732156;5159832;4073184;9434359;736774;328006;422486;9576019.0;2.06
42;Totaal mannen en vrouwen;Prognose;2064;20211867;19790628;5174310;4083709;9466566;737022;329022;421238;9603039.0;2.06
43;Totaal mannen en vrouwen;Prognose;2065;20271808;19851944;5190459;4094471;9499496;737504;330013;419865;9630864.0;2.06
44;Totaal mannen en vrouwen;Prognose;2066;20334199;19915732;5208005;4105602;9532904;738244;330977;418467;9659535.0;2.06
45;Totaal mannen en vrouwen;Prognose;2067;20398788;19981606;5226667;4117216;9566538;739258;331927;417182;9689081.0;2.06
46;Totaal mannen en vrouwen;Prognose;2068;20465199;20049098;5246143;4129345;9600256;740529;332825;416101;9719413.0;2.06
47;Totaal mannen en vrouwen;Prognose;2069;20533091;20117766;5266137;4142031;9633844;742051;333703;415325;9750508.0;2.06
48;Totaal mannen en vrouwen;Prognose;2070;20602155;20187200;5286372;4155315;9667084;743823;334607;414954;9782218.0;2.06
49;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2022;17552104;17273666;4555595;2904505;8361939;555170;251684;236469;7967040.0;2.09
50;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2023;17645729;17364234;4522221;2851597;8281300;542677;248445;231228;7980441.0;2.06
51;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2024;17717886;17432558;4501284;2813029;8222649;532740;246854;227281;7998605.0;2.04
52;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2025;17767898;17480648;4479028;2773574;8198656;524568;245467;223397;8012541.0;2.03
53;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2026;17825189;17522942;4459342;2744460;8152380;516816;244134;219628;8025518.0;2.01
54;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2027;17864353;17561008;4445305;2720033;8120590;509568;243426;216616;8035381.0;2.0
55;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2028;17894735;17584964;4422805;2697603;8086897;504802;242734;213912;8047252.0;1.98
56;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2029;17926009;17614770;4406712;2680068;8052343;499357;241933;211469;8057590.0;1.97
57;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2030;17952153;17638748;4397275;2668316;8022162;492731;241372;208356;8079609.0;1.96
58;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2031;17976078;17660040;4394040;2652662;7983745;487834;240504;206201;8094982.0;1.96
59;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2032;18003105;17664178;4385254;2634146;7936497;484086;239698;204365;8113341.0;1.95
60;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2033;18022763;17679382;4373697;2618116;7895203;480751;239244;202450;8105922.0;1.94
61;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2034;18031212;17694468;4355563;2606539;7832796;478204;237565;200652;8102394.0;1.93
62;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2035;18034780;17711230;4348038;2594537;7778322;475107;237010;199267;8102962.0;1.93
63;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2036;18032112;17692714;4332548;2581668;7728091;471663;236438;197170;8115699.0;1.92
64;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2037;18016489;17675484;4323361;2561016;7674324;466777;235685;194741;8113195.0;1.92
65;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2038;18030335;17676140;4305304;2542279;7642414;462703;235193;191409;8092005.0;1.91
66;Totaal mannen en vrouwen;Ondergrens 95%-prognose-interval;2039;18048126;17679742;4284479;2523140;7589191;460761;234198;189218;8085326.0;1.9
