ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;TotaleDetailhandelsomzet_8;OmzetInWinkel_9;OmzetNietInWinkel_10;OverigeNettoOmzet_11;OverigeBedrijfsopbrengsten_12;TotaleBedrijfslasten_13;InkoopwaardeOmzet_14;TotaleArbeidskosten_15;BrutoLonenEnSalarissen_16;PremiesPensioenVUTInkoopsommen_17;SocialeVerzekeringspremiesEnOverig_18;AfschrijvingenOpVasteActiva_19;TotaleOverigeBedrijfslasten_20;OverigePersoneelskosten_21;Verkoopkosten_22;HuisvestingsEnEnergiekosten_23;KostenVanDienstverleningDoorDerden_24;KostenInventaris_25;KostenVervoermiddelen_26;NietEerderGenoemdeBedrijfslasten_27;Bedrijfsresultaat_28;SaldoFinancieleBatenEnLasten_29;FinancieleBaten_30;FinancieleLasten_31;SaldoVoorzieningen_32;OnttrekkingenVrijvalVanVoorzieningen_33;ToevoegingenAanVoorzieningen_34;SaldoBuitengewoneBatenEnLasten_35;BuitengewoneBaten_36;BuitengewoneLasten_37;ResultaatVoorBelastingen_38;Brutowinst_39
0;52 Detailhandel (incl. reparatie);2000;85720.0;;;;;72266.0;71688.0;69188.0;64382.0;4806.0;2502.0;578.0;67763.0;48045.0;8682.0;7173.0;304.0;1206.0;1903.0;9135.0;676.0;;3424.0;;;;1559.0;4504.0;-422.0;242.0;664.0;;;;138.0;331.0;193.0;;23645.0
1;52 Detailhandel (incl. reparatie);2001;85620.0;;;;;76015.0;75258.0;73071.0;68226.0;4845.0;2187.0;757.0;71278.0;50197.0;9303.0;7675.0;365.0;1263.0;2050.0;9728.0;748.0;;3668.0;;;;1641.0;4739.0;-472.0;293.0;767.0;;;;41.0;284.0;242.0;;25061.0
2;52 Detailhandel (incl. reparatie);2002;80745.0;761.7;480.6;651.3;380.2;79215.0;78456.0;75819.0;70482.0;5337.0;2637.0;758.0;74355.0;51880.0;9833.0;8035.0;443.0;1357.0;2079.0;10563.0;781.0;2251.0;3953.0;768.0;395.0;645.0;1770.0;4859.0;-475.0;281.0;755.0;-79.0;83.0;162.0;82.0;255.0;173.0;4387.0;26576.0
3;52 Detailhandel (incl. reparatie);2003;79205.0;748.5;474.7;637.4;373.2;78604.0;78044.0;75722.0;71377.0;4345.0;2322.0;559.0;74007.0;51544.0;9948.0;8137.0;485.0;1326.0;2148.0;10366.0;756.0;2254.0;4110.0;799.0;385.0;508.0;1555.0;4596.0;-414.0;279.0;693.0;-155.0;51.0;206.0;139.0;298.0;160.0;4166.0;26500.0
4;52 Detailhandel (incl. reparatie);2004;78950.0;732.1;462.2;624.4;363.2;78081.0;77398.0;74826.0;70357.0;4470.0;2572.0;683.0;73946.0;51533.0;10024.0;8149.0;532.0;1343.0;2145.0;10243.0;777.0;2210.0;4177.0;736.0;372.0;489.0;1483.0;4135.0;-365.0;325.0;690.0;-44.0;61.0;105.0;10.0;1081.0;1071.0;3736.0;25865.0
5;52 Detailhandel (incl. reparatie);2005;82385.0;740.0;462.2;631.8;362.9;79196.0;78440.0;76006.0;71406.0;4600.0;2435.0;756.0;75033.0;52158.0;10144.0;8226.0;558.0;1360.0;2049.0;10682.0;816.0;2117.0;4490.0;767.0;365.0;493.0;1634.0;4163.0;-373.0;294.0;667.0;-29.0;50.0;79.0;36.0;204.0;168.0;3797.0;26282.0
6;521 Supermarkten, warenhuizen e.d.;2000;3790.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;521 Supermarkten, warenhuizen e.d.;2001;3670.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;521 Supermarkten, warenhuizen e.d.;2002;3315.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;521 Supermarkten, warenhuizen e.d.;2003;3295.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
