ID;RegioS;Perioden;TotaalAantalSchoolvestigingen_1;k_50NietWestersAllochtoneLeerlingen_2;k_80NietWestersAllochtoneLeerlingen_3;TotaalAantalSchoolvestigingen_4;k_50NietWestersAllochtoneLeerlingen_5;k_80NietWestersAllochtoneLeerlingen_6;VanEenGemiddeldeLeerling_7;VanEenAutochtoneLeerling_8;VanEenNietWestersAllochtoneLeerling_9;VanEenGemiddeldeLeerling_10;VanEenAutochtoneLeerling_11;VanEenNietWestersAllochtoneLeerling_12
0;Nederland;2003/'04;;;;1111;8;4;;;;15;11;36
1;Nederland;2004/'05;;;;1097;8;4;;;;15;11;36
2;Nederland;2005/'06;1166.0;7.0;4.0;1092;8;4;14.0;10.0;35.0;15;11;35
3;Nederland;2006/'07;1159.0;8.0;4.0;1085;8;4;14.0;10.0;35.0;15;11;35
4;Nederland;2007/'08;1147.0;8.0;4.0;1072;8;4;14.0;10.0;34.0;15;11;35
5;Nederland;2008/'09;1141.0;8.0;4.0;1066;9;4;15.0;11.0;34.0;14;10;34
6;Nederland;2009/'10;1145.0;9.0;4.0;1070;9;4;14.0;11.0;34.0;15;11;34
7;Nederland;2010/'11;1174.0;9.0;4.0;1099;10;4;15.0;11.0;35.0;15;11;35
8;Nederland;2011/'12;1190.0;9.0;4.0;1115;10;4;15.0;11.0;35.0;15;11;35
9;Vier grootste gemeenten (G4);2003/'04;;;;152;46;25;;;;46;27;66
10;Vier grootste gemeenten (G4);2004/'05;;;;151;45;25;;;;45;27;66
11;Vier grootste gemeenten (G4);2005/'06;159.0;43.0;25.0;152;45;26;45.0;26.0;65.0;45;27;66
12;Vier grootste gemeenten (G4);2006/'07;159.0;47.0;26.0;152;48;27;44.0;26.0;65.0;45;26;65
13;Vier grootste gemeenten (G4);2007/'08;160.0;44.0;24.0;153;46;25;44.0;26.0;64.0;44;26;65
14;Vier grootste gemeenten (G4);2008/'09;162.0;45.0;25.0;155;46;26;44.0;27.0;64.0;43;26;63
15;Vier grootste gemeenten (G4);2009/'10;167.0;47.0;25.0;160;49;26;44.0;26.0;63.0;44;27;63
16;Vier grootste gemeenten (G4);2010/'11;174.0;47.0;26.0;167;48;27;43.0;26.0;63.0;44;26;63
17;Vier grootste gemeenten (G4);2011/'12;175.0;46.0;23.0;168;47;24;43.0;26.0;62.0;44;27;63
18;Gemeenten >= 100 000 inwoners (excl. G4);2003/'04;;;;249;4;1;;;;15;13;23
19;Gemeenten >= 100 000 inwoners (excl. G4);2004/'05;;;;242;3;0;;;;15;13;23
20;Gemeenten >= 100 000 inwoners (excl. G4);2005/'06;253.0;3.0;1.0;241;3;1;15.0;13.0;23.0;15;13;24
21;Gemeenten >= 100 000 inwoners (excl. G4);2006/'07;253.0;4.0;1.0;241;4;1;15.0;13.0;24.0;15;13;24
22;Gemeenten >= 100 000 inwoners (excl. G4);2007/'08;247.0;4.0;1.0;235;4;1;15.0;13.0;23.0;15;13;24
23;Gemeenten >= 100 000 inwoners (excl. G4);2008/'09;244.0;4.0;0.0;232;4;0;15.0;13.0;24.0;15;13;24
24;Gemeenten >= 100 000 inwoners (excl. G4);2009/'10;243.0;4.0;0.0;231;4;0;15.0;13.0;24.0;16;14;24
25;Gemeenten >= 100 000 inwoners (excl. G4);2010/'11;257.0;5.0;0.0;245;5;0;16.0;14.0;25.0;16;14;25
26;Gemeenten >= 100 000 inwoners (excl. G4);2011/'12;258.0;6.0;0.0;246;7;0;16.0;14.0;25.0;16;14;25
27;Gemeenten >= 100 000 inwoners (incl. G4);2003/'04;;;;401;20;10;;;;25;16;49
28;Gemeenten >= 100 000 inwoners (incl. G4);2004/'05;;;;393;19;10;;;;25;16;49
29;Gemeenten >= 100 000 inwoners (incl. G4);2005/'06;412.0;18.0;10.0;393;19;11;24.0;16.0;48.0;25;16;48
30;Gemeenten >= 100 000 inwoners (incl. G4);2006/'07;412.0;20.0;10.0;393;21;11;24.0;16.0;48.0;25;16;48
31;Gemeenten >= 100 000 inwoners (incl. G4);2007/'08;407.0;20.0;10.0;388;21;10;24.0;16.0;47.0;24;16;47
32;Gemeenten >= 100 000 inwoners (incl. G4);2008/'09;406.0;20.0;10.0;387;21;11;24.0;16.0;47.0;24;16;46
33;Gemeenten >= 100 000 inwoners (incl. G4);2009/'10;410.0;22.0;0.0;391;23;0;24.0;16.0;46.0;25;17;47
34;Gemeenten >= 100 000 inwoners (incl. G4);2010/'11;431.0;22.0;10.0;412;22;11;24.0;16.0;46.0;25;17;46
35;Gemeenten >= 100 000 inwoners (incl. G4);2011/'12;433.0;22.0;0.0;414;23;0;25.0;17.0;46.0;25;17;47
36;Gemeenten < 100 000 inwoners;2003/'04;;;;710;1;0;;;;9;8;17
37;Gemeenten < 100 000 inwoners;2004/'05;;;;704;1;0;;;;9;8;17
38;Gemeenten < 100 000 inwoners;2005/'06;754.0;1.0;0.0;699;1;0;9.0;8.0;18.0;9;8;18
39;Gemeenten < 100 000 inwoners;2006/'07;747.0;1.0;0.0;692;1;0;9.0;8.0;18.0;9;8;18
40;Gemeenten < 100 000 inwoners;2007/'08;740.0;1.0;0.0;684;2;0;9.0;8.0;18.0;9;8;18
41;Gemeenten < 100 000 inwoners;2008/'09;735.0;1.0;0.0;679;2;0;10.0;8.0;18.0;9;8;18
42;Gemeenten < 100 000 inwoners;2009/'10;735.0;1.0;0.0;679;2;0;9.0;8.0;18.0;10;9;19
43;Gemeenten < 100 000 inwoners;2010/'11;743.0;2.0;0.0;687;2;0;10.0;8.0;19.0;10;9;19
44;Gemeenten < 100 000 inwoners;2011/'12;757.0;2.0;0.0;701;2;0;10.0;8.0;19.0;10;9;19
45;Amsterdam;2003/'04;;;;51;49;24;;;;53;33;70
46;Amsterdam;2004/'05;;;;50;50;28;;;;52;32;70
47;Amsterdam;2005/'06;54.0;48.0;28.0;51;51;29;52.0;32.0;69.0;53;33;69
48;Amsterdam;2006/'07;54.0;52.0;31.0;51;53;33;51.0;32.0;68.0;52;33;69
49;Amsterdam;2007/'08;54.0;46.0;30.0;51;47;31;51.0;32.0;68.0;51;32;68
50;Amsterdam;2008/'09;55.0;47.0;29.0;52;48;31;51.0;32.0;67.0;50;32;67
51;Amsterdam;2009/'10;56.0;48.0;30.0;53;49;32;50.0;32.0;66.0;50;32;67
52;Amsterdam;2010/'11;60.0;50.0;27.0;57;51;28;50.0;32.0;66.0;50;32;67
53;Amsterdam;2011/'12;62.0;52.0;27.0;59;53;29;49.0;31.0;66.0;49;31;66
54;'s-Gravenhage;2003/'04;;;;31;39;26;;;;42;27;62
55;'s-Gravenhage;2004/'05;;;;32;34;25;;;;41;27;60
56;'s-Gravenhage;2005/'06;33.0;30.0;18.0;31;32;19;39.0;26.0;58.0;41;27;59
57;'s-Gravenhage;2006/'07;34.0;32.0;15.0;32;34;16;38.0;25.0;58.0;40;26;58
58;'s-Gravenhage;2007/'08;34.0;32.0;15.0;32;34;16;38.0;25.0;56.0;39;26;57
59;'s-Gravenhage;2008/'09;35.0;31.0;17.0;33;33;18;39.0;26.0;56.0;37;25;56
60;'s-Gravenhage;2009/'10;35.0;37.0;14.0;33;39;15;38.0;26.0;55.0;39;27;56
61;'s-Gravenhage;2010/'11;62.0;33.0;14.0;61;35;15;38.0;26.0;54.0;39;27;55
62;'s-Gravenhage;2011/'12;61.0;33.0;11.0;60;35;12;38.0;27.0;54.0;39;28;54
63;Rotterdam;2003/'04;;;;52;50;29;;;;43;24;66
64;Rotterdam;2004/'05;;;;51;49;25;;;;43;23;66
65;Rotterdam;2005/'06;52.0;48.0;31.0;51;49;31;43.0;23.0;67.0;44;23;67
66;Rotterdam;2006/'07;52.0;50.0;29.0;51;51;29;44.0;22.0;68.0;44;23;68
67;Rotterdam;2007/'08;52.0;50.0;27.0;51;51;27;44.0;23.0;67.0;44;23;67
68;Rotterdam;2008/'09;52.0;54.0;29.0;51;55;29;44.0;24.0;66.0;44;24;66
69;Rotterdam;2009/'10;56.0;54.0;29.0;55;55;29;44.0;24.0;66.0;44;24;66
70;Rotterdam;2010/'11;36.0;53.0;35.0;34;54;36;43.0;23.0;66.0;43;23;67
71;Rotterdam;2011/'12;36.0;49.0;30.0;34;50;30;43.0;23.0;66.0;43;23;66
72;Utrecht;2003/'04;;;;18;39;17;;;;37;25;56
73;Utrecht;2004/'05;;;;18;39;11;;;;37;25;57
74;Utrecht;2005/'06;20.0;35.0;15.0;19;37;16;36.0;24.0;57.0;37;24;58
75;Utrecht;2006/'07;19.0;47.0;21.0;18;50;22;36.0;23.0;58.0;37;24;58
76;Utrecht;2007/'08;20.0;45.0;15.0;19;47;16;36.0;23.0;57.0;36;24;57
77;Utrecht;2008/'09;20.0;40.0;15.0;19;42;16;35.0;24.0;55.0;35;23;55
78;Utrecht;2009/'10;20.0;45.0;15.0;19;47;16;35.0;23.0;55.0;36;23;56
79;Utrecht;2010/'11;16.0;38.0;13.0;15;40;13;35.0;23.0;54.0;35;23;55
80;Utrecht;2011/'12;16.0;38.0;13.0;15;40;13;34.0;23.0;52.0;35;24;53
81;Noord-Nederland (LD);2003/'04;;;;142;1;0;;;;7;6;11
82;Noord-Nederland (LD);2004/'05;;;;136;0;0;;;;6;6;10
83;Noord-Nederland (LD);2005/'06;143.0;0.0;0.0;132;0;0;6.0;6.0;10.0;6;6;10
84;Noord-Nederland (LD);2006/'07;142.0;0.0;0.0;131;0;0;6.0;6.0;9.0;6;6;9
85;Noord-Nederland (LD);2007/'08;140.0;0.0;0.0;129;0;0;6.0;6.0;9.0;6;6;9
86;Noord-Nederland (LD);2008/'09;138.0;0.0;0.0;127;0;0;6.0;6.0;9.0;6;6;9
87;Noord-Nederland (LD);2009/'10;138.0;0.0;0.0;127;0;0;6.0;6.0;9.0;6;6;9
88;Noord-Nederland (LD);2010/'11;143.0;1.0;0.0;132;1;0;6.0;6.0;10.0;6;6;10
89;Noord-Nederland (LD);2011/'12;156.0;0.0;0.0;145;0;0;6.0;6.0;10.0;6;6;10
90;Oost-Nederland (LD);2003/'04;;;;218;1;0;;;;10;9;18
91;Oost-Nederland (LD);2004/'05;;;;217;0;0;;;;11;9;19
92;Oost-Nederland (LD);2005/'06;230.0;0.0;0.0;217;0;0;10.0;9.0;19.0;11;9;19
93;Oost-Nederland (LD);2006/'07;231.0;1.0;0.0;218;1;0;11.0;9.0;19.0;11;10;19
94;Oost-Nederland (LD);2007/'08;228.0;0.0;0.0;215;0;0;11.0;9.0;19.0;11;10;19
95;Oost-Nederland (LD);2008/'09;226.0;0.0;0.0;213;0;0;11.0;10.0;20.0;11;9;20
96;Oost-Nederland (LD);2009/'10;229.0;1.0;0.0;216;1;0;11.0;9.0;20.0;11;10;20
97;Oost-Nederland (LD);2010/'11;241.0;2.0;0.0;228;2;0;11.0;9.0;21.0;11;10;21
98;Oost-Nederland (LD);2011/'12;243.0;2.0;0.0;230;3;0;11.0;9.0;21.0;11;10;22
99;West-Nederland (LD);2003/'04;;;;524;15;7;;;;21;14;46
100;West-Nederland (LD);2004/'05;;;;525;16;7;;;;21;14;45
101;West-Nederland (LD);2005/'06;564.0;15.0;8.0;525;16;8;20.0;13.0;45.0;21;14;45
102;West-Nederland (LD);2006/'07;559.0;16.0;8.0;519;17;9;20.0;13.0;45.0;21;14;45
103;West-Nederland (LD);2007/'08;561.0;16.0;7.0;520;17;8;20.0;13.0;44.0;21;14;44
104;West-Nederland (LD);2008/'09;562.0;16.0;8.0;521;17;8;21.0;14.0;44.0;20;14;43
