ID;InEnUitvoer;Perioden;OorspronkelijkeReeks_1;WerkdaggecorrigeerdeReeks_2;Prijs_3;OorspronkelijkeReeks_4;WerkdaggecorrigeerdeReeks_5;OorspronkelijkeReeks_6;WerkdaggecorrigeerdeReeks_7;Prijs_8;OorspronkelijkeReeks_9;WerkdaggecorrigeerdeReeks_10
0;Invoer;1995 januari;25.3;25.1;87.3;29.0;28.8;;;;;
1;Invoer;1995 februari;24.6;24.9;84.6;29.1;29.4;;;;;
2;Invoer;1995 maart;30.0;29.2;86.0;34.8;34.0;;;;;
3;Invoer;1995 1e kwartaal;26.6;26.4;86.0;31.0;30.7;;;;;
4;Invoer;1995 april;25.1;25.8;86.9;28.9;29.7;;;;;
5;Invoer;1995 mei;26.9;26.0;83.9;32.0;31.0;;;;;
6;Invoer;1995 juni;26.9;26.7;84.3;31.9;31.7;;;;;
7;Invoer;1995 2e kwartaal;26.3;26.2;85.0;30.9;30.8;;;;;
8;Invoer;1995 juli;23.3;24.1;84.0;27.8;28.6;;;;;
9;Invoer;1995 augustus;23.9;23.3;85.9;27.8;27.2;;;;;
10;Invoer;1995 september;26.0;26.3;84.7;30.7;31.0;;;;;
11;Invoer;1995 3e kwartaal;24.4;24.6;84.9;28.7;28.9;;;;;
12;Invoer;1995 oktober;26.4;26.5;88.6;29.8;29.9;;;;;
13;Invoer;1995 november;28.2;27.8;90.3;31.2;30.8;;;;;
14;Invoer;1995 december;27.0;28.1;92.1;29.3;30.4;;;;;
15;Invoer;1995 4e kwartaal;27.2;27.4;90.3;30.1;30.4;;;;;
16;Invoer;1995;26.1;26.1;86.5;30.2;30.2;;;;;
17;Invoer;1996 januari;27.1;26.6;85.7;31.6;31.0;6.9;5.9;-1.8;8.9;7.8
18;Invoer;1996 februari;26.1;25.2;82.9;31.5;30.4;6.3;1.2;-2.1;8.5;3.6
19;Invoer;1996 maart;29.6;30.5;86.0;34.4;35.4;-1.1;4.3;0.0;-1.1;4.2
20;Invoer;1996 1e kwartaal;27.6;27.4;84.9;32.5;32.3;3.7;3.8;-1.3;5.0;5.2
21;Invoer;1996 april;26.5;26.3;87.7;30.2;29.9;5.6;1.8;0.9;4.6;0.9
22;Invoer;1996 mei;27.3;26.9;84.0;32.5;32.0;1.4;3.2;0.0;1.4;3.1
23;Invoer;1996 juni;26.3;27.1;84.3;31.2;32.1;-2.2;1.4;0.0;-2.2;1.4
24;Invoer;1996 2e kwartaal;26.7;26.7;85.3;31.3;31.4;1.5;2.1;0.4;1.2;1.8
25;Invoer;1996 juli;26.4;25.8;84.5;31.2;30.5;13.1;7.1;0.6;12.4;6.6
26;Invoer;1996 augustus;25.4;25.5;86.1;29.5;29.6;6.5;9.4;0.2;6.2;9.0
27;Invoer;1996 september;27.6;27.9;85.5;32.3;32.6;6.2;6.2;1.0;5.2;5.2
28;Invoer;1996 3e kwartaal;26.5;26.4;85.4;31.0;30.9;8.5;7.5;0.6;7.8;6.9
29;Invoer;1996 oktober;29.9;29.3;91.0;32.9;32.2;13.6;10.6;2.8;10.6;7.7
30;Invoer;1996 november;29.4;29.7;92.1;31.9;32.3;4.3;7.1;2.0;2.2;4.9
31;Invoer;1996 december;29.6;30.0;94.4;31.4;31.8;9.9;7.0;2.4;7.3;4.6
32;Invoer;1996 4e kwartaal;29.7;29.7;92.5;32.1;32.1;9.2;8.2;2.4;6.6;5.7
33;Invoer;1996;27.6;27.6;87.0;31.7;31.7;5.7;5.4;0.6;5.1;4.9
34;Invoer;1997 januari;29.5;29.0;88.2;33.4;32.9;9.0;9.0;3.0;5.8;5.8
35;Invoer;1997 februari;29.1;29.4;85.3;34.1;34.4;11.2;16.8;2.9;8.1;13.2
36;Invoer;1997 maart;31.8;33.3;87.0;36.6;38.3;7.4;9.3;1.2;6.2;8.0
37;Invoer;1997 1e kwartaal;30.1;30.6;86.8;34.7;35.2;9.1;11.5;2.3;6.7;8.9
38;Invoer;1997 april;31.0;30.2;87.9;35.3;34.4;17.0;15.0;0.2;16.7;14.8
39;Invoer;1997 mei;29.5;29.8;85.0;34.6;35.0;8.1;11.0;1.3;6.7;9.5
40;Invoer;1997 juni;30.5;30.6;85.7;35.6;35.7;16.1;13.0;1.7;14.2;11.3
41;Invoer;1997 2e kwartaal;30.3;30.2;86.2;35.2;35.1;13.7;13.0;1.1;12.4;11.8
42;Invoer;1997 juli;30.3;29.6;87.2;34.7;33.9;14.7;14.7;3.2;11.2;11.2
43;Invoer;1997 augustus;28.3;29.2;89.3;31.7;32.7;11.5;14.6;3.7;7.5;10.4
44;Invoer;1997 september;32.6;32.1;87.2;37.3;36.8;18.0;14.9;1.9;15.8;12.8
45;Invoer;1997 3e kwartaal;30.4;30.3;87.8;34.6;34.5;14.9;14.7;2.9;11.6;11.5
46;Invoer;1997 oktober;32.8;32.0;92.1;35.6;34.8;9.5;9.5;1.2;8.2;8.2
47;Invoer;1997 november;31.9;33.1;93.0;34.3;35.6;8.5;11.4;1.0;7.4;10.3
48;Invoer;1997 december;32.4;32.0;93.8;34.6;34.1;9.3;6.4;-0.6;10.0;7.2
49;Invoer;1997 4e kwartaal;32.4;32.4;93.0;34.8;34.8;9.1;9.1;0.5;8.5;8.5
50;Invoer;1997;30.8;30.9;88.5;34.8;34.9;11.6;12.0;1.7;9.8;10.2
51;Invoer;1998 januari;31.3;31.6;87.4;35.9;36.2;6.2;9.1;-0.9;7.2;10.1
52;Invoer;1998 februari;31.2;31.5;84.0;37.1;37.4;7.2;7.2;-1.4;8.7;8.7
53;Invoer;1998 maart;36.2;36.3;85.9;42.2;42.2;13.9;8.9;-1.2;15.2;10.4
54;Invoer;1998 1e kwartaal;32.9;33.1;85.8;38.4;38.6;9.2;8.4;-1.2;10.5;9.7
55;Invoer;1998 april;31.6;31.3;86.9;36.3;36.0;1.8;3.6;-1.2;3.0;4.7
56;Invoer;1998 mei;30.1;30.8;83.3;36.2;37.0;2.3;3.2;-2.1;4.5;5.5
57;Invoer;1998 juni;32.4;32.2;82.9;39.1;38.9;6.3;5.3;-3.2;9.8;8.8
58;Invoer;1998 2e kwartaal;31.4;31.4;84.3;37.2;37.3;3.5;4.0;-2.2;5.8;6.4
59;Invoer;1998 juli;30.9;30.2;82.9;37.3;36.5;2.2;2.2;-4.9;7.5;7.5
60;Invoer;1998 augustus;28.8;29.7;84.0;34.3;35.4;1.6;1.6;-5.9;8.1;8.1
61;Invoer;1998 september;32.7;32.2;82.2;39.8;39.2;0.4;0.4;-5.7;6.5;6.5
62;Invoer;1998 3e kwartaal;30.8;30.7;83.0;37.1;37.0;1.4;1.4;-5.5;7.3;7.3
63;Invoer;1998 oktober;32.2;32.3;86.3;37.3;37.4;-1.9;0.8;-6.4;4.8;7.6
64;Invoer;1998 november;33.1;33.4;87.2;37.9;38.4;3.7;0.9;-6.3;10.7;7.8
65;Invoer;1998 december;33.2;32.2;87.5;37.9;36.8;2.4;0.6;-6.7;9.7;7.9
66;Invoer;1998 4e kwartaal;32.8;32.6;87.0;37.7;37.5;1.4;0.8;-6.4;8.4;7.8
67;Invoer;1998;32.0;32.0;85.0;37.6;37.6;3.8;3.6;-3.9;8.0;7.8
68;Invoer;1999 januari;30.0;31.1;80.2;37.4;38.7;-4.3;-1.7;-8.3;4.3;7.1
69;Invoer;1999 februari;30.0;30.3;77.8;38.6;39.0;-3.7;-3.7;-7.5;4.1;4.1
70;Invoer;1999 maart;37.3;36.4;81.2;46.0;44.9;3.0;0.3;-5.5;9.1;6.2
71;Invoer;1999 1e kwartaal;32.4;32.6;79.8;40.7;40.9;-1.4;-1.6;-7.0;6.0;5.8
72;Invoer;1999 april;32.5;32.2;83.0;39.1;38.8;2.9;2.9;-4.5;7.7;7.7
73;Invoer;1999 mei;31.8;33.1;80.1;39.7;41.3;5.6;7.5;-3.8;9.9;11.7
74;Invoer;1999 juni;34.0;33.2;81.4;41.7;40.8;4.8;3.0;-1.8;6.7;4.9
75;Invoer;1999 2e kwartaal;32.8;32.8;81.5;40.2;40.3;4.4;4.4;-3.4;8.1;8.1
76;Invoer;1999 juli;33.1;33.2;82.2;40.2;40.4;6.9;9.9;-0.9;7.9;10.7
