ID;KenmerkenLedenVakvereniging;Perioden;TotaalAantalLedenBinnenBuitenland_1;FNV_2;CNV_3;MHP_4;OverigeVakverenigingen_5;TotaalAantalLedenBinnenBuitenland_6;FNV_7;CNV_8;MHP_9;OverigeVakverenigingen_10
0;Totaal aantal leden binnen/buitenland;1999;1935.3;1232.6;361.0;218.6;123.1;100.0;63.7;18.7;11.3;6.4
1;Totaal aantal leden binnen/buitenland;2001;1918.7;1222.7;355.5;215.2;125.3;100.0;63.7;18.5;11.2;6.5
2;Totaal aantal leden binnen/buitenland;2003;1920.7;1205.2;355.5;169.1;190.9;100.0;62.8;18.5;8.8;9.9
3;Totaal aantal leden binnen/buitenland;2005;1898.7;1194.2;346.8;159.1;198.6;100.0;62.9;18.3;8.4;10.5
4;Totaal aantal leden binnen/buitenland;2006;1865.9;1171.1;341.7;160.8;192.3;100.0;62.8;18.3;8.6;10.3
5;Totaal aantal leden binnen/buitenland;2007;1878.2;1181.8;335.2;167.5;193.6;100.0;62.9;17.8;8.9;10.3
6;Totaal aantal leden binnen/buitenland;2008;1898.0;1192.0;333.9;169.2;202.9;100.0;62.8;17.6;8.9;10.7
7;Totaal aantal leden binnen/buitenland;2009;1887.0;1196.8;336.4;135.2;218.5;100.0;63.4;17.8;7.2;11.6
8;Leden, man/vrouw, alle leeftijden;1999;1935.3;1232.6;361.0;218.6;123.1;100.0;63.7;18.7;11.3;6.4
9;Leden, man/vrouw, alle leeftijden;2001;1918.7;1222.7;355.5;215.2;125.3;100.0;63.7;18.5;11.2;6.5
10;Leden, man/vrouw, alle leeftijden;2003;1920.7;1205.2;355.5;169.1;190.9;100.0;62.8;18.5;8.8;9.9
11;Leden, man/vrouw, alle leeftijden;2005;1898.7;1194.2;346.8;159.1;198.6;100.0;62.9;18.3;8.4;10.5
12;Leden, man/vrouw, alle leeftijden;2006;1865.9;1171.1;341.7;160.8;192.3;100.0;62.8;18.3;8.6;10.3
13;Leden, man/vrouw, alle leeftijden;2007;1878.2;1181.8;335.2;167.5;193.6;100.0;62.9;17.8;8.9;10.3
14;Leden, man/vrouw, alle leeftijden;2008;1898.0;1192.0;333.9;169.2;202.9;100.0;62.8;17.6;8.9;10.7
15;Leden, man/vrouw, alle leeftijden;2009;1887.0;1196.8;336.4;135.2;218.5;100.0;63.4;17.8;7.2;11.6
16;Leden, man/vrouw, < 25 jaar;1999;117.2;71.0;24.6;10.7;10.9;100.0;60.6;21.0;9.2;9.3
17;Leden, man/vrouw, < 25 jaar;2001;111.0;65.5;22.8;11.8;11.0;100.0;58.9;20.5;10.6;9.9
18;Leden, man/vrouw, < 25 jaar;2003;106.6;56.7;23.8;5.0;21.1;100.0;53.2;22.4;4.7;19.8
19;Leden, man/vrouw, < 25 jaar;2005;99.7;53.9;18.5;4.9;22.4;100.0;54.1;18.5;4.9;22.4
20;Leden, man/vrouw, < 25 jaar;2006;90.8;48.3;17.7;5.1;19.7;100.0;53.2;19.5;5.6;21.7
21;Leden, man/vrouw, < 25 jaar;2007;82.5;44.9;16.6;5.2;15.7;100.0;54.5;20.2;6.3;19.0
22;Leden, man/vrouw, < 25 jaar;2008;78.0;41.2;14.6;4.7;17.5;100.0;52.8;18.7;6.7;22.4
23;Leden, man/vrouw, < 25 jaar;2009;73.5;42.4;13.6;3.6;14.0;100.0;57.7;18.4;4.8;19.1
24;Leden, man/vrouw, 25 tot 65 jaar;1999;1635.9;1052.5;291.8;188.3;103.3;100.0;64.3;17.8;11.5;6.3
25;Leden, man/vrouw, 25 tot 65 jaar;2001;1618.0;1044.7;286.7;183.0;103.6;100.0;64.6;17.7;11.3;6.4
26;Leden, man/vrouw, 25 tot 65 jaar;2003;1616.4;1032.9;282.6;143.7;157.1;100.0;63.9;17.5;8.9;9.7
27;Leden, man/vrouw, 25 tot 65 jaar;2005;1584.5;1013.4;275.4;133.3;162.4;100.0;64.0;17.4;8.4;10.2
28;Leden, man/vrouw, 25 tot 65 jaar;2006;1560.5;994.4;271.9;134.4;159.7;100.0;63.7;17.4;8.6;10.2
29;Leden, man/vrouw, 25 tot 65 jaar;2007;1575.7;1001.7;267.2;142.2;164.7;100.0;63.6;17.0;9.0;10.4
30;Leden, man/vrouw, 25 tot 65 jaar;2008;1587.3;1007.8;265.1;144.1;170.3;100.0;63.5;16.7;9.1;10.7
31;Leden, man/vrouw, 25 tot 65 jaar;2009;1569.2;1005.9;266.4;110.6;186.3;100.0;64.1;17.0;7.1;11.9
32;Leden, man/vrouw, 25 tot 45 jaar;1999;;540.0;143.2;;;;;;;
33;Leden, man/vrouw, 25 tot 45 jaar;2001;;515.5;133.7;;;;;;;
34;Leden, man/vrouw, 25 tot 45 jaar;2003;;473.9;126.6;;;;;;;
35;Leden, man/vrouw, 25 tot 45 jaar;2005;699.8;439.2;115.6;53.2;91.7;100.0;62.8;16.5;7.6;13.1
36;Leden, man/vrouw, 25 tot 45 jaar;2006;661.5;408.4;111.7;53.2;88.2;100.0;61.7;16.9;8.0;13.3
37;Leden, man/vrouw, 25 tot 45 jaar;2007;656.3;400.8;107.2;58.5;89.9;100.0;61.1;16.3;8.9;13.7
38;Leden, man/vrouw, 25 tot 45 jaar;2008;656.0;402.0;103.7;58.2;92.2;100.0;61.3;15.8;8.9;14.1
39;Leden, man/vrouw, 25 tot 45 jaar;2009;615.1;379.7;103.1;37.8;94.5;100.0;61.7;16.8;6.2;15.4
40;Leden, man/vrouw, 45 tot 65 jaar;1999;;512.5;148.6;;;;;;;
41;Leden, man/vrouw, 45 tot 65 jaar;2001;;529.2;153.0;;;;;;;
42;Leden, man/vrouw, 45 tot 65 jaar;2003;;559.0;156.0;;;;;;;
43;Leden, man/vrouw, 45 tot 65 jaar;2005;884.7;574.2;159.7;80.1;70.7;100.0;64.9;18.1;9.1;8.0
