ID;Consumentenprijsindex;Perioden;ConsumentenprijsindexCPI_1;Maandmutatie_2;Jaarmutatie_3
0;Totaal alle aankopen;2006 januari;98.68;;
1;Totaal alle aankopen;2006 februari;99.06;0.4;
2;Totaal alle aankopen;2006 maart;99.84;0.8;
3;Totaal alle aankopen;2006 april;100.3;0.5;
4;Totaal alle aankopen;2006 mei;100.38;0.1;
5;Totaal alle aankopen;2006 juni;100.02;-0.4;
6;Totaal alle aankopen;2006 juli;99.83;-0.2;
7;Totaal alle aankopen;2006 augustus;100.36;0.5;
8;Totaal alle aankopen;2006 september;100.74;0.4;
9;Totaal alle aankopen;2006 oktober;100.49;-0.2;
10;Totaal alle aankopen;2006 november;100.33;-0.2;
11;Totaal alle aankopen;2006 december;99.96;-0.4;
12;Totaal alle aankopen;2006;100.0;;
13;Totaal alle aankopen;2007 januari;100.08;0.1;1.4
14;Totaal alle aankopen;2007 februari;100.54;0.5;1.5
15;Totaal alle aankopen;2007 maart;101.63;1.1;1.8
16;Totaal alle aankopen;2007 april;102.12;0.5;1.8
17;Totaal alle aankopen;2007 mei;102.19;0.1;1.8
18;Totaal alle aankopen;2007 juni;101.77;-0.4;1.7
19;Totaal alle aankopen;2007 juli;101.29;-0.5;1.5
20;Totaal alle aankopen;2007 augustus;101.47;0.2;1.1
21;Totaal alle aankopen;2007 september;102.07;0.6;1.3
22;Totaal alle aankopen;2007 oktober;102.11;0.0;1.6
23;Totaal alle aankopen;2007 november;102.26;0.1;1.9
24;Totaal alle aankopen;2007 december;101.83;-0.4;1.9
25;Totaal alle aankopen;2007;101.61;;1.6
26;Totaal alle aankopen;2008 januari;102.11;0.3;2.0
27;Totaal alle aankopen;2008 februari;102.8;0.7;2.2
28;Totaal alle aankopen;2008 maart;103.82;1.0;2.2
29;Totaal alle aankopen;2008 april;104.2;0.4;2.0
30;Totaal alle aankopen;2008 mei;104.57;0.4;2.3
31;Totaal alle aankopen;2008 juni;104.38;-0.2;2.6
32;Totaal alle aankopen;2008 juli;104.54;0.2;3.2
33;Totaal alle aankopen;2008 augustus;104.74;0.2;3.2
34;Totaal alle aankopen;2008 september;105.19;0.4;3.1
35;Totaal alle aankopen;2008 oktober;104.95;-0.2;2.8
36;Totaal alle aankopen;2008 november;104.57;-0.4;2.3
37;Totaal alle aankopen;2008 december;103.81;-0.7;1.9
38;Totaal alle aankopen;2008;104.14;;2.5
39;Totaal alle aankopen;2009 januari;104.08;0.3;1.9
40;Totaal alle aankopen;2009 februari;104.81;0.7;2.0
41;Totaal alle aankopen;2009 maart;105.86;1.0;2.0
42;Totaal alle aankopen;2009 april;106.1;0.2;1.8
43;Totaal alle aankopen;2009 mei;106.24;0.1;1.6
44;Totaal alle aankopen;2009 juni;105.87;-0.3;1.4
45;Totaal alle aankopen;2009 juli;104.74;-1.1;0.2
46;Totaal alle aankopen;2009 augustus;105.03;0.3;0.3
47;Totaal alle aankopen;2009 september;105.59;0.5;0.4
48;Totaal alle aankopen;2009 oktober;105.69;0.1;0.7
49;Totaal alle aankopen;2009 november;105.58;-0.1;1.0
50;Totaal alle aankopen;2009 december;104.96;-0.6;1.1
51;Totaal alle aankopen;2009;105.38;;1.2
52;Totaal alle aankopen;2010 januari;104.93;0.0;0.8
53;Totaal alle aankopen;2010 februari;105.68;0.7;0.8
54;Totaal alle aankopen;2010 maart;106.93;1.2;1.0
55;Totaal alle aankopen;2010 april;107.29;0.3;1.1
56;Totaal alle aankopen;2010 mei;107.25;0.0;1.0
57;Totaal alle aankopen;2010 juni;106.74;-0.5;0.8
58;Totaal alle aankopen;2010 juli;106.44;-0.3;1.6
59;Totaal alle aankopen;2010 augustus;106.6;0.2;1.5
60;Totaal alle aankopen;2010 september;107.26;0.6;1.6
61;Totaal alle aankopen;2010 oktober;107.35;0.1;1.6
62;Totaal alle aankopen;2010 november;107.22;-0.1;1.6
63;Totaal alle aankopen;2010 december;106.99;-0.2;1.9
64;Totaal alle aankopen;2010;106.72;;1.3
65;Totaal alle aankopen;2011 januari voor herberekening;107.0;0.0;2.0
66;Totaal alle aankopen;2011 februari voor herberekening;107.74;0.7;1.9
67;Totaal alle aankopen;2011 maart voor herberekening;109.02;1.2;2.0
68;Totaal alle aankopen;2011 april voor herberekening;109.54;0.5;2.1
69;Totaal alle aankopen;2011 mei voor herberekening;109.71;0.2;2.3
70;Totaal alle aankopen;2011 juni voor herberekening;109.18;-0.5;2.3
71;Totaal alle aankopen;2011 juli voor herberekening;109.23;0.0;2.6
72;Totaal alle aankopen;2011 augustus voor herberekening;109.38;0.1;2.6
73;Totaal alle aankopen;2011 september voor herberekening;110.17;0.7;2.7
74;Totaal alle aankopen;2011 oktober voor herberekening;110.15;0.0;2.6
75;Totaal alle aankopen;2011 november voor herberekening;110.01;-0.1;2.6
76;Totaal alle aankopen;2011 december voor herberekening;109.54;-0.4;2.4
77;Totaal alle aankopen;2011 januari na herberekening;106.87;;
78;Totaal alle aankopen;2011 februari na herberekening;107.68;;
79;Totaal alle aankopen;2011 maart na herberekening;108.9;;
80;Totaal alle aankopen;2011 april na herberekening;109.48;;
81;Totaal alle aankopen;2011 mei na herberekening;109.57;;
82;Totaal alle aankopen;2011 juni na herberekening;109.03;;
83;Totaal alle aankopen;2011 juli na herberekening;109.58;;
84;Totaal alle aankopen;2011 augustus na herberekening;109.76;;
85;Totaal alle aankopen;2011 september na herberekening;110.15;;
86;Totaal alle aankopen;2011 oktober na herberekening;110.2;;
87;Totaal alle aankopen;2011 november na herberekening;109.86;;
