ID;RegioS;Perioden;TotaleOppervlakteGrasland_1;TotaalIngezaaideOppervlakte_2;Herinzaai_3;Doorzaai_4;InzaaiNaAnderGewas_5;Mais_6;Aardappelen_7;Granen_8;OverigeGewassen_9
0;1;1990;1004.0;127.0;61.0;14.0;52.0;;;;
1;1;1993;965.0;88.0;45.0;13.0;31.0;;;;
2;1;1996;958.0;153.0;59.0;50.0;44.0;;;;
3;1;1999;913.0;131.0;67.0;9.0;55.0;44.0;26.0;9.0;20.0
4;1;2002;929.0;100.0;48.0;5.0;46.0;39.0;18.0;10.0;33.0
5;1;2005;980.0;87.0;34.0;6.0;46.0;31.0;14.0;9.0;46.0
6;2;1990;;;;;;;;;
7;2;1993;271.0;17.0;10.0;3.0;4.0;;;;
8;2;1996;275.0;42.0;19.0;17.0;7.0;;;;
9;2;1999;262.0;30.0;20.0;1.0;9.0;;;;
10;2;2002;262.0;23.0;16.0;1.0;6.0;;;;
11;2;2005;273.0;18.0;8.0;3.0;7.0;;;;
12;3;1990;;;;;;;;;
13;3;1993;228.0;23.0;12.0;4.0;7.0;;;;
14;3;1996;233.0;42.0;15.0;17.0;11.0;;;;
15;3;1999;221.0;28.0;14.0;3.0;11.0;;;;
16;3;2002;223.0;23.0;11.0;2.0;11.0;;;;
17;3;2005;235.0;23.0;10.0;2.0;11.0;;;;
18;4;1990;;;;;;;;;
19;4;1993;172.0;8.0;4.0;2.0;2.0;;;;
20;4;1996;169.0;15.0;6.0;5.0;4.0;;;;
21;4;1999;165.0;16.0;7.0;2.0;8.0;;;;
22;4;2002;168.0;9.0;5.0;0.0;4.0;;;;
23;4;2005;176.0;8.0;3.0;1.0;5.0;;;;
24;5;1990;;;;;;;;;
25;5;1993;116.0;20.0;11.0;2.0;8.0;;;;
26;5;1996;107.0;26.0;13.0;4.0;10.0;;;;
27;5;1999;98.0;23.0;11.0;2.0;10.0;;;;
28;5;2002;97.0;22.0;9.0;1.0;13.0;;;;
29;5;2005;107.0;19.0;7.0;0.0;12.0;;;;
30;6;1990;;;;;;;;;
31;6;1993;179.0;19.0;7.0;2.0;10.0;;;;
32;6;1996;175.0;28.0;7.0;8.0;13.0;;;;
33;6;1999;168.0;33.0;14.0;2.0;17.0;;;;
34;6;2002;180.0;21.0;7.0;1.0;12.0;;;;
35;6;2005;189.0;19.0;6.0;0.0;12.0;;;;
