ID;GWW;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
0;42/43 Grond-, weg- en waterbouw;2020 januari;101.8;
1;42/43 Grond-, weg- en waterbouw;2020 februari;101.7;
2;42/43 Grond-, weg- en waterbouw;2020 maart;100.0;
3;42/43 Grond-, weg- en waterbouw;2020 april;98.6;
4;42/43 Grond-, weg- en waterbouw;2020 mei;98.3;
5;42/43 Grond-, weg- en waterbouw;2020 juni;99.1;
6;42/43 Grond-, weg- en waterbouw;2020 juli;100.5;
7;42/43 Grond-, weg- en waterbouw;2020 augustus;100.6;
8;42/43 Grond-, weg- en waterbouw;2020 september;100.0;
9;42/43 Grond-, weg- en waterbouw;2020 oktober;99.8;
10;42/43 Grond-, weg- en waterbouw;2020 november;99.5;
11;42/43 Grond-, weg- en waterbouw;2020 december;100.1;
12;42/43 Grond-, weg- en waterbouw;2021 januari;102.3;0.5
13;42/43 Grond-, weg- en waterbouw;2021 februari;103.4;1.7
14;42/43 Grond-, weg- en waterbouw;2021 maart;104.7;4.8
15;42/43 Grond-, weg- en waterbouw;2021 april;105.1;6.6
16;42/43 Grond-, weg- en waterbouw;2021 mei;106.9;8.7
17;42/43 Grond-, weg- en waterbouw;2021 juni;107.0;8.0
18;42/43 Grond-, weg- en waterbouw;2021 juli;108.7;8.2
19;42/43 Grond-, weg- en waterbouw;2021 augustus;109.1;8.5
20;42/43 Grond-, weg- en waterbouw;2021 september;109.4;9.4
21;42/43 Grond-, weg- en waterbouw;2021 oktober;110.6;10.9
22;42/43 Grond-, weg- en waterbouw;2021 november;112.8;13.3
23;42/43 Grond-, weg- en waterbouw;2021 december;112.4;12.3
24;42/43 Grond-, weg- en waterbouw;2022 januari;115.3;12.6
25;42/43 Grond-, weg- en waterbouw;2022 februari;119.4;15.5
26;42/43 Grond-, weg- en waterbouw;2022 maart;123.6;18.1
27;42/43 Grond-, weg- en waterbouw;2022 april;129.8;23.5
28;42/43 Grond-, weg- en waterbouw;2022 mei;129.9;21.5
29;42/43 Grond-, weg- en waterbouw;2022 juni;131.9;23.2
30;42/43 Grond-, weg- en waterbouw;2022 juli;130.5;20.1
31;42/43 Grond-, weg- en waterbouw;2022 augustus;130.5;19.6
32;42/43 Grond-, weg- en waterbouw;2022 september;130.4;19.1
33;42/43 Grond-, weg- en waterbouw;2022 oktober;129.9;17.4
34;42/43 Grond-, weg- en waterbouw;2022 november;127.9;13.4
35;42/43 Grond-, weg- en waterbouw;2022 december;126.6;12.6
36;42/43 Grond-, weg- en waterbouw;2023 januari;127.0;10.2
37;42/43 Grond-, weg- en waterbouw;2023 februari;126.9;6.3
38;42/43 Grond-, weg- en waterbouw;2023 maart;127.2;2.9
39;42/43 Grond-, weg- en waterbouw;2023 april;127.9;-1.5
40;42/43 Grond-, weg- en waterbouw;2023 mei;129.1;-0.6
41;42/43 Grond-, weg- en waterbouw;2023 juni;128.7;-2.4
42;42/43 Grond-, weg- en waterbouw;2023 juli;130.6;0.1
43;42/43 Grond-, weg- en waterbouw;2023 augustus;131.6;0.9
44;42/43 Grond-, weg- en waterbouw;2023 september;134.3;3.0
45;42/43 Grond-, weg- en waterbouw;2023 oktober;134.7;3.7
46;42/43 Grond-, weg- en waterbouw;2023 november;132.2;3.4
47;42/43 Grond-, weg- en waterbouw;2023 december;131.1;3.6
48;42/43 Grond-, weg- en waterbouw;2024 januari;133.6;5.2
49;42/43 Grond-, weg- en waterbouw;2024 februari;134.4;5.9
50;42/43 Grond-, weg- en waterbouw;2024 maart;134.1;5.4
51;42/43 Grond-, weg- en waterbouw;2024 april;134.7;5.3
52;42/43 Grond-, weg- en waterbouw;2024 mei;134.7;4.4
53;42/43 Grond-, weg- en waterbouw;2024 juni;134.2;4.2
54;42/43 Grond-, weg- en waterbouw;2024 juli;136.6;4.6
55;42/43 Grond-, weg- en waterbouw;2024 augustus;136.6;3.8
56;42/43 Grond-, weg- en waterbouw;2024 september;134.6;0.2
57;42/43 Grond-, weg- en waterbouw;2024 oktober;134.7;0.0
58;42/43 Grond-, weg- en waterbouw;2024 november;135.7;2.6
59;42/43 Grond-, weg- en waterbouw;2024 december;135.1;3.1
60;42/43 Grond-, weg- en waterbouw;2025 januari;136.4;2.1
61;4211a Wegen met open verharding;2020 januari;100.5;
62;4211a Wegen met open verharding;2020 februari;100.4;
63;4211a Wegen met open verharding;2020 maart;99.6;
64;4211a Wegen met open verharding;2020 april;99.5;
65;4211a Wegen met open verharding;2020 mei;99.3;
66;4211a Wegen met open verharding;2020 juni;99.6;
67;4211a Wegen met open verharding;2020 juli;100.4;
68;4211a Wegen met open verharding;2020 augustus;100.3;
69;4211a Wegen met open verharding;2020 september;99.6;
70;4211a Wegen met open verharding;2020 oktober;100.0;
71;4211a Wegen met open verharding;2020 november;100.2;
72;4211a Wegen met open verharding;2020 december;100.6;
73;4211a Wegen met open verharding;2021 januari;101.2;0.7
74;4211a Wegen met open verharding;2021 februari;101.6;1.2
75;4211a Wegen met open verharding;2021 maart;102.0;2.5
76;4211a Wegen met open verharding;2021 april;101.3;1.8
77;4211a Wegen met open verharding;2021 mei;102.5;3.2
78;4211a Wegen met open verharding;2021 juni;102.6;3.0
79;4211a Wegen met open verharding;2021 juli;102.7;2.3
80;4211a Wegen met open verharding;2021 augustus;102.7;2.3
81;4211a Wegen met open verharding;2021 september;102.8;3.2
82;4211a Wegen met open verharding;2021 oktober;103.8;3.8
83;4211a Wegen met open verharding;2021 november;104.3;4.1
84;4211a Wegen met open verharding;2021 december;104.6;3.9
85;4211a Wegen met open verharding;2022 januari;108.1;6.8
86;4211a Wegen met open verharding;2022 februari;109.0;7.3
87;4211a Wegen met open verharding;2022 maart;112.1;9.9
88;4211a Wegen met open verharding;2022 april;113.0;11.5
89;4211a Wegen met open verharding;2022 mei;114.2;11.4
90;4211a Wegen met open verharding;2022 juni;115.8;12.8
91;4211a Wegen met open verharding;2022 juli;116.0;13.0
92;4211a Wegen met open verharding;2022 augustus;116.5;13.5
93;4211a Wegen met open verharding;2022 september;116.5;13.4
94;4211a Wegen met open verharding;2022 oktober;118.5;14.2
95;4211a Wegen met open verharding;2022 november;117.5;12.7
96;4211a Wegen met open verharding;2022 december;116.1;11.0
97;4211a Wegen met open verharding;2023 januari;121.3;12.2
98;4211a Wegen met open verharding;2023 februari;120.0;10.1
99;4211a Wegen met open verharding;2023 maart;122.0;8.8
100;4211a Wegen met open verharding;2023 april;122.8;8.7
101;4211a Wegen met open verharding;2023 mei;122.9;7.6
102;4211a Wegen met open verharding;2023 juni;122.8;6.1
103;4211a Wegen met open verharding;2023 juli;124.2;7.1
104;4211a Wegen met open verharding;2023 augustus;125.5;7.7
105;4211a Wegen met open verharding;2023 september;126.4;8.5
106;4211a Wegen met open verharding;2023 oktober;125.9;6.3
107;4211a Wegen met open verharding;2023 november;125.3;6.6
108;4211a Wegen met open verharding;2023 december;124.9;7.6
109;4211a Wegen met open verharding;2024 januari;127.5;5.2
110;4211a Wegen met open verharding;2024 februari;127.9;6.6
111;4211a Wegen met open verharding;2024 maart;128.2;5.0
112;4211a Wegen met open verharding;2024 april;127.9;4.2
113;4211a Wegen met open verharding;2024 mei;127.5;3.8
114;4211a Wegen met open verharding;2024 juni;127.3;3.6
115;4211a Wegen met open verharding;2024 juli;129.5;4.2
116;4211a Wegen met open verharding;2024 augustus;129.1;2.9
117;4211a Wegen met open verharding;2024 september;128.5;1.6
118;4211a Wegen met open verharding;2024 oktober;129.5;2.8
119;4211a Wegen met open verharding;2024 november;129.7;3.5
120;4211a Wegen met open verharding;2024 december;129.5;3.6
121;4211a Wegen met open verharding;2025 januari;130.7;2.5
122;4211b Wegen met gesloten verharding;2020 januari;106.4;
123;4211b Wegen met gesloten verharding;2020 februari;105.9;
124;4211b Wegen met gesloten verharding;2020 maart;102.5;
125;4211b Wegen met gesloten verharding;2020 april;95.2;
126;4211b Wegen met gesloten verharding;2020 mei;92.4;
127;4211b Wegen met gesloten verharding;2020 juni;95.3;
128;4211b Wegen met gesloten verharding;2020 juli;101.9;
129;4211b Wegen met gesloten verharding;2020 augustus;102.5;
130;4211b Wegen met gesloten verharding;2020 september;102.0;
131;4211b Wegen met gesloten verharding;2020 oktober;99.2;
132;4211b Wegen met gesloten verharding;2020 november;98.4;
133;4211b Wegen met gesloten verharding;2020 december;98.3;
134;4211b Wegen met gesloten verharding;2021 januari;100.6;-5.4
135;4211b Wegen met gesloten verharding;2021 februari;102.8;-2.9
136;4211b Wegen met gesloten verharding;2021 maart;107.0;4.4
137;4211b Wegen met gesloten verharding;2021 april;109.8;15.3
138;4211b Wegen met gesloten verharding;2021 mei;110.5;19.6
139;4211b Wegen met gesloten verharding;2021 juni;111.2;16.6
140;4211b Wegen met gesloten verharding;2021 juli;113.5;11.5
141;4211b Wegen met gesloten verharding;2021 augustus;113.9;11.1
142;4211b Wegen met gesloten verharding;2021 september;114.2;12.0
143;4211b Wegen met gesloten verharding;2021 oktober;118.3;19.3
144;4211b Wegen met gesloten verharding;2021 november;124.1;26.2
145;4211b Wegen met gesloten verharding;2021 december;120.9;23.0
146;4211b Wegen met gesloten verharding;2022 januari;121.8;21.0
147;4211b Wegen met gesloten verharding;2022 februari;130.3;26.7
148;4211b Wegen met gesloten verharding;2022 maart;139.0;29.9
149;4211b Wegen met gesloten verharding;2022 april;159.5;45.2
150;4211b Wegen met gesloten verharding;2022 mei;157.0;42.1
151;4211b Wegen met gesloten verharding;2022 juni;162.2;46.0
152;4211b Wegen met gesloten verharding;2022 juli;156.7;38.0
153;4211b Wegen met gesloten verharding;2022 augustus;151.5;33.0
154;4211b Wegen met gesloten verharding;2022 september;150.0;31.3
155;4211b Wegen met gesloten verharding;2022 oktober;142.2;20.2
156;4211b Wegen met gesloten verharding;2022 november;137.8;11.0
157;4211b Wegen met gesloten verharding;2022 december;137.0;13.3
158;4211b Wegen met gesloten verharding;2023 januari;134.7;10.6
159;4211b Wegen met gesloten verharding;2023 februari;133.8;2.7
160;4211b Wegen met gesloten verharding;2023 maart;133.6;-3.9
161;4211b Wegen met gesloten verharding;2023 april;133.5;-16.3
162;4211b Wegen met gesloten verharding;2023 mei;140.2;-10.7
163;4211b Wegen met gesloten verharding;2023 juni;135.3;-16.6
164;4211b Wegen met gesloten verharding;2023 juli;139.5;-11.0
165;4211b Wegen met gesloten verharding;2023 augustus;141.5;-6.6
166;4211b Wegen met gesloten verharding;2023 september;153.0;2.0
167;4211b Wegen met gesloten verharding;2023 oktober;156.2;9.8
168;4211b Wegen met gesloten verharding;2023 november;146.7;6.5
169;4211b Wegen met gesloten verharding;2023 december;142.0;3.7
170;4211b Wegen met gesloten verharding;2024 januari;142.2;5.6
171;4211b Wegen met gesloten verharding;2024 februari;142.6;6.6
172;4211b Wegen met gesloten verharding;2024 maart;143.9;7.7
173;4211b Wegen met gesloten verharding;2024 april;144.5;8.3
174;4211b Wegen met gesloten verharding;2024 mei;146.6;4.6
175;4211b Wegen met gesloten verharding;2024 juni;144.9;7.1
176;4211b Wegen met gesloten verharding;2024 juli;148.0;6.1
177;4211b Wegen met gesloten verharding;2024 augustus;148.2;4.8
178;4211b Wegen met gesloten verharding;2024 september;142.7;-6.8
179;4211b Wegen met gesloten verharding;2024 oktober;139.2;-10.9
180;4211b Wegen met gesloten verharding;2024 november;145.2;-1.0
181;4211b Wegen met gesloten verharding;2024 december;142.3;0.2
182;4211b Wegen met gesloten verharding;2025 januari;143.2;0.7
183;4212 Boven- en ondergrondse spoorwegen;2020 januari;100.5;
184;4212 Boven- en ondergrondse spoorwegen;2020 februari;100.3;
185;4212 Boven- en ondergrondse spoorwegen;2020 maart;99.9;
186;4212 Boven- en ondergrondse spoorwegen;2020 april;99.5;
187;4212 Boven- en ondergrondse spoorwegen;2020 mei;99.2;
188;4212 Boven- en ondergrondse spoorwegen;2020 juni;99.2;
189;4212 Boven- en ondergrondse spoorwegen;2020 juli;99.7;
190;4212 Boven- en ondergrondse spoorwegen;2020 augustus;100.2;
191;4212 Boven- en ondergrondse spoorwegen;2020 september;100.2;
192;4212 Boven- en ondergrondse spoorwegen;2020 oktober;100.0;
193;4212 Boven- en ondergrondse spoorwegen;2020 november;100.4;
194;4212 Boven- en ondergrondse spoorwegen;2020 december;101.0;
195;4212 Boven- en ondergrondse spoorwegen;2021 januari;102.8;2.3
196;4212 Boven- en ondergrondse spoorwegen;2021 februari;103.4;3.1
197;4212 Boven- en ondergrondse spoorwegen;2021 maart;104.1;4.2
198;4212 Boven- en ondergrondse spoorwegen;2021 april;105.6;6.1
199;4212 Boven- en ondergrondse spoorwegen;2021 mei;106.7;7.6
200;4212 Boven- en ondergrondse spoorwegen;2021 juni;107.7;8.6
201;4212 Boven- en ondergrondse spoorwegen;2021 juli;110.3;10.6
202;4212 Boven- en ondergrondse spoorwegen;2021 augustus;110.6;10.4
203;4212 Boven- en ondergrondse spoorwegen;2021 september;111.0;10.9
204;4212 Boven- en ondergrondse spoorwegen;2021 oktober;113.0;13.0
205;4212 Boven- en ondergrondse spoorwegen;2021 november;113.5;13.1
206;4212 Boven- en ondergrondse spoorwegen;2021 december;113.6;12.5
207;4212 Boven- en ondergrondse spoorwegen;2022 januari;116.7;13.6
208;4212 Boven- en ondergrondse spoorwegen;2022 februari;118.1;14.2
209;4212 Boven- en ondergrondse spoorwegen;2022 maart;120.7;16.0
210;4212 Boven- en ondergrondse spoorwegen;2022 april;124.0;17.4
211;4212 Boven- en ondergrondse spoorwegen;2022 mei;124.8;17.0
212;4212 Boven- en ondergrondse spoorwegen;2022 juni;124.3;15.4
213;4212 Boven- en ondergrondse spoorwegen;2022 juli;124.9;13.2
214;4212 Boven- en ondergrondse spoorwegen;2022 augustus;125.2;13.2
215;4212 Boven- en ondergrondse spoorwegen;2022 september;125.3;12.8
216;4212 Boven- en ondergrondse spoorwegen;2022 oktober;124.6;10.3
