ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
266;Total sex;60 - 65 yrs;2010;1078.0;425.0;409.0;16.0;653.0;39.4;38.0;3.8;301.0;253.0;47.0;105.0;3.0;106.0;123.0;175.0;4.0;29.0;;60.0;97.0;58.0;44.0;43.0;6.0;33.0;30.0;32.0;6.0
267;Total sex;60 - 65 yrs;2011;1077.0;450.0;431.0;19.0;627.0;41.8;40.0;4.3;318.0;274.0;43.0;108.0;5.0;100.0;133.0;192.0;4.0;29.6;;60.0;100.0;67.0;46.0;47.0;8.0;31.0;32.0;32.0;7.0
268;Total sex;60 - 65 yrs;2012;1051.0;484.0;462.0;22.0;567.0;46.1;43.9;4.6;345.0;303.0;42.0;113.0;4.0;104.0;139.0;214.0;5.0;29.9;;;;;;;;;;;
269;Total sex;60 - 65 yrs;2013;1039.0;526.0;492.0;33.0;513.0;50.6;47.4;6.4;372.0;331.0;41.0;117.0;3.0;105.0;150.0;232.0;5.0;30.1;;;;;;;;;;;
270;Total sex;65 - 70 yrs;2000;614.0;38.0;38.0;;576.0;6.1;6.1;;15.0;5.0;10.0;22.0;;20.0;7.0;11.0;;22.7;;13.0;5.0;4.0;;2.0;;3.0;3.0;2.0;5.0
271;Total sex;65 - 70 yrs;2001 before revision;630.0;41.0;40.0;;590.0;6.5;6.3;;15.0;6.0;10.0;23.0;;21.0;11.0;8.0;;20.7;;10.0;10.0;4.0;;4.0;;3.0;4.0;3.0;
272;Total sex;65 - 70 yrs;2001 after revision;639.0;37.0;36.0;;602.0;5.8;5.7;;16.0;6.0;10.0;19.0;;20.0;9.0;7.0;;20.1;;10.0;6.0;3.0;2.0;3.0;;2.0;3.0;2.0;4.0
273;Total sex;65 - 70 yrs;2002;642.0;43.0;42.0;2.0;599.0;6.7;6.5;3.8;17.0;6.0;11.0;24.0;;24.0;9.0;8.0;;19.5;;12.0;9.0;5.0;3.0;3.0;;3.0;4.0;3.0;
274;Total sex;65 - 70 yrs;2003;650.0;47.0;45.0;2.0;603.0;7.3;7.0;4.3;20.0;8.0;11.0;25.0;;24.0;10.0;10.0;;20.2;;13.0;8.0;5.0;3.0;4.0;;2.0;4.0;4.0;
275;Total sex;65 - 70 yrs;2004;664.0;53.0;50.0;2.0;612.0;7.9;7.5;4.6;23.0;10.0;13.0;26.0;;26.0;12.0;11.0;;20.7;;12.0;10.0;6.0;3.0;4.0;;3.0;5.0;6.0;
276;Total sex;65 - 70 yrs;2005;681.0;57.0;54.0;3.0;624.0;8.4;8.0;5.0;25.0;12.0;13.0;29.0;;28.0;11.0;14.0;;21.5;;13.0;13.0;5.0;4.0;6.0;;3.0;4.0;6.0;
277;Total sex;65 - 70 yrs;2006;696.0;59.0;56.0;3.0;636.0;8.5;8.1;5.1;25.0;11.0;13.0;30.0;;29.0;14.0;13.0;;21.2;;16.0;13.0;5.0;3.0;5.0;;3.0;4.0;5.0;
278;Total sex;65 - 70 yrs;2007;710.0;71.0;70.0;;639.0;10.0;9.8;;32.0;14.0;18.0;36.0;;37.0;15.0;14.0;3.0;19.4;;15.0;13.0;7.0;5.0;7.0;;7.0;5.0;7.0;
279;Total sex;65 - 70 yrs;2008;731.0;78.0;74.0;4.0;653.0;10.6;10.1;4.9;36.0;13.0;23.0;37.0;;40.0;16.0;15.0;2.0;20.3;;15.0;14.0;9.0;4.0;10.0;;5.0;8.0;7.0;
280;Total sex;65 - 70 yrs;2009;756.0;94.0;91.0;3.0;662.0;12.4;12.1;2.8;47.0;18.0;28.0;44.0;;48.0;21.0;21.0;2.0;21.4;;18.0;18.0;10.0;6.0;15.0;;6.0;9.0;9.0;
281;Total sex;65 - 70 yrs;2010;777.0;96.0;93.0;3.0;680.0;12.4;12.0;3.4;46.0;19.0;27.0;46.0;;51.0;22.0;19.0;2.0;20.1;;18.0;19.0;12.0;5.0;14.0;2.0;5.0;9.0;8.0;
282;Total sex;65 - 70 yrs;2011;825.0;98.0;94.0;4.0;726.0;11.9;11.4;4.6;45.0;18.0;27.0;47.0;2.0;52.0;23.0;16.0;3.0;18.5;;18.0;21.0;13.0;6.0;13.0;2.0;6.0;8.0;5.0;3.0
283;Total sex;65 - 70 yrs;2012;900.0;121.0;114.0;7.0;779.0;13.4;12.7;5.4;56.0;23.0;33.0;57.0;;62.0;26.0;24.0;2.0;20.0;;;;;;;;;;;
284;Total sex;65 - 70 yrs;2013;955.0;132.0;125.0;7.0;823.0;13.8;13.1;5.6;62.0;23.0;39.0;61.0;2.0;67.0;31.0;21.0;5.0;18.1;;;;;;;;;;;
285;Total sex;70 - 75 yrs;2000;567.0;21.0;21.0;;547.0;3.7;3.7;;7.0;2.0;5.0;13.0;;14.0;4.0;3.0;;16.3;;4.0;5.0;;;3.0;;;;;4.0
286;Total sex;70 - 75 yrs;2001 before revision;560.0;14.0;14.0;;546.0;2.5;2.5;;6.0;2.0;4.0;8.0;;9.0;3.0;2.0;;17.0;;4.0;3.0;2.0;;;;;;;
287;Total sex;70 - 75 yrs;2001 after revision;551.0;17.0;17.0;;534.0;3.0;3.0;;7.0;2.0;5.0;9.0;;11.0;4.0;2.0;;16.2;;4.0;3.0;;;2.0;;;;;2.0
288;Total sex;70 - 75 yrs;2002;558.0;18.0;18.0;;540.0;3.2;3.2;;7.0;2.0;5.0;11.0;;10.0;5.0;3.0;;18.7;;5.0;4.0;3.0;;2.0;;;;2.0;
289;Total sex;70 - 75 yrs;2003;563.0;18.0;18.0;;545.0;3.2;3.2;;8.0;3.0;5.0;10.0;;10.0;4.0;4.0;;20.5;;6.0;3.0;2.0;;2.0;;;;;
290;Total sex;70 - 75 yrs;2004;566.0;20.0;19.0;;546.0;3.5;3.3;;8.0;3.0;4.0;11.0;;10.0;4.0;4.0;;19.7;;5.0;3.0;2.0;;;;;2.0;3.0;
291;Total sex;70 - 75 yrs;2005;569.0;23.0;22.0;;546.0;4.1;3.9;;8.0;3.0;5.0;14.0;;13.0;5.0;4.0;;19.0;;5.0;5.0;3.0;2.0;;;;2.0;2.0;
292;Total sex;70 - 75 yrs;2006;573.0;24.0;24.0;;549.0;4.2;4.2;;8.0;3.0;6.0;15.0;;15.0;4.0;5.0;;19.2;;6.0;5.0;3.0;2.0;2.0;;;2.0;2.0;
293;Total sex;70 - 75 yrs;2007;578.0;27.0;26.0;;552.0;4.6;4.6;;10.0;3.0;7.0;16.0;;15.0;6.0;5.0;;18.8;;7.0;5.0;2.0;2.0;2.0;;;3.0;3.0;
294;Total sex;70 - 75 yrs;2008;588.0;25.0;24.0;;562.0;4.3;4.1;;8.0;2.0;7.0;16.0;;15.0;5.0;4.0;;17.4;;7.0;5.0;2.0;2.0;3.0;;;2.0;2.0;
295;Total sex;70 - 75 yrs;2009;602.0;31.0;30.0;;572.0;5.1;5.0;;13.0;4.0;9.0;17.0;;18.0;7.0;5.0;;17.9;;8.0;5.0;3.0;2.0;4.0;2.0;;4.0;3.0;
296;Total sex;70 - 75 yrs;2010;618.0;33.0;33.0;;585.0;5.4;5.3;;15.0;6.0;9.0;17.0;;20.0;8.0;4.0;;16.8;;7.0;7.0;4.0;;3.0;3.0;2.0;4.0;2.0;
297;Total sex;70 - 75 yrs;2011;633.0;33.0;31.0;2.0;600.0;5.3;5.0;6.1;12.0;4.0;7.0;19.0;;17.0;8.0;5.0;;18.0;;8.0;7.0;2.0;2.0;4.0;;2.0;3.0;2.0;
298;Total sex;70 - 75 yrs;2012;649.0;43.0;41.0;2.0;606.0;6.6;6.3;4.7;16.0;5.0;11.0;25.0;;20.0;11.0;7.0;3.0;19.1;;;;;;;;;;;
299;Total sex;70 - 75 yrs;2013;669.0;39.0;37.0;2.0;630.0;5.9;5.5;6.0;19.0;5.0;14.0;18.0;;26.0;7.0;3.0;2.0;13.5;;;;;;;;;;;
300;Total sex;75 yrs and older;2000;839.0;6.0;6.0;;833.0;0.7;0.7;;2.0;;;4.0;;3.0;;2.0;;20.8;;2.0;2.0;;;;;;;;
301;Total sex;75 yrs and older;2001 before revision;857.0;9.0;9.0;;848.0;1.1;1.1;;;;;7.0;;4.0;2.0;3.0;;23.8;;3.0;2.0;;;;;;;;
302;Total sex;75 yrs and older;2001 after revision;857.0;8.0;8.0;;849.0;0.9;0.9;;;;;6.0;;4.0;2.0;2.0;;21.6;;3.0;2.0;;;;;;;;
303;Total sex;75 yrs and older;2002;873.0;9.0;9.0;;863.0;1.1;1.1;;2.0;;2.0;7.0;;6.0;2.0;2.0;;17.5;;3.0;2.0;2.0;;;;;;;
304;Total sex;75 yrs and older;2003;888.0;10.0;10.0;;878.0;1.1;1.1;;3.0;;2.0;7.0;;6.0;2.0;;;15.5;;3.0;2.0;;;;;;;;
305;Total sex;75 yrs and older;2004;907.0;12.0;12.0;;895.0;1.3;1.3;;3.0;;2.0;9.0;;6.0;2.0;2.0;;17.7;;3.0;3.0;2.0;;;;;;;
306;Total sex;75 yrs and older;2005;929.0;10.0;10.0;;919.0;1.1;1.1;;3.0;;2.0;6.0;;6.0;2.0;;;16.7;;2.0;3.0;2.0;;;;;;2.0;
307;Total sex;75 yrs and older;2006;952.0;11.0;11.0;;941.0;1.2;1.2;;3.0;;2.0;8.0;;6.0;2.0;2.0;;18.1;;3.0;2.0;;;;;;;2.0;
308;Total sex;75 yrs and older;2007;977.0;14.0;14.0;;963.0;1.4;1.4;;4.0;;3.0;10.0;;9.0;3.0;2.0;;14.9;;4.0;4.0;3.0;;2.0;;;;;
309;Total sex;75 yrs and older;2008;1000.0;13.0;13.0;;987.0;1.3;1.3;;5.0;;4.0;9.0;;8.0;3.0;2.0;;15.3;;3.0;3.0;2.0;;2.0;;;;2.0;
310;Total sex;75 yrs and older;2009;1022.0;14.0;14.0;;1007.0;1.4;1.4;;6.0;;5.0;8.0;;10.0;3.0;;;14.8;;3.0;2.0;2.0;;2.0;;;;2.0;
311;Total sex;75 yrs and older;2010;1044.0;12.0;12.0;;1032.0;1.2;1.2;;5.0;;4.0;7.0;;8.0;2.0;2.0;;15.4;;2.0;3.0;2.0;;2.0;;;;;
312;Total sex;75 yrs and older;2011;1069.0;12.0;12.0;;1057.0;1.1;1.1;;4.0;;3.0;7.0;;6.0;3.0;2.0;;15.5;;3.0;4.0;2.0;;;;;;2.0;
313;Total sex;75 yrs and older;2012;1091.0;15.0;15.0;;1076.0;1.4;1.4;;6.0;2.0;4.0;9.0;;10.0;4.0;;;12.9;;;;;;;;;;;
314;Total sex;75 yrs and older;2013;1115.0;19.0;19.0;;1096.0;1.7;1.7;;8.0;;7.0;11.0;;12.0;3.0;2.0;;14.7;;;;;;;;;;;
315;Total sex;4010;2000;2268.0;1120.0;1066.0;55.0;1147.0;49.4;47.0;4.9;956.0;758.0;197.0;110.0;;142.0;201.0;723.0;;34.4;3.0;108.0;227.0;205.0;133.0;117.0;17.0;82.0;61.0;80.0;32.0
316;Total sex;4010;2001 before revision;2318.0;1149.0;1102.0;47.0;1170.0;49.5;47.5;4.1;998.0;800.0;197.0;103.0;;144.0;204.0;754.0;;34.2;4.0;112.0;244.0;206.0;143.0;126.0;15.0;88.0;69.0;75.0;20.0
317;Total sex;4010;2001 after revision;2378.0;1059.0;1011.0;48.0;1319.0;44.5;42.5;4.6;889.0;695.0;194.0;121.0;;144.0;191.0;675.0;2.0;34.0;3.0;109.0;210.0;197.0;130.0;108.0;15.0;78.0;57.0;72.0;32.0
318;Total sex;4010;2002;2360.0;1073.0;1015.0;57.0;1287.0;45.5;43.0;5.4;891.0;706.0;185.0;124.0;;154.0;205.0;654.0;3.0;33.2;2.0;95.0;235.0;195.0;133.0;113.0;13.0;85.0;56.0;72.0;15.0
319;Total sex;4010;2003;2379.0;1093.0;1012.0;81.0;1286.0;45.9;42.5;7.4;876.0;704.0;172.0;134.0;;132.0;218.0;658.0;3.0;33.9;3.0;107.0;241.0;189.0;121.0;109.0;12.0;83.0;55.0;71.0;18.0
320;Total sex;4010;2004;2384.0;1111.0;1016.0;95.0;1273.0;46.6;42.6;8.6;879.0;703.0;177.0;135.0;;128.0;226.0;660.0;3.0;33.9;3.0;85.0;244.0;203.0;128.0;114.0;13.0;80.0;65.0;70.0;10.0
321;Total sex;4010;2005;2425.0;1149.0;1050.0;98.0;1276.0;47.4;43.3;8.6;903.0;716.0;187.0;146.0;;136.0;229.0;681.0;3.0;33.9;2.0;85.0;249.0;208.0;131.0;125.0;13.0;87.0;63.0;77.0;10.0
322;Total sex;4010;2006;2431.0;1161.0;1081.0;80.0;1270.0;47.8;44.5;6.9;936.0;730.0;206.0;145.0;;138.0;231.0;708.0;5.0;34.1;2.0;96.0;257.0;201.0;129.0;132.0;13.0;88.0;64.0;81.0;18.0
323;Total sex;4010;2007;2481.0;1208.0;1142.0;66.0;1273.0;48.7;46.0;5.5;979.0;752.0;227.0;161.0;;139.0;246.0;752.0;5.0;34.2;3.0;104.0;272.0;216.0;132.0;133.0;15.0;96.0;64.0;87.0;18.0
324;Total sex;4010;2008;2431.0;1214.0;1155.0;59.0;1217.0;49.9;47.5;4.8;998.0;759.0;240.0;156.0;;141.0;246.0;763.0;5.0;34.3;4.0;99.0;270.0;225.0;131.0;139.0;17.0;97.0;69.0;83.0;19.0
325;Total sex;4010;2009;2457.0;1230.0;1159.0;71.0;1227.0;50.1;47.2;5.8;996.0;756.0;240.0;162.0;;149.0;261.0;745.0;4.0;33.8;4.0;100.0;278.0;218.0;134.0;147.0;16.0;93.0;66.0;81.0;23.0
326;Total sex;4010;2010;2515.0;1244.0;1160.0;84.0;1271.0;49.5;46.1;6.8;990.0;744.0;247.0;169.0;;155.0;277.0;720.0;7.0;33.5;2.0;97.0;293.0;215.0;132.0;139.0;16.0;85.0;70.0;90.0;22.0
327;Total sex;4010;2011;2571.0;1279.0;1189.0;91.0;1291.0;49.8;46.2;7.1;1006.0;749.0;257.0;182.0;;164.0;288.0;728.0;9.0;33.2;4.0;102.0;296.0;231.0;132.0;144.0;19.0;84.0;70.0;84.0;22.0
328;Total sex;4010;2012;2658.0;1318.0;1213.0;105.0;1340.0;49.6;45.6;7.9;1019.0;753.0;267.0;194.0;;175.0;294.0;736.0;9.0;33.1;;;;;;;;;;;
329;Total sex;4010;2013;2705.0;1385.0;1248.0;137.0;1321.0;51.2;46.1;9.9;1046.0;754.0;293.0;201.0;;173.0;316.0;746.0;13.0;32.8;;;;;;;;;;;
330;Total sex;4090;2000;4292.0;2301.0;2263.0;38.0;1991.0;53.6;52.7;1.7;1975.0;1709.0;265.0;274.0;14.0;244.0;504.0;1513.0;2.0;34.7;12.0;336.0;444.0;422.0;274.0;249.0;27.0;189.0;130.0;125.0;55.0
331;Total sex;4090;2001 before revision;4247.0;2240.0;2202.0;38.0;2008.0;52.7;51.8;1.7;1929.0;1695.0;235.0;257.0;15.0;244.0;494.0;1463.0;;34.5;9.0;312.0;453.0;421.0;269.0;247.0;23.0;185.0;120.0;135.0;28.0
332;Total sex;4090;2001 after revision;3982.0;2067.0;2032.0;35.0;1914.0;51.9;51.0;1.7;1749.0;1513.0;236.0;267.0;16.0;240.0;459.0;1331.0;3.0;34.4;9.0;292.0;392.0;378.0;251.0;217.0;23.0;178.0;120.0;126.0;46.0
333;Total sex;4090;2002;3993.0;2096.0;2050.0;45.0;1897.0;52.5;51.3;2.2;1749.0;1512.0;237.0;286.0;14.0;252.0;489.0;1302.0;7.0;33.9;9.0;290.0;399.0;393.0;250.0;221.0;24.0;181.0;122.0;130.0;31.0
334;Total sex;4090;2003;4067.0;2095.0;2038.0;57.0;1971.0;51.5;50.1;2.7;1733.0;1499.0;234.0;290.0;15.0;247.0;504.0;1281.0;7.0;33.8;8.0;294.0;414.0;405.0;236.0;216.0;24.0;170.0;115.0;125.0;30.0
335;Total sex;4090;2004;4062.0;2092.0;2022.0;70.0;1970.0;51.5;49.8;3.3;1711.0;1474.0;237.0;297.0;13.0;257.0;507.0;1251.0;6.0;33.7;8.0;248.0;431.0;386.0;245.0;240.0;24.0;173.0;123.0;125.0;18.0
336;Total sex;4090;2005;4059.0;2073.0;1998.0;75.0;1986.0;51.1;49.2;3.6;1685.0;1443.0;242.0;298.0;15.0;270.0;497.0;1224.0;6.0;33.5;9.0;226.0;434.0;387.0;252.0;242.0;25.0;176.0;113.0;120.0;14.0
337;Total sex;4090;2006;4170.0;2119.0;2054.0;65.0;2051.0;50.8;49.3;3.1;1721.0;1449.0;272.0;318.0;15.0;279.0;522.0;1247.0;6.0;33.5;9.0;246.0;446.0;385.0;255.0;247.0;23.0;174.0;112.0;133.0;24.0
338;Total sex;4090;2007;4179.0;2154.0;2099.0;55.0;2025.0;51.5;50.2;2.5;1751.0;1445.0;306.0;333.0;15.0;287.0;532.0;1271.0;9.0;33.5;10.0;247.0;468.0;401.0;251.0;251.0;24.0;176.0;117.0;131.0;24.0
339;Total sex;4090;2008;4369.0;2275.0;2225.0;50.0;2094.0;52.1;50.9;2.2;1852.0;1521.0;331.0;361.0;12.0;305.0;571.0;1341.0;8.0;33.4;9.0;264.0;507.0;422.0;258.0;263.0;24.0;191.0;122.0;140.0;25.0
340;Total sex;4090;2009;4409.0;2308.0;2249.0;60.0;2101.0;52.3;51.0;2.6;1874.0;1533.0;341.0;363.0;11.0;318.0;592.0;1328.0;10.0;33.1;8.0;270.0;508.0;429.0;252.0;281.0;27.0;185.0;124.0;135.0;30.0
341;Total sex;4090;2010;4470.0;2334.0;2262.0;72.0;2136.0;52.2;50.6;3.1;1882.0;1540.0;342.0;366.0;14.0;313.0;607.0;1331.0;12.0;33.1;8.0;269.0;521.0;436.0;245.0;282.0;28.0;180.0;127.0;132.0;35.0
342;Total sex;4090;2011;4480.0;2300.0;2230.0;70.0;2181.0;51.3;49.8;3.0;1848.0;1510.0;337.0;365.0;17.0;314.0;613.0;1291.0;12.0;32.8;9.0;253.0;522.0;436.0;251.0;273.0;26.0;165.0;129.0;132.0;34.0
343;Total sex;4090;2012;4425.0;2294.0;2209.0;85.0;2131.0;51.8;49.9;3.7;1827.0;1469.0;359.0;368.0;13.0;323.0;616.0;1256.0;15.0;32.5;;;;;;;;;;;
344;Total sex;4090;2013;4495.0;2307.0;2195.0;112.0;2188.0;51.3;48.8;4.9;1796.0;1417.0;380.0;387.0;12.0;341.0;615.0;1224.0;17.0;32.0;;;;;;;;;;;
345;Total sex;4100;2000;4122.0;3241.0;3169.0;72.0;881.0;78.6;76.9;2.2;2697.0;2377.0;321.0;435.0;36.0;573.0;729.0;1866.0;;32.9;14.0;515.0;560.0;555.0;336.0;325.0;49.0;319.0;213.0;210.0;73.0
346;Total sex;4100;2001 before revision;4159.0;3309.0;3247.0;62.0;850.0;79.6;78.1;1.9;2795.0;2495.0;300.0;425.0;27.0;583.0;765.0;1898.0;;32.7;16.0;521.0;553.0;585.0;363.0;340.0;36.0;340.0;226.0;226.0;41.0
347;Total sex;4100;2001 after revision;4385.0;3502.0;3444.0;58.0;883.0;79.9;78.5;1.7;2925.0;2614.0;310.0;484.0;36.0;642.0;796.0;2002.0;5.0;32.7;15.0;555.0;561.0;613.0;391.0;357.0;43.0;364.0;233.0;236.0;76.0
348;Total sex;4100;2002;4415.0;3560.0;3491.0;69.0;855.0;80.6;79.1;1.9;2967.0;2656.0;312.0;491.0;32.0;651.0;855.0;1977.0;7.0;32.3;14.0;560.0;602.0;637.0;378.0;371.0;41.0;363.0;235.0;243.0;47.0
349;Total sex;4100;2003;4360.0;3537.0;3441.0;96.0;824.0;81.1;78.9;2.7;2933.0;2629.0;303.0;481.0;27.0;628.0;877.0;1927.0;9.0;32.3;12.0;547.0;610.0;642.0;377.0;366.0;40.0;344.0;228.0;234.0;41.0
350;Total sex;4100;2004;4371.0;3561.0;3442.0;119.0;811.0;81.5;78.7;3.3;2910.0;2623.0;287.0;505.0;27.0;626.0;894.0;1914.0;8.0;32.3;12.0;455.0;660.0;671.0;397.0;391.0;41.0;339.0;228.0;223.0;26.0
351;Total sex;4100;2005;4341.0;3578.0;3456.0;123.0;763.0;82.4;79.6;3.4;2904.0;2612.0;291.0;523.0;29.0;626.0;911.0;1911.0;7.0;32.4;14.0;428.0;660.0;661.0;421.0;405.0;39.0;350.0;228.0;229.0;21.0
352;Total sex;4100;2006;4277.0;3568.0;3468.0;100.0;708.0;83.4;81.1;2.8;2903.0;2595.0;308.0;537.0;27.0;604.0;940.0;1916.0;8.0;32.6;12.0;462.0;666.0;644.0;402.0;408.0;39.0;343.0;225.0;230.0;37.0
353;Total sex;4100;2007;4253.0;3601.0;3523.0;78.0;652.0;84.7;82.8;2.2;2944.0;2581.0;363.0;551.0;28.0;593.0;989.0;1932.0;9.0;32.6;13.0;488.0;679.0;656.0;411.0;413.0;35.0;337.0;218.0;233.0;41.0
354;Total sex;4100;2008;4186.0;3593.0;3531.0;61.0;593.0;85.8;84.4;1.7;2943.0;2574.0;369.0;564.0;25.0;559.0;1037.0;1929.0;6.0;32.8;13.0;492.0;707.0;663.0;420.0;411.0;31.0;319.0;212.0;225.0;38.0
355;Total sex;4100;2009;4165.0;3591.0;3515.0;75.0;574.0;86.2;84.4;2.1;2920.0;2565.0;354.0;572.0;24.0;536.0;1067.0;1904.0;8.0;32.8;13.0;496.0;715.0;671.0;409.0;412.0;33.0;310.0;198.0;215.0;42.0
356;Total sex;4100;2010;4130.0;3569.0;3473.0;96.0;562.0;86.4;84.1;2.7;2878.0;2530.0;348.0;568.0;26.0;509.0;1079.0;1874.0;11.0;32.8;11.0;490.0;741.0;675.0;386.0;400.0;32.0;302.0;187.0;203.0;44.0
357;Total sex;4100;2011;4110.0;3560.0;3461.0;99.0;550.0;86.6;84.2;2.8;2863.0;2512.0;351.0;569.0;30.0;484.0;1093.0;1871.0;13.0;32.8;10.0;482.0;748.0;691.0;381.0;396.0;34.0;288.0;188.0;194.0;50.0
358;Total sex;4100;2012;4129.0;3596.0;3480.0;116.0;534.0;87.1;84.3;3.2;2867.0;2501.0;365.0;586.0;27.0;471.0;1123.0;1874.0;12.0;32.8;;;;;;;;;;;
359;Total sex;4100;2013;4085.0;3551.0;3397.0;154.0;534.0;86.9;83.2;4.3;2769.0;2404.0;365.0;602.0;26.0;448.0;1106.0;1827.0;16.0;32.8;;;;;;;;;;;
360;Total sex;4060;2000;364.0;198.0;185.0;13.0;166.0;54.3;50.8;6.4;170.0;144.0;25.0;15.0;;31.0;79.0;74.0;;29.9;;20.0;34.0;34.0;28.0;30.0;;7.0;7.0;19.0;5.0
361;Total sex;4060;2001 before revision;367.0;204.0;192.0;11.0;164.0;55.5;52.4;5.6;176.0;149.0;27.0;16.0;;30.0;83.0;80.0;;30.3;;18.0;31.0;39.0;34.0;33.0;;9.0;6.0;20.0;2.0
362;Total sex;4060;2001 after revision;331.0;187.0;178.0;9.0;144.0;56.6;53.7;5.1;162.0;136.0;26.0;16.0;;30.0;75.0;72.0;;29.7;;16.0;26.0;36.0;32.0;31.0;;7.0;6.0;18.0;4.0
363;Total sex;4060;2002;323.0;190.0;179.0;11.0;133.0;58.9;55.3;6.0;162.0;136.0;26.0;17.0;;31.0;77.0;71.0;;29.4;;16.0;33.0;37.0;30.0;29.0;;8.0;5.0;17.0;3.0
364;Total sex;4060;2003;359.0;215.0;199.0;16.0;143.0;60.0;55.5;7.5;179.0;153.0;27.0;20.0;;33.0;89.0;76.0;;29.5;;18.0;38.0;41.0;30.0;29.0;;8.0;8.0;21.0;4.0
365;Total sex;4060;2004;360.0;226.0;203.0;23.0;134.0;62.8;56.5;10.1;181.0;155.0;26.0;22.0;;35.0;88.0;79.0;;29.4;;16.0;39.0;44.0;31.0;36.0;;8.0;7.0;19.0;2.0
366;Total sex;4060;2005;384.0;248.0;221.0;27.0;136.0;64.6;57.5;11.0;200.0;170.0;30.0;21.0;;37.0;99.0;84.0;;29.7;;16.0;42.0;45.0;43.0;37.0;;10.0;7.0;19.0;2.0
367;Total sex;4060;2006;388.0;255.0;232.0;23.0;133.0;65.7;59.8;9.0;209.0;178.0;31.0;23.0;;33.0;108.0;90.0;;30.1;;17.0;43.0;48.0;40.0;38.0;;10.0;9.0;22.0;3.0
368;Total sex;4060;2007;405.0;268.0;250.0;17.0;137.0;66.1;61.9;6.4;225.0;188.0;37.0;25.0;;36.0;119.0;95.0;;30.0;;20.0;49.0;53.0;43.0;40.0;;9.0;10.0;23.0;3.0
369;Total sex;4060;2008;413.0;285.0;271.0;14.0;128.0;69.0;65.6;4.8;244.0;198.0;46.0;27.0;;37.0;132.0;102.0;;30.1;;20.0;54.0;56.0;46.0;43.0;2.0;10.0;12.0;25.0;4.0
370;Total sex;4060;2009;421.0;294.0;278.0;16.0;127.0;69.8;65.9;5.6;250.0;204.0;45.0;28.0;;33.0;134.0;110.0;;30.6;;21.0;58.0;55.0;43.0;46.0;2.0;11.0;11.0;25.0;5.0
371;Total sex;4060;2010;412.0;297.0;277.0;21.0;115.0;72.1;67.1;6.9;249.0;208.0;41.0;28.0;;36.0;136.0;105.0;;30.2;;24.0;59.0;58.0;43.0;42.0;2.0;9.0;9.0;26.0;5.0
372;Total sex;4060;2011;404.0;289.0;271.0;19.0;114.0;71.7;67.1;6.4;242.0;202.0;40.0;28.0;;33.0;130.0;107.0;;30.4;;21.0;61.0;57.0;39.0;41.0;2.0;10.0;10.0;26.0;4.0
373;Total sex;4060;2012;426.0;303.0;281.0;22.0;123.0;71.1;65.9;7.4;247.0;205.0;42.0;34.0;;35.0;139.0;105.0;;30.2;;;;;;;;;;;
374;Total sex;4060;2013;457.0;328.0;296.0;32.0;129.0;71.7;64.6;9.9;259.0;213.0;46.0;37.0;;40.0;146.0;107.0;2.0;29.9;;;;;;;;;;;
375;Total sex;42;2000;981.0;787.0;758.0;29.0;193.0;80.3;77.3;3.7;726.0;491.0;234.0;27.0;6.0;204.0;104.0;449.0;;30.2;7.0;31.0;37.0;92.0;106.0;151.0;27.0;123.0;61.0;95.0;28.0
376;Total sex;42;2001 before revision;995.0;795.0;764.0;32.0;199.0;80.0;76.8;4.0;733.0;500.0;233.0;28.0;2.0;193.0;117.0;453.0;;30.5;10.0;30.0;40.0;101.0;108.0;158.0;25.0;124.0;59.0;96.0;13.0
377;Total sex;42;2001 after revision;1071.0;879.0;851.0;28.0;192.0;82.1;79.5;3.2;814.0;545.0;268.0;33.0;5.0;243.0;123.0;484.0;2.0;29.6;9.0;32.0;43.0;109.0;127.0;174.0;27.0;134.0;57.0;105.0;34.0
378;Total sex;42;2002;1081.0;889.0;853.0;36.0;191.0;82.3;79.0;4.1;820.0;543.0;278.0;29.0;3.0;247.0;133.0;469.0;4.0;29.1;9.0;30.0;42.0;110.0;127.0;189.0;27.0;125.0;63.0;115.0;16.0
379;Total sex;42;2003;1068.0;857.0;810.0;47.0;211.0;80.2;75.9;5.5;780.0;507.0;274.0;28.0;3.0;246.0;135.0;425.0;4.0;28.4;9.0;28.0;42.0;101.0;113.0;181.0;27.0;113.0;61.0;125.0;12.0
