ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
61;Total sex;45-55 yrs;2001 before revision;2298.0;1794.0;1754.0;40.0;504.0;78.0;76.3;2.2;1498.0;1365.0;134.0;242.0;14.0;239.0;419.0;1096.0;;33.9;9.0;295.0;350.0;283.0;194.0;173.0;18.0;157.0;115.0;136.0;24.0
62;Total sex;45-55 yrs;2001 after revision;2298.0;1759.0;1722.0;37.0;539.0;76.6;74.9;2.1;1434.0;1309.0;125.0;271.0;17.0;250.0;396.0;1074.0;3.0;34.0;8.0;292.0;328.0;273.0;191.0;168.0;21.0;164.0;108.0;132.0;37.0
63;Total sex;45-55 yrs;2002;2282.0;1787.0;1745.0;43.0;494.0;78.3;76.4;2.4;1464.0;1339.0;125.0;266.0;14.0;248.0;430.0;1063.0;3.0;33.6;7.0;286.0;329.0;286.0;198.0;171.0;19.0;171.0;115.0;136.0;25.0
64;Total sex;45-55 yrs;2003;2279.0;1819.0;1760.0;59.0;459.0;79.8;77.3;3.2;1481.0;1358.0;123.0;265.0;14.0;253.0;459.0;1046.0;3.0;33.4;7.0;283.0;339.0;307.0;199.0;175.0;19.0;163.0;113.0;133.0;23.0
65;Total sex;45-55 yrs;2004;2290.0;1850.0;1774.0;75.0;440.0;80.8;77.5;4.1;1490.0;1369.0;121.0;272.0;12.0;255.0;472.0;1045.0;3.0;33.2;6.0;236.0;370.0;331.0;212.0;189.0;21.0;159.0;113.0;124.0;14.0
66;Total sex;45-55 yrs;2005;2310.0;1896.0;1818.0;78.0;414.0;82.1;78.7;4.1;1516.0;1394.0;122.0;289.0;13.0;263.0;492.0;1060.0;4.0;33.2;7.0;223.0;379.0;338.0;226.0;196.0;20.0;173.0;110.0;132.0;13.0
67;Total sex;45-55 yrs;2006;2336.0;1930.0;1855.0;75.0;406.0;82.6;79.4;3.9;1546.0;1413.0;133.0;296.0;13.0;255.0;509.0;1087.0;4.0;33.6;7.0;249.0;386.0;331.0;218.0;202.0;21.0;170.0;116.0;132.0;21.0
68;Total sex;45-55 yrs;2007;2365.0;1975.0;1917.0;58.0;390.0;83.5;81.1;2.9;1597.0;1439.0;158.0;307.0;13.0;255.0;536.0;1122.0;4.0;33.6;7.0;260.0;401.0;343.0;227.0;204.0;20.0;174.0;121.0;139.0;21.0
69;Total sex;45-55 yrs;2008;2395.0;2027.0;1980.0;47.0;368.0;84.6;82.7;2.3;1645.0;1473.0;173.0;323.0;12.0;258.0;563.0;1155.0;4.0;33.6;7.0;271.0;408.0;359.0;241.0;214.0;21.0;171.0;124.0;143.0;22.0
70;Total sex;45-55 yrs;2009;2429.0;2064.0;2008.0;55.0;365.0;85.0;82.7;2.7;1667.0;1495.0;172.0;331.0;10.0;260.0;576.0;1168.0;5.0;33.6;8.0;277.0;411.0;372.0;237.0;226.0;23.0;166.0;123.0;140.0;26.0
71;Total sex;45-55 yrs;2010;2458.0;2100.0;2027.0;73.0;358.0;85.4;82.5;3.5;1669.0;1498.0;171.0;345.0;13.0;248.0;602.0;1171.0;6.0;33.7;6.0;284.0;421.0;380.0;238.0;223.0;23.0;160.0;124.0;143.0;27.0
72;Total sex;45-55 yrs;2011;2479.0;2127.0;2047.0;79.0;352.0;85.8;82.6;3.7;1688.0;1513.0;175.0;343.0;16.0;243.0;614.0;1184.0;6.0;33.6;5.0;277.0;429.0;392.0;244.0;220.0;25.0;159.0;127.0;138.0;31.0
73;Total sex;45-55 yrs;2012;2498.0;2150.0;2063.0;88.0;348.0;86.1;82.6;4.1;1690.0;1510.0;181.0;358.0;14.0;249.0;628.0;1178.0;7.0;33.5;;;;;;;;;;;
74;Total sex;45-55 yrs;2013;2516.0;2160.0;2046.0;114.0;355.0;85.9;81.3;5.3;1656.0;1467.0;189.0;378.0;12.0;245.0;634.0;1158.0;9.0;33.5;;;;;;;;;;;
75;Total sex;55-65 yrs;2000;1590.0;611.0;598.0;14.0;978.0;38.5;37.6;2.3;452.0;404.0;47.0;138.0;8.0;113.0;144.0;340.0;;32.9;;133.0;119.0;77.0;59.0;46.0;8.0;53.0;37.0;47.0;18.0
76;Total sex;55-65 yrs;2001 before revision;1658.0;661.0;649.0;11.0;997.0;39.9;39.2;1.7;507.0;453.0;55.0;134.0;8.0;127.0;150.0;371.0;;32.4;;123.0;131.0;89.0;65.0;60.0;11.0;60.0;47.0;56.0;7.0
77;Total sex;55-65 yrs;2001 after revision;1658.0;630.0;619.0;11.0;1028.0;38.0;37.3;1.7;468.0;421.0;47.0;142.0;9.0;131.0;147.0;339.0;2.0;32.0;;119.0;116.0;87.0;60.0;51.0;9.0;57.0;46.0;53.0;20.0
78;Total sex;55-65 yrs;2002;1754.0;748.0;729.0;18.0;1007.0;42.6;41.6;2.4;556.0;502.0;54.0;165.0;8.0;162.0;172.0;389.0;6.0;31.1;;131.0;150.0;101.0;70.0;68.0;11.0;72.0;52.0;64.0;9.0
79;Total sex;55-65 yrs;2003;1834.0;804.0;780.0;24.0;1030.0;43.8;42.5;3.0;598.0;540.0;59.0;173.0;8.0;163.0;189.0;422.0;5.0;31.5;;145.0;164.0;111.0;78.0;74.0;11.0;70.0;52.0;63.0;11.0
80;Total sex;55-65 yrs;2004;1897.0;862.0;828.0;34.0;1035.0;45.4;43.6;3.9;637.0;580.0;57.0;183.0;8.0;171.0;207.0;446.0;4.0;31.7;;128.0;180.0;123.0;88.0;84.0;12.0;77.0;63.0;66.0;7.0
81;Total sex;55-65 yrs;2005;1950.0;914.0;873.0;41.0;1035.0;46.9;44.8;4.5;667.0;606.0;61.0;198.0;8.0;183.0;222.0;462.0;5.0;31.5;;127.0;189.0;131.0;97.0;92.0;11.0;83.0;62.0;73.0;6.0
82;Total sex;55-65 yrs;2006;1998.0;956.0;914.0;42.0;1042.0;47.8;45.8;4.3;702.0;634.0;68.0;204.0;8.0;197.0;237.0;475.0;5.0;31.4;;135.0;195.0;133.0;99.0;98.0;12.0;89.0;62.0;81.0;10.0
83;Total sex;55-65 yrs;2007;2047.0;1040.0;998.0;41.0;1007.0;50.8;48.8;4.0;775.0;692.0;82.0;214.0;9.0;204.0;273.0;516.0;5.0;31.6;;145.0;219.0;151.0;103.0;110.0;15.0;97.0;67.0;82.0;10.0
84;Total sex;55-65 yrs;2008;2089.0;1118.0;1080.0;38.0;971.0;53.5;51.7;3.4;835.0;743.0;93.0;237.0;8.0;215.0;298.0;561.0;5.0;31.6;;157.0;238.0;167.0;115.0;116.0;16.0;98.0;74.0;87.0;11.0
85;Total sex;55-65 yrs;2009;2121.0;1170.0;1131.0;38.0;951.0;55.1;53.3;3.3;886.0;788.0;98.0;237.0;8.0;220.0;314.0;591.0;6.0;31.5;;158.0;255.0;177.0;124.0;123.0;16.0;100.0;77.0;89.0;14.0
86;Total sex;55-65 yrs;2010;2154.0;1213.0;1165.0;47.0;942.0;56.3;54.1;3.9;917.0;817.0;99.0;239.0;9.0;220.0;343.0;595.0;7.0;31.4;;164.0;263.0;183.0;132.0;122.0;15.0;99.0;77.0;91.0;17.0
87;Total sex;55-65 yrs;2011;2164.0;1266.0;1214.0;53.0;897.0;58.5;56.1;4.2;958.0;860.0;98.0;243.0;12.0;221.0;362.0;624.0;7.0;31.5;;159.0;278.0;207.0;137.0;130.0;18.0;96.0;79.0;90.0;19.0
88;Total sex;55-65 yrs;2012;2151.0;1323.0;1260.0;62.0;829.0;61.5;58.6;4.7;997.0;898.0;100.0;253.0;10.0;223.0;374.0;655.0;9.0;31.6;;;;;;;;;;;
89;Total sex;55-65 yrs;2013;2153.0;1381.0;1294.0;87.0;773.0;64.1;60.1;6.3;1021.0;919.0;102.0;264.0;9.0;220.0;393.0;672.0;9.0;31.5;;;;;;;;;;;
90;Total sex;16;2000;1181.0;58.0;58.0;;1123.0;4.9;4.9;;23.0;7.0;16.0;35.0;;34.0;10.0;13.0;;20.4;;17.0;10.0;4.0;2.0;5.0;;3.0;4.0;3.0;9.0
