ID;Cijfersoort;Politieregio;Perioden;OverlastVanGroepenJongeren_1;MensenWordenOpStraatLastigGevallen_2;Drugsoverlast_3;DronkenMensenOpStraat_4;Bedreiging_5;Gewelddelicten_6;Straatroof_7;VrouwenEnMeisjesWordenNagefloten_8;Jeugdcriminaliteit_9;SocialeOverlastSchaalscore_10;DreigingSchaalscore_11;BekladdingVanMurenGebouwen_12;RommelOpStraat_13;HondenpoepOpStraat_14;VernielingVanStraatmeubilair_15;FysiekeVerloederingSchaalscore_16;Fietsendiefstal_17;DiefstalUitAutoS_18;BeschadigingAanDiefstalUitAutoS_19;InbraakInWoningen_20;OverlastVermogensdelictenSchaalscore_21;AgressiefVerkeersgedrag_22;GeluidsoverlastDoorVerkeer_23;TeHardRijden_24;Parkeeroverlast_25;VerkeersoverlastSchaalscore_26;OverlastDoorOmwonenden_27;AndereVormenVanGeluidsoverlast_28;OverlastVanZwerversDaklozen_29;OverlastDoorHoreca_30;OverigeOverlastSchaalscore_31;MensenKennenElkaarNauwelijks_32;MensenGaanPrettigMetElkaarOm_33;GezelligeBuurtMetVeelSaamhorigheid_34;VoelMijThuisBijMensenInDezeBuurt_35;VeelContactMetAndereBuurtbewoners_36;TevredenMetSamenstellingBevolking_37;SocialeCohesieSchaalscore_38;WegenPadenPleintjesGoedOnderhouden_39;PlantsoenenEnParkenGoedOnderhouden_40;BuitenGoedVerlicht_41;GoedeSpeelplekkenVoorKinderen_42;GoedeVoorzieningenVoorJongeren_43;ZelfActiefGeweestBijVerbeterenBuurt_44;VooruitGegaan_45;AchteruitGegaan_46;GelijkGebleven_47;Woonomgeving_48;Leefbaarheid_49;Veiligheid_50;HeeftAandachtVoorLeefbaarheid_51;InformeertBuurtMbtAanpakLeefbaarheid_52;BetrektBuurtBijAanpakLeefbaarheid_53;IsBereikbaarVoorMeldingenEnKlachten_54;ReageertOpMeldingenEnKlachten_55;DoetWatZeZegt_56
0;Waarde;Nederland;2008;11.3;2.0;4.8;6.2;2.1;2.1;0.9;3.3;5.3;1.7;1.2;8.9;20.2;33.0;14.0;3.7;10.1;6.3;10.0;6.7;2.7;11.4;13.6;30.6;24.0;3.7;4.7;8.2;1.4;2.3;1.3;25.2;69.7;45.2;63.3;38.9;71.4;6.3;64.8;65.2;73.0;53.3;19.0;16.4;14.3;13.4;67.6;7.4;7.4;7.0;49.6;47.0;39.9;51.8;32.7;25.7
1;Waarde;Nederland;2009;11.9;2.1;4.9;6.8;2.2;1.9;0.8;3.3;4.9;1.7;1.1;8.1;21.3;31.9;11.8;3.6;9.8;6.3;10.2;6.8;2.7;12.2;15.1;31.7;24.4;3.8;5.1;9.4;1.5;2.4;1.4;25.8;69.5;45.0;63.8;39.7;70.9;6.3;63.6;64.2;72.9;52.8;18.9;17.5;13.8;14.8;67.1;7.4;7.3;6.9;49.0;47.3;39.8;50.2;31.5;24.8
2;Waarde;Nederland;2010;11.3;2.1;4.8;6.5;2.4;2.1;1.0;3.4;5.0;1.7;1.2;7.9;19.9;30.5;10.9;3.5;9.5;6.9;9.9;8.3;2.8;11.6;13.7;30.7;23.5;3.7;4.9;8.3;1.3;2.1;1.4;24.5;71.5;45.4;64.1;39.4;72.3;6.3;66.4;66.4;73.7;57.1;20.5;17.6;13.6;14.1;68.6;7.5;7.4;7.0;48.7;47.1;39.3;52.1;32.2;24.9
3;Waarde;Nederland;2011;10.9;2.2;4.9;7.0;2.2;2.1;1.0;3.3;4.4;1.7;1.1;6.8;19.9;29.1;8.6;3.3;9.0;5.9;9.2;9.0;2.7;11.5;13.6;30.9;22.4;3.6;5.2;9.0;1.6;2.3;1.4;24.6;71.0;46.9;64.4;40.6;70.6;6.3;65.8;65.5;74.4;56.0;20.6;17.6;14.3;14.3;67.4;7.5;7.4;7.0;48.9;47.7;39.4;52.2;32.9;26.2
4;Waarde;Groningen (PO);2008;10.0;1.9;6.2;8.7;1.1;1.9;0.1;2.9;6.1;1.9;1.2;6.9;20.1;33.5;17.8;3.7;12.6;2.8;7.0;4.0;2.3;10.0;13.1;32.9;14.3;3.4;7.1;7.9;0.9;2.8;1.6;28.5;65.9;41.1;59.6;38.0;70.6;6.2;60.0;63.3;71.6;47.8;23.5;15.3;15.8;11.7;68.1;7.4;7.3;7.0;47.5;44.9;36.0;48.3;28.9;23.2
5;Waarde;Groningen (PO);2009;9.3;2.4;5.4;9.0;2.4;2.5;0.8;3.8;4.7;1.7;1.1;5.9;17.6;33.1;14.1;3.5;12.8;1.9;8.1;4.8;2.2;11.2;13.7;33.9;18.6;3.5;6.2;7.8;2.4;2.6;1.5;27.8;67.5;42.2;59.9;36.6;68.8;6.1;62.6;64.0;70.4;43.4;19.8;15.2;14.4;14.9;65.9;7.4;7.2;6.9;46.2;42.2;35.7;49.0;28.9;22.6
6;Waarde;Groningen (PO);2010;5.6;1.9;5.5;5.8;2.4;2.6;1.2;1.6;3.6;1.5;1.0;4.5;17.2;32.1;10.1;3.3;12.7;3.4;6.8;5.2;2.2;9.1;10.5;32.2;13.9;3.2;4.8;5.8;2.0;0.8;1.3;24.6;72.9;46.3;62.4;36.6;71.2;6.3;67.8;71.8;74.8;52.2;23.7;17.3;11.4;15.4;68.5;7.5;7.4;7.3;47.5;45.1;36.6;51.7;30.3;24.7
7;Waarde;Groningen (PO);2011;8.0;1.7;4.7;10.3;2.3;2.3;1.2;3.4;2.4;1.6;1.0;5.3;16.8;27.5;8.0;3.1;10.6;1.6;6.4;5.4;2.1;9.5;11.7;32.2;15.0;3.3;5.9;9.2;2.6;2.2;1.5;24.5;72.8;44.2;64.4;34.2;68.0;6.3;66.0;65.9;73.5;49.6;25.4;16.8;15.3;14.4;65.6;7.4;7.4;7.1;47.6;44.7;36.5;47.4;31.5;22.9
8;Waarde;Friesland (PO);2008;7.6;1.1;3.5;5.7;1.7;1.1;0.9;1.4;3.8;1.4;0.9;3.2;13.9;36.5;13.8;3.3;7.2;0.9;3.7;3.2;1.9;6.2;10.5;30.4;15.3;3.3;5.1;4.9;1.0;1.3;1.2;19.0;74.7;50.3;66.1;43.0;74.4;6.5;65.6;66.8;72.3;54.9;22.7;17.3;10.9;10.6;74.7;7.5;7.6;7.4;49.9;42.1;37.3;53.5;34.7;27.3
9;Waarde;Friesland (PO);2009;6.9;1.3;2.8;4.8;1.2;1.2;0.3;1.6;2.4;1.4;0.8;3.2;14.6;33.2;8.6;3.2;5.7;1.6;5.0;2.0;1.8;8.3;10.8;31.3;15.1;3.3;3.6;5.7;1.1;1.9;1.2;16.4;75.9;52.7;69.1;44.6;74.0;6.6;61.9;65.8;72.8;53.2;23.0;19.7;13.8;10.6;71.5;7.5;7.4;7.1;43.7;39.2;34.3;49.0;30.9;23.3
10;Waarde;Friesland (PO);2010;5.7;0.9;3.6;4.5;1.1;0.9;0.0;1.5;2.3;1.4;0.8;2.2;13.2;32.2;7.4;3.0;5.7;2.2;4.8;3.1;1.8;7.4;9.8;31.2;16.7;3.2;3.2;5.5;0.6;0.8;1.2;17.9;77.1;50.5;67.8;44.6;75.7;6.6;65.0;62.7;71.3;54.0;26.7;20.2;10.4;13.8;73.0;7.6;7.5;7.3;49.3;43.6;37.5;58.4;35.2;26.9
11;Waarde;Friesland (PO);2011;6.0;0.8;2.8;5.4;1.2;1.0;0.2;1.3;2.3;1.3;0.8;2.6;12.3;29.5;5.4;2.7;4.8;1.6;5.1;3.4;1.8;7.8;9.0;31.2;15.8;3.2;3.6;5.7;0.7;1.6;1.1;17.5;75.5;54.0;65.5;44.5;73.0;6.7;67.2;67.1;74.6;53.4;26.6;19.5;13.5;10.8;72.4;7.5;7.5;7.3;48.1;43.6;35.4;51.0;32.2;26.8
12;Waarde;Drenthe (PO);2008;6.6;0.3;1.8;4.6;1.2;1.8;0.3;1.0;4.1;1.2;0.9;7.2;15.7;34.8;14.8;3.5;5.5;2.2;6.9;3.1;2.0;8.2;9.2;32.5;15.2;3.4;2.5;3.4;0.3;0.8;1.0;20.7;73.7;50.8;63.0;41.1;72.8;6.6;63.7;61.7;72.2;52.0;21.3;18.1;14.6;7.3;72.6;7.6;7.5;7.3;55.0;48.2;43.7;55.7;37.8;29.3
13;Waarde;Drenthe (PO);2009;8.4;1.2;4.4;5.5;1.6;1.4;0.1;1.2;3.4;1.4;0.9;5.4;16.3;30.3;12.7;3.3;9.3;4.1;8.2;3.8;2.2;8.1;11.7;33.9;17.0;3.4;4.5;7.9;0.2;1.1;1.1;18.0;73.3;50.0;68.8;45.4;71.3;6.5;62.5;60.8;73.6;54.2;18.9;18.4;15.8;12.6;67.8;7.6;7.4;7.1;48.3;48.0;40.2;54.2;33.0;24.3
14;Waarde;Drenthe (PO);2010;5.0;1.2;2.8;3.3;1.7;1.0;0.3;0.8;2.3;1.1;0.8;4.2;13.4;28.8;10.3;3.0;5.9;2.7;4.7;3.4;2.0;6.0;8.0;26.9;12.4;2.9;2.5;5.4;0.6;0.5;1.0;16.8;78.2;55.4;72.4;46.6;78.9;6.7;63.3;67.4;76.2;56.2;22.8;18.9;11.4;15.5;70.6;7.7;7.6;7.3;46.0;44.6;39.1;54.0;31.4;27.7
15;Waarde;Drenthe (PO);2011;6.2;0.1;2.9;4.0;0.8;1.1;0.2;0.9;2.5;1.3;0.8;3.6;15.7;30.4;7.3;3.0;7.9;3.2;4.7;5.1;2.1;6.7;8.7;32.8;14.1;3.2;3.4;4.8;0.9;1.2;1.2;16.4;75.8;53.5;70.1;49.2;75.7;6.6;63.8;62.4;72.7;57.7;20.6;21.2;13.6;9.6;72.8;7.6;7.6;7.3;45.7;43.5;39.6;54.7;32.5;26.3
16;Waarde;IJsselland (PO);2008;7.0;0.9;2.8;4.7;2.2;2.1;0.4;2.4;3.5;1.3;0.9;5.1;14.6;28.1;10.1;3.1;6.3;3.0;6.1;2.6;2.0;9.7;10.2;29.1;18.0;3.4;3.9;5.8;1.1;1.4;1.2;18.7;77.1;53.7;69.3;41.8;78.0;6.6;67.4;70.1;73.9;56.6;21.7;16.9;15.3;8.7;70.9;7.7;7.6;7.3;49.5;50.9;43.6;55.4;34.4;27.7
17;Waarde;IJsselland (PO);2009;7.4;1.2;2.5;5.8;1.2;1.1;0.3;2.0;2.0;1.4;0.9;4.9;16.4;26.7;8.0;3.0;6.2;3.2;6.7;3.6;2.1;9.1;11.8;32.6;20.6;3.5;3.1;6.1;1.5;2.0;1.2;19.6;75.0;53.1;70.3;44.0;73.7;6.6;66.5;64.6;70.7;59.2;22.1;19.1;13.6;11.3;71.4;7.5;7.5;7.2;50.8;49.2;42.9;52.0;31.3;25.8
18;Waarde;IJsselland (PO);2010;6.8;1.5;2.9;6.8;1.3;1.5;0.4;1.5;2.9;1.3;0.9;5.6;13.9;27.1;7.2;3.0;5.0;4.2;6.4;3.5;2.1;6.6;11.1;26.4;16.8;3.2;5.2;7.4;1.5;2.5;1.3;17.0;77.6;54.1;68.2;45.9;76.4;6.8;67.0;67.9;73.1;61.7;23.6;18.7;11.0;13.2;71.6;7.6;7.6;7.3;47.8;46.2;39.6;52.7;33.3;27.1
19;Waarde;IJsselland (PO);2011;6.3;0.7;2.8;4.8;1.0;1.3;0.4;1.1;3.1;1.2;0.7;5.5;16.8;22.5;5.6;2.8;4.1;3.0;5.6;4.9;2.1;6.9;8.9;29.8;18.7;3.2;3.7;5.9;1.2;1.6;1.1;17.3;78.0;55.9;67.6;45.3;73.4;6.7;69.4;66.7;71.1;61.5;24.7;17.1;14.0;10.1;73.0;7.6;7.5;7.3;51.1;50.2;43.7;56.4;35.5;28.7
20;Waarde;Twente (PO);2008;8.2;1.7;2.3;4.4;1.3;0.4;0.2;1.3;2.9;1.3;0.7;5.2;13.0;30.4;8.3;3.0;5.8;3.3;8.8;2.9;1.8;9.4;10.1;29.3;23.8;3.3;3.3;6.9;0.7;1.3;1.1;17.7;74.4;52.8;71.8;44.2;73.5;6.7;68.0;65.2;71.3;51.9;21.0;17.4;15.9;9.2;71.0;7.6;7.6;7.3;54.7;46.6;42.9;61.3;38.8;27.1
21;Waarde;Twente (PO);2009;8.2;1.4;5.0;6.5;1.6;0.8;0.2;1.5;4.3;1.4;0.8;4.8;16.7;26.5;5.5;2.9;7.7;2.8;7.3;3.5;2.0;10.6;14.9;31.4;20.8;3.6;5.6;7.7;1.6;3.5;1.3;21.8;73.9;51.5;66.1;44.3;75.5;6.5;68.1;64.7;73.8;50.7;22.1;17.5;12.5;13.7;70.2;7.4;7.5;7.2;51.0;48.2;41.2;52.8;35.6;25.8
22;Waarde;Twente (PO);2010;7.9;0.8;2.9;5.6;0.8;1.4;0.2;1.8;3.4;1.3;0.8;4.8;15.6;23.8;4.2;2.8;6.9;3.5;6.6;5.0;2.1;8.7;11.6;30.5;18.7;3.5;3.2;5.4;1.1;1.6;1.1;18.3;75.1;52.2;71.2;43.9;76.2;6.7;67.3;64.5;75.6;55.5;19.5;18.7;11.5;12.9;72.2;7.5;7.5;7.2;51.2;44.5;41.9;54.9;35.4;27.4
23;Waarde;Twente (PO);2011;8.5;1.1;4.7;6.1;1.3;0.9;0.3;1.5;2.3;1.4;0.8;3.9;16.8;25.6;3.4;2.7;6.4;2.6;6.7;4.2;1.9;9.8;12.7;32.0;20.3;3.5;4.1;7.4;1.2;1.8;1.2;21.6;74.2;54.3;67.7;45.7;71.2;6.6;65.1;61.1;73.8;54.6;19.9;18.0;14.0;13.7;67.8;7.5;7.4;7.0;50.3;45.5;40.1;51.7;36.1;27.1
24;Waarde;Noord- en Oost-Gelderland (PO);2008;6.3;0.4;2.1;3.0;0.8;0.7;0.0;1.2;3.2;1.2;0.8;4.4;14.6;30.1;8.6;3.0;5.2;5.1;5.5;2.8;2.1;7.7;12.2;31.5;20.1;3.5;3.3;5.2;0.0;1.6;1.1;16.5;74.6;54.5;68.1;46.4;79.0;6.7;67.7;64.5;72.8;52.2;15.6;17.3;12.4;8.9;75.1;7.7;7.6;7.3;46.7;41.0;38.7;53.9;34.0;26.8
