ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2021Totaal_1;WmoClienten2020InstroomWlz2021_2;SamenloopWmoWlz2020Wlz2021_3;WmoClientenGebruikWlz2021Totaal_4;WmoClienten2020InstroomWlzIn2021_5;SamenloopWmoWlz2020WlzIn2021_6;WmoClientenGebruikWlz2021Totaal_7;WmoClienten2020InstroomWlzIn2021_8;SamenloopWmoWlz2020WlzIn2021_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;440.0;95.0;345.0;24.49;5.33;19.16;20.0;4.0;16.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;485.0;115.0;375.0;23.35;5.42;17.93;22.0;5.0;17.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;315.0;100.0;215.0;16.68;5.37;11.32;14.0;4.0;9.0
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;245.0;80.0;165.0;19.22;6.43;12.78;15.0;5.0;10.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;360.0;85.0;275.0;26.07;6.23;19.84;17.0;4.0;13.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;1160.0;385.0;775.0;16.9;5.63;11.27;13.0;4.0;8.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;650.0;325.0;325.0;12.53;6.29;6.25;11.0;5.0;5.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1705.0;405.0;1300.0;16.23;3.84;12.39;10.0;2.0;8.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;775.0;255.0;525.0;19.72;6.43;13.29;8.0;3.0;6.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;90.0;20.0;70.0;17.18;3.67;13.51;10.0;2.0;8.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Altena;700.0;180.0;520.0;21.93;5.68;16.25;15.0;4.0;11.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ameland;40.0;10.0;30.0;17.62;3.96;13.66;13.0;3.0;10.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amersfoort;1690.0;495.0;1195.0;17.8;5.22;12.58;13.0;4.0;9.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amstelveen;;;;;;;;;
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amsterdam;8830.0;2530.0;6300.0;13.63;3.91;9.72;12.0;3.0;8.0
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Apeldoorn;2905.0;655.0;2255.0;24.49;5.5;18.98;21.0;5.0;16.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Appingedam;120.0;45.0;75.0;13.09;5.06;8.03;12.0;5.0;7.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Arnhem;1710.0;850.0;865.0;14.13;7.0;7.13;12.0;6.0;6.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Assen;1270.0;275.0;995.0;24.1;5.19;18.91;22.0;5.0;17.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Asten;265.0;50.0;215.0;25.7;5.02;20.68;19.0;4.0;15.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarle-Nassau;90.0;35.0;55.0;18.24;7.38;10.86;15.0;6.0;9.0
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarn;690.0;95.0;595.0;34.66;4.72;29.93;33.0;5.0;29.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barendrecht;510.0;110.0;400.0;19.26;4.15;15.11;13.0;3.0;10.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barneveld;665.0;170.0;495.0;26.13;6.75;19.38;15.0;4.0;11.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beek (L.);200.0;60.0;140.0;17.26;5.14;12.12;14.0;4.0;10.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beekdaelen;525.0;160.0;365.0;21.51;6.63;14.89;17.0;5.0;12.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beemster;150.0;20.0;130.0;25.51;3.42;22.09;18.0;2.0;16.0
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beesel;;;;;;;;;
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berg en Dal;570.0;135.0;435.0;22.01;5.17;16.83;19.0;4.0;14.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergeijk;200.0;50.0;150.0;18.2;4.55;13.65;13.0;3.0;9.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (L.);;;;;;;;;
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (NH.);545.0;100.0;445.0;29.46;5.44;24.02;21.0;4.0;17.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen op Zoom;;;;;;;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berkelland;585.0;175.0;410.0;19.59;5.82;13.77;16.0;5.0;11.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bernheze;415.0;90.0;325.0;23.39;5.1;18.29;16.0;3.0;12.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Best;260.0;90.0;170.0;16.75;5.78;10.98;10.0;4.0;7.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beuningen;;;;;;;;;
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beverwijk;435.0;110.0;330.0;17.04;4.22;12.82;12.0;3.0;9.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;De Bilt;705.0;190.0;510.0;23.71;6.44;17.27;20.0;5.0;14.0
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bladel;305.0;60.0;245.0;22.15;4.24;17.91;18.0;3.0;14.0
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Blaricum;65.0;20.0;45.0;16.54;5.09;11.45;7.0;2.0;5.0
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bloemendaal;455.0;95.0;355.0;30.71;6.58;24.14;24.0;5.0;19.0
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bodegraven-Reeuwijk;340.0;105.0;240.0;21.23;6.46;14.77;12.0;4.0;8.0
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boekel;180.0;45.0;135.0;32.54;8.23;24.31;20.0;5.0;15.0
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borger-Odoorn;345.0;95.0;245.0;16.88;4.72;12.16;16.0;4.0;11.0
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borne;340.0;105.0;240.0;18.07;5.46;12.61;18.0;5.0;13.0
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borsele;300.0;65.0;235.0;19.02;4.07;14.95;16.0;3.0;13.0
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxmeer;;;;;;;;;
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxtel;475.0;120.0;355.0;21.93;5.52;16.41;18.0;5.0;14.0
