ID;StationDistrict;Perioden;Temperatuur_1;Zonneschijn_2;Neerslag_3
0;De Kooy/District 1;Januari   1931/1960;2.5;53.8;65.0
1;De Kooy/District 1;Februari  1931/1960;2.4;74.0;46.0
2;De Kooy/District 1;Maart     1931/1960;4.4;127.2;38.0
3;De Kooy/District 1;April     1931/1960;7.6;180.8;39.0
4;De Kooy/District 1;Mei       1931/1960;11.3;226.8;40.0
5;De Kooy/District 1;Juni      1931/1960;14.5;238.1;41.0
6;De Kooy/District 1;Juli      1931/1960;16.7;216.9;67.0
7;De Kooy/District 1;Augustus  1931/1960;17.1;206.5;74.0
8;De Kooy/District 1;September 1931/1960;15.2;151.1;75.0
9;De Kooy/District 1;Oktober   1931/1960;11.2;102.3;88.0
10;De Kooy/District 1;November  1931/1960;7.2;48.3;79.0
11;De Kooy/District 1;December  1931/1960;4.3;39.6;66.0
12;De Kooy/District 1;Jaarcijfer 1931/1960;9.5;1665.4;718.0
13;De Kooy/District 1;Januari   1951/1980;2.6;45.9;65.0
14;De Kooy/District 1;Februari  1951/1980;2.4;69.0;44.0
15;De Kooy/District 1;Maart     1951/1980;4.4;120.0;43.0
16;De Kooy/District 1;April     1951/1980;7.2;172.5;44.0
17;De Kooy/District 1;Mei       1951/1980;11.2;223.9;41.0
18;De Kooy/District 1;Juni      1951/1980;14.3;227.9;45.0
19;De Kooy/District 1;Juli      1951/1980;16.2;204.5;68.0
20;De Kooy/District 1;Augustus  1951/1980;16.7;198.8;78.0
21;De Kooy/District 1;September 1951/1980;14.8;144.5;78.0
22;De Kooy/District 1;Oktober   1951/1980;11.3;99.5;80.0
23;De Kooy/District 1;November  1951/1980;7.1;52.2;91.0
24;De Kooy/District 1;December  1951/1980;4.3;38.7;79.0
25;De Kooy/District 1;Jaarcijfer 1951/1980;9.4;1597.4;756.0
26;De Kooy/District 1;Januari   1980;0.7;50.8;51.0
27;De Kooy/District 1;Februari  1980;4.3;62.7;56.0
28;De Kooy/District 1;Maart     1980;4.4;90.9;55.0
29;De Kooy/District 1;April     1980;7.7;167.4;20.0
30;De Kooy/District 1;Mei       1980;11.4;293.8;10.0
31;De Kooy/District 1;Juni      1980;14.2;197.5;70.0
32;De Kooy/District 1;Juli      1980;15.2;165.8;112.0
33;De Kooy/District 1;Augustus  1980;16.5;165.9;84.0
34;De Kooy/District 1;September 1980;15.4;164.3;35.0
35;De Kooy/District 1;Oktober   1980;10.3;97.6;126.0
36;De Kooy/District 1;November  1980;5.8;58.9;97.0
37;De Kooy/District 1;December  1980;4.8;48.0;99.0
38;De Kooy/District 1;Jaarcijfer 1980;9.2;1563.6;815.0
39;De Kooy/District 1;Januari   1981;3.6;46.6;88.0
40;De Kooy/District 1;Februari  1981;1.8;59.0;38.0
41;De Kooy/District 1;Maart     1981;6.7;54.1;117.0
42;De Kooy/District 1;April     1981;7.4;162.0;8.0
43;De Kooy/District 1;Mei       1981;12.4;235.0;59.0
44;De Kooy/District 1;Juni      1981;13.5;145.0;27.0
45;De Kooy/District 1;Juli      1981;15.7;210.0;50.0
46;De Kooy/District 1;Augustus  1981;16.5;177.2;26.0
47;De Kooy/District 1;September 1981;15.3;161.7;67.0
48;De Kooy/District 1;Oktober   1981;9.6;75.9;176.0
49;De Kooy/District 1;November  1981;7.7;46.6;84.0
50;De Kooy/District 1;December  1981;0.2;35.1;70.0
51;De Kooy/District 1;Jaarcijfer 1981;9.2;1408.8;806.0
52;De Kooy/District 1;Januari   1982;1.1;88.2;67.0
53;De Kooy/District 1;Februari  1982;2.6;95.9;22.0
54;De Kooy/District 1;Maart     1982;4.6;125.7;57.0
55;De Kooy/District 1;April     1982;6.9;196.2;22.0
56;De Kooy/District 1;Mei       1982;11.4;272.9;32.0
57;De Kooy/District 1;Juni      1982;15.6;231.8;91.0
58;De Kooy/District 1;Juli      1982;17.7;254.3;48.0
59;De Kooy/District 1;Augustus  1982;17.0;202.2;88.0
60;De Kooy/District 1;September 1982;15.4;145.9;62.0
61;De Kooy/District 1;Oktober   1982;11.3;80.0;115.0
62;De Kooy/District 1;November  1982;8.4;46.8;94.0
63;De Kooy/District 1;December  1982;4.2;16.9;87.0
64;De Kooy/District 1;Jaarcijfer 1982;9.7;1756.8;785.0
65;De Kooy/District 1;Januari   1983;6.2;41.3;79.0
66;De Kooy/District 1;Februari  1983;1.1;100.4;45.0
67;De Kooy/District 1;Maart     1983;5.1;119.0;86.0
68;De Kooy/District 1;April     1983;7.7;139.2;69.0
69;De Kooy/District 1;Mei       1983;10.2;115.0;107.0
70;De Kooy/District 1;Juni      1983;14.9;263.2;38.0
71;De Kooy/District 1;Juli      1983;17.9;250.4;12.0
