ID;OppervlakteklasseAppelsEnPeren;Perioden;OppervlakteTotaalFruit_1;OppervlakteAppelsEnPeren_2;AppelsTotaal_3;Elstar_4;Jonagold_5;Jonagored_6;Cox_7;GoldenDelicious_8;SchoneVanBoskoop_9;Delcorf_10;Gala_11;Santana_12;Braeburn_13;Alkmene_14;Summerred_15;Discovery_16;Elise_17;Delblush_18;JamesGrieve_19;Karmijn_20;Gloster_21;Elan_22;ZoeteAppelen_23;OverigeAppels_24;PerenTotaal_25;HandperenTotaal_26;Conference_27;DoyenneDuComice_28;BeurreLucas_29;BeurreHardy_30;TriompheDeVienne_31;Verdi_32;BonneLouiseDAvranches_33;Legipont_34;Concorde_35;OverigeHandperen_36;StoofperenTotaal_37;GieserWilderman_38;SaintRemy_39;OverigeStoofperen_40;KleinfruitTotaal_41;Frambozen_42;ZwarteBessen_43;RodeBessen_44;BlauweBessen_45;Bramen_46;OverigKleinfruit_47;SteenvruchtenTotaal_48;Pruimen_49;ZoeteKersen_50;ZureKersen_51;OverigeSteenvruchten_52;Oppervlakte_53;InVanOppervlakteAppelsEnPeren_54;Oppervlakte_55;InVanOppervlakteAppelsEnPeren_56;TotaleKoelcapaciteit_57;TotaleKoelcapPerHaAppelsPeren_58;ULOKoelcapaciteit_59;KoelcapaciteitAndersDanULO_60;Veiling_61;Consument_62;HandelVanafHout_63;HandelVanafKoelcel_64;OverigeAfzet_65;MetFruitTotaal_66;MetAppelsEnOfPeren_67;AppelsTotaal_68;Elstar_69;Jonagold_70;Jonagored_71;Cox_72;GoldenDelicious_73;SchoneVanBoskoop_74;Delcorf_75;Gala_76;Santana_77;Braeburn_78;Alkmene_79;Summerred_80;Discovery_81;Elise_82;Delblush_83;JamesGrieve_84;Gloster_85;Karmijn_86;Elan_87;ZoeteAppelen_88;OverigeAppels_89;PerenTotaal_90;HandperenTotaal_91;Conference_92;DoyenneDuComice_93;BeurreLucas_94;BeurreHardy_95;TriompheDeVienne_96;Verdi_97;BonneLouiseDAvranches_98;Legipont_99;Concorde_100;OverigeHandperen_101;StoofperenTotaal_102;GieserWilderman_103;SaintRemy_104;OverigeStoofperen_105;KleinfruitTotaal_106;Frambozen_107;ZwarteBessen_108;RodeBessen_109;BlauweBessen_110;Bramen_111;OverigKleinfruit_112;SteenvruchtenTotaal_113;Pruimen_114;ZoeteKersen_115;ZureKersen_116;OverigeSteenvruchten_117;TotaalBedrijven_118;InVanAantalBedrMetAppelsPeren_119;TotaalBedrijven_120;InVanAantalBedrMetAppelsPeren_121;TotaalBedrijven_122;InVanAantalBedrMetAppelsPeren_123;MetULOKoeling_124;MetKoelingAndersDanULOKoeling_125;Veiling_126;Consument_127;HandelVanafHout_128;HandelVanafKoelcel_129;OverigeAfzet_130
0;0;1997;22960;21216.0;15191.0;5127.0;3440.0;1158.0;1503.0;1192.0;1281.0;211.0;110.0;;;221.0;78.0;87.0;;;205.0;28.0;160.0;47.0;47.0;298.0;6026.0;5477.0;3445.0;1274.0;97.0;215.0;213.0;;47.0;45.0;;141.0;548.0;377.0;140.0;32.0;736.0;39.0;352.0;140.0;160.0;21.0;24.0;1007;536;198.0;259.0;15.0;8487.0;40.0;5730.0;27.0;323200.0;15.0;191300.0;131900.0;;;;;;4142;3336.0;2777.0;2407.0;2050.0;859.0;1661.0;1526.0;1723.0;578.0;161.0;;;768.0;395.0;293.0;;;905.0;501.0;118.0;185.0;210.0;936.0;2544.0;2376.0;2213.0;1742.0;245.0;601.0;621.0;;214.0;187.0;;454.0;1402.0;1144.0;563.0;176.0;612.0;173.0;102.0;356.0;96.0;152.0;147.0;1355;1118;287.0;138.0;32.0;1262.0;38.0;1063.0;32.0;1525.0;46.0;569.0;1348.0;;;;;
1;0;2002;19569;17506.0;11176.0;4374.0;2468.0;1077.0;666.0;763.0;809.0;318.0;92.0;19.0;29.0;80.0;38.0;37.0;43.0;43.0;;;;;24.0;298.0;6329.0;5841.0;4035.0;1119.0;204.0;106.0;213.0;14.0;;;8.0;141.0;488.0;351.0;;137.0;1065.0;32.0;541.0;244.0;182.0;21.0;44.0;998;431;225.0;307.0;35.0;9155.0;52.0;4070.0;23.0;309500.0;18.0;219400.0;90100.0;60.9;5.5;16.9;13.1;3.6;3101;2515.0;2005.0;1755.0;1381.0;652.0;865.0;1018.0;1044.0;677.0;153.0;36.0;58.0;338.0;156.0;138.0;71.0;48.0;;;;;112.0;616.0;2032.0;1936.0;1866.0;1467.0;324.0;227.0;585.0;50.0;;;22.0;396.0;1151.0;982.0;;401.0;485.0;93.0;73.0;295.0;102.0;92.0;95.0;958;748;258.0;103.0;36.0;1157.0;46.0;700.0;28.0;1195.0;48.0;552.0;961.0;65.5;32.2;26.5;14.1;7.7
2;1;1997;1041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;596.0;31.0;288.0;99.0;144.0;17.0;18.0;445;223;94.0;120.0;9.0;;;;;;;;;;;;;;806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;388.0;110.0;62.0;211.0;76.0;100.0;89.0;515;388;140.0;64.0;15.0;;;;;;;;;;;;;
3;1;2002;1363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;875.0;26.0;447.0;194.0;163.0;15.0;29.0;488;176;123.0;159.0;31.0;;;;;;;;;53.3;11.4;21.1;5.9;8.2;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;295.0;54.0;52.0;169.0;74.0;53.0;51.0;353;248;106.0;53.0;17.0;;;;;;;;;68.3;35.5;18.8;4.4;9.9
4;2;1997;439;305.0;155.0;42.0;19.0;4.0;11.0;11.0;40.0;;;;;2.0;1.0;;;;4.0;;1.0;;3.0;17.0;150.0;106.0;60.0;21.0;2.0;7.0;3.0;;2.0;3.0;;8.0;44.0;29.0;10.0;5.0;20.0;3.0;3.0;10.0;;2.0;2.0;115;75;24.0;11.0;5.0;75.0;25.0;41.0;14.0;7100.0;23.0;1300.0;5800.0;;;;;;631;631.0;406.0;220.0;144.0;24.0;103.0;85.0;214.0;;;;;18.0;13.0;;;;60.0;12.0;;;33.0;106.0;431.0;339.0;263.0;152.0;15.0;51.0;35.0;;19.0;35.0;;66.0;247.0;183.0;86.0;48.0;84.0;26.0;18.0;56.0;;18.0;19.0;246;219;51.0;20.0;12.0;105.0;17.0;66.0;10.0;105.0;17.0;14.0;99.0;;;;;
5;2;2002;307;200.0;92.0;31.0;13.0;2.0;4.0;5.0;15.0;4.0;;;;1.0;;;;;;;;;1.0;14.0;108.0;83.0;55.0;17.0;2.0;;2.0;;;;;6.0;25.0;19.0;;7.0;35.0;2.0;;12.0;12.0;3.0;5.0;72;43;12.0;15.0;1.0;73.0;36.0;23.0;11.0;3800.0;19.0;;2500.0;60.0;11.5;20.1;3.9;4.5;420;420.0;250.0;152.0;95.0;12.0;36.0;42.0;95.0;44.0;;;;17.0;;;;;;;;;16.0;76.0;303.0;257.0;230.0;136.0;16.0;;38.0;;;;;46.0;181.0;138.0;;56.0;70.0;20.0;;48.0;12.0;18.0;14.0;158;133;29.0;14.0;10.0;101.0;24.0;51.0;12.0;90.0;21.0;;85.0;64.5;23.3;21.2;6.2;7.6
6;3;1997;3095;2836.0;1666.0;552.0;348.0;66.0;144.0;144.0;197.0;24.0;6.0;;;23.0;9.0;7.0;;;35.0;4.0;12.0;4.0;10.0;82.0;1170.0;1018.0;653.0;229.0;14.0;31.0;32.0;;9.0;16.0;;34.0;151.0;102.0;38.0;11.0;67.0;3.0;35.0;18.0;6.0;2.0;3.0;192;128;38.0;26.0;;845.0;30.0;561.0;20.0;43000.0;15.0;12700.0;30300.0;;;;;;1161;1161.0;880.0;729.0;561.0;155.0;412.0;373.0;456.0;107.0;18.0;;;148.0;83.0;44.0;;;215.0;63.0;24.0;23.0;66.0;248.0;847.0;787.0;722.0;536.0;56.0;147.0;148.0;;51.0;53.0;;123.0;447.0;353.0;183.0;63.0;84.0;23.0;10.0;53.0;11.0;20.0;23.0;315;278;46.0;22.0;;359.0;31.0;263.0;23.0;372.0;32.0;59.0;358.0;;;;;
7;3;2002;2422;2203.0;1082.0;410.0;226.0;71.0;65.0;70.0;115.0;28.0;4.0;;;13.0;2.0;4.0;2.0;;;;;;5.0;55.0;1121.0;998.0;685.0;205.0;23.0;10.0;38.0;;;;;34.0;123.0;90.0;;33.0;80.0;3.0;;21.0;;2.0;5.0;139;81;34.0;22.0;;795.0;36.0;329.0;15.0;39600.0;18.0;21200.0;18400.0;51.0;9.7;27.8;6.5;5.1;867;867.0;600.0;497.0;336.0;113.0;190.0;209.0;256.0;127.0;21.0;;;71.0;23.0;21.0;11.0;;;;;;30.0;142.0;679.0;643.0;614.0;464.0;83.0;47.0;149.0;;;;;117.0;363.0;302.0;;135.0;58.0;10.0;;38.0;;17.0;13.0;208;173;53.0;17.0;;298.0;34.0;140.0;16.0;277.0;32.0;65.0;247.0;55.4;27.0;35.3;11.3;7.6
8;4;1997;5453;5308.0;3785.0;1296.0;887.0;196.0;373.0;315.0;332.0;60.0;17.0;;;56.0;26.0;22.0;;;60.0;7.0;40.0;12.0;10.0;76.0;1524.0;1391.0;840.0;358.0;21.0;61.0;59.0;;13.0;9.0;;28.0;133.0;94.0;32.0;7.0;31.0;1.0;;7.0;;;1.0;113;54;13.0;45.0;;1715.0;32.0;1415.0;27.0;64500.0;12.0;27900.0;36600.0;;;;;;729;729.0;686.0;662.0;598.0;233.0;484.0;453.0;478.0;200.0;40.0;;;241.0;135.0;92.0;;;288.0;152.0;34.0;55.0;48.0;241.0;575.0;563.0;548.0;477.0;60.0;165.0;190.0;;67.0;42.0;;104.0;310.0;266.0;131.0;32.0;33.0;12.0;;21.0;;;10.0;151;127;26.0;15.0;;307.0;42.0;300.0;41.0;446.0;61.0;121.0;402.0;;;;;
9;4;2002;4441;4276.0;2663.0;1021.0;635.0;188.0;166.0;190.0;203.0;97.0;20.0;7.0;3.0;21.0;12.0;10.0;7.0;8.0;;;;;6.0;71.0;1613.0;1480.0;1002.0;315.0;46.0;28.0;48.0;4.0;;;4.0;34.0;133.0;93.0;;39.0;40.0;;;10.0;;;4.0;125;68;26.0;30.0;;1970.0;46.0;914.0;21.0;59300.0;14.0;35100.0;24200.0;60.2;6.7;20.1;10.3;2.6;578;578.0;521.0;490.0;414.0;184.0;256.0;304.0;282.0;218.0;44.0;11.0;11.0;93.0;53.0;37.0;17.0;12.0;;;;;31.0;151.0;483.0;473.0;462.0;402.0;88.0;72.0;155.0;20.0;;;10.0;101.0;267.0;235.0;;86.0;42.0;;;25.0;;;14.0;121;100;36.0;11.0;;317.0;55.0;194.0;34.0;342.0;59.0;134.0;275.0;70.1;38.1;27.0;18.7;5.7
