ID;Persoonskenmerken;Perioden;LangdurigWerklozen_1
0;3;2001;90.0
1;3;2002;88.0
2;3;2003;129.0
3;3;2004;182.0
4;3;2005;203.0
5;3;2006;189.0
6;3;2007;146.0
7;3;2008;119.0
8;1;2001;39.0
9;1;2002;37.0
10;1;2003;62.0
11;1;2004;97.0
12;1;2005;107.0
13;1;2006;93.0
14;1;2007;68.0
15;1;2008;59.0
16;2;2001;51.0
17;2;2002;51.0
18;2;2003;67.0
19;2;2004;84.0
20;2;2005;96.0
21;2;2006;96.0
22;2;2007;78.0
23;2;2008;60.0
24;4;2001;11.0
25;4;2002;7.0
26;4;2003;16.0
27;4;2004;23.0
28;4;2005;21.0
29;4;2006;18.0
30;4;2007;11.0
31;4;2008;12.0
32;5;2001;46.0
33;5;2002;44.0
34;5;2003;64.0
35;5;2004;93.0
36;5;2005;100.0
37;5;2006;80.0
38;5;2007;54.0
39;5;2008;42.0
40;6;2001;33.0
41;6;2002;37.0
42;6;2003;50.0
43;6;2004;66.0
44;6;2005;82.0
45;6;2006;90.0
46;6;2007;82.0
47;6;2008;65.0
48;7;2001;60.0
49;7;2002;55.0
50;7;2003;82.0
51;7;2004;112.0
52;7;2005;123.0
53;7;2006;115.0
54;7;2007;96.0
55;7;2008;73.0
56;8;2001;30.0
57;8;2002;33.0
58;8;2003;48.0
59;8;2004;70.0
60;8;2005;80.0
61;8;2006;73.0
62;8;2007;50.0
63;8;2008;46.0
64;9;2001;8.0
65;9;2002;11.0
66;9;2003;14.0
67;9;2004;19.0
68;9;2005;26.0
69;9;2006;22.0
70;9;2007;16.0
71;9;2008;15.0
72;10;2001;20.0
73;10;2002;20.0
74;10;2003;31.0
75;10;2004;48.0
76;10;2005;53.0
77;10;2006;49.0
78;10;2007;31.0
79;10;2008;30.0
80;11;2001;17.0
81;11;2002;16.0
82;11;2003;19.0
83;11;2004;27.0
84;11;2005;26.0
85;11;2006;27.0
86;11;2007;17.0
87;11;2008;18.0
88;12;2001;32.0
89;12;2002;24.0
90;12;2003;38.0
91;12;2004;45.0
92;12;2005;50.0
93;12;2006;48.0
94;12;2007;37.0
95;12;2008;33.0
96;13;2001;27.0
97;13;2002;30.0
98;13;2003;50.0
99;13;2004;70.0
100;13;2005;86.0
101;13;2006;78.0
102;13;2007;63.0
103;13;2008;44.0
104;14;2001;9.0
105;14;2002;11.0
106;14;2003;14.0
107;14;2004;23.0
108;14;2005;20.0
109;14;2006;18.0
110;14;2007;15.0
111;14;2008;15.0
112;15;2001;5.0
113;15;2002;7.0
114;15;2003;8.0
115;15;2004;16.0
116;15;2005;20.0
117;15;2006;14.0
118;15;2007;13.0
119;15;2008;10.0
120;16;2001;18.0
121;16;2002;21.0
122;16;2003;36.0
123;16;2004;43.0
124;16;2005;55.0
125;16;2006;42.0
126;16;2007;39.0
127;16;2008;29.0
128;17;2001;6.0
129;17;2002;7.0
130;17;2003;9.0
131;17;2004;15.0
132;17;2005;16.0
133;17;2006;20.0
134;17;2007;12.0
135;17;2008;10.0
136;18;2001;38.0
137;18;2002;37.0
138;18;2003;46.0
139;18;2004;65.0
140;18;2005;67.0
141;18;2006;64.0
142;18;2007;47.0
143;18;2008;38.0
144;19;2001;17.0
145;19;2002;16.0
146;19;2003;23.0
147;19;2004;31.0
148;19;2005;40.0
149;19;2006;40.0
150;19;2007;35.0
151;19;2008;28.0
152;20;2001;1.0
153;20;2002;
154;20;2003;2.0
155;20;2004;2.0
156;20;2005;2.0
157;20;2006;3.0
158;20;2007;2.0
159;20;2008;
160;21;2001;8.0
161;21;2002;5.0
162;21;2003;12.0
163;21;2004;19.0
164;21;2005;18.0
165;21;2006;14.0
166;21;2007;9.0
167;21;2008;12.0
168;22;2001;2.0
169;22;2002;
170;22;2003;2.0
171;22;2004;6.0
172;22;2005;4.0
173;22;2006;5.0
174;22;2007;3.0
175;22;2008;
