ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;k_26EULanden_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
0;2006;1.71;1.69;2.54;1.83;1.71;3.22;1.7;1.65;2.21;1.45;1.52;1.51;1.07
1;2007;1.72;1.71;2.51;1.81;1.71;3.18;1.71;1.66;2.2;1.45;1.51;1.52;1.07
2;2008;1.73;1.73;2.48;1.8;1.71;3.15;1.72;1.67;2.19;1.44;1.51;1.53;1.07
3;2009;1.74;1.74;2.45;1.78;1.71;3.12;1.73;1.68;2.18;1.44;1.5;1.54;1.07
4;2010;1.75;1.75;2.43;1.77;1.71;3.08;1.73;1.7;2.17;1.44;1.49;1.55;1.08
5;2011;1.75;1.76;2.4;1.76;1.71;3.05;1.74;1.71;2.17;1.44;1.48;1.56;1.08
6;2012;1.75;1.76;2.38;1.76;1.71;3.02;1.74;1.73;2.16;1.44;1.48;1.58;1.08
7;2013;1.75;1.77;2.36;1.75;1.71;2.98;1.75;1.74;2.15;1.44;1.47;1.6;1.08
8;2014;1.75;1.77;2.33;1.75;1.71;2.94;1.75;1.75;2.14;1.44;1.46;1.61;1.09
9;2015;1.75;1.77;2.31;1.75;1.72;2.91;1.75;1.75;2.13;1.44;1.46;1.63;1.09
10;2016;1.75;1.77;2.29;1.75;1.72;2.87;1.75;1.75;2.13;1.44;1.45;1.65;1.09
11;2017;1.75;1.77;2.27;1.75;1.72;2.83;1.75;1.75;2.12;1.44;1.45;1.67;1.09
12;2018;1.75;1.77;2.25;1.75;1.72;2.8;1.75;1.75;2.11;1.44;1.44;1.68;1.1
13;2019;1.75;1.77;2.24;1.75;1.72;2.76;1.75;1.75;2.1;1.43;1.44;1.7;1.1
14;2020;1.75;1.78;2.22;1.75;1.72;2.72;1.75;1.75;2.1;1.43;1.43;1.71;1.11
15;2021;1.75;1.78;2.2;1.75;1.72;2.69;1.75;1.75;2.09;1.43;1.43;1.73;1.11
16;2022;1.75;1.78;2.19;1.75;1.72;2.65;1.75;1.75;2.08;1.43;1.43;1.74;1.11
17;2023;1.75;1.78;2.17;1.75;1.72;2.61;1.75;1.75;2.08;1.43;1.42;1.74;1.12
18;2024;1.75;1.78;2.16;1.75;1.73;2.58;1.75;1.75;2.07;1.43;1.42;1.75;1.12
19;2025;1.75;1.78;2.15;1.75;1.73;2.54;1.75;1.75;2.07;1.43;1.42;1.75;1.13
20;2026;1.75;1.78;2.13;1.75;1.73;2.51;1.75;1.75;2.06;1.42;1.41;1.75;1.13
21;2027;1.75;1.78;2.12;1.75;1.73;2.47;1.75;1.75;2.06;1.42;1.41;1.75;1.13
22;2028;1.75;1.78;2.11;1.75;1.73;2.44;1.75;1.75;2.05;1.42;1.41;1.75;1.14
23;2029;1.75;1.78;2.1;1.75;1.73;2.4;1.75;1.75;2.05;1.42;1.41;1.75;1.14
24;2030;1.75;1.78;2.09;1.75;1.73;2.37;1.75;1.75;2.04;1.42;1.41;1.75;1.15
25;2031;1.75;1.78;2.08;1.75;1.73;2.34;1.75;1.75;2.04;1.42;1.41;1.75;1.15
26;2032;1.75;1.78;2.07;1.75;1.74;2.31;1.75;1.75;2.03;1.42;1.4;1.75;1.15
27;2033;1.75;1.78;2.06;1.75;1.74;2.28;1.75;1.75;2.03;1.41;1.4;1.75;1.16
28;2034;1.75;1.78;2.05;1.75;1.74;2.25;1.75;1.75;2.03;1.41;1.4;1.75;1.16
29;2035;1.75;1.78;2.05;1.75;1.74;2.22;1.75;1.75;2.02;1.41;1.4;1.75;1.17
30;2036;1.75;1.78;2.04;1.75;1.74;2.2;1.75;1.75;2.02;1.41;1.4;1.75;1.17
31;2037;1.75;1.78;2.03;1.75;1.74;2.17;1.75;1.75;2.02;1.41;1.4;1.75;1.17
32;2038;1.75;1.78;2.03;1.75;1.74;2.15;1.75;1.75;2.02;1.41;1.4;1.75;1.18
33;2039;1.75;1.79;2.02;1.75;1.74;2.13;1.75;1.75;2.01;1.41;1.4;1.75;1.18
34;2040;1.75;1.79;2.02;1.75;1.74;2.11;1.75;1.75;2.01;1.41;1.4;1.75;1.18
35;2041;1.75;1.79;2.02;1.75;1.75;2.09;1.75;1.75;2.01;1.4;1.4;1.75;1.19
36;2042;1.75;1.79;2.01;1.75;1.75;2.07;1.75;1.75;2.01;1.4;1.4;1.75;1.19
37;2043;1.75;1.79;2.01;1.75;1.75;2.05;1.75;1.75;2.01;1.4;1.4;1.75;1.19
38;2044;1.75;1.79;2.01;1.75;1.75;2.04;1.75;1.75;2.0;1.4;1.4;1.75;1.19
39;2045;1.75;1.79;2.0;1.75;1.75;2.03;1.75;1.75;2.0;1.4;1.4;1.75;1.2
40;2046;1.75;1.79;2.0;1.75;1.75;2.02;1.75;1.75;2.0;1.4;1.4;1.75;1.2
41;2047;1.75;1.79;2.0;1.75;1.75;2.01;1.75;1.75;2.0;1.4;1.4;1.75;1.2
42;2048;1.75;1.79;2.0;1.75;1.75;2.0;1.75;1.75;2.0;1.4;1.4;1.75;1.2
43;2049;1.75;1.79;2.0;1.75;1.75;2.0;1.75;1.75;2.0;1.4;1.4;1.75;1.2
