ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesNederland_1;Waddeneilanden_2;Noordzeebadplaatsen_3;Watersportgebieden_4;VeluweEnVeluwerand_5;TwenteSallandEnVechtstreek_6;GroningseFrieseEnDrentseZandgronden_7;WestEnMiddenBrabant_8;OBrabantNMLimburgRijkVNijmegen_9;ZuidLimburg_10;OverigNederland_11;Friesland_12;Drenthe_13;Overijssel_14;Gelderland_15;NoordHolland_16;ZuidHolland_17;Zeeland_18;NoordBrabant_19;Limburg_20;OverigeProvincies_21
0;Totaal;2002;9200.0;624.0;1180.0;1126.0;996.0;735.0;928.0;882.0;862.0;474.0;1393.0;785.0;848.0;814.0;1536.0;850.0;617.0;969.0;1068.0;1077.0;636.0
1;Totaal;2003;9029.0;660.0;1269.0;1235.0;1128.0;798.0;876.0;718.0;775.0;414.0;1155.0;785.0;804.0;854.0;1619.0;859.0;609.0;1035.0;894.0;979.0;592.0
2;Totaal;2004;9069.0;620.0;1169.0;1107.0;1076.0;739.0;1047.0;772.0;1058.0;357.0;1125.0;716.0;922.0;796.0;1601.0;865.0;567.0;918.0;946.0;1160.0;579.0
3;Totaal;2005;8451.0;623.0;1106.0;975.0;937.0;740.0;961.0;711.0;888.0;394.0;1116.0;738.0;857.0;802.0;1473.0;830.0;527.0;742.0;879.0;1081.0;522.0
4;Totaal;2006;8843.0;604.0;1179.0;1118.0;973.0;688.0;989.0;784.0;897.0;376.0;1233.0;743.0;878.0;810.0;1490.0;953.0;523.0;804.0;939.0;1086.0;617.0
5;Totaal;2007;8458.0;648.0;1068.0;1040.0;880.0;696.0;925.0;756.0;865.0;470.0;1110.0;698.0;842.0;821.0;1349.0;978.0;502.0;703.0;913.0;1134.0;520.0
6;Totaal;2008;8532.0;602.0;972.0;1037.0;978.0;714.0;951.0;768.0;884.0;445.0;1180.0;626.0;860.0;788.0;1557.0;899.0;429.0;741.0;911.0;1111.0;611.0
7;Totaal;2009;8695.0;609.0;1080.0;1220.0;983.0;650.0;1074.0;697.0;958.0;417.0;1010.0;710.0;964.0;723.0;1473.0;917.0;546.0;795.0;894.0;1139.0;532.0
8;Totaal;2010;8476.0;634.0;1061.0;1047.0;904.0;720.0;1013.0;683.0;843.0;394.0;1175.0;709.0;909.0;821.0;1431.0;886.0;528.0;793.0;845.0;1023.0;529.0
9;Totaal;2011;8263.0;575.0;1069.0;940.0;826.0;748.0;1038.0;630.0;914.0;466.0;1057.0;632.0;942.0;823.0;1329.0;802.0;513.0;719.0;789.0;1158.0;556.0
