ID;NationaliteitVoertuig;RegioS;Perioden;TotaalGeladenGewicht_1;VervoerdBinnenDezelfdeProvincie_2;VervoerdNaarAndereProvincies_3;VervoerdNaarBuitenland_4;TotaalGelostGewicht_5;AfkomstigUitDezelfdeProvincie_6;AfkomstigUitAndereProvincies_7;AfkomstigUitBuitenland_8
284;Buitenlandse voertuigen;Zeeland (PV);2009;3951;219;126;3607;2021;219;175;1627
285;Buitenlandse voertuigen;Zeeland (PV);2010;3887;364;90;3433;2094;364;63;1666
286;Buitenlandse voertuigen;Zeeland (PV);2011;3759;491;155;3113;2267;491;83;1693
287;Buitenlandse voertuigen;Zeeland (PV);2012;4077;368;182;3527;2135;368;56;1711
288;Buitenlandse voertuigen;Noord-Brabant (PV);2005;4260;263;191;3806;6625;263;381;5980
289;Buitenlandse voertuigen;Noord-Brabant (PV);2006;6118;514;361;5242;7546;514;463;6568
290;Buitenlandse voertuigen;Noord-Brabant (PV);2007;7086;595;389;6103;8985;595;398;7993
291;Buitenlandse voertuigen;Noord-Brabant (PV);2008;7352;313;356;6684;9649;313;386;8951
292;Buitenlandse voertuigen;Noord-Brabant (PV);2009;6467;285;363;5820;9009;285;380;8343
293;Buitenlandse voertuigen;Noord-Brabant (PV);2010;7314;242;504;6568;8617;242;529;7846
294;Buitenlandse voertuigen;Noord-Brabant (PV);2011;7093;237;585;6271;8511;237;717;7557
295;Buitenlandse voertuigen;Noord-Brabant (PV);2012;6772;226;555;5991;8599;226;532;7841
296;Buitenlandse voertuigen;Limburg (PV);2005;5239;214;253;4771;6226;214;153;5859
297;Buitenlandse voertuigen;Limburg (PV);2006;5683;379;258;5045;6854;379;204;6271
298;Buitenlandse voertuigen;Limburg (PV);2007;7246;515;306;6424;8019;515;267;7237
299;Buitenlandse voertuigen;Limburg (PV);2008;6764;285;368;6110;7773;285;209;7279
300;Buitenlandse voertuigen;Limburg (PV);2009;7188;312;395;6481;6963;312;256;6395
301;Buitenlandse voertuigen;Limburg (PV);2010;7143;509;487;6147;6394;509;325;5560
302;Buitenlandse voertuigen;Limburg (PV);2011;6987;405;454;6128;6838;405;373;6060
303;Buitenlandse voertuigen;Limburg (PV);2012;7475;556;464;6455;6573;556;475;5543
304;Buitenlandse voertuigen;Provincie onbekend;2005;6064;0;228;5836;5096;0;228;4868
305;Buitenlandse voertuigen;Provincie onbekend;2006;6541;0;355;6187;5931;0;355;5576
306;Buitenlandse voertuigen;Provincie onbekend;2007;2632;0;156;2476;2420;0;156;2264
307;Buitenlandse voertuigen;Provincie onbekend;2008;198;0;5;193;153;0;5;148
308;Buitenlandse voertuigen;Provincie onbekend;2009;289;0;13;277;258;0;13;245
309;Buitenlandse voertuigen;Provincie onbekend;2010;504;0;59;446;310;0;59;251
310;Buitenlandse voertuigen;Provincie onbekend;2011;356;26;0;330;347;26;0;321
311;Buitenlandse voertuigen;Provincie onbekend;2012;351;4;0;347;272;4;1;268
