ID;DuurUitkeringsafhankelijkheid;UitkeringsaandeelInBrutoInkomen;Persoonskenmerken;Perioden;PersonenInParticuliereHuishoudens_1;PersonenInPartHuishoudensRelatief_2
0;1;1;10001;2001;15785.0;100.0
1;1;1;10001;2002;15864.0;100.0
2;1;1;10001;2003;15905.0;100.0
3;1;1;10001;2004;15954.0;100.0
4;1;1;10001;2005;16006.0;100.0
5;1;1;10001;2006;16034.0;100.0
6;1;1;10001;2007;16090.0;100.0
7;1;1;10001;2008;16186.0;100.0
8;1;1;10001;2009;16258.0;100.0
9;1;1;10001;2010;16303.0;100.0
10;1;1;10001;2011;16392.0;100.0
11;1;1;10001;2012;16442.0;100.0
12;1;1;10001;2013;16452.0;100.0
13;1;1;10001;2014;16524.0;100.0
14;1;1;15400;2001;7837.0;100.0
15;1;1;15400;2002;7877.0;100.0
16;1;1;15400;2003;7891.0;100.0
17;1;1;15400;2004;7912.0;100.0
18;1;1;15400;2005;7936.0;100.0
19;1;1;15400;2006;7947.0;100.0
20;1;1;15400;2007;7974.0;100.0
21;1;1;15400;2008;8027.0;100.0
22;1;1;15400;2009;8062.0;100.0
23;1;1;15400;2010;8084.0;100.0
24;1;1;15400;2011;8128.0;100.0
25;1;1;15400;2012;8148.0;100.0
26;1;1;15400;2013;8159.0;100.0
27;1;1;15400;2014;8197.0;100.0
28;1;1;15450;2001;7948.0;100.0
29;1;1;15450;2002;7987.0;100.0
30;1;1;15450;2003;8014.0;100.0
31;1;1;15450;2004;8043.0;100.0
32;1;1;15450;2005;8070.0;100.0
33;1;1;15450;2006;8087.0;100.0
34;1;1;15450;2007;8115.0;100.0
35;1;1;15450;2008;8160.0;100.0
36;1;1;15450;2009;8196.0;100.0
37;1;1;15450;2010;8219.0;100.0
38;1;1;15450;2011;8264.0;100.0
39;1;1;15450;2012;8294.0;100.0
40;1;1;15450;2013;8293.0;100.0
41;1;1;15450;2014;8326.0;100.0
42;1;1;16650;2001;7069.0;100.0
43;1;1;16650;2002;7144.0;100.0
44;1;1;16650;2003;7189.0;100.0
45;1;1;16650;2004;7246.0;100.0
46;1;1;16650;2005;7316.0;100.0
47;1;1;16650;2006;7364.0;100.0
48;1;1;16650;2007;7428.0;100.0
49;1;1;16650;2008;7514.0;100.0
50;1;1;16650;2009;7522.0;100.0
51;1;1;16650;2010;7564.0;100.0
52;1;1;16650;2011;7641.0;100.0
53;1;1;16650;2012;7694.0;100.0
54;1;1;16650;2013;7729.0;100.0
55;1;1;16650;2014;7802.0;100.0
