ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total ;Nederland;2013;61730
1;Listed monuments total ;Nederland;2014;61768
2;Listed monuments total ;Nederland;2015;61847
3;Listed monuments total ;Nederland;2016;61959
4;Listed monuments total ;Noord-Nederland (LD);2013;8009
5;Listed monuments total ;Noord-Nederland (LD);2014;8005
6;Listed monuments total ;Noord-Nederland (LD);2015;7996
7;Listed monuments total ;Noord-Nederland (LD);2016;7992
8;Listed monuments total ;Oost-Nederland (LD);2013;10114
9;Listed monuments total ;Oost-Nederland (LD);2014;10170
10;Listed monuments total ;Oost-Nederland (LD);2015;10213
11;Listed monuments total ;Oost-Nederland (LD);2016;10215
12;Listed monuments total ;West-Nederland (LD);2013;28763
13;Listed monuments total ;West-Nederland (LD);2014;28767
14;Listed monuments total ;West-Nederland (LD);2015;28783
15;Listed monuments total ;West-Nederland (LD);2016;28902
16;Listed monuments total ;Zuid-Nederland (LD);2013;14844
17;Listed monuments total ;Zuid-Nederland (LD);2014;14826
18;Listed monuments total ;Zuid-Nederland (LD);2015;14855
19;Listed monuments total ;Zuid-Nederland (LD);2016;14850
20;Listed monuments total ;Groningen (PV);2013;2556
21;Listed monuments total ;Groningen (PV);2014;2556
22;Listed monuments total ;Groningen (PV);2015;2557
23;Listed monuments total ;Groningen (PV);2016;2557
24;Listed monuments total ;Friesland (PV);2013;4169
25;Listed monuments total ;Friesland (PV);2014;4158
26;Listed monuments total ;Friesland (PV);2015;4157
27;Listed monuments total ;Friesland (PV);2016;4153
28;Listed monuments total ;Drenthe (PV);2013;1284
29;Listed monuments total ;Drenthe (PV);2014;1291
30;Listed monuments total ;Drenthe (PV);2015;1282
31;Listed monuments total ;Drenthe (PV);2016;1282
32;Listed monuments total ;Overijssel (PV);2013;3945
33;Listed monuments total ;Overijssel (PV);2014;3943
34;Listed monuments total ;Overijssel (PV);2015;3943
35;Listed monuments total ;Overijssel (PV);2016;3943
36;Listed monuments total ;Flevoland (PV);2013;79
37;Listed monuments total ;Flevoland (PV);2014;81
38;Listed monuments total ;Flevoland (PV);2015;81
39;Listed monuments total ;Flevoland (PV);2016;82
40;Listed monuments total ;Gelderland (PV);2013;6169
41;Listed monuments total ;Gelderland (PV);2014;6227
42;Listed monuments total ;Gelderland (PV);2015;6270
43;Listed monuments total ;Gelderland (PV);2016;6272
44;Listed monuments total ;Utrecht (PV);2013;5479
45;Listed monuments total ;Utrecht (PV);2014;5489
46;Listed monuments total ;Utrecht (PV);2015;5509
47;Listed monuments total ;Utrecht (PV);2016;5618
48;Listed monuments total ;Noord-Holland (PV);2013;14086
49;Listed monuments total ;Noord-Holland (PV);2014;14037
50;Listed monuments total ;Noord-Holland (PV);2015;14034
51;Listed monuments total ;Noord-Holland (PV);2016;14044
52;Listed monuments total ;Zuid-Holland (PV);2013;9119
53;Listed monuments total ;Zuid-Holland (PV);2014;9160
54;Listed monuments total ;Zuid-Holland (PV);2015;9159
55;Listed monuments total ;Zuid-Holland (PV);2016;9158
56;Listed monuments total ;Zeeland (PV);2013;3690
57;Listed monuments total ;Zeeland (PV);2014;3679
58;Listed monuments total ;Zeeland (PV);2015;3675
59;Listed monuments total ;Zeeland (PV);2016;3677
60;Listed monuments total ;Noord-Brabant (PV);2013;5810
61;Listed monuments total ;Noord-Brabant (PV);2014;5806
62;Listed monuments total ;Noord-Brabant (PV);2015;5841
63;Listed monuments total ;Noord-Brabant (PV);2016;5832
64;Listed monuments total ;Limburg (PV);2013;5344
65;Listed monuments total ;Limburg (PV);2014;5341
66;Listed monuments total ;Limburg (PV);2015;5339
67;Listed monuments total ;Limburg (PV);2016;5341
68;Listed monuments total ;Oost-Groningen (CR);2013;569
69;Listed monuments total ;Oost-Groningen (CR);2014;569
70;Listed monuments total ;Oost-Groningen (CR);2015;569
71;Listed monuments total ;Oost-Groningen (CR);2016;569
72;Listed monuments total ;Delfzijl en omgeving (CR);2013;314
73;Listed monuments total ;Delfzijl en omgeving (CR);2014;315
74;Listed monuments total ;Delfzijl en omgeving (CR);2015;315
75;Listed monuments total ;Delfzijl en omgeving (CR);2016;315
76;Listed monuments total ;Overig Groningen (CR);2013;1673
77;Listed monuments total ;Overig Groningen (CR);2014;1672
78;Listed monuments total ;Overig Groningen (CR);2015;1673
79;Listed monuments total ;Overig Groningen (CR);2016;1673
80;Listed monuments total ;Noord-Friesland (CR);2013;2825
81;Listed monuments total ;Noord-Friesland (CR);2014;2816
82;Listed monuments total ;Noord-Friesland (CR);2015;2815
83;Listed monuments total ;Noord-Friesland (CR);2016;2812
84;Listed monuments total ;Zuidwest-Friesland (CR);2013;921
85;Listed monuments total ;Zuidwest-Friesland (CR);2014;921
86;Listed monuments total ;Zuidwest-Friesland (CR);2015;918
87;Listed monuments total ;Zuidwest-Friesland (CR);2016;918
88;Listed monuments total ;Zuidoost-Friesland (CR);2013;423
89;Listed monuments total ;Zuidoost-Friesland (CR);2014;421
90;Listed monuments total ;Zuidoost-Friesland (CR);2015;424
91;Listed monuments total ;Zuidoost-Friesland (CR);2016;423
92;Listed monuments total ;Noord-Drenthe (CR);2013;591
93;Listed monuments total ;Noord-Drenthe (CR);2014;598
94;Listed monuments total ;Noord-Drenthe (CR);2015;598
95;Listed monuments total ;Noord-Drenthe (CR);2016;598
96;Listed monuments total ;Zuidoost-Drenthe (CR);2013;269
97;Listed monuments total ;Zuidoost-Drenthe (CR);2014;269
98;Listed monuments total ;Zuidoost-Drenthe (CR);2015;268
99;Listed monuments total ;Zuidoost-Drenthe (CR);2016;268
100;Listed monuments total ;Zuidwest-Drenthe (CR);2013;424
101;Listed monuments total ;Zuidwest-Drenthe (CR);2014;424
102;Listed monuments total ;Zuidwest-Drenthe (CR);2015;416
103;Listed monuments total ;Zuidwest-Drenthe (CR);2016;416
104;Listed monuments total ;Noord-Overijssel (CR);2013;1997
105;Listed monuments total ;Noord-Overijssel (CR);2014;1997
106;Listed monuments total ;Noord-Overijssel (CR);2015;1993
107;Listed monuments total ;Noord-Overijssel (CR);2016;1993
108;Listed monuments total ;Zuidwest-Overijssel (CR);2013;797
109;Listed monuments total ;Zuidwest-Overijssel (CR);2014;796
110;Listed monuments total ;Zuidwest-Overijssel (CR);2015;796
111;Listed monuments total ;Zuidwest-Overijssel (CR);2016;796
112;Listed monuments total ;Twente (CR);2013;1151
113;Listed monuments total ;Twente (CR);2014;1150
114;Listed monuments total ;Twente (CR);2015;1154
115;Listed monuments total ;Twente (CR);2016;1154
116;Listed monuments total ;Veluwe (CR);2013;1640
117;Listed monuments total ;Veluwe (CR);2014;1641
118;Listed monuments total ;Veluwe (CR);2015;1639
119;Listed monuments total ;Veluwe (CR);2016;1639
120;Listed monuments total ;Achterhoek (CR);2013;1559
121;Listed monuments total ;Achterhoek (CR);2014;1557
122;Listed monuments total ;Achterhoek (CR);2015;1555
123;Listed monuments total ;Achterhoek (CR);2016;1555
124;Listed monuments total ;Arnhem/Nijmegen (CR);2013;1835
125;Listed monuments total ;Arnhem/Nijmegen (CR);2014;1837
126;Listed monuments total ;Arnhem/Nijmegen (CR);2015;1847
127;Listed monuments total ;Arnhem/Nijmegen (CR);2016;1853
128;Listed monuments total ;Zuidwest-Gelderland (CR);2013;1135
129;Listed monuments total ;Zuidwest-Gelderland (CR);2014;1192
130;Listed monuments total ;Zuidwest-Gelderland (CR);2015;1229
131;Listed monuments total ;Zuidwest-Gelderland (CR);2016;1225
132;Listed monuments total ;Utrecht (CR);2013;5479
133;Listed monuments total ;Utrecht (CR);2014;5489
134;Listed monuments total ;Utrecht (CR);2015;5509
135;Listed monuments total ;Utrecht (CR);2016;5618
136;Listed monuments total ;Kop van Noord-Holland (CR);2013;1543
137;Listed monuments total ;Kop van Noord-Holland (CR);2014;1540
138;Listed monuments total ;Kop van Noord-Holland (CR);2015;1539
139;Listed monuments total ;Kop van Noord-Holland (CR);2016;1540
140;Listed monuments total ;Alkmaar en omgeving (CR);2013;774
141;Listed monuments total ;Alkmaar en omgeving (CR);2014;774
142;Listed monuments total ;Alkmaar en omgeving (CR);2015;773
143;Listed monuments total ;Alkmaar en omgeving (CR);2016;772
144;Listed monuments total ;IJmond (CR);2013;273
145;Listed monuments total ;IJmond (CR);2014;276
146;Listed monuments total ;IJmond (CR);2015;276
147;Listed monuments total ;IJmond (CR);2016;276
148;Listed monuments total ;Agglomeratie Haarlem (CR);2013;1590
149;Listed monuments total ;Agglomeratie Haarlem (CR);2014;1589
150;Listed monuments total ;Agglomeratie Haarlem (CR);2015;1591
151;Listed monuments total ;Agglomeratie Haarlem (CR);2016;1590
152;Listed monuments total ;Zaanstreek (CR);2013;309
153;Listed monuments total ;Zaanstreek (CR);2014;309
154;Listed monuments total ;Zaanstreek (CR);2015;309
155;Listed monuments total ;Zaanstreek (CR);2016;309
156;Listed monuments total ;Groot-Amsterdam (CR);2013;8348
157;Listed monuments total ;Groot-Amsterdam (CR);2014;8346
158;Listed monuments total ;Groot-Amsterdam (CR);2015;8344
159;Listed monuments total ;Groot-Amsterdam (CR);2016;8352
160;Listed monuments total ;Het Gooi en Vechtstreek (CR);2013;1249
161;Listed monuments total ;Het Gooi en Vechtstreek (CR);2014;1203
162;Listed monuments total ;Het Gooi en Vechtstreek (CR);2015;1202
163;Listed monuments total ;Het Gooi en Vechtstreek (CR);2016;1205
164;Listed monuments total ;Agglomeratie Leiden en Bollenstreek (CR);2013;1809
