ID;Perioden;IndexVolumeToegevoegdeWaardeBouw_1;VolumeontwikkelingTOVEenJaarEerder_2
0;2005 januari ;89.0;-3.4
1;2005 februari;100.9;1.5
2;2005 maart;111.1;-2.1
3;2005 1e kwartaal;100.3;-1.3
4;2005 april;116.6;9.8
5;2005 mei;106.4;10.2
6;2005 juni;120.4;6.9
7;2005 2e kwartaal;114.5;8.9
8;2005 juli;92.7;0.3
9;2005 augustus;59.3;13.7
10;2005 september;126.2;6.5
11;2005 3e kwartaal;92.7;5.8
12;2005 oktober;116.6;2.9
13;2005 november;119.6;3.9
14;2005 december;85.3;3.6
15;2005 4e kwartaal;107.2;3.4
16;2005;103.7;4.2
17;2006 januari;90.4;1.6
18;2006 februari;104.4;3.5
19;2006 maart;120.1;8.1
20;2006 1e kwartaal;105.0;4.7
21;2006 april;110.0;-5.6
22;2006 mei;117.1;10.0
23;2006 juni;118.6;-1.6
24;2006 2e kwartaal;115.2;0.7
25;2006 juli;94.1;1.4
26;2006 augustus;63.5;7.1
27;2006 september;132.3;4.9
28;2006 3e kwartaal;96.6;4.2
29;2006 oktober;122.2;4.8
30;2006 november;124.7;4.3
31;2006 december;87.2;2.3
32;2006 4e kwartaal;111.4;3.9
33;2006;107.1;3.3
34;2007 januari;99.3;9.8
35;2007 februari;114.3;9.5
36;2007 maart;129.0;7.4
37;2007 1e kwartaal;114.2;8.8
38;2007 april;120.7;9.7
39;2007 mei;121.4;3.7
40;2007 juni;129.1;8.9
41;2007 2e kwartaal;123.7;7.4
42;2007 juli;100.1;6.4
43;2007 augustus;71.1;11.9
44;2007 september;133.0;0.5
45;2007 3e kwartaal;101.4;4.9
46;2007 oktober;131.9;8.0
47;2007 november;129.4;3.7
48;2007 december;84.9;-2.7
49;2007 4e kwartaal;115.4;3.6
50;2007;113.7;6.2
51;2008 januari;110.2;11.0
52;2008 februari;127.6;11.6
53;2008 maart;123.9;-4.0
54;2008 1e kwartaal;120.6;5.6
55;2008 april;138.5;14.7
56;2008 mei;123.0;1.3
57;2008 juni;132.2;2.4
58;2008 2e kwartaal;131.3;6.1
59;2008 juli;99.5;-0.5
60;2008 augustus;73.4;3.2
61;2008 september;142.8;7.4
62;2008 3e kwartaal;105.2;3.8
63;2008 oktober;138.0;4.6
64;2008 november;121.8;-5.9
65;2008 december;87.5;3.1
66;2008 4e kwartaal;115.8;0.3
67;2008;118.2;4.0
68;2009 januari;113.8;3.3
69;2009 februari;122.8;-3.8
70;2009 maart;132.8;7.2
71;2009 1e kwartaal;123.1;2.1
72;2009 april;133.5;-3.6
73;2009 mei;119.6;-2.8
74;2009 juni;124.3;-6.0
75;2009 2e kwartaal;125.8;-4.2
76;2009 juli;104.8;5.3
77;2009 augustus;62.5;-14.9
78;2009 september;130.6;-8.6
79;2009 3e kwartaal;99.3;-5.7
80;2009 oktober;123.6;-10.4
81;2009 november;111.3;-8.6
82;2009 december;75.4;-13.9
83;2009 4e kwartaal;103.4;-10.7
84;2009;112.9;-4.5
85;2010 januari;94.5;-17.0
86;2010 februari;97.1;-21.0
87;2010 maart;116.8;-12.1
88;2010 1e kwartaal;102.8;-16.6
89;2010 april;117.5;-12.0
90;2010 mei;104.6;-12.5
91;2010 juni;116.8;-6.0
92;2010 2e kwartaal;113.0;-10.2
93;2010 juli;93.5;-10.8
94;2010 augustus;60.8;-2.7
95;2010 september;117.1;-10.3
96;2010 3e kwartaal;90.5;-8.9
97;2010 oktober;112.1;-9.3
98;2010 november;109.6;-1.5
99;2010 december;67.7;-10.2
100;2010 4e kwartaal;96.5;-6.7
101;2010;100.7;-10.8
102;2011 januari;102.9;9.0
103;2011 februari;111.5;14.8
104;2011 maart;119.3;2.2
105;2011 1e kwartaal;111.3;8.3
106;2011 april;114.4;-2.6
107;2011 mei;117.5;12.3
108;2011 juni;105.3;-9.8
109;2011 2e kwartaal;112.4;-0.5
110;2011 juli;88.0;-5.9
111;2011 augustus;60.4;-0.6
112;2011 september;118.3;1.0
113;2011 3e kwartaal;88.9;-1.7
114;2011 oktober;105.2;-6.1
115;2011 november;105.5;-3.7
116;2011 december;70.5;4.1
117;2011 4e kwartaal;93.7;-2.8
118;2011;101.6;0.9
119;2012 januari;95.0;-7.7
120;2012 februari;96.1;-13.8
121;2012 maart;107.0;-10.3
122;2012 1e kwartaal;99.4;-10.7
123;2012 april;105.5;-7.8
124;2012 mei;103.6;-11.8
125;2012 juni;104.8;-0.5
126;2012 2e kwartaal;104.6;-6.9
127;2012 juli;82.0;-6.8
128;2012 augustus;59.7;-1.1
129;2012 september;106.7;-9.8
130;2012 3e kwartaal;82.8;-6.8
131;2012 oktober;101.0;-4.1
132;2012 november;98.1;-7.0
