ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6;IndelingswijzigingWijkenEnBuurten_7
0;Totaal woningen;Nederland;Nederland                               ;Land      ;NL00      ;1270.0;2790.0;;
1;Totaal woningen;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;1900.0;3140.0;;
2;Totaal woningen;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1750.0;3130.0;;1.0
3;Totaal woningen;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1730.0;3070.0;;1.0
4;Totaal woningen;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;2400.0;4670.0;;1.0
5;Totaal woningen;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1980.0;3160.0;;1.0
6;Totaal woningen;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1940.0;3130.0;;1.0
7;Totaal woningen;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;2420.0;3450.0;;1.0
8;Totaal woningen;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;2120.0;3340.0;;1.0
9;Totaal woningen;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;2120.0;3220.0;;1.0
10;Totaal woningen;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;2110.0;4090.0;;1.0
11;Totaal woningen;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;2220.0;3430.0;;1.0
12;Totaal woningen;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;2210.0;3420.0;;1.0
13;Totaal woningen;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;;;;1.0
14;Totaal woningen;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;2270.0;3600.0;;1.0
15;Totaal woningen;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;2260.0;3550.0;;1.0
16;Totaal woningen;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;;;;1.0
17;Totaal woningen;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;2210.0;3260.0;;1.0
18;Totaal woningen;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;2240.0;3330.0;;1.0
19;Totaal woningen;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;1910.0;2800.0;;1.0
20;Totaal woningen;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;2150.0;3210.0;;1.0
21;Totaal woningen;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;2150.0;3220.0;;1.0
22;Totaal woningen;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;;;;1.0
23;Totaal woningen;Wijk 07 Spijkerboor;Aa en Hunze                             ;Wijk      ;WK168007  ;1860.0;3740.0;;1.0
24;Totaal woningen;Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800700;1860.0;3740.0;;1.0
25;Totaal woningen;Verspreide huizen Spijkerboor;Aa en Hunze                             ;Buurt     ;BU16800709;;;;1.0
26;Totaal woningen;Wijk 08 Nieuw-Annerveen;Aa en Hunze                             ;Wijk      ;WK168008  ;2340.0;3260.0;;1.0
27;Totaal woningen;Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800800;2340.0;3330.0;;1.0
28;Totaal woningen;Verspreide huizen Nieuw-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800809;;;;1.0
29;Totaal woningen;Wijk 09 Oud-Annerveen;Aa en Hunze                             ;Wijk      ;WK168009  ;2340.0;3920.0;;1.0
30;Totaal woningen;Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800900;2340.0;3920.0;;1.0
31;Totaal woningen;Verspreide huizen Oud-Annerveen;Aa en Hunze                             ;Buurt     ;BU16800909;;;;1.0
32;Totaal woningen;Wijk 11 Annerveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168011  ;1930.0;3120.0;;1.0
33;Totaal woningen;Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801100;1930.0;3120.0;;1.0
34;Totaal woningen;Verspreide huizen Annerveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801109;;;;1.0
35;Totaal woningen;Wijk 12 Eexterveenschekanaal;Aa en Hunze                             ;Wijk      ;WK168012  ;1790.0;3090.0;;1.0
36;Totaal woningen;Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801200;1790.0;3090.0;;1.0
37;Totaal woningen;Verspreide huizen Eexterveenschekanaal;Aa en Hunze                             ;Buurt     ;BU16801209;;;;1.0
38;Totaal woningen;Wijk 13 Eexterzandvoort;Aa en Hunze                             ;Wijk      ;WK168013  ;2020.0;3510.0;;1.0
39;Totaal woningen;Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801300;2070.0;3500.0;;1.0
40;Totaal woningen;Verspreide huizen Eexterzandvoort;Aa en Hunze                             ;Buurt     ;BU16801309;1820.0;3560.0;;1.0
41;Totaal woningen;Wijk 14 Gasselte;Aa en Hunze                             ;Wijk      ;WK168014  ;1950.0;3270.0;;1.0
42;Totaal woningen;Gasselte;Aa en Hunze                             ;Buurt     ;BU16801400;1890.0;3180.0;;1.0
43;Totaal woningen;Kostvlies;Aa en Hunze                             ;Buurt     ;BU16801401;2430.0;3980.0;;1.0
44;Totaal woningen;Verspreide huizen Gasselte;Aa en Hunze                             ;Buurt     ;BU16801409;2350.0;3850.0;;1.0
45;Totaal woningen;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;1800.0;3040.0;;1.0
46;Totaal woningen;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;1790.0;3010.0;;1.0
47;Totaal woningen;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;2250.0;4610.0;;1.0
48;Totaal woningen;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;;;;1.0
49;Totaal woningen;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1900.0;3430.0;;1.0
50;Totaal woningen;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;1880.0;3390.0;;1.0
51;Totaal woningen;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;3110.0;4690.0;;1.0
52;Totaal woningen;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;;;;1.0
53;Totaal woningen;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;1820.0;2900.0;;1.0
54;Totaal woningen;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;1790.0;2870.0;;1.0
55;Totaal woningen;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;2720.0;3980.0;;1.0
56;Totaal woningen;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;2100.0;3370.0;;1.0
57;Totaal woningen;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;1920.0;3210.0;;1.0
58;Totaal woningen;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;2410.0;3400.0;;1.0
59;Totaal woningen;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;2170.0;3770.0;;1.0
60;Totaal woningen;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;2470.0;3380.0;;1.0
61;Totaal woningen;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;1810.0;3000.0;;1.0
62;Totaal woningen;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;1750.0;2890.0;;1.0
63;Totaal woningen;Ballo;Aa en Hunze                             ;Buurt     ;BU16801901;2490.0;3820.0;;1.0
64;Totaal woningen;Nijlande;Aa en Hunze                             ;Buurt     ;BU16801902;2430.0;4700.0;;1.0
65;Totaal woningen;Deurze;Aa en Hunze                             ;Buurt     ;BU16801903;2720.0;3580.0;;1.0
66;Totaal woningen;Verspreide huizen Nooitgedacht;Aa en Hunze                             ;Buurt     ;BU16801908;1630.0;3460.0;;1.0
67;Totaal woningen;Verspreide huizen Rolde;Aa en Hunze                             ;Buurt     ;BU16801909;2840.0;4290.0;;1.0
68;Totaal woningen;Wijk 20 Grolloo;Aa en Hunze                             ;Wijk      ;WK168020  ;2260.0;3670.0;;1.0
69;Totaal woningen;Grolloo;Aa en Hunze                             ;Buurt     ;BU16802000;2030.0;3360.0;;1.0
70;Totaal woningen;Schoonloo;Aa en Hunze                             ;Buurt     ;BU16802001;2110.0;3440.0;;1.0
71;Totaal woningen;Verspreide huizen Papenvoort;Aa en Hunze                             ;Buurt     ;BU16802008;2590.0;4940.0;;1.0
72;Totaal woningen;Verspreide huizen Grolloo;Aa en Hunze                             ;Buurt     ;BU16802009;2880.0;4430.0;;1.0
73;Totaal woningen;Wijk 21 Ekehaar;Aa en Hunze                             ;Wijk      ;WK168021  ;2590.0;4060.0;;1.0
74;Totaal woningen;Ekehaar;Aa en Hunze                             ;Buurt     ;BU16802100;2170.0;3740.0;;1.0
