ID;Leeftijdsklassen;Perioden;Stiefouderadopties_1
0;Totaal leeftijden;1995;347
1;Totaal leeftijden;1996;345
2;Totaal leeftijden;1997;303
3;Totaal leeftijden;1998;272
4;Totaal leeftijden;1999;205
5;Totaal leeftijden;2000;129
6;Totaal leeftijden;2001;195
7;Totaal leeftijden;2002;364
8;Totaal leeftijden;2003;299
9;Totaal leeftijden;2004;252
10;Totaal leeftijden;2005;246
11;Totaal leeftijden;2006;222
12;0 tot 3 jaar;1995;15
13;0 tot 3 jaar;1996;14
14;0 tot 3 jaar;1997;20
15;0 tot 3 jaar;1998;10
16;0 tot 3 jaar;1999;5
17;0 tot 3 jaar;2000;1
18;0 tot 3 jaar;2001;40
19;0 tot 3 jaar;2002;130
20;0 tot 3 jaar;2003;114
21;0 tot 3 jaar;2004;98
22;0 tot 3 jaar;2005;129
23;0 tot 3 jaar;2006;115
24;3 tot 5 jaar;1995;31
25;3 tot 5 jaar;1996;36
26;3 tot 5 jaar;1997;20
27;3 tot 5 jaar;1998;26
28;3 tot 5 jaar;1999;11
29;3 tot 5 jaar;2000;5
30;3 tot 5 jaar;2001;25
31;3 tot 5 jaar;2002;42
32;3 tot 5 jaar;2003;40
33;3 tot 5 jaar;2004;20
34;3 tot 5 jaar;2005;16
35;3 tot 5 jaar;2006;21
36;5 tot 7 jaar;1995;65
37;5 tot 7 jaar;1996;50
38;5 tot 7 jaar;1997;38
39;5 tot 7 jaar;1998;34
40;5 tot 7 jaar;1999;27
41;5 tot 7 jaar;2000;18
42;5 tot 7 jaar;2001;22
43;5 tot 7 jaar;2002;48
44;5 tot 7 jaar;2003;22
45;5 tot 7 jaar;2004;24
46;5 tot 7 jaar;2005;22
47;5 tot 7 jaar;2006;13
48;7 tot 10 jaar;1995;97
49;7 tot 10 jaar;1996;78
50;7 tot 10 jaar;1997;61
51;7 tot 10 jaar;1998;65
52;7 tot 10 jaar;1999;49
53;7 tot 10 jaar;2000;30
54;7 tot 10 jaar;2001;38
55;7 tot 10 jaar;2002;56
56;7 tot 10 jaar;2003;40
57;7 tot 10 jaar;2004;27
58;7 tot 10 jaar;2005;24
59;7 tot 10 jaar;2006;22
60;10 jaar en ouder;1995;139
61;10 jaar en ouder;1996;167
62;10 jaar en ouder;1997;164
63;10 jaar en ouder;1998;137
64;10 jaar en ouder;1999;113
65;10 jaar en ouder;2000;75
66;10 jaar en ouder;2001;70
67;10 jaar en ouder;2002;88
68;10 jaar en ouder;2003;83
69;10 jaar en ouder;2004;83
70;10 jaar en ouder;2005;55
71;10 jaar en ouder;2006;51
