ID;Huishoudenskenmerken;Perioden;AantalHuishoudens_1;HypotheekschuldEigenWoning_2;WaardeEigenWoning_3;BrutoInkomen_4;BesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot025_10;k_025Tot075_11;k_075Tot100_12;k_1OfHoger_13;GeenSchuld_14;k_0Tot2_15;k_2Tot4_16;k_4OfHoger_17;GeenSchuld_18;k_0Tot35_19;k_35Tot7_20;k_7OfHoger_21;AantalHuishoudens_22;HypotheekschuldEigenWoning_23;WaardeEigenWoning_24;BrutoInkomen_25;BesteedbaarInkomen_26;HypotheekschuldWoningwaarde_27;HypotheekschuldBrutoInkomen_28;HypotheekschuldBesteedbaarInkomen_29;AantalHuishoudens_30;WaardeEigenWoning_31;BrutoInkomen_32;BesteedbaarInkomen_33
0;10002;2006;3800;134.0;272.0;65.2;36.8;0.49;2.1;3.6;532;712;1421;599;537;532;1531;1167;569;532;1524;1147;597;3268;156.0;270.0;67.1;37.1;0.58;2.3;4.2;532;284.0;53.4;34.9
1;10002;2007;3905;139.0;290.0;67.3;38.1;0.48;2.1;3.6;544;712;1460;697;493;544;1496;1256;610;544;1499;1246;617;3362;162.0;287.0;69.4;38.5;0.56;2.3;4.2;544;308.0;54.4;35.6
2;10002;2008;3975;149.0;302.0;70.8;40.9;0.49;2.1;3.6;552;698;1462;758;505;552;1467;1312;643;552;1507;1296;619;3422;173.0;298.0;72.7;41.3;0.58;2.4;4.2;552;329.0;59.1;38.9
3;10002;2009;4126;149.0;300.0;71.5;41.2;0.5;2.1;3.6;671;636;1424;734;662;671;1430;1371;654;671;1462;1337;656;3455;178.0;296.0;74.1;41.6;0.6;2.4;4.3;671;322.0;58.4;38.7
4;10002;2010;4174;152.0;281.0;71.6;41.2;0.54;2.1;3.7;686;552;1330;667;939;686;1398;1399;690;686;1428;1388;671;3488;182.0;276.0;74.2;41.8;0.66;2.5;4.4;686;307.0;58.2;38.4
5;10002;2011;4214;154.0;275.0;72.4;41.2;0.56;2.1;3.7;727;512;1280;643;1052;727;1368;1413;706;727;1374;1407;706;3487;186.0;270.0;75.2;41.9;0.69;2.5;4.4;727;295.0;58.7;38.1
6;10002;2012;4251;157.0;274.0;73.1;41.1;0.57;2.1;3.8;716;486;1272;675;1103;716;1355;1485;696;716;1344;1476;716;3535;189.0;269.0;76.2;41.9;0.7;2.5;4.5;716;299.0;58.2;37.1
7;10002;2013;4286;158.0;244.0;74.4;41.6;0.65;2.1;3.8;719;401;1145;565;1455;719;1369;1521;677;719;1341;1524;702;3567;190.0;239.0;77.4;42.3;0.79;2.5;4.5;719;268.0;59.5;38.5
8;10002;2014;4305;157.0;242.0;75.2;41.9;0.65;2.1;3.7;745;383;1122;578;1476;745;1367;1543;650;745;1334;1571;654;3559;190.0;237.0;78.3;42.7;0.8;2.4;4.4;745;267.0;60.3;38.1
9;10002;2015;4345;154.0;249.0;77.9;44.0;0.62;2.0;3.5;815;385;1141;625;1379;815;1384;1542;604;815;1366;1595;569;3530;189.0;243.0;81.3;45.0;0.78;2.3;4.2;815;273.0;63.4;40.0
10;10050;2006;749;93.0;231.0;39.4;22.7;0.4;2.4;4.1;180;135;206;121;107;180;184;212;173;180;184;188;197;569;122.0;221.0;40.7;22.1;0.55;3.0;5.5;180;264.0;35.5;24.4
11;10050;2007;790;99.0;245.0;41.0;23.5;0.4;2.4;4.2;182;140;221;145;101;182;187;229;192;182;190;202;216;608;129.0;233.0;42.5;23.2;0.55;3.0;5.6;182;285.0;36.1;24.6
12;10050;2008;817;117.0;255.0;42.0;24.4;0.46;2.8;4.8;189;139;226;160;103;189;183;238;207;189;193;210;225;629;152.0;240.0;42.9;23.8;0.63;3.5;6.4;189;305.0;38.8;26.6
13;10050;2009;875;103.0;254.0;42.4;24.7;0.41;2.4;4.2;230;128;232;149;136;230;180;255;210;230;186;226;233;645;140.0;240.0;44.1;24.2;0.58;3.2;5.8;230;295.0;37.7;26.0
14;10050;2010;896;106.0;239.0;41.9;24.5;0.44;2.5;4.3;234;118;218;134;192;234;178;261;223;234;186;235;241;662;144.0;223.0;43.5;24.0;0.65;3.3;6.0;234;283.0;37.5;25.7
15;10050;2011;903;103.0;231.0;42.5;24.6;0.45;2.4;4.2;250;114;210;122;207;250;176;253;224;250;178;230;245;653;142.0;218.0;44.3;24.2;0.65;3.2;5.9;250;267.0;37.8;25.5
16;10050;2012;927;106.0;231.0;42.8;24.4;0.46;2.5;4.3;249;107;218;133;219;249;174;276;228;249;172;251;255;678;145.0;216.0;45.1;24.4;0.67;3.2;5.9;249;271.0;36.5;24.4
17;10050;2013;942;106.0;207.0;43.6;24.8;0.51;2.4;4.3;252;93;204;107;286;252;179;296;215;252;179;261;249;689;145.0;193.0;45.8;24.6;0.75;3.2;5.9;252;242.0;37.6;25.3
18;10050;2014;948;105.0;206.0;44.1;25.1;0.51;2.4;4.2;257;88;210;114;279;257;180;309;203;257;180;284;227;691;144.0;193.0;46.4;25.1;0.75;3.1;5.7;257;243.0;37.7;25.1
19;10050;2015;970;102.0;211.0;45.7;26.4;0.48;2.2;3.9;287;86;215;127;255;287;180;306;196;287;180;291;211;683;145.0;197.0;47.9;26.3;0.74;3.0;5.5;287;244.0;40.5;26.6
20;10450;2006;373;111.0;216.0;44.1;23.5;0.51;2.5;4.7;62;52;111;78;69;62;89;126;96;62;82;108;121;311;133.0;211.0;45.0;23.1;0.63;3.0;5.8;62;242.0;39.5;25.4
21;10450;2007;393;119.0;233.0;46.8;24.9;0.51;2.5;4.8;64;54;119;92;64;64;91;134;104;64;84;122;123;329;142.0;227.0;47.8;24.8;0.63;3.0;5.7;64;261.0;41.4;25.5
22;10450;2008;409;148.0;243.0;47.1;25.8;0.61;3.1;5.7;69;50;125;101;64;69;87;136;117;69;85;121;133;340;178.0;234.0;47.9;25.5;0.76;3.7;7.0;69;287.0;43.0;27.4
23;10450;2009;442;124.0;243.0;48.0;26.2;0.51;2.6;4.7;89;47;126;95;85;89;87;147;119;89;83;130;139;353;155.0;234.0;49.2;25.9;0.66;3.2;6.0;89;280.0;42.9;27.4
24;10450;2010;456;129.0;227.0;46.7;25.7;0.57;2.8;5.0;90;42;115;88;121;90;84;149;133;90;83;134;149;366;161.0;220.0;47.9;25.4;0.73;3.4;6.3;90;257.0;41.8;26.8
25;10450;2011;456;125.0;220.0;47.5;25.9;0.57;2.6;4.8;101;39;106;78;132;101;82;141;132;101;77;126;152;355;161.0;212.0;49.0;25.7;0.76;3.3;6.3;101;246.0;42.1;26.5
26;10450;2012;469;129.0;222.0;47.9;25.8;0.58;2.7;5.0;100;37;109;82;141;100;83;155;132;100;73;141;155;370;164.0;214.0;50.0;26.0;0.77;3.3;6.3;100;253.0;40.2;25.0
27;10450;2013;476;130.0;197.0;48.7;25.9;0.66;2.7;5.0;97;32;96;64;187;97;84;168;127;97;77;145;157;379;164.0;190.0;50.3;25.9;0.86;3.3;6.3;97;226.0;42.3;26.1
28;10450;2014;480;129.0;198.0;49.2;26.4;0.65;2.6;4.9;98;31;96;69;187;98;87;175;120;98;78;159;145;382;162.0;188.0;50.7;26.3;0.86;3.2;6.2;98;236.0;43.5;26.9
29;10450;2015;492;125.0;205.0;51.5;28.2;0.61;2.4;4.4;108;33;103;79;169;108;92;178;115;108;83;165;136;384;161.0;195.0;52.4;27.9;0.83;3.1;5.8;108;240.0;48.2;29.5
30;10500;2006;317;124.0;206.0;45.6;23.0;0.6;2.7;5.4;32;36;103;77;68;32;73;120;91;32;63;104;118;285;139.0;204.0;45.9;22.9;0.68;3.0;6.1;32;222.0;43.0;23.4
31;10500;2007;333;134.0;222.0;48.9;24.7;0.6;2.7;5.4;31;38;110;91;63;31;76;127;99;31;66;116;120;301;148.0;220.0;48.9;24.7;0.67;3.0;6.0;31;237.0;48.5;25.0
32;10500;2008;344;169.0;233.0;49.1;25.6;0.73;3.4;6.6;34;33;115;100;63;34;70;129;111;34;64;116;130;310;187.0;228.0;49.0;25.3;0.82;3.8;7.4;34;281.0;50.1;27.7
33;10500;2009;366;142.0;231.0;50.1;25.9;0.61;2.8;5.5;46;28;115;94;84;46;70;137;112;46;61;123;135;320;162.0;227.0;50.6;25.8;0.71;3.2;6.3;46;260.0;47.0;26.5
34;10500;2010;374;147.0;215.0;49.0;25.4;0.68;3.0;5.8;45;24;101;85;120;45;66;138;125;45;58;127;144;329;167.0;213.0;49.4;25.4;0.78;3.4;6.6;45;235.0;46.6;25.7
