ID;Geslacht;Leeftijdsgroep;Herkomstgroepering;Ontslagroute;JaarOntslag;Perioden;TotaalBedrijfseconomischOntslagenen_1;TotaalArbeid_2;Werknemer_3;Zelfstandige_4;TotaalUitkeringen_5;Arbeidsongeschiktheidsuitkering_6;WerkloosheidsuitkeringWW_7;Bijstandsuitkering_8;OverigeUitkering_9;InkomstenbronPensioen_10;ScholierStudent_11;OverigeInkomstenbron_12
0;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2003;2004, vrijdag 24 september;80042.0;62.0;59.0;3.0;22.0;2.0;14.0;2.0;4.0;2.0;6.0;9.0
1;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2003;2005, vrijdag 30 september;79354.0;69.0;65.0;4.0;18.0;3.0;10.0;2.0;3.0;2.0;5.0;6.0
2;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2003;2006, vrijdag 29 september;78104.0;73.0;68.0;5.0;14.0;3.0;7.0;2.0;3.0;3.0;4.0;6.0
3;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2003;2007, vrijdag 28 september;77334.0;78.0;72.0;6.0;11.0;3.0;5.0;1.0;2.0;3.0;3.0;5.0
4;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2003;2008, vrijdag 26 september;76420.0;79.0;73.0;7.0;10.0;4.0;3.0;1.0;2.0;3.0;2.0;6.0
5;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2004;2004, vrijdag 24 september;;;;;;;;;;;;
6;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2004;2005, vrijdag 30 september;82656.0;60.0;57.0;3.0;22.0;2.0;14.0;1.0;5.0;4.0;5.0;8.0
7;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2004;2006, vrijdag 29 september;81504.0;69.0;64.0;4.0;16.0;2.0;9.0;2.0;3.0;5.0;5.0;6.0
8;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2004;2007, vrijdag 28 september;80803.0;74.0;69.0;5.0;12.0;2.0;6.0;1.0;3.0;5.0;3.0;5.0
9;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2004;2008, vrijdag 26 september;79845.0;76.0;70.0;6.0;10.0;3.0;4.0;1.0;2.0;5.0;2.0;5.0
10;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2005;2004, vrijdag 24 september;;;;;;;;;;;;
11;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2005;2005, vrijdag 30 september;;;;;;;;;;;;
12;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2005;2006, vrijdag 29 september;76979.0;65.0;62.0;3.0;18.0;1.0;11.0;1.0;4.0;4.0;7.0;5.0
13;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2005;2007, vrijdag 28 september;76300.0;72.0;67.0;4.0;13.0;2.0;7.0;1.0;3.0;5.0;6.0;5.0
14;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2005;2008, vrijdag 26 september;75674.0;74.0;69.0;5.0;11.0;3.0;5.0;1.0;3.0;5.0;4.0;5.0
15;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2006;2004, vrijdag 24 september;;;;;;;;;;;;
16;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2006;2005, vrijdag 30 september;;;;;;;;;;;;
17;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2006;2006, vrijdag 29 september;;;;;;;;;;;;
18;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2006;2007, vrijdag 28 september;84296.0;71.0;67.0;4.0;13.0;1.0;7.0;1.0;3.0;3.0;7.0;5.0
19;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2006;2008, vrijdag 26 september;83570.0;74.0;69.0;5.0;11.0;2.0;5.0;1.0;3.0;4.0;6.0;5.0
20;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2007;2004, vrijdag 24 september;;;;;;;;;;;;
21;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2007;2005, vrijdag 30 september;;;;;;;;;;;;
22;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2007;2006, vrijdag 29 september;;;;;;;;;;;;
23;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2007;2007, vrijdag 28 september;;;;;;;;;;;;
24;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;Totaal ontslagroutes;Ontslagjaar 2007;2008, vrijdag 26 september;55216.0;71.0;67.0;4.0;11.0;2.0;5.0;1.0;4.0;3.0;8.0;6.0
25;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2003;2004, vrijdag 24 september;32131.0;62.0;59.0;3.0;29.0;3.0;21.0;1.0;4.0;1.0;2.0;6.0
26;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2003;2005, vrijdag 30 september;31914.0;68.0;64.0;4.0;23.0;3.0;15.0;1.0;4.0;2.0;1.0;6.0
27;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2003;2006, vrijdag 29 september;31620.0;73.0;68.0;5.0;18.0;3.0;11.0;1.0;3.0;2.0;1.0;6.0
28;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2003;2007, vrijdag 28 september;31363.0;78.0;72.0;6.0;14.0;3.0;7.0;1.0;3.0;2.0;1.0;5.0
29;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2003;2008, vrijdag 26 september;31066.0;79.0;72.0;7.0;12.0;4.0;4.0;1.0;2.0;3.0;1.0;5.0
30;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2004;2004, vrijdag 24 september;;;;;;;;;;;;
31;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2004;2005, vrijdag 30 september;41484.0;61.0;57.0;3.0;29.0;2.0;21.0;1.0;6.0;2.0;2.0;6.0
32;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2004;2006, vrijdag 29 september;41146.0;70.0;65.0;5.0;21.0;2.0;14.0;1.0;4.0;2.0;2.0;5.0
33;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2004;2007, vrijdag 28 september;40825.0;76.0;70.0;6.0;16.0;3.0;9.0;1.0;3.0;3.0;1.0;5.0
34;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2004;2008, vrijdag 26 september;40490.0;77.0;71.0;6.0;13.0;4.0;5.0;1.0;3.0;3.0;1.0;5.0
35;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2005;2004, vrijdag 24 september;;;;;;;;;;;;
36;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2005;2005, vrijdag 30 september;;;;;;;;;;;;
37;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2005;2006, vrijdag 29 september;36951.0;65.0;62.0;4.0;26.0;1.0;18.0;1.0;5.0;2.0;2.0;5.0
38;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2005;2007, vrijdag 28 september;36667.0;74.0;69.0;5.0;18.0;2.0;12.0;1.0;4.0;2.0;2.0;5.0
39;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2005;2008, vrijdag 26 september;36397.0;76.0;71.0;5.0;15.0;3.0;8.0;1.0;3.0;3.0;1.0;5.0
40;Totaal mannen en vrouwen;0;Totaal herkomstgroeperingen;UWV (Uitvoering Werknemers Verzekering);Ontslagjaar 2006;2004, vrijdag 24 september;;;;;;;;;;;;
