ID;Leeftijd;Perioden;TotaalAantalHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
0;Totaal over alle leeftijden;2000;6810975;2299162;4511813;2234792;893827;940721;442473
1;Totaal over alle leeftijden;2001;6890459;2349847;4540612;2255111;890978;948813;445710
2;Totaal over alle leeftijden;2002;6958289;2396146;4562143;2267474;887584;958460;448625
3;Totaal over alle leeftijden;2003;7024278;2440706;4583572;2279623;884068;968927;450954
4;Totaal over alle leeftijden;2004;7088546;2483580;4604966;2291614;880883;979990;452479
5;Totaal over alle leeftijden;2005;7151863;2525363;4626500;2303673;878367;991190;453270
6;Totaal over alle leeftijden;2006;7214069;2566616;4647453;2315818;876676;1001712;453247
7;Totaal over alle leeftijden;2007;7275229;2607560;4667669;2328172;876287;1011094;452116
8;Totaal over alle leeftijden;2008;7335444;2648432;4687012;2340569;876617;1019626;450200
9;Totaal over alle leeftijden;2009;7395106;2689448;4705658;2352402;878132;1027337;447787
10;Totaal over alle leeftijden;2010;7454126;2730418;4723708;2364703;880714;1033716;444575
11;Totaal over alle leeftijden;2011;7512434;2771141;4741293;2377517;883964;1038793;441019
12;Totaal over alle leeftijden;2012;7569675;2811438;4758237;2390847;887205;1042992;437193
13;Totaal over alle leeftijden;2013;7625674;2851040;4774634;2405092;889992;1046189;433361
14;Totaal over alle leeftijden;2014;7680049;2889747;4790302;2419959;892498;1048628;429217
15;Totaal over alle leeftijden;2015;7732662;2927499;4805163;2434651;894643;1050731;425138
16;Totaal over alle leeftijden;2016;7783628;2964407;4819221;2448680;896572;1052786;421183
17;Totaal over alle leeftijden;2017;7833060;3000717;4832343;2461185;898399;1055211;417548
18;Totaal over alle leeftijden;2018;7881010;3036488;4844522;2472291;900509;1057651;414071
19;Totaal over alle leeftijden;2019;7927417;3071597;4855820;2481271;903059;1060415;411075
20;Totaal over alle leeftijden;2020;7972215;3106023;4866192;2489464;905860;1062545;408323
21;Totaal over alle leeftijden;2021;8015529;3139621;4875908;2497429;908673;1063907;405899
22;Totaal over alle leeftijden;2022;8057190;3172158;4885032;2505574;911024;1064548;403886
23;Totaal over alle leeftijden;2023;8096931;3203340;4893591;2514084;912449;1064700;402358
24;Totaal over alle leeftijden;2024;8134380;3232817;4901563;2522967;912605;1064637;401354
25;Totaal over alle leeftijden;2025;8169294;3260455;4908839;2531856;911508;1064627;400848
26;Totaal over alle leeftijden;2026;8201422;3286148;4915274;2540179;909402;1064880;400813
27;Totaal over alle leeftijden;2027;8230373;3309581;4920792;2547415;906559;1065644;401174
28;Totaal over alle leeftijden;2028;8255958;3330757;4925201;2553043;903232;1067047;401879
29;Totaal over alle leeftijden;2029;8278125;3349670;4928455;2556712;899729;1069151;402863
30;Totaal over alle leeftijden;2030;8296769;3366259;4930510;2558271;896232;1071963;404044
31;Totaal over alle leeftijden;2031;8312141;3380736;4931405;2557723;892929;1075399;405354
32;Totaal over alle leeftijden;2032;8324357;3393160;4931197;2555195;889883;1079375;406744
33;Totaal over alle leeftijden;2033;8333842;3403838;4930004;2550993;887181;1083732;408098
34;Totaal over alle leeftijden;2034;8340716;3412759;4927957;2545378;884928;1088231;409420
35;Totaal over alle leeftijden;2035;8345308;3420029;4925279;2538751;883232;1092654;410642
36;Totaal over alle leeftijden;2036;8347736;3425703;4922033;2531370;882053;1096867;411743
37;Totaal over alle leeftijden;2037;8348277;3429800;4918477;2523578;881541;1100671;412687
38;Totaal over alle leeftijden;2038;8347261;3432457;4914804;2515718;881667;1103958;413461
39;Totaal over alle leeftijden;2039;8344933;3433819;4911114;2508062;882345;1106658;414049
40;Totaal over alle leeftijden;2040;8341738;3434164;4907574;2500833;883554;1108778;414409
41;Totaal over alle leeftijden;2041;8337752;3433492;4904260;2494178;885183;1110321;414578
42;Totaal over alle leeftijden;2042;8333104;3431873;4901231;2488196;887179;1111317;414539
43;Totaal over alle leeftijden;2043;8328026;3429443;4898583;2483041;889369;1111856;414317
44;Totaal over alle leeftijden;2044;8322432;3426134;4896298;2478663;891730;1111994;413911
45;Totaal over alle leeftijden;2045;8316819;3422315;4894504;2475204;894167;1111806;413327
46;Totaal over alle leeftijden;2046;8310829;3417609;4893220;2472576;896599;1111371;412674
47;Totaal over alle leeftijden;2047;8304358;3411911;4892447;2470701;899018;1110768;411960
48;Totaal over alle leeftijden;2048;8297835;3405562;4892273;2469674;901365;1110045;411189
49;Totaal over alle leeftijden;2049;8291247;3398557;4892690;2469454;903600;1109248;410388
