ID;PolitieregioS;Cijfersoort;Perioden;Inbraakalarm_1;ExtraHangEnSluitwerk_2;ExtraBuitenverlichting_3;LuikenVoorRamenDeuren_4;PolitiekeurmerkVeiligWonen_5;InbraakpreventieSchaalscore_6;FietsVerzekerdTegenDiefstal_7;FietsMetDiefstalpreventiechip_8;AlarminstallatieStartonderbreker_9;ZelfAangebrachteInstallatie_10;MobieleTelefoonMetPincode_11;PCMetWachtwoord_12
0;Nederland;Waarde;2005;11.8;82.4;78.9;14.9;14.6;4.1;46.9;10.0;56.2;6.7;86.7;62.4
1;Nederland;Waarde;2006;10.9;82.6;77.7;15.1;15.3;4.0;45.2;10.4;56.5;6.0;86.7;63.1
2;Nederland;Waarde;2007;11.5;82.8;80.1;15.7;16.0;4.1;46.3;11.3;57.1;5.0;87.1;65.4
3;Nederland;Waarde;2008;12.2;83.6;80.8;16.6;16.4;4.2;46.9;11.1;57.4;4.2;86.5;66.8
4;Nederland;Marge;2005;0.9;1.0;1.1;1.0;1.0;0.1;1.4;0.9;1.7;1.1;1.0;1.3
5;Nederland;Marge;2006;0.5;0.5;0.6;0.5;0.5;0.0;0.8;0.5;0.9;0.5;0.5;0.8
6;Nederland;Marge;2007;0.5;0.5;0.6;0.6;0.6;0.0;0.8;0.5;0.9;0.5;0.5;0.8
7;Nederland;Marge;2008;0.5;0.5;0.6;0.6;0.6;0.0;0.8;0.5;0.9;0.5;0.5;0.8
8;Groningen;Waarde;2005;;;;;;;;;;;;
9;Groningen;Waarde;2006;9.4;74.8;75.4;6.3;9.8;3.5;35.8;8.7;47.7;6.8;84.9;62.2
10;Groningen;Waarde;2007;8.9;77.0;74.4;5.1;11.6;3.5;37.2;10.6;48.3;3.4;83.7;61.1
11;Groningen;Waarde;2008;8.8;78.6;78.1;7.1;13.3;3.7;40.4;12.6;52.3;5.1;85.5;59.9
12;Groningen;Marge;2005;;;;;;;;;;;;
13;Groningen;Marge;2006;2.1;2.8;2.6;1.7;2.2;0.1;3.4;2.1;4.4;3.1;2.6;3.6
14;Groningen;Marge;2007;2.1;2.8;2.8;1.8;2.3;0.1;3.6;2.2;4.6;2.3;2.7;3.8
15;Groningen;Marge;2008;2.1;2.8;2.6;1.9;2.5;0.1;3.6;2.5;4.5;2.6;2.6;3.7
16;Friesland;Waarde;2005;;;;;;;;;;;;
17;Friesland;Waarde;2006;9.9;80.3;82.7;5.8;10.8;3.8;39.8;10.8;50.2;2.4;84.1;62.7
18;Friesland;Waarde;2007;9.9;78.8;81.1;6.2;11.9;3.8;39.4;13.1;52.5;2.1;83.0;62.8
19;Friesland;Waarde;2008;12.9;78.4;84.7;6.4;14.1;3.9;38.7;11.5;47.0;3.3;82.8;68.5
20;Friesland;Marge;2005;;;;;;;;;;;;
21;Friesland;Marge;2006;2.0;2.6;2.3;1.7;2.2;0.1;3.5;2.2;4.2;1.7;2.6;3.6
22;Friesland;Marge;2007;2.1;2.8;2.5;1.7;2.4;0.1;3.6;2.5;4.3;1.7;2.8;3.8
23;Friesland;Marge;2008;2.3;2.7;2.2;1.8;2.5;0.1;3.5;2.3;4.2;2.3;2.7;3.4
24;Drenthe;Waarde;2005;;;;;;;;;;;;
25;Drenthe;Waarde;2006;8.8;81.8;88.8;11.1;13.2;4.1;41.2;12.0;51.9;3.4;83.2;62.6
26;Drenthe;Waarde;2007;10.9;82.3;89.0;11.0;13.8;4.1;41.5;13.2;52.8;4.4;82.8;62.3
27;Drenthe;Waarde;2008;8.7;85.8;92.9;11.4;13.8;4.3;42.1;12.3;58.8;2.3;87.1;65.2
28;Drenthe;Marge;2005;;;;;;;;;;;;
29;Drenthe;Marge;2006;2.0;2.5;1.8;2.2;2.3;0.1;3.5;2.3;4.1;2.0;2.7;3.6
30;Drenthe;Marge;2007;2.3;2.6;1.8;2.4;2.5;0.1;3.6;2.5;4.2;2.3;2.8;3.8
31;Drenthe;Marge;2008;2.1;2.4;1.7;2.4;2.4;0.1;3.6;2.4;4.1;1.6;2.5;3.7
32;IJsselland;Waarde;2005;;;;;;;;;;;;
33;IJsselland;Waarde;2006;8.9;82.8;82.4;11.0;20.7;4.1;47.0;11.9;52.3;4.0;86.5;64.0
34;IJsselland;Waarde;2007;8.1;82.4;83.8;11.4;18.1;4.1;45.3;13.6;53.4;2.4;82.3;66.9
35;IJsselland;Waarde;2008;8.6;84.7;83.8;12.1;20.7;4.2;45.6;11.9;56.9;3.5;84.1;64.2
36;IJsselland;Marge;2005;;;;;;;;;;;;
37;IJsselland;Marge;2006;2.0;2.5;2.3;2.4;2.8;0.1;3.6;2.3;4.3;2.3;2.5;3.7
38;IJsselland;Marge;2007;2.1;2.6;2.3;2.4;2.8;0.1;3.7;2.6;4.4;1.8;2.8;3.6
39;IJsselland;Marge;2008;2.1;2.5;2.4;2.4;2.8;0.1;3.6;2.3;4.3;2.0;2.7;3.6
40;Twente;Waarde;2005;;;;;;;;;;;;
41;Twente;Waarde;2006;9.3;79.3;80.9;17.5;14.6;4.0;50.5;14.5;48.9;4.6;87.8;62.5
42;Twente;Waarde;2007;12.6;82.6;85.2;20.1;17.5;4.4;49.5;15.2;53.3;4.5;84.8;67.3
43;Twente;Waarde;2008;10.9;83.9;85.3;15.9;14.0;4.2;50.3;13.7;54.3;3.2;88.4;69.0
44;Twente;Marge;2005;;;;;;;;;;;;
45;Twente;Marge;2006;2.0;2.7;2.5;2.7;2.4;0.1;3.6;2.5;4.2;2.5;2.4;3.7
46;Twente;Marge;2007;2.3;2.6;2.3;2.9;2.6;0.1;3.6;2.6;4.2;2.3;2.7;3.6
47;Twente;Marge;2008;2.2;2.4;2.1;2.7;2.4;0.1;3.6;2.5;4.2;1.9;2.3;3.4
48;Noord- en Oost-Gelderland;Waarde;2005;;;;;;;;;;;;
49;Noord- en Oost-Gelderland;Waarde;2006;11.5;86.4;89.1;22.5;14.2;4.5;43.9;12.0;52.4;6.0;86.6;66.6
50;Noord- en Oost-Gelderland;Waarde;2007;11.0;86.1;90.5;21.7;15.5;4.5;45.5;11.3;52.4;1.0;84.6;66.5
51;Noord- en Oost-Gelderland;Waarde;2008;13.7;84.3;88.5;24.0;16.8;4.5;50.0;13.4;54.2;3.8;87.8;65.9
52;Noord- en Oost-Gelderland;Marge;2005;;;;;;;;;;;;
53;Noord- en Oost-Gelderland;Marge;2006;2.2;2.2;1.9;3.0;2.4;0.1;3.4;2.3;4.0;2.6;2.5;3.5
54;Noord- en Oost-Gelderland;Marge;2007;2.2;2.5;2.0;3.1;2.5;0.1;3.6;2.3;4.2;1.2;2.7;3.7
55;Noord- en Oost-Gelderland;Marge;2008;2.4;2.5;2.0;3.1;2.5;0.1;3.5;2.4;4.2;2.2;2.3;3.5
56;Gelderland-Midden;Waarde;2005;;;;;;;;;;;;
57;Gelderland-Midden;Waarde;2006;13.9;83.9;84.2;18.4;22.5;4.5;41.9;8.4;55.3;5.5;86.7;62.3
58;Gelderland-Midden;Waarde;2007;12.0;84.6;86.3;17.3;19.5;4.4;50.8;12.9;61.0;1.9;89.0;63.3
59;Gelderland-Midden;Waarde;2008;14.7;82.0;85.6;20.3;22.4;4.5;50.0;10.8;60.5;2.7;85.7;65.9
60;Gelderland-Midden;Marge;2005;;;;;;;;;;;;
61;Gelderland-Midden;Marge;2006;2.4;2.2;2.2;2.7;2.9;0.1;3.5;2.1;4.1;2.4;2.4;3.6
62;Gelderland-Midden;Marge;2007;2.4;2.3;2.1;2.8;2.8;0.1;3.7;2.5;4.1;1.6;2.3;3.6
