ID;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
0;Totaal;2007;40700;7216;1474.0
1;Totaal;2008;40569;6984;1787.0
2;Totaal;2009;33594;5578;1271.0
3;Totaal;2010;35536;5925;1266.0
4;Totaal;2011;39174;6378;1484.0
5;Totaal;2012;37627;6142;1541.0
6;Totaal;2013;38927;6078;1300.0
7;Totaal;2014;39367;6169;1406.0
8;Totaal;2015;41721;6545;1497.0
9;Totaal;2016;42615;6641;1600.0
10;Totaal;2017;42079;6685;1375.0
11;Totaal;2018;41834;7058;1678.0
12;Totaal;2019;42654;7080;1600.0
13;Totaal;2020;40017;6665;1649.0
14;Totaal;2021;42621;7188;1799.0
15;Totaal;2022;44469;7176;1872.0
16;Totaal;2023;39340;6493;1658.0
17;01 Producten van de landbouw, jacht e...;2007;423;24;
18;01 Producten van de landbouw, jacht e...;2008;272;9;
19;01 Producten van de landbouw, jacht e...;2009;864;98;
20;01 Producten van de landbouw, jacht e...;2010;631;60;
21;01 Producten van de landbouw, jacht e...;2011;643;56;
22;01 Producten van de landbouw, jacht e...;2012;294;17;
23;01 Producten van de landbouw, jacht e...;2013;209;31;
24;01 Producten van de landbouw, jacht e...;2014;270;35;
25;01 Producten van de landbouw, jacht e...;2015;351;58;
26;01 Producten van de landbouw, jacht e...;2016;236;35;
27;01 Producten van de landbouw, jacht e...;2017;111;13;
28;01 Producten van de landbouw, jacht e...;2018;51;8;
29;01 Producten van de landbouw, jacht e...;2019;54;8;
30;01 Producten van de landbouw, jacht e...;2020;268;63;
31;01 Producten van de landbouw, jacht e...;2021;497;108;
32;01 Producten van de landbouw, jacht e...;2022;612;96;
33;01 Producten van de landbouw, jacht e...;2023;822;138;
34;"02 Steenkool en bruinkool; ruwe aardo...";2007;6684;1167;
35;"02 Steenkool en bruinkool; ruwe aardo...";2008;6975;1229;
36;"02 Steenkool en bruinkool; ruwe aardo...";2009;6457;1108;
37;"02 Steenkool en bruinkool; ruwe aardo...";2010;7329;1245;
38;"02 Steenkool en bruinkool; ruwe aardo...";2011;8818;1472;
39;"02 Steenkool en bruinkool; ruwe aardo...";2012;9979;1647;
40;"02 Steenkool en bruinkool; ruwe aardo...";2013;10708;1652;
41;"02 Steenkool en bruinkool; ruwe aardo...";2014;10196;1548;
42;"02 Steenkool en bruinkool; ruwe aardo...";2015;9047;1360;
43;"02 Steenkool en bruinkool; ruwe aardo...";2016;9532;1438;
44;"02 Steenkool en bruinkool; ruwe aardo...";2017;7237;1094;
45;"02 Steenkool en bruinkool; ruwe aardo...";2018;6070;1007;
46;"02 Steenkool en bruinkool; ruwe aardo...";2019;8297;1411;
47;"02 Steenkool en bruinkool; ruwe aardo...";2020;6998;1234;
48;"02 Steenkool en bruinkool; ruwe aardo...";2021;7451;1321;
49;"02 Steenkool en bruinkool; ruwe aardo...";2022;9583;1640;
50;"02 Steenkool en bruinkool; ruwe aardo...";2023;7465;1308;
51;03 Metaalertsen en andere delfstoffen...;2007;8206;1571;
52;03 Metaalertsen en andere delfstoffen...;2008;7305;1421;
53;03 Metaalertsen en andere delfstoffen...;2009;4684;894;
54;03 Metaalertsen en andere delfstoffen...;2010;5065;979;
55;03 Metaalertsen en andere delfstoffen...;2011;6208;1146;
56;03 Metaalertsen en andere delfstoffen...;2012;5952;1102;
57;03 Metaalertsen en andere delfstoffen...;2013;5735;1065;
58;03 Metaalertsen en andere delfstoffen...;2014;5978;1118;
59;03 Metaalertsen en andere delfstoffen...;2015;6295;1179;
60;03 Metaalertsen en andere delfstoffen...;2016;5872;1101;
61;03 Metaalertsen en andere delfstoffen...;2017;6035;1128;
62;03 Metaalertsen en andere delfstoffen...;2018;5950;1134;
63;03 Metaalertsen en andere delfstoffen...;2019;6254;1230;
64;03 Metaalertsen en andere delfstoffen...;2020;4966;972;
65;03 Metaalertsen en andere delfstoffen...;2021;5317;1060;
66;03 Metaalertsen en andere delfstoffen...;2022;4752;936;
67;03 Metaalertsen en andere delfstoffen...;2023;4534;899;
68;04 Voedings- en genotmiddelen;2007;422;55;
69;04 Voedings- en genotmiddelen;2008;243;35;
70;04 Voedings- en genotmiddelen;2009;88;14;
71;04 Voedings- en genotmiddelen;2010;56;9;
72;04 Voedings- en genotmiddelen;2011;63;10;
73;04 Voedings- en genotmiddelen;2012;35;5;
74;04 Voedings- en genotmiddelen;2013;188;30;
75;04 Voedings- en genotmiddelen;2014;98;13;
76;04 Voedings- en genotmiddelen;2015;308;48;
77;04 Voedings- en genotmiddelen;2016;76;13;
78;04 Voedings- en genotmiddelen;2017;78;12;
79;04 Voedings- en genotmiddelen;2018;135;21;
80;04 Voedings- en genotmiddelen;2019;88;16;
81;04 Voedings- en genotmiddelen;2020;338;56;
82;04 Voedings- en genotmiddelen;2021;254;51;
83;04 Voedings- en genotmiddelen;2022;204;34;
84;04 Voedings- en genotmiddelen;2023;222;30;
85;"05 Textiel en textielproducten; leder...";2007;3;0;
86;"05 Textiel en textielproducten; leder...";2008;2;0;
87;"05 Textiel en textielproducten; leder...";2009;1;0;
88;"05 Textiel en textielproducten; leder...";2010;0;0;
89;"05 Textiel en textielproducten; leder...";2011;0;0;
90;"05 Textiel en textielproducten; leder...";2012;0;0;
91;"05 Textiel en textielproducten; leder...";2013;0;0;
92;"05 Textiel en textielproducten; leder...";2014;0;0;
93;"05 Textiel en textielproducten; leder...";2015;0;0;
94;"05 Textiel en textielproducten; leder...";2016;0;0;
95;"05 Textiel en textielproducten; leder...";2017;0;0;
96;"05 Textiel en textielproducten; leder...";2018;0;0;
97;"05 Textiel en textielproducten; leder...";2019;0;0;
98;"05 Textiel en textielproducten; leder...";2020;0;0;
99;"05 Textiel en textielproducten; leder...";2021;0;0;
100;"05 Textiel en textielproducten; leder...";2022;0;0;
101;"05 Textiel en textielproducten; leder...";2023;0;0;
102;06 Hout, hout- en kurkwaren (m.u.v. m...;2007;799;132;
103;06 Hout, hout- en kurkwaren (m.u.v. m...;2008;888;153;
104;06 Hout, hout- en kurkwaren (m.u.v. m...;2009;708;119;
105;06 Hout, hout- en kurkwaren (m.u.v. m...;2010;667;121;
106;06 Hout, hout- en kurkwaren (m.u.v. m...;2011;977;140;
107;06 Hout, hout- en kurkwaren (m.u.v. m...;2012;908;144;
108;06 Hout, hout- en kurkwaren (m.u.v. m...;2013;647;88;
109;06 Hout, hout- en kurkwaren (m.u.v. m...;2014;669;131;
110;06 Hout, hout- en kurkwaren (m.u.v. m...;2015;905;172;
111;06 Hout, hout- en kurkwaren (m.u.v. m...;2016;962;187;
112;06 Hout, hout- en kurkwaren (m.u.v. m...;2017;669;120;
113;06 Hout, hout- en kurkwaren (m.u.v. m...;2018;635;116;
114;06 Hout, hout- en kurkwaren (m.u.v. m...;2019;499;88;
115;06 Hout, hout- en kurkwaren (m.u.v. m...;2020;691;121;
116;06 Hout, hout- en kurkwaren (m.u.v. m...;2021;704;126;
117;06 Hout, hout- en kurkwaren (m.u.v. m...;2022;722;132;
118;06 Hout, hout- en kurkwaren (m.u.v. m...;2023;571;103;
119;07 Cokes en geraffineerde aardoliepro...;2007;336;50;
120;07 Cokes en geraffineerde aardoliepro...;2008;337;57;
121;07 Cokes en geraffineerde aardoliepro...;2009;291;44;
122;07 Cokes en geraffineerde aardoliepro...;2010;284;48;
123;07 Cokes en geraffineerde aardoliepro...;2011;434;66;
124;07 Cokes en geraffineerde aardoliepro...;2012;349;61;
125;07 Cokes en geraffineerde aardoliepro...;2013;660;104;
126;07 Cokes en geraffineerde aardoliepro...;2014;441;68;
127;07 Cokes en geraffineerde aardoliepro...;2015;655;119;
128;07 Cokes en geraffineerde aardoliepro...;2016;723;124;
129;07 Cokes en geraffineerde aardoliepro...;2017;713;125;
130;07 Cokes en geraffineerde aardoliepro...;2018;800;141;
131;07 Cokes en geraffineerde aardoliepro...;2019;764;136;
132;07 Cokes en geraffineerde aardoliepro...;2020;922;178;
133;07 Cokes en geraffineerde aardoliepro...;2021;1010;197;
134;07 Cokes en geraffineerde aardoliepro...;2022;1066;193;
135;07 Cokes en geraffineerde aardoliepro...;2023;984;171;
136;08 Chemische producten en synthetisch...;2007;2920;431;
137;08 Chemische producten en synthetisch...;2008;2952;433;
138;08 Chemische producten en synthetisch...;2009;3173;430;
139;08 Chemische producten en synthetisch...;2010;3251;426;
140;08 Chemische producten en synthetisch...;2011;3028;410;
141;08 Chemische producten en synthetisch...;2012;2900;387;
142;08 Chemische producten en synthetisch...;2013;2882;391;
143;08 Chemische producten en synthetisch...;2014;2936;390;
144;08 Chemische producten en synthetisch...;2015;3340;488;
145;08 Chemische producten en synthetisch...;2016;3261;508;
146;08 Chemische producten en synthetisch...;2017;3637;552;
147;08 Chemische producten en synthetisch...;2018;2491;351;
148;08 Chemische producten en synthetisch...;2019;3117;447;
149;08 Chemische producten en synthetisch...;2020;3679;540;
150;08 Chemische producten en synthetisch...;2021;3369;503;
151;08 Chemische producten en synthetisch...;2022;3317;485;
152;08 Chemische producten en synthetisch...;2023;3195;492;
153;09 Overige niet-metaalhoudende minera...;2007;304;91;
154;09 Overige niet-metaalhoudende minera...;2008;382;101;
155;09 Overige niet-metaalhoudende minera...;2009;349;76;
156;09 Overige niet-metaalhoudende minera...;2010;432;103;
157;09 Overige niet-metaalhoudende minera...;2011;522;120;
158;09 Overige niet-metaalhoudende minera...;2012;538;148;
159;09 Overige niet-metaalhoudende minera...;2013;459;92;
