ID;DierEnPlantgroepen;Perioden;RodeLijstenToeOfAfname_1
0;Totaal dier- en plantengroepen;1995;100.0
1;Totaal dier- en plantengroepen;2005;96.5
2;Totaal dier- en plantengroepen;2013;94.4
3;Totaal dier- en plantengroepen;2014;94.5
4;Totaal dier- en plantengroepen;2015;94.1
5;Totaal dier- en plantengroepen;2016;94.3
6;Totaal dier- en plantengroepen;2017;95.5
7;Totaal dier- en plantengroepen;2018;94.9
8;Totaal dier- en plantengroepen;2019;94.6
9;Totaal dier- en plantengroepen;2020;94.8
10;Totaal dier- en plantengroepen;2021;94.7
11;Totaal dier- en plantengroepen;2022;94.3
12;Amfibieën;1995;100.0
13;Amfibieën;2005;111.1
14;Amfibieën;2013;116.7
15;Amfibieën;2014;116.7
16;Amfibieën;2015;116.7
17;Amfibieën;2016;111.1
18;Amfibieën;2017;111.1
19;Amfibieën;2018;111.1
20;Amfibieën;2019;111.1
21;Amfibieën;2020;111.1
22;Amfibieën;2021;111.1
23;Amfibieën;2022;88.9
24;Broedvogels;1995;100.0
25;Broedvogels;2005;110.1
26;Broedvogels;2013;109.5
27;Broedvogels;2014;110.1
28;Broedvogels;2015;107.0
29;Broedvogels;2016;110.1
30;Broedvogels;2017;110.1
31;Broedvogels;2018;111.4
32;Broedvogels;2019;112.7
33;Broedvogels;2020;113.3
34;Broedvogels;2021;114.6
35;Broedvogels;2022;114.6
36;Dagvlinders;1995;100.0
37;Dagvlinders;2005;116.3
38;Dagvlinders;2013;116.3
39;Dagvlinders;2014;117.0
40;Dagvlinders;2015;116.3
41;Dagvlinders;2016;116.3
42;Dagvlinders;2017;116.3
43;Dagvlinders;2018;106.5
44;Dagvlinders;2019;106.5
45;Dagvlinders;2020;105.9
46;Dagvlinders;2021;105.2
47;Dagvlinders;2022;104.6
48;Hogere planten;1995;100.0
49;Hogere planten;2005;93.5
50;Hogere planten;2013;91.7
51;Hogere planten;2014;91.7
52;Hogere planten;2015;91.7
53;Hogere planten;2016;91.7
54;Hogere planten;2017;92.8
55;Hogere planten;2018;92.8
56;Hogere planten;2019;92.8
57;Hogere planten;2020;92.8
58;Hogere planten;2021;92.8
59;Hogere planten;2022;92.8
60;Libellen;1995;100.0
61;Libellen;2005;86.5
62;Libellen;2013;82.0
63;Libellen;2014;80.9
64;Libellen;2015;80.9
65;Libellen;2016;80.9
66;Libellen;2017;87.6
67;Libellen;2018;87.6
68;Libellen;2019;87.6
69;Libellen;2020;87.6
70;Libellen;2021;85.4
71;Libellen;2022;86.5
72;Reptielen;1995;100.0
73;Reptielen;2005;107.7
74;Reptielen;2013;100.0
75;Reptielen;2014;100.0
76;Reptielen;2015;100.0
77;Reptielen;2016;100.0
78;Reptielen;2017;100.0
79;Reptielen;2018;100.0
80;Reptielen;2019;100.0
81;Reptielen;2020;100.0
82;Reptielen;2021;100.0
83;Reptielen;2022;69.2
84;Zoogdieren;1995;100.0
85;Zoogdieren;2005;90.3
86;Zoogdieren;2013;75.8
87;Zoogdieren;2014;75.8
88;Zoogdieren;2015;75.8
89;Zoogdieren;2016;75.8
90;Zoogdieren;2017;75.8
91;Zoogdieren;2018;75.8
92;Zoogdieren;2019;64.5
93;Zoogdieren;2020;69.4
94;Zoogdieren;2021;69.4
95;Zoogdieren;2022;69.4
