ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;k_1WerkzamePersoon_2;k_2WerkzamePersonen_3;k_3Tot5WerkzamePersonen_4;k_5Tot10WerkzamePersonen_5;k_10Tot20WerkzamePersonen_6;k_20Tot50WerkzamePersonen_7;k_50Tot100WerkzamePersonen_8;k_100Tot150WerkzamePersonen_9;k_150Tot200WerkzamePersonen_10;k_200Tot250WerkzamePersonen_11;k_250Tot500WerkzamePersonen_12;k_500Tot1000WerkzamePersonen_13;k_1000Tot2000WerkzamePersonen_14;k_2000WerkzamePersonenOfMeer_15;Eenmanszaak_16;Maatschap_17;VennootschapOnderFirma_18;BeslotenVennootschap_19;NaamlozeVennootschap_20;CooperatieveVereniging_21;VerenigingOfStichting_22;Overheid_23;OverigeRechtsvormen_24
0;A-U Alle economische activiteiten;2006, 1 januari;725680;355575;164690;79860;58900;31540;21105;6705;2300;1250;720;1545;820;415;255;345640;44010;125510;181355;800;1120;22865;1250;3125
1;A-U Alle economische activiteiten;2007, 1 januari;761320;382850;144415;92250;68725;35655;22920;6995;2585;1215;730;1505;795;415;265;369285;42710;126895;192645;820;1125;23330;1225;3280
2;A-U Alle economische activiteiten;2008, 1 januari;797840;434720;146385;85775;61915;33750;21605;6730;2020;1235;740;1525;745;410;280;394485;40865;128405;204585;795;1165;22925;1165;3450
3;A-U Alle economische activiteiten;2009, 1 januari;844450;471365;148935;85410;63950;36100;23365;7480;2545;1325;830;1620;825;420;285;427830;41260;130515;216345;805;1145;21805;1205;3540
4;A-U Alle economische activiteiten;2010, 1 januari;863840;495215;150850;83555;62010;34850;22490;7200;2455;1290;820;1595;805;410;290;445865;40170;128970;220460;765;1135;21485;1140;3850
5;A Landbouw, bosbouw en visserij;2006, 1 januari;90820;55380;22560;8505;3125;940;265;30;5;5;0;0;0;0;0;50975;26000;8595;4760;25;80;250;85;45
6;A Landbouw, bosbouw en visserij;2007, 1 januari;88635;48535;25500;9260;3415;1385;425;75;25;5;5;0;0;0;0;49510;25350;8570;4740;25;80;240;80;45
7;A Landbouw, bosbouw en visserij;2008, 1 januari;86670;46140;25620;9530;3530;1305;440;70;15;10;5;5;0;0;0;48435;24190;8680;4870;20;70;275;80;45
8;A Landbouw, bosbouw en visserij;2009, 1 januari;86210;45975;25150;9575;3560;1390;440;90;15;5;0;5;0;0;0;48715;23180;8775;5050;20;65;275;75;55
9;A Landbouw, bosbouw en visserij;2010, 1 januari;84520;45340;24315;9445;3590;1285;430;80;15;5;0;0;0;0;0;47870;22135;8865;5145;20;60;280;70;65
10;01 Landbouw;2006, 1 januari;89640;54880;22090;8395;3070;915;250;25;5;5;0;0;0;0;0;50575;25930;8210;4460;25;75;235;85;40
11;01 Landbouw;2007, 1 januari;87500;48015;25185;9085;3340;1360;410;70;25;5;5;0;0;0;0;49120;25290;8235;4420;25;70;220;80;40
12;01 Landbouw;2008, 1 januari;85510;45555;25335;9360;3465;1270;430;70;15;10;5;0;0;0;0;48015;24135;8350;4540;20;65;260;80;45
13;01 Landbouw;2009, 1 januari;85015;45345;24860;9420;3490;1360;430;90;15;5;0;5;0;0;0;48270;23125;8445;4710;20;60;260;75;50
14;01 Landbouw;2010, 1 januari;83220;44610;24015;9290;3520;1260;420;80;15;5;0;0;0;0;0;47345;22085;8530;4800;20;55;270;70;55
15;02 Bosbouw;2006, 1 januari;425;235;110;35;25;15;5;0;0;0;0;0;0;0;0;265;10;85;45;0;5;10;0;0
16;02 Bosbouw;2007, 1 januari;415;260;80;35;25;15;5;0;0;0;0;0;0;0;0;265;10;75;50;0;5;10;0;0
17;02 Bosbouw;2008, 1 januari;445;295;70;35;20;15;5;0;0;0;0;0;0;0;0;290;10;70;55;0;5;10;0;0
18;02 Bosbouw;2009, 1 januari;465;315;75;30;20;15;5;0;0;0;0;0;0;0;0;300;10;75;65;0;5;10;0;0
19;02 Bosbouw;2010, 1 januari;485;330;75;30;20;15;5;0;0;0;0;0;0;0;0;310;10;80;65;0;5;10;0;5
20;03 Visserij;2006, 1 januari;755;265;360;75;30;10;5;5;0;0;0;0;0;0;0;135;65;300;250;0;0;5;0;0
21;03 Visserij;2007, 1 januari;720;265;235;140;50;10;10;0;0;0;0;0;0;0;0;125;55;260;270;0;0;5;0;0
22;03 Visserij;2008, 1 januari;715;290;220;135;45;20;10;0;0;0;0;0;0;0;0;130;45;255;275;0;0;5;0;0
23;03 Visserij;2009, 1 januari;730;315;210;130;50;10;10;0;0;0;0;0;0;0;0;145;45;255;275;0;5;5;0;5
