ID;RechtskundigeDiensten;Grootteklasse;AantalOndernemingen_1;TotaalNettoOmzet_2;DeurwaardersActiviteiten_3;NotarieleAktenOpmaken_4;AdvocatuurActiviteiten_5;RechtskundigAdviesEnInformatie_6;OverigeRechtskundigeDiensten_7;Incassodiensten_8;OverigeActiviteiten_9;Totaal_10;BrutoLonenEnSalarissen_11;SocialeLasten_12;Pensioenlasten_13;BetalingenDerdenVoorArbeidskrachten_14;OverigePersoneelskosten_15;Totaal_16;HuisvestingsEnInventariskosten_17;Autokosten_18;Reclamekosten_19;ReisVerblijfsEnRepresentatiekosten_20;TelefoonFaxEnPortokosten_21;OverigeAlgemeneKosten_22;Afschrijvingen_23;Bedrijfsresultaat_24;Totaal_25;Rentelasten_26;ToevoegingAanVoorzieningen_27;BuitengewoneLasten_28;Totaal_29;Rentebaten_30;OnttrekkingAanVoorzieningen_31;BuitengewoneBaten_32;ResultaatVoorBelasting_33;Totaal_34;GrondEnBedrijfsruimten_35;Vervoermiddelen_36;ComputersEnComputerprogrammatuur_37;Overige_38;Totaal_39;WerknemersOpDeLoonlijst_40;EigenarenMaten_41;MeewerkendeGezinsleden_42;FreeLancers_43;Uitzendkrachten_44;Totaal_45;Totaal_46;Advocaten_47;Stagiaires_48;Notarissen_49;KandidaatNotarissen_50;UniversitaireMedewerkers_51;NietUniversitJuridischMedewerkers_52;KandidaatGerechtsdeurwaarders_53;Octrooigemachtigden_54;Totaal_55;UniversitairGekwalificeerd_56;OverigeJuridischMedewerkers_57;OverigeWerkzamePersonen_58
0;1;1;2132.0;1083.7;;84.4;920.7;33.6;;;44.9;358.5;296.7;17.4;9.1;11.9;23.5;242.8;81.8;21.2;7.7;14.4;25.1;92.5;46.8;435.6;40.8;20.6;6.1;14.2;21.4;6.0;0.6;14.8;416.2;47.3;16.7;6.8;14.1;9.8;16666.0;11638.0;4474.0;183.0;112.0;259.0;16666.0;8141.0;6184.0;1591.0;124.0;242.0;0.0;0.0;0.0;0.0;8525.0;281.0;348.0;7896.0
1;1;2;1487.0;115.2;;0.0;102.6;7.7;;;5.0;18.6;15.2;1.2;0.3;0.8;1.0;39.2;10.5;4.5;1.1;2.4;4.1;16.5;8.0;49.4;4.5;2.0;0.4;2.0;1.6;0.5;0.2;0.9;46.5;6.9;2.8;1.7;1.1;1.5;2720.0;934.0;1620.0;130.0;18.0;18.0;2720.0;1836.0;1715.0;121.0;0.0;0.0;0.0;0.0;0.0;0.0;884.0;9.0;18.0;857.0
2;1;3;347.0;125.6;;0.0;115.3;5.4;;;5.0;44.9;38.1;2.2;0.7;1.2;2.7;30.6;8.1;2.9;1.4;2.0;3.1;13.2;6.5;43.7;4.1;2.0;0.3;1.9;0.7;0.3;0.0;0.4;40.3;5.8;2.5;0.7;1.6;1.0;2548.0;1728.0;729.0;42.0;28.0;21.0;2548.0;1229.0;1042.0;187.0;0.0;0.0;0.0;0.0;0.0;0.0;1319.0;56.0;35.0;1228.0
3;1;4;279.0;378.9;;5.9;326.3;16.8;;;29.9;125.2;104.7;6.6;2.3;3.9;7.6;80.6;23.3;7.1;2.9;5.4;8.9;33.0;14.4;158.8;13.6;6.3;2.2;5.1;4.0;1.6;0.4;2.0;149.2;15.1;4.6;2.5;4.2;3.7;5956.0;4407.0;1394.0;11.0;57.0;87.0;5956.0;2891.0;2211.0;653.0;11.0;16.0;0.0;0.0;0.0;0.0;3065.0;83.0;60.0;2922.0
4;1;5;19.0;464.0;;78.5;377.1;3.2;;;5.0;169.9;138.7;7.4;5.7;6.0;12.1;92.4;40.0;6.7;2.3;4.7;8.9;29.9;17.9;183.7;18.7;10.3;3.2;5.2;15.1;3.7;0.0;11.4;180.2;19.5;6.8;1.9;7.2;3.6;5442.0;4569.0;731.0;0.0;9.0;133.0;5442.0;2185.0;1216.0;630.0;113.0;226.0;0.0;0.0;0.0;0.0;3257.0;133.0;235.0;2889.0
5;2;1;582.0;33.2;;;;;;;;11.7;8.9;0.5;0.5;1.1;0.7;7.7;2.3;1.2;0.4;0.6;0.8;2.4;1.5;12.3;0.6;0.4;0.1;0.2;1.3;0.4;0.0;0.9;13.0;1.6;0.1;0.8;0.5;0.2;1071.0;303.0;646.0;56.0;50.0;16.0;1071.0;847.0;0.0;0.0;0.0;0.0;533.0;314.0;0.0;0.0;224.0;0.0;0.0;224.0
6;2;2;551.0;20.3;;;;;;;;4.7;3.7;0.1;0.3;0.5;0.1;5.0;1.3;0.9;0.3;0.4;0.6;1.6;1.0;9.5;0.4;0.2;0.1;0.1;1.3;0.4;0.0;0.9;10.4;0.6;0.0;0.2;0.3;0.0;793.0;95.0;604.0;56.0;38.0;0.0;793.0;679.0;0.0;0.0;0.0;0.0;416.0;263.0;0.0;0.0;114.0;0.0;0.0;114.0
7;2;3;20.0;4.9;;;;;;;;2.4;1.7;0.1;0.1;0.3;0.2;1.2;0.4;0.1;0.0;0.1;0.1;0.4;0.2;1.1;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0;1.0;0.7;0.1;0.5;0.0;0.1;132.0;85.0;26.0;0.0;9.0;12.0;132.0;77.0;0.0;0.0;0.0;0.0;54.0;23.0;0.0;0.0;55.0;0.0;0.0;55.0
8;2;4;11.0;8.1;;;;;;;;4.6;3.6;0.2;0.2;0.3;0.3;1.5;0.5;0.2;0.1;0.1;0.1;0.4;0.3;1.7;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.3;0.0;0.2;0.1;0.0;146.0;123.0;16.0;0.0;3.0;4.0;146.0;91.0;0.0;0.0;0.0;0.0;63.0;28.0;0.0;0.0;55.0;0.0;0.0;55.0
9;2;5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;3;1;747.0;658.2;;622.1;;11.8;14.5;;9.5;263.8;224.3;12.7;10.6;4.6;11.5;114.5;28.6;5.4;2.3;5.5;13.2;59.5;25.3;254.6;13.6;7.6;1.0;5.0;15.6;12.2;0.7;2.6;256.6;0.0;8.9;4.8;7.8;6.2;9623.0;8145.0;1170.0;117.0;41.0;150.0;9623.0;2607.0;0.0;0.0;1175.0;1432.0;0.0;0.0;0.0;0.0;7016.0;222.0;1410.0;5384.0
11;3;2;82.0;25.4;;24.1;;0.0;0.9;;0.5;7.0;6.0;0.4;0.4;0.0;0.3;5.4;1.3;0.2;0.2;0.2;0.8;2.8;0.9;12.0;0.8;0.2;0.0;0.6;0.3;0.3;0.0;0.0;11.6;0.0;0.1;0.7;0.6;0.6;328.0;262.0;66.0;0.0;0.0;0.0;328.0;131.0;0.0;0.0;82.0;49.0;0.0;0.0;0.0;0.0;197.0;16.0;0.0;181.0
12;3;3;255.0;137.1;;129.8;;2.7;2.3;;1.8;56.3;47.5;2.8;3.0;0.7;2.4;24.4;5.7;1.2;0.4;1.1;2.5;13.5;6.0;50.5;3.2;2.0;0.1;1.1;3.5;2.5;0.4;0.6;50.7;0.0;2.0;1.3;1.9;1.0;2092.0;1685.0;302.0;52.0;22.0;31.0;2092.0;579.0;0.0;0.0;272.0;307.0;0.0;0.0;0.0;0.0;1513.0;47.0;385.0;1081.0
