ID;Marges;RegioS;Perioden;Ondernemersvertrouwen_1
0;Waarde;Groningen (PV);2014 1e kwartaal;-19.1
1;Waarde;Groningen (PV);2014 2e kwartaal;-17.3
2;Waarde;Groningen (PV);2014 3e kwartaal;-12.6
3;Waarde;Groningen (PV);2014 4e kwartaal;6.1
4;Waarde;Groningen (PV);2015 1e kwartaal;-8.9
5;Waarde;Groningen (PV);2015 2e kwartaal;-5.0
6;Waarde;Groningen (PV);2015 3e kwartaal;8.5
7;Waarde;Groningen (PV);2015 4e kwartaal;8.9
8;Waarde;Groningen (PV);2016 1e kwartaal;4.0
9;Waarde;Groningen (PV);2016 2e kwartaal;-2.2
10;Waarde;Groningen (PV);2016 3e kwartaal;-7.4
11;Waarde;Groningen (PV);2016 4e kwartaal;0.5
12;Waarde;Groningen (PV);2017 1e kwartaal;2.0
13;Waarde;Groningen (PV);2017 2e kwartaal;9.9
14;Waarde;Groningen (PV);2017 3e kwartaal;7.1
15;Waarde;Groningen (PV);2017 4e kwartaal;6.4
16;Waarde;Groningen (PV);2018 1e kwartaal;13.8
17;Waarde;Groningen (PV);2018 2e kwartaal;2.7
18;Waarde;Groningen (PV);2018 3e kwartaal;-5.8
19;Waarde;Groningen (PV);2018 4e kwartaal;9.7
20;Waarde;Groningen (PV);2019 1e kwartaal;6.3
21;Waarde;Groningen (PV);2019 2e kwartaal;3.9
22;Waarde;Groningen (PV);2019 3e kwartaal;5.3
23;Waarde;Groningen (PV);2019 4e kwartaal;4.2
24;Waarde;Groningen (PV);2020 1e kwartaal;-5.7
25;Waarde;Groningen (PV);2020 2e kwartaal;-25.7
26;Waarde;Groningen (PV);2020 3e kwartaal;-16.1
27;Waarde;Groningen (PV);2020 4e kwartaal;-12.9
28;Waarde;Groningen (PV);2021 1e kwartaal;-12.1
29;Waarde;Groningen (PV);2021 2e kwartaal;9.0
30;Waarde;Groningen (PV);2021 3e kwartaal;19.0
31;Waarde;Groningen (PV);2021 4e kwartaal;14.8
32;Waarde;Groningen (PV);2022 1e kwartaal;5.3
33;Waarde;Groningen (PV);2022 2e kwartaal;7.3
34;Waarde;Groningen (PV);2022 3e kwartaal;1.6
35;Waarde;Groningen (PV);2022 4e kwartaal;-7.1
36;Waarde;Groningen (PV);2023 1e kwartaal;-4.2
37;Waarde;Groningen (PV);2023 2e kwartaal;-3.2
38;Waarde;Fryslân (PV);2014 1e kwartaal;1.6
39;Waarde;Fryslân (PV);2014 2e kwartaal;-0.5
40;Waarde;Fryslân (PV);2014 3e kwartaal;0.1
41;Waarde;Fryslân (PV);2014 4e kwartaal;2.2
42;Waarde;Fryslân (PV);2015 1e kwartaal;2.7
43;Waarde;Fryslân (PV);2015 2e kwartaal;5.6
44;Waarde;Fryslân (PV);2015 3e kwartaal;8.0
45;Waarde;Fryslân (PV);2015 4e kwartaal;13.7
46;Waarde;Fryslân (PV);2016 1e kwartaal;4.4
47;Waarde;Fryslân (PV);2016 2e kwartaal;7.0
48;Waarde;Fryslân (PV);2016 3e kwartaal;6.8
49;Waarde;Fryslân (PV);2016 4e kwartaal;7.7
50;Waarde;Fryslân (PV);2017 1e kwartaal;11.4
51;Waarde;Fryslân (PV);2017 2e kwartaal;14.2
52;Waarde;Fryslân (PV);2017 3e kwartaal;14.6
53;Waarde;Fryslân (PV);2017 4e kwartaal;14.2
54;Waarde;Fryslân (PV);2018 1e kwartaal;16.4
55;Waarde;Fryslân (PV);2018 2e kwartaal;20.0
56;Waarde;Fryslân (PV);2018 3e kwartaal;13.6
57;Waarde;Fryslân (PV);2018 4e kwartaal;13.2
58;Waarde;Fryslân (PV);2019 1e kwartaal;10.6
59;Waarde;Fryslân (PV);2019 2e kwartaal;11.9
60;Waarde;Fryslân (PV);2019 3e kwartaal;8.2
61;Waarde;Fryslân (PV);2019 4e kwartaal;3.8
62;Waarde;Fryslân (PV);2020 1e kwartaal;6.5
63;Waarde;Fryslân (PV);2020 2e kwartaal;-24.8
64;Waarde;Fryslân (PV);2020 3e kwartaal;-15.3
65;Waarde;Fryslân (PV);2020 4e kwartaal;-3.8
