ID;BedrijfsactiviteitenSBI93;Grootteklassen;Perioden;TotaalMilieuInvesteringen_1;CompartimentWater_2;CompartimentLucht_3;CompartimentBodem_4;CompartimentAfval_5;CompartimentGeluid_6;CompartimentLandschap_7;TotaalKosten_8;TotaalKapitaallasten_9;Afschrijvingen_10;Rente_11;LopendeKosten_12;OverigeKosten_13;TotaalKosten_14;Afschrijvingen_15;Rente_16;LopendeKosten_17;AfvoerWaterzuiveringsslib_18;TotaalKosten_19;Afschrijvingen_20;Rente_21;LopendeKosten_22;AfvoerAfvalLuchtzuiveringsinstallaties_23;TotaalKosten_24;Afschrijvingen_25;Rente_26;LopendeKosten_27;Bodemsanering_28;TotaalKosten_29;Afschrijvingen_30;Rente_31;LopendeKosten_32;TotaalKosten_33;Afschrijvingen_34;Rente_35;LopendeKosten_36;TotaalKosten_37;Afschrijvingen_38;Rente_39;LopendeKosten_40;TotaalKosten_41;EigenMilieuonderzoek_42;PersoneelskostenEigenMilieucoordinatie_43;ArbeidEigenPersoneelMilieucoordinatie_44;TotaalMilieuheffingenEnLeges_45;WVOHeffing_46;Rioolrecht_47;HeffingGrondwateronttrekking_48;LegesMilieuvergunningen_49;TotaalAfvoerVanAfvalstoffen_50;GevaarlijkAfval_51;OverigVastAfval_52;TotaalUitbestedeMilieuactiviteiten_53;WaterzuiveringDoorParticulieren_54;SchadebetalingenEnMilieuboeten_55;MilieuonderzoekDoorDerden_56;MilieucoordinatieDoorDerden_57;OntvangenOverdrachten_58;TotaalNettoMilieulasten_59;CompartimentWater_60;CompartimentLucht_61;CompartimentBodem_62;CompartimentAfval_63;CompartimentGeluid_64;CompartimentLandschap_65;CompartimentAlgemeen_66
0;1000x Winning, industrie (geen sociale..;10 en meer werknemers;1997;779.0;101.0;439.0;82.0;72.0;54.0;30.0;1337.0;654.0;469.0;185.0;432.0;251.0;380.0;128.0;50.0;170.0;32.0;510.0;244.0;82.0;171.0;13.0;134.0;29.0;20.0;29.0;56.0;81.0;31.0;13.0;37.0;42.0;24.0;12.0;7.0;40.0;14.0;8.0;18.0;150.0;75.0;75.0;1430.0;122.0;100.0;14.0;0.0;7.0;253.0;96.0;157.0;49.0;9.0;8.0;17.0;14.0;48.0;1713.0;483.0;490.0;133.0;329.0;41.0;40.0;197.0
1;1000x Winning, industrie (geen sociale..;10 en meer werknemers;1998;487.0;66.0;283.0;54.0;51.0;28.0;5.0;1457.0;700.0;503.0;197.0;542.0;215.0;385.0;132.0;49.0;174.0;31.0;627.0;261.0;90.0;263.0;12.0;140.0;33.0;22.0;35.0;50.0;92.0;35.0;14.0;42.0;48.0;27.0;13.0;9.0;43.0;15.0;9.0;19.0;122.0;48.0;74.0;1438.0;121.0;96.0;14.0;8.0;3.0;257.0;90.0;167.0;46.0;7.0;8.0;16.0;15.0;47.0;1834.0;482.0;608.0;139.0;344.0;47.0;43.0;165.0
2;1000x Winning, industrie (geen sociale..;10 en meer werknemers;1999;477.0;95.0;224.0;55.0;63.0;28.0;13.0;1511.0;717.0;518.0;200.0;565.0;228.0;377.0;132.0;47.0;167.0;31.0;660.0;267.0;91.0;289.0;13.0;135.0;37.0;24.0;36.0;39.0;98.0;39.0;16.0;44.0;50.0;28.0;13.0;9.0;45.0;16.0;9.0;21.0;145.0;61.0;84.0;1469.0;135.0;105.0;15.0;12.0;2.0;278.0;100.0;178.0;67.0;25.0;7.0;18.0;17.0;45.0;1945.0;504.0;642.0;134.0;370.0;48.0;57.0;190.0
3;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2000;417.0;70.0;250.0;36.0;38.0;16.0;5.0;1531.0;721.0;521.0;200.0;599.0;211.0;373.0;126.0;46.0;169.0;32.0;685.0;272.0;91.0;310.0;13.0;134.0;39.0;25.0;38.0;33.0;105.0;40.0;17.0;48.0;53.0;28.0;13.0;12.0;46.0;16.0;9.0;22.0;134.0;51.0;83.0;1412.0;136.0;107.0;15.0;13.0;0.0;324.0;113.0;211.0;70.0;21.0;12.0;20.0;17.0;44.0;2017.0;501.0;666.0;132.0;423.0;52.0;60.0;184.0
4;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2001;418.0;82.0;222.0;55.0;25.0;33.0;2.0;1587.0;733.0;531.0;202.0;602.0;252.0;362.0;121.0;46.0;159.0;36.0;714.0;280.0;91.0;318.0;25.0;160.0;43.0;27.0;40.0;50.0;108.0;41.0;17.0;50.0;56.0;30.0;13.0;13.0;46.0;16.0;8.0;22.0;142.0;56.0;85.0;1387.0;133.0;103.0;16.0;15.0;0.0;348.0;124.0;224.0;61.0;19.0;6.0;19.0;17.0;45.0;2084.0;487.0;691.0;158.0;449.0;55.0;61.0;184.0
5;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2002;422.0;90.0;229.0;35.0;38.0;25.0;5.0;1636.0;768.0;558.0;210.0;629.0;239.0;362.0;125.0;47.0;154.0;37.0;753.0;293.0;93.0;343.0;24.0;155.0;48.0;29.0;45.0;33.0;113.0;44.0;17.0;52.0;58.0;32.0;14.0;12.0;49.0;17.0;8.0;23.0;146.0;54.0;91.0;1382.0;141.0;108.0;15.0;16.0;1.0;378.0;143.0;235.0;67.0;28.0;3.0;19.0;18.0;50.0;2172.0;501.0;726.0;153.0;484.0;57.0;65.0;186.0
6;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2003;295.0;60.0;171.0;27.0;21.0;14.0;1.0;1615.0;772.0;566.0;206.0;616.0;227.0;362.0;125.0;46.0;153.0;38.0;756.0;298.0;91.0;343.0;24.0;150.0;49.0;29.0;41.0;31.0;110.0;45.0;17.0;47.0;59.0;33.0;14.0;12.0;45.0;17.0;8.0;20.0;133.0;52.0;81.0;1208.0;141.0;108.0;17.0;16.0;0.0;367.0;123.0;244.0;75.0;29.0;5.0;19.0;22.0;62.0;2136.0;505.0;715.0;148.0;470.0;57.0;61.0;180.0
7;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2004;382.0;68.0;203.0;46.0;26.0;24.0;16.0;1573.0;731.0;538.0;193.0;593.0;249.0;342.0;119.0;43.0;146.0;34.0;724.0;279.0;86.0;340.0;19.0;161.0;48.0;28.0;36.0;49.0;104.0;44.0;16.0;44.0;56.0;32.0;13.0;11.0;39.0;16.0;7.0;16.0;147.0;61.0;86.0;1215.0;143.0;108.0;17.0;17.0;1.0;360.0;125.0;236.0;81.0;33.0;1.0;19.0;27.0;90.0;2067.0;490.0;653.0;159.0;458.0;55.0;56.0;196.0
8;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2005;338.0;93.0;198.0;26.0;10.0;10.0;0.0;1548.0;717.0;528.0;189.0;613.0;218.0;337.0;117.0;42.0;145.0;34.0;728.0;270.0;84.0;358.0;15.0;141.0;50.0;28.0;37.0;25.0;104.0;44.0;15.0;45.0;56.0;32.0;13.0;12.0;39.0;16.0;7.0;16.0;143.0;62.0;81.0;1168.0;137.0;103.0;17.0;16.0;1.0;342.0;114.0;228.0;78.0;35.0;2.0;18.0;23.0;156.0;1949.0;485.0;588.0;139.0;440.0;55.0;55.0;187.0
9;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2006;548.0;103.0;389.0;29.0;14.0;11.0;2.0;1557.0;717.0;531.0;186.0;627.0;213.0;329.0;115.0;41.0;143.0;30.0;749.0;279.0;86.0;372.0;12.0;146.0;50.0;27.0;38.0;30.0;101.0;43.0;14.0;45.0;54.0;30.0;12.0;12.0;37.0;14.0;7.0;17.0;141.0;63.0;78.0;1157.0;145.0;110.0;19.0;16.0;1.0;336.0;115.0;221.0;72.0;32.0;7.0;17.0;17.0;248.0;1863.0;483.0;516.0;144.0;431.0;53.0;54.0;182.0
10;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2007;462.0;78.0;294.0;45.0;21.0;20.0;4.0;1533.0;722.0;530.0;192.0;585.0;226.0;341.0;116.0;42.0;148.0;35.0;716.0;280.0;93.0;326.0;17.0;149.0;52.0;27.0;40.0;30.0;95.0;40.0;13.0;41.0;52.0;29.0;12.0;11.0;37.0;13.0;6.0;18.0;143.0;62.0;81.0;1136.0;146.0;112.0;19.0;15.0;1.0;373.0;119.0;254.0;84.0;42.0;5.0;18.0;19.0;326.0;1810.0;510.0;403.0;147.0;462.0;51.0;52.0;186.0
11;1000x Winning, industrie (geen sociale..;10 en meer werknemers;2008;767.0;51.0;629.0;39.0;32.0;12.0;3.0;1494.0;750.0;544.0;206.0;517.0;228.0;353.0;117.0;41.0;155.0;40.0;666.0;294.0;106.0;253.0;14.0;158.0;54.0;28.0;42.0;33.0;90.0;38.0;13.0;38.0;50.0;28.0;12.0;11.0;37.0;13.0;6.0;18.0;141.0;59.0;82.0;1089.0;152.0;114.0;20.0;17.0;1.0;399.0;138.0;261.0;90.0;38.0;7.0;22.0;23.0;388.0;1748.0;522.0;289.0;156.0;484.0;49.0;54.0;194.0
12;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;1997;18.0;3.0;9.0;3.0;2.0;1.0;0.0;134.0;68.0;48.0;20.0;46.0;20.0;44.0;16.0;6.0;20.0;3.0;42.0;20.0;7.0;15.0;0.0;11.0;4.0;3.0;4.0;1.0;10.0;4.0;2.0;4.0;6.0;3.0;2.0;1.0;5.0;2.0;1.0;2.0;16.0;8.0;8.0;201.0;13.0;9.0;3.0;0.0;1.0;41.0;8.0;33.0;4.0;0.0;1.0;2.0;1.0;7.0;186.0;54.0;39.0;11.0;51.0;6.0;5.0;21.0
13;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;1998;19.0;2.0;10.0;3.0;2.0;2.0;0.0;151.0;76.0;54.0;22.0;57.0;19.0;46.0;17.0;6.0;21.0;2.0;55.0;23.0;8.0;23.0;0.0;14.0;4.0;3.0;4.0;3.0;11.0;5.0;2.0;5.0;7.0;4.0;2.0;1.0;5.0;2.0;1.0;2.0;13.0;5.0;9.0;214.0;12.0;9.0;2.0;0.0;0.0;44.0;8.0;36.0;5.0;0.0;1.0;1.0;3.0;7.0;206.0;55.0;52.0;14.0;54.0;6.0;5.0;19.0
14;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;1999;19.0;4.0;8.0;2.0;3.0;2.0;0.0;162.0;80.0;57.0;23.0;61.0;21.0;47.0;17.0;6.0;21.0;3.0;62.0;25.0;9.0;27.0;1.0;14.0;4.0;3.0;4.0;2.0;12.0;5.0;2.0;5.0;7.0;4.0;2.0;1.0;5.0;2.0;1.0;2.0;15.0;6.0;9.0;188.0;16.0;12.0;3.0;1.0;0.0;49.0;12.0;37.0;4.0;0.0;0.0;1.0;2.0;7.0;224.0;60.0;59.0;14.0;60.0;7.0;6.0;19.0
15;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2000;28.0;3.0;18.0;2.0;2.0;1.0;1.0;173.0;85.0;61.0;24.0;68.0;20.0;48.0;17.0;6.0;22.0;3.0;70.0;28.0;10.0;32.0;0.0;15.0;5.0;3.0;5.0;3.0;13.0;5.0;2.0;6.0;8.0;4.0;2.0;2.0;5.0;2.0;1.0;2.0;15.0;6.0;9.0;201.0;15.0;12.0;3.0;1.0;0.0;57.0;10.0;47.0;4.0;1.0;0.0;2.0;2.0;7.0;242.0;61.0;66.0;15.0;69.0;7.0;6.0;18.0
16;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2001;37.0;4.0;25.0;4.0;3.0;1.0;0.0;182.0;90.0;65.0;26.0;70.0;23.0;47.0;17.0;6.0;21.0;3.0;74.0;30.0;10.0;33.0;1.0;16.0;6.0;4.0;5.0;1.0;14.0;6.0;2.0;6.0;8.0;4.0;2.0;2.0;6.0;2.0;1.0;2.0;18.0;9.0;9.0;192.0;14.0;11.0;3.0;0.0;0.0;65.0;18.0;48.0;5.0;1.0;0.0;2.0;2.0;7.0;260.0;60.0;70.0;15.0;78.0;8.0;6.0;22.0
17;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2002;16.0;5.0;8.0;1.0;1.0;1.0;0.0;187.0;92.0;66.0;26.0;71.0;24.0;46.0;17.0;6.0;20.0;3.0;76.0;30.0;11.0;35.0;0.0;17.0;6.0;4.0;6.0;1.0;14.0;6.0;2.0;6.0;8.0;5.0;2.0;2.0;5.0;2.0;1.0;2.0;20.0;9.0;11.0;213.0;18.0;14.0;2.0;1.0;0.0;63.0;12.0;51.0;8.0;3.0;0.0;3.0;2.0;8.0;268.0;64.0;72.0;16.0;76.0;8.0;6.0;25.0
18;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2003;16.0;2.0;7.0;3.0;2.0;1.0;0.0;193.0;95.0;68.0;27.0;70.0;28.0;47.0;17.0;6.0;20.0;3.0;78.0;32.0;11.0;35.0;1.0;22.0;6.0;4.0;5.0;7.0;14.0;6.0;2.0;6.0;9.0;5.0;2.0;2.0;5.0;2.0;1.0;2.0;18.0;8.0;10.0;197.0;17.0;12.0;3.0;1.0;0.0;57.0;9.0;48.0;10.0;2.0;3.0;2.0;3.0;8.0;269.0;63.0;73.0;22.0;70.0;9.0;7.0;26.0
19;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2004;19.0;3.0;7.0;3.0;3.0;2.0;0.0;185.0;91.0;66.0;25.0;68.0;26.0;45.0;16.0;6.0;20.0;3.0;76.0;31.0;10.0;34.0;0.0;17.0;6.0;4.0;5.0;2.0;14.0;6.0;2.0;6.0;8.0;5.0;2.0;2.0;4.0;2.0;1.0;2.0;21.0;11.0;10.0;186.0;15.0;11.0;3.0;1.0;0.0;66.0;9.0;56.0;7.0;1.0;0.0;3.0;3.0;9.0;263.0;58.0;71.0;16.0;78.0;8.0;5.0;27.0
20;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2005;15.0;2.0;8.0;2.0;2.0;1.0;0.0;185.0;89.0;65.0;24.0;70.0;27.0;45.0;16.0;6.0;20.0;4.0;78.0;31.0;10.0;37.0;0.0;16.0;6.0;4.0;5.0;1.0;13.0;6.0;2.0;6.0;8.0;4.0;2.0;2.0;4.0;2.0;1.0;2.0;21.0;11.0;10.0;210.0;15.0;11.0;3.0;0.0;0.0;70.0;8.0;61.0;7.0;3.0;0.0;2.0;2.0;10.0;267.0;62.0;70.0;15.0;82.0;8.0;4.0;25.0
21;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2006;16.0;3.0;7.0;2.0;2.0;2.0;0.0;195.0;93.0;68.0;25.0;74.0;29.0;44.0;16.0;6.0;20.0;3.0;82.0;33.0;10.0;39.0;0.0;18.0;7.0;4.0;5.0;2.0;14.0;6.0;2.0;6.0;8.0;5.0;2.0;2.0;5.0;2.0;1.0;2.0;23.0;12.0;11.0;224.0;17.0;13.0;4.0;0.0;0.0;62.0;7.0;55.0;8.0;4.0;0.0;2.0;3.0;14.0;268.0;63.0;71.0;18.0;75.0;8.0;5.0;28.0
22;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2007;40.0;2.0;31.0;3.0;3.0;1.0;0.0;211.0;102.0;75.0;27.0;80.0;28.0;50.0;18.0;6.0;23.0;4.0;90.0;37.0;11.0;41.0;1.0;19.0;8.0;4.0;6.0;1.0;15.0;7.0;2.0;6.0;9.0;5.0;2.0;2.0;5.0;2.0;1.0;2.0;22.0;12.0;11.0;207.0;16.0;11.0;3.0;1.0;0.0;65.0;8.0;57.0;7.0;3.0;0.0;2.0;2.0;23.0;275.0;67.0;70.0;19.0;79.0;9.0;5.0;27.0
23;1000x Winning, industrie (geen sociale..;10 tot 50 werknemers;2008;19.0;2.0;10.0;4.0;2.0;2.0;0.0;212.0;106.0;78.0;28.0;78.0;28.0;52.0;18.0;6.0;25.0;2.0;86.0;38.0;12.0;36.0;1.0;22.0;8.0;4.0;7.0;3.0;15.0;7.0;2.0;6.0;9.0;5.0;2.0;2.0;5.0;2.0;1.0;2.0;23.0;11.0;11.0;212.0;19.0;13.0;5.0;1.0;0.0;77.0;8.0;70.0;9.0;3.0;1.0;2.0;3.0;25.0;291.0;71.0;63.0;22.0;91.0;9.0;6.0;29.0
24;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;1997;43.0;14.0;18.0;5.0;4.0;2.0;0.0;228.0;111.0;79.0;32.0;78.0;39.0;75.0;25.0;10.0;34.0;5.0;74.0;35.0;12.0;26.0;1.0;20.0;6.0;4.0;6.0;4.0;16.0;6.0;3.0;7.0;8.0;4.0;2.0;1.0;7.0;2.0;1.0;3.0;28.0;12.0;16.0;338.0;31.0;26.0;4.0;0.0;1.0;67.0;24.0;44.0;10.0;3.0;1.0;3.0;3.0;10.0;326.0;103.0;70.0;20.0;82.0;8.0;7.0;36.0
25;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;1998;46.0;8.0;25.0;5.0;5.0;3.0;1.0;256.0;126.0;91.0;35.0;97.0;33.0;80.0;28.0;10.0;37.0;5.0;95.0;41.0;14.0;39.0;1.0;23.0;7.0;5.0;7.0;4.0;19.0;7.0;3.0;8.0;9.0;5.0;2.0;2.0;8.0;3.0;2.0;4.0;23.0;8.0;14.0;305.0;31.0;26.0;3.0;1.0;0.0;66.0;23.0;43.0;9.0;3.0;1.0;3.0;2.0;10.0;352.0;107.0;91.0;23.0;84.0;9.0;8.0;29.0
26;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;1999;76.0;20.0;32.0;9.0;5.0;2.0;8.0;281.0;138.0;100.0;38.0;106.0;37.0;79.0;28.0;10.0;36.0;5.0;111.0;47.0;16.0;48.0;2.0;24.0;8.0;5.0;8.0;4.0;20.0;8.0;3.0;9.0;10.0;6.0;3.0;2.0;9.0;3.0;2.0;4.0;27.0;9.0;17.0;334.0;32.0;26.0;4.0;1.0;0.0;75.0;26.0;49.0;10.0;3.0;1.0;3.0;3.0;11.0;388.0;109.0;107.0;24.0;94.0;10.0;10.0;34.0
27;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2000;63.0;13.0;35.0;6.0;5.0;1.0;2.0;296.0;142.0;102.0;39.0;114.0;40.0;80.0;28.0;10.0;37.0;5.0;119.0;49.0;16.0;53.0;2.0;25.0;8.0;5.0;8.0;4.0;22.0;9.0;3.0;10.0;11.0;6.0;3.0;3.0;9.0;3.0;2.0;5.0;29.0;10.0;19.0;356.0;31.0;25.0;4.0;2.0;0.0;86.0;31.0;55.0;15.0;4.0;3.0;4.0;4.0;10.0;417.0;109.0;115.0;25.0;106.0;11.0;12.0;40.0
28;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2001;61.0;12.0;36.0;8.0;3.0;2.0;1.0;318.0;150.0;108.0;42.0;118.0;50.0;81.0;28.0;10.0;37.0;6.0;126.0;51.0;17.0;54.0;3.0;34.0;10.0;6.0;9.0;9.0;24.0;9.0;4.0;11.0;12.0;6.0;3.0;3.0;10.0;3.0;2.0;5.0;32.0;14.0;19.0;333.0;31.0;25.0;4.0;2.0;0.0;90.0;31.0;59.0;14.0;5.0;1.0;4.0;3.0;11.0;442.0;112.0;120.0;34.0;112.0;12.0;11.0;41.0
29;1000x Winning, industrie (geen sociale..;50 tot 200 werknemers;2002;72.0;10.0;35.0;8.0;12.0;7.0;0.0;327.0;159.0;114.0;45.0;121.0;47.0;79.0;28.0;11.0;34.0;6.0;134.0;54.0;18.0;59.0;3.0;32.0;11.0;7.0;10.0;4.0;25.0;10.0;4.0;11.0;13.0;7.0;3.0;3.0;11.0;4.0;2.0;5.0;34.0;13.0;21.0;368.0;34.0;27.0;4.0;2.0;0.0;105.0;35.0;69.0;14.0;5.0;0.0;5.0;4.0;12.0;467.0;113.0;127.0;31.0;128.0;13.0;13.0;43.0
