ID;Geslacht;Leeftijd;UitstromersMboMetEnZonderDiploma;Arbeidskenmerken;Studierichting;Peilmoment;Perioden;UitstromersMbo_1
0;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2007/'08;135690.0
1;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2008/'09;133320.0
2;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2009/'10;141770.0
3;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2010/'11;147870.0
4;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2011/'12;147310.0
5;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2012/'13;141460.0
6;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2013/'14;135730.0
7;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2014/'15;129350.0
8;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2015/'16;119900.0
9;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2016/'17;123410.0
10;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2017/'18;122660.0
11;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2018/'19;126990.0
12;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2019/'20;120340.0
13;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2020/'21;126790.0
14;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2021/'22;139030.0
15;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2007/'08;135690.0
16;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2008/'09;133320.0
17;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2009/'10;141770.0
18;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2010/'11;147870.0
19;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2011/'12;147310.0
20;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2012/'13;141460.0
21;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2013/'14;135730.0
22;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2014/'15;129350.0
23;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2015/'16;119900.0
24;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2016/'17;123410.0
25;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2017/'18;122660.0
26;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2018/'19;126990.0
27;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2019/'20;120340.0
28;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2020/'21;126790.0
29;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2021/'22;
30;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2007/'08;135690.0
31;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2008/'09;133320.0
32;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2009/'10;141770.0
33;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2010/'11;147870.0
34;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2011/'12;147310.0
35;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2012/'13;141460.0
36;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2013/'14;135730.0
37;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2014/'15;129350.0
38;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2015/'16;119900.0
39;Totaal;10000;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2016/'17;123410.0
