ID;Bussen;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseBussenInGebruik_10
0;Totaal;Totaal;2018;632.2;;;673.7;;;64119;;;10507
1;Totaal;Totaal;2019;615.2;;;661.0;;;62222;;;10623
2;Totaal;Totaal;2020;494.1;;;507.9;;;49090;;;10347
3;Totaal;Totaal;2021;486.4;;;498.3;;;54361;;;9166
4;Totaal;Totaal;2022;490.3;;;540.2;;;58565;;;9224
5;Totaal;Totaal;2023;481.9;;;545.4;;;58198;;;9372
6;Totaal;Jonger dan 3 jaar;2018;172.6;;;186.9;;;81044;;;2306
7;Totaal;Jonger dan 3 jaar;2019;146.4;;;161.1;;;67339;;;2392
8;Totaal;Jonger dan 3 jaar;2020;107.5;;;111.6;;;52531;;;2124
9;Totaal;Jonger dan 3 jaar;2021;115.9;;;118.0;;;65401;;;1805
10;Totaal;Jonger dan 3 jaar;2022;71.7;;;78.5;;;67615;;;1161
11;Totaal;Jonger dan 3 jaar;2023;40.0;;;50.7;;;55302;;;916
12;Totaal;3 tot 5 jaar;2018;85.4;;;92.8;;;91950;;;1009
13;Totaal;3 tot 5 jaar;2019;99.0;;;108.8;;;90895;;;1197
14;Totaal;3 tot 5 jaar;2020;118.0;;;120.7;;;72602;;;1662
15;Totaal;3 tot 5 jaar;2021;84.8;;;88.0;;;64980;;;1354
16;Totaal;3 tot 5 jaar;2022;97.0;;;109.9;;;73843;;;1488
17;Totaal;3 tot 5 jaar;2023;103.7;;;113.9;;;71936;;;1584
18;Totaal;5 tot 9 jaar;2018;188.6;;;197.7;;;77626;;;2547
19;Totaal;5 tot 9 jaar;2019;184.2;;;193.5;;;78798;;;2456
20;Totaal;5 tot 9 jaar;2020;139.2;;;142.4;;;65791;;;2165
21;Totaal;5 tot 9 jaar;2021;140.8;;;143.8;;;66313;;;2168
22;Totaal;5 tot 9 jaar;2022;163.2;;;180.4;;;69515;;;2595
23;Totaal;5 tot 9 jaar;2023;155.9;;;182.6;;;69623;;;2623
24;Totaal;9 tot 13 jaar;2018;157.6;;;164.0;;;57687;;;2843
25;Totaal;9 tot 13 jaar;2019;155.8;;;163.6;;;56894;;;2876
26;Totaal;9 tot 13 jaar;2020;104.6;;;107.0;;;41686;;;2566
27;Totaal;9 tot 13 jaar;2021;113.2;;;115.3;;;53857;;;2140
28;Totaal;9 tot 13 jaar;2022;113.3;;;119.9;;;61945;;;1936
29;Totaal;9 tot 13 jaar;2023;131.9;;;139.8;;;66084;;;2115
30;Totaal;13 jaar of ouder;2018;28.0;;;32.3;;;17930;;;1802
31;Totaal;13 jaar of ouder;2019;29.8;;;33.9;;;19946;;;1702
32;Totaal;13 jaar of ouder;2020;24.8;;;26.3;;;14366;;;1830
33;Totaal;13 jaar of ouder;2021;31.6;;;33.2;;;19556;;;1699
34;Totaal;13 jaar of ouder;2022;45.1;;;51.5;;;25198;;;2044
35;Totaal;13 jaar of ouder;2023;50.3;;;58.4;;;27386;;;2134
36;Touringcar;Totaal;2018;161.0;;;202.9;;;45084;;;4501
37;Touringcar;Totaal;2019;148.8;;;195.1;;;44494;;;4384
38;Touringcar;Totaal;2020;57.9;;;72.7;;;18007;;;4037
39;Touringcar;Totaal;2021;64.0;;;76.7;;;22017;;;3482
40;Touringcar;Totaal;2022;91.1;;;142.0;;;36748;;;3863
41;Touringcar;Totaal;2023;100.3;;;164.9;;;41542;;;3969
42;Touringcar;Jonger dan 3 jaar;2018;55.1;;;69.5;;;77971;;;891
43;Touringcar;Jonger dan 3 jaar;2019;47.5;;;62.3;;;70956;;;878
44;Touringcar;Jonger dan 3 jaar;2020;16.9;;;21.1;;;31996;;;661
45;Touringcar;Jonger dan 3 jaar;2021;11.6;;;13.9;;;32978;;;422
46;Touringcar;Jonger dan 3 jaar;2022;12.4;;;19.3;;;59071;;;327
47;Touringcar;Jonger dan 3 jaar;2023;16.6;;;27.3;;;62950;;;433
48;Touringcar;3 tot 5 jaar;2018;28.7;;;36.1;;;80984;;;446
49;Touringcar;3 tot 5 jaar;2019;31.8;;;41.7;;;76364;;;546
50;Touringcar;3 tot 5 jaar;2020;11.4;;;14.4;;;27723;;;518
51;Touringcar;3 tot 5 jaar;2021;16.5;;;19.8;;;38257;;;517
52;Touringcar;3 tot 5 jaar;2022;23.3;;;36.3;;;64304;;;565
53;Touringcar;3 tot 5 jaar;2023;16.2;;;26.7;;;68228;;;391
54;Touringcar;5 tot 9 jaar;2018;35.5;;;44.7;;;54915;;;814
55;Touringcar;5 tot 9 jaar;2019;30.4;;;39.8;;;54631;;;729
56;Touringcar;5 tot 9 jaar;2020;13.6;;;17.0;;;24332;;;700
57;Touringcar;5 tot 9 jaar;2021;16.4;;;19.6;;;27132;;;722
58;Touringcar;5 tot 9 jaar;2022;31.4;;;49.0;;;48308;;;1014
59;Touringcar;5 tot 9 jaar;2023;42.0;;;69.0;;;58502;;;1180
60;Touringcar;9 tot 13 jaar;2018;25.2;;;31.8;;;37441;;;850
61;Touringcar;9 tot 13 jaar;2019;25.5;;;33.5;;;38222;;;876
62;Touringcar;9 tot 13 jaar;2020;10.1;;;12.7;;;15252;;;834
63;Touringcar;9 tot 13 jaar;2021;11.3;;;13.5;;;20801;;;649
64;Touringcar;9 tot 13 jaar;2022;12.2;;;19.1;;;31491;;;606
65;Touringcar;9 tot 13 jaar;2023;12.7;;;20.8;;;36176;;;575
66;Touringcar;13 jaar of ouder;2018;16.5;;;20.8;;;13871;;;1500
67;Touringcar;13 jaar of ouder;2019;13.5;;;17.8;;;13107;;;1355
68;Touringcar;13 jaar of ouder;2020;5.9;;;7.4;;;5614;;;1324
69;Touringcar;13 jaar of ouder;2021;8.3;;;9.9;;;8429;;;1172
70;Touringcar;13 jaar of ouder;2022;11.7;;;18.2;;;13501;;;1351
71;Touringcar;13 jaar of ouder;2023;12.8;;;21.1;;;15187;;;1390
72;Lijndienstbus;Totaal;2018;471.2;;;470.8;;;78385;;;6006
73;Lijndienstbus;Totaal;2019;466.4;;;465.9;;;74678;;;6239
74;Lijndienstbus;Totaal;2020;436.2;;;435.2;;;68976;;;6310
75;Lijndienstbus;Totaal;2021;422.4;;;421.6;;;74175;;;5684
76;Lijndienstbus;Totaal;2022;399.2;;;398.2;;;74286;;;5361
77;Lijndienstbus;Totaal;2023;381.6;;;380.6;;;70434;;;5403
78;Lijndienstbus;Jonger dan 3 jaar;2018;117.5;;;117.4;;;82978;;;1415
79;Lijndienstbus;Jonger dan 3 jaar;2019;98.9;;;98.8;;;65241;;;1514
80;Lijndienstbus;Jonger dan 3 jaar;2020;90.6;;;90.4;;;61808;;;1463
81;Lijndienstbus;Jonger dan 3 jaar;2021;104.3;;;104.1;;;75294;;;1383
82;Lijndienstbus;Jonger dan 3 jaar;2022;59.3;;;59.2;;;70965;;;834
83;Lijndienstbus;Jonger dan 3 jaar;2023;23.5;;;23.4;;;48445;;;483
84;Lijndienstbus;3 tot 5 jaar;2018;56.7;;;56.7;;;100638;;;563
85;Lijndienstbus;3 tot 5 jaar;2019;67.2;;;67.1;;;103083;;;651
86;Lijndienstbus;3 tot 5 jaar;2020;106.5;;;106.3;;;92924;;;1144
87;Lijndienstbus;3 tot 5 jaar;2021;68.3;;;68.2;;;81487;;;837
88;Lijndienstbus;3 tot 5 jaar;2022;73.7;;;73.5;;;79683;;;923
89;Lijndienstbus;3 tot 5 jaar;2023;87.5;;;87.3;;;73152;;;1193
90;Lijndienstbus;5 tot 9 jaar;2018;153.1;;;153.0;;;88293;;;1733
91;Lijndienstbus;5 tot 9 jaar;2019;153.9;;;153.7;;;89000;;;1727
92;Lijndienstbus;5 tot 9 jaar;2020;125.7;;;125.4;;;85601;;;1465
93;Lijndienstbus;5 tot 9 jaar;2021;124.4;;;124.2;;;85877;;;1446
94;Lijndienstbus;5 tot 9 jaar;2022;131.7;;;131.4;;;83117;;;1581
95;Lijndienstbus;5 tot 9 jaar;2023;113.9;;;113.6;;;78717;;;1443
96;Lijndienstbus;9 tot 13 jaar;2018;132.3;;;132.2;;;66320;;;1993
97;Lijndienstbus;9 tot 13 jaar;2019;130.3;;;130.1;;;65073;;;2000
98;Lijndienstbus;9 tot 13 jaar;2020;94.4;;;94.2;;;54415;;;1732
99;Lijndienstbus;9 tot 13 jaar;2021;101.9;;;101.8;;;68245;;;1491
100;Lijndienstbus;9 tot 13 jaar;2022;101.1;;;100.8;;;75821;;;1330
101;Lijndienstbus;9 tot 13 jaar;2023;119.3;;;119.0;;;77251;;;1540
102;Lijndienstbus;13 jaar of ouder;2018;11.5;;;11.5;;;38109;;;302
103;Lijndienstbus;13 jaar of ouder;2019;16.2;;;16.2;;;46652;;;347
104;Lijndienstbus;13 jaar of ouder;2020;18.9;;;18.9;;;37266;;;506
105;Lijndienstbus;13 jaar of ouder;2021;23.4;;;23.3;;;44301;;;527
106;Lijndienstbus;13 jaar of ouder;2022;33.3;;;33.3;;;48002;;;693
