ID;UltimateControllingInstituteUCI;EnterpriseCharacteristics;Periods;Enterprises_1;Men_2;Women_3;YoungerThan50Years_4;k_50YearsOrOlder_5;DutchBackground_6;ForeignBackground_7;NumberOfJobs_8;AverageNumberOfJobsPerEnterprise_9;LabourTurnover_10;AverageAnnualWages_11;HighPaidEmployees_12;LowPaidEmployees_13
0;99003;1;2006;18950;72;28;83;17;86;14;119;6;84;30;10;45
1;99003;1;2007;19420;72;28;83;17;84;16;123;6;82;31;10;44
2;99003;1;2008;18685;72;28;82;18;83;17;119;6;78;32;10;43
3;99003;2;2006;3695;64;36;78;22;83;17;100;27;26;38;19;28
4;99003;2;2007;3705;64;36;77;23;82;18;99;27;27;38;19;27
5;99003;2;2008;3565;63;37;76;24;81;19;98;27;28;40;19;28
6;99003;3;2006;4325;66;34;74;26;85;15;71;16;24;39;26;15
7;99003;3;2007;4390;65;35;73;27;85;15;73;17;24;40;26;15
8;99003;3;2008;4210;66;34;73;27;85;15;63;15;25;41;24;15
9;99003;4;2006;1580;76;24;76;24;82;18;53;34;17;44;37;9
10;99003;4;2007;1670;76;24;75;25;81;19;53;32;19;46;37;9
11;99003;4;2008;1625;78;22;73;27;79;21;45;28;21;46;34;10
12;99003;5;2006;4955;89;11;77;23;83;17;82;16;21;34;17;14
13;99003;5;2007;5320;89;11;76;24;82;18;86;16;22;35;17;14
14;99003;5;2008;5240;88;12;75;25;81;19;84;16;23;37;17;13
15;99003;6;2006;3165;89;11;77;23;87;13;67;21;18;39;27;11
16;99003;6;2007;3340;88;12;76;24;86;14;76;23;19;41;29;11
17;99003;6;2008;3285;88;12;76;24;85;15;74;22;19;43;30;11
18;99003;7;2006;10380;78;22;70;30;83;17;301;29;14;35;20;15
19;99003;7;2007;10840;78;22;68;32;83;17;310;29;14;35;19;15
20;99003;7;2008;10675;77;23;67;33;82;18;308;29;15;36;19;16
21;99003;8;2006;29420;91;9;75;25;91;9;361;12;22;37;22;10
22;99003;8;2007;31990;91;9;75;25;90;10;378;12;23;38;22;11
23;99003;8;2008;31680;91;9;74;26;90;10;373;12;23;40;23;10
24;99003;10;2006;94935;53;47;84;16;85;15;1063;11;35;31;11;47
25;99003;10;2007;100030;53;47;83;17;85;15;1096;11;39;32;11;46
26;99003;10;2008;98700;53;47;83;17;84;16;1078;11;39;33;11;47
27;99003;11;2006;27370;48;52;90;10;73;27;253;9;77;23;2;71
28;99003;11;2007;28905;48;52;90;10;72;28;276;10;84;23;2;72
29;99003;11;2008;28955;48;52;89;11;72;28;273;9;86;23;2;72
30;99003;12;2006;14365;76;24;73;27;85;15;311;22;31;39;19;24
31;99003;12;2007;15510;75;25;71;29;84;16;356;23;33;40;19;26
32;99003;12;2008;15195;76;24;71;29;83;17;318;21;33;41;19;24
33;99003;13;2006;71080;59;41;75;25;86;14;295;4;18;58;50;14
34;99003;13;2007;73885;60;40;74;26;85;15;318;4;19;60;49;13
35;99003;13;2008;78370;61;39;74;26;85;15;258;3;21;59;47;15
36;99003;14;2006;97505;59;41;84;16;71;29;1317;14;87;40;21;36
37;99003;14;2007;109115;60;40;83;17;69;31;1380;13;88;42;22;34
38;99003;14;2008;113595;59;41;82;18;69;31;1374;12;90;43;22;35
39;99003;15;2006;63255;34;66;72;28;85;15;2347;37;24;37;17;27
40;99003;15;2007;66335;33;67;71;29;85;15;2445;37;25;38;16;29
41;99003;15;2008;67435;33;67;70;30;85;15;2496;37;26;40;17;28
42;99003;20030;2006;313195;56;44;77;23;83;17;812;3;43;40;20;45
43;99003;20030;2007;320805;57;43;77;23;81;19;821;3;48;40;20;45
44;99003;20030;2008;345245;57;43;77;23;81;19;875;3;46;42;19;45
45;99003;10200;2006;63765;56;44;82;18;85;15;493;8;47;33;12;41
46;99003;10200;2007;75875;55;45;81;19;83;17;544;7;50;34;12;42
47;99003;10200;2008;65630;55;45;81;19;83;17;524;8;49;35;12;41
48;99003;10280;2006;35120;61;39;81;19;84;16;569;16;44;34;14;34
49;99003;10280;2007;40255;61;39;81;19;83;17;610;15;47;35;14;34
50;99003;10280;2008;36850;60;40;80;20;83;17;613;17;49;36;14;34
51;99003;10340;2006;20790;63;37;81;19;83;17;750;36;42;36;16;31
52;99003;10340;2007;23380;62;38;80;20;82;18;806;34;45;37;16;30
53;99003;10340;2008;21235;62;38;79;21;81;19;787;37;48;38;16;31
54;99003;10400;2006;6055;61;39;78;22;81;19;503;83;43;37;18;27
55;99003;10400;2007;6830;60;40;77;23;81;19;546;80;46;38;18;29
56;99003;10400;2008;6250;60;40;77;23;80;20;544;87;45;40;18;27
57;99003;16;2006;3535;56;44;75;25;82;18;647;183;38;38;19;25
58;99003;16;2007;4440;56;44;75;25;81;19;722;163;41;39;19;25
59;99003;16;2008;3420;56;44;75;25;80;20;653;191;44;40;19;26
60;99003;17;2006;2500;47;53;76;24;81;19;2966;1185;38;39;20;28
61;99003;17;2007;2865;46;54;74;26;81;19;3023;1055;37;40;21;27
62;99003;17;2008;2575;45;55;73;27;81;19;2964;1151;39;41;20;27
63;99002;1;2006;60;81;19;75;25;79;21;4;75;19;60;50;6
