ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;MoederNietWesters_10;MoederWesters_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2002;2964949;1547079;1417870;1558362;971706;586656;1406587;575373;831214;27727.0;7916.0;57701.0;41168.0;22505.0;27357.0;35196.0;13811.0
1;2003;3041419;1587023;1454396;1622716;1004163;618553;1418694;582858;835836;28037.0;8072.0;49992.0;37186.0;22622.0;27327.0;27370.0;9859.0
2;2004;3106124;1615002;1491128;1679295;1028623;650672;1426836;586378;840458;28090.0;8132.0;46732.0;35870.0;22539.0;27048.0;24193.0;8822.0
3;2005;3166187;1638540;1527658;1732428;1049712;682716;1433754;588822;844932;28006.0;8188.0;44268.0;36667.0;22337.0;26775.0;21931.0;9892.0
4;2006;3224461;1660642;1563814;1782916;1068340;714576;1441547;592305;849242;27815.0;8275.0;42718.0;39050.0;22067.0;26656.0;20651.0;12394.0
5;2007;3283275;1683730;1599556;1831598;1085480;746118;1451686;598246;853440;27560.0;8426.0;42219.0;42484.0;21775.0;26801.0;20444.0;15683.0
6;2008;3344492;1709621;1634877;1879466;1102184;777282;1465029;607433;857596;27267.0;8656.0;42286.0;46410.0;21497.0;27243.0;20789.0;19167.0
7;2009;3408913;1739044;1669867;1927033;1119007;808026;1481880;620042;861838;26961.0;8958.0;42367.0;50297.0;21242.0;27963.0;21125.0;22335.0
8;2010;3476292;1771662;1704632;1974268;1135910;838358;1502021;635746;866275;26653.0;9328.0;42437.0;53592.0;21008.0;28896.0;21429.0;24696.0
9;2011;3545854;1806615;1739237;2021127;1152871;868256;1524713;653741;870972;26363.0;9737.0;42518.0;55765.0;20793.0;29938.0;21725.0;25827.0
10;2012;3616415;1842642;1773776;2067634;1169852;897782;1548789;672793;875996;26093.0;10155.0;42591.0;56719.0;20594.0;30985.0;21997.0;25734.0
11;2013;3686796;1878487;1808305;2113761;1186817;926944;1573031;691669;881362;25826.0;10556.0;42677.0;56941.0;20409.0;31961.0;22268.0;24981.0
12;2014;3756270;1913471;1842802;2159509;1203759;955750;1596754;709706;887048;25569.0;10933.0;42747.0;56951.0;20235.0;32821.0;22512.0;24130.0
13;2015;3824660;1947450;1877209;2204832;1220627;984205;1619827;726818;893009;25327.0;11277.0;42826.0;56960.0;20071.0;33573.0;22755.0;23387.0
14;2016;3892054;1980531;1911538;2249749;1237424;1012325;1642304;743097;899207;25099.0;11596.0;42876.0;56968.0;19916.0;34234.0;22960.0;22734.0
15;2017;3958506;2012732;1945770;2294238;1254086;1040152;1664266;758641;905625;24879.0;11892.0;42931.0;56977.0;19769.0;34814.0;23162.0;22163.0
16;2018;4024042;2044143;1979907;2338281;1270608;1067673;1685757;773527;912230;24669.0;12158.0;42966.0;56983.0;19630.0;35328.0;23337.0;21655.0
17;2019;4088672;2074758;2013910;2381873;1286944;1094929;1706797;787813;918984;24472.0;12400.0;42994.0;56988.0;19496.0;35783.0;23499.0;21205.0
18;2020;4152403;2104622;2047784;2425016;1303071;1121945;1727399;801557;925842;24287.0;12620.0;42998.0;56988.0;19367.0;36188.0;23631.0;20800.0
19;2021;4215255;2133736;2081522;2467646;1318936;1148710;1747598;814785;932813;24112.0;12815.0;42995.0;56988.0;19245.0;36550.0;23750.0;20438.0
20;2022;4277200;2162095;2115115;2509799;1334544;1175255;1767415;827549;939866;23945.0;12991.0;42995.0;56988.0;19128.0;36878.0;23867.0;20110.0
21;2023;4338276;2189716;2148571;2551429;1349851;1201578;1786840;839860;946980;23792.0;13149.0;43002.0;56988.0;19016.0;37174.0;23986.0;19815.0
22;2024;4398510;2216616;2181891;2592582;1364866;1227716;1805924;851761;954163;23649.0;13291.0;42996.0;56988.0;18911.0;37444.0;24085.0;19544.0
23;2025;4457877;2242794;2215076;2633217;1379544;1253673;1824650;863249;961401;23520.0;13420.0;42996.0;56988.0;18812.0;37690.0;24184.0;19299.0
24;2026;4516395;2268259;2248137;2673355;1393897;1279458;1843044;874360;968684;23398.0;13533.0;43000.0;56988.0;18719.0;37913.0;24281.0;19075.0
25;2027;4574093;2293009;2281085;2712970;1407906;1305064;1861122;885110;976012;23287.0;13636.0;42998.0;56988.0;18632.0;38115.0;24366.0;18873.0
26;2028;4630991;2317062;2313933;2752079;1421541;1330538;1878921;895523;983398;23183.0;13733.0;43000.0;56988.0;18551.0;38305.0;24449.0;18683.0
27;2029;4687089;2340421;2346678;2790674;1434809;1355865;1896425;905613;990812;23089.0;13821.0;43003.0;56988.0;18476.0;38480.0;24527.0;18508.0
28;2030;4742429;2363082;2379343;2828762;1447692;1381070;1913670;915389;998281;22999.0;13902.0;43001.0;56988.0;18407.0;38641.0;24594.0;18347.0
29;2031;4796976;2385048;2411933;2866341;1460177;1406164;1930637;924866;1005771;22913.0;13979.0;43002.0;56988.0;18344.0;38788.0;24658.0;18200.0
30;2032;4850768;2406322;2444451;2903387;1472251;1431136;1947391;934070;1013321;22830.0;14048.0;43001.0;56988.0;18285.0;38923.0;24716.0;18065.0
31;2033;4903765;2426889;2476873;2939881;1483908;1455973;1963907;943000;1020907;22751.0;14114.0;42996.0;56988.0;18232.0;39049.0;24764.0;17939.0
32;2034;4955976;2446765;2509214;2975799;1495113;1480686;1980193;951661;1028532;22675.0;14178.0;42992.0;56988.0;18182.0;39165.0;24810.0;17823.0
33;2035;5007417;2465927;2541487;3011148;1505861;1505287;1996283;960074;1036209;22604.0;14239.0;43000.0;56988.0;18138.0;39274.0;24862.0;17714.0
34;2036;5058077;2484397;2573677;3045887;1516143;1529744;2012183;968251;1043932;22533.0;14294.0;42999.0;56988.0;18099.0;39377.0;24900.0;17611.0
35;2037;5107926;2502164;2605763;3080030;1525956;1554074;2027897;976208;1051689;22468.0;14345.0;42997.0;56988.0;18064.0;39475.0;24933.0;17513.0
36;2038;5156962;2519223;2637738;3113501;1535260;1578241;2043446;983954;1059492;22409.0;14394.0;42990.0;56988.0;18035.0;39568.0;24955.0;17420.0
37;2039;5205194;2535571;2669624;3146325;1544061;1602264;2058861;991507;1067354;22356.0;14435.0;42999.0;56988.0;18009.0;39657.0;24990.0;17331.0
38;2040;5252607;2551234;2701365;3178474;1552348;1626126;2074128;998888;1075240;22307.0;14473.0;42996.0;56988.0;17988.0;39743.0;25008.0;17246.0
39;2041;5299172;2566222;2732952;3209895;1560108;1649787;2089269;1006107;1083162;22263.0;14509.0;42998.0;56988.0;17971.0;39825.0;25027.0;17163.0
40;2042;5344899;2580535;2764364;3240611;1567354;1673257;2104297;1013183;1091114;22223.0;14538.0;42996.0;56988.0;17958.0;39904.0;25038.0;17084.0
41;2043;5389748;2594170;2795576;3270541;1574052;1696489;2119204;1020121;1099083;22188.0;14567.0;42993.0;56988.0;17948.0;39983.0;25045.0;17005.0
42;2044;5433703;2607133;2826576;3299707;1580217;1719490;2133995;1026919;1107076;22161.0;14589.0;42990.0;56988.0;17943.0;40059.0;25047.0;16929.0
43;2045;5476774;2619420;2857349;3328116;1585848;1742268;2148664;1033577;1115087;22138.0;14609.0;42991.0;56988.0;17940.0;40134.0;25051.0;16854.0
44;2046;5518929;2631051;2887882;3355734;1590947;1764787;2163209;1040104;1123105;22123.0;14626.0;42995.0;56988.0;17940.0;40206.0;25055.0;16782.0
45;2047;5560203;2642025;2918179;3382572;1595541;1787031;2177622;1046477;1131145;22110.0;14640.0;42994.0;56988.0;17943.0;40279.0;25051.0;16709.0
46;2048;5600524;2652362;2948163;3408606;1599636;1808970;2191923;1052728;1139195;22106.0;14651.0;42989.0;56988.0;17949.0;40352.0;25040.0;16636.0
47;2049;5639927;2662055;2977865;3433850;1603236;1830614;2206081;1058819;1147262;22110.0;14659.0;42996.0;56988.0;17956.0;40423.0;25040.0;16565.0
48;2050;5678440;2671143;3007299;3458362;1606401;1851961;2220088;1064749;1155339;;;;;;;;
