ID;Perioden;Grondwater_1;Oppervlaktewater_2;Totaal_3;VoorInfiltratieGebruiktOppervlWater_4;Duinwater_5
0;1920;38;36;35;;35
1;1930;73;46;42;;42
2;1940;97;59;58;0.0;58
3;1950;169;73;74;2.0;72
4;1951;178;78;77;1.0;76
5;1952;176;81;82;3.0;79
6;1953;188;84;85;2.0;83
7;1954;199;87;89;5.0;84
8;1955;213;89;91;4.0;87
9;1956;224;93;92;25.0;67
10;1957;238;97;98;46.0;52
11;1958;247;95;103;65.0;38
12;1959;283;100;112;66.0;46
13;1960;286;103;116;75.0;41
14;1961;299;101;123;79.0;44
15;1962;315;108;128;84.0;44
16;1963;346;114;141;89.0;52
17;1964;376;119;144;98.0;46
18;1965;386;124;145;100.0;45
19;1966;412;130;152;93.0;59
20;1967;442;138;162;105.0;57
21;1968;462;153;161;114.0;47
22;1969;497;168;166;114.0;52
23;1970;528;175;166;130.0;36
24;1971;554;180;170;129.0;41
25;1972;559;177;173;148.0;25
26;1973;593;180;176;143.0;33
27;1974;597;176;174;137.0;37
28;1975;615;169;180;146.0;34
29;1976;669;172;193;156.0;37
30;1977;631;172;181;154.0;27
31;1978;642;166;181;156.0;25
32;1979;648;166;185;144.0;41
33;1980;668;162;181;148.0;33
34;1981;665;157;183;144.0;39
35;1982;684;155;190;158.0;32
36;1983;700;151;194;151.0;43
37;1984;693;158;194;161.0;33
38;1985;705;161;198;161.0;37
39;1986;748;170;201;164.0;37
40;1987;747;184;201;163.0;38
41;1988;763;187;202;164.0;38
42;1989;793;206;218;180.0;38
43;1990;810;211;212;175.0;37
44;1991;812;206;209;178.0;31
45;1992;803;216;204;173.0;31
46;1993;782;207;201;172.0;29
47;1994;798;210;206;175.0;31
48;1995;810;212;207;179.0;28
49;1996;790;212;212;188.0;24
50;1997;789;219;216;193.0;23
51;1998;749;213;215;190.0;25
52;1999;758;219;218;194.0;24
53;2000;745;220;222;204.0;18
54;2001;741;221;223;202.0;21
55;2002;724;242;206;189.0;17
56;2003;741;241;214;199.0;16
