ID;VoertuigEnBestemming;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingscoefficienten_4
0;Totaal voertuigtypen;1994 1e kwartaal;100.0;;;10000
1;Totaal voertuigtypen;1994 2e kwartaal;100.0;0.0;;10000
2;Totaal voertuigtypen;1994 3e kwartaal;100.0;0.0;;10000
3;Totaal voertuigtypen;1994 4e kwartaal;100.0;0.0;;10000
4;Totaal voertuigtypen;1994;100.0;;;10000
5;Totaal voertuigtypen;1995 1e kwartaal;100.3;0.3;0.3;10000
6;Totaal voertuigtypen;1995 2e kwartaal;100.3;0.0;0.3;10000
7;Totaal voertuigtypen;1995 3e kwartaal;100.4;0.1;0.4;10000
8;Totaal voertuigtypen;1995 4e kwartaal;100.4;0.0;0.4;10000
9;Totaal voertuigtypen;1995;100.3;;0.3;10000
10;Totaal voertuigtypen;1996 1e kwartaal;101.5;1.1;1.2;10000
11;Totaal voertuigtypen;1996 2e kwartaal;101.8;0.3;1.5;10000
12;Totaal voertuigtypen;1996 3e kwartaal;101.6;-0.2;1.2;10000
13;Totaal voertuigtypen;1996 4e kwartaal;101.6;0.0;1.2;10000
14;Totaal voertuigtypen;1996;101.6;;1.3;10000
15;Totaal voertuigtypen;1997 1e kwartaal;102.8;1.2;1.3;10000
16;Totaal voertuigtypen;1997 2e kwartaal;103.0;0.2;1.2;10000
17;Totaal voertuigtypen;1997 3e kwartaal;103.1;0.1;1.5;10000
18;Totaal voertuigtypen;1997 4e kwartaal;103.3;0.2;1.7;10000
19;Totaal voertuigtypen;1997;103.0;;1.4;10000
20;Totaal voertuigtypen;1998 1e kwartaal;104.5;1.2;1.7;10000
21;Totaal voertuigtypen;1998 2e kwartaal;104.8;0.3;1.7;10000
22;Totaal voertuigtypen;1998 3e kwartaal;104.9;0.1;1.7;10000
23;Totaal voertuigtypen;1998 4e kwartaal;104.9;0.0;1.5;10000
24;Totaal voertuigtypen;1998;104.8;;1.7;10000
25;Totaal voertuigtypen;1999 1e kwartaal;105.8;0.9;1.2;10000
26;Totaal voertuigtypen;1999 2e kwartaal;105.8;0.0;1.0;10000
27;Totaal voertuigtypen;1999 3e kwartaal;105.9;0.1;1.0;10000
28;Totaal voertuigtypen;1999 4e kwartaal;106.3;0.4;1.3;10000
29;Totaal voertuigtypen;1999;105.9;;1.0;10000
30;Totaal voertuigtypen;2000 1e kwartaal;108.6;2.2;2.6;10000
31;Totaal voertuigtypen;2000 2e kwartaal;109.0;0.4;3.0;10000
32;Totaal voertuigtypen;2000 3e kwartaal;109.8;0.7;3.7;10000
33;Totaal voertuigtypen;2000 4e kwartaal;111.1;1.2;4.5;10000
34;Totaal voertuigtypen;2000;109.6;;3.5;10000
35;Totaal voertuigtypen;2001 1e kwartaal;113.7;2.3;4.7;10000
36;Totaal voertuigtypen;2001 2e kwartaal;114.1;0.4;4.7;10000
37;Totaal voertuigtypen;2001 3e kwartaal;114.0;-0.1;3.8;10000
38;Totaal voertuigtypen;2001 4e kwartaal;114.3;0.3;2.9;10000
39;Totaal voertuigtypen;2001;114.0;;4.0;10000
40;Totaal voertuigtypen;2002 1e kwartaal;116.2;1.7;2.2;10000
41;Totaal voertuigtypen;2002 2e kwartaal;116.7;0.4;2.3;10000
42;Totaal voertuigtypen;2002 3e kwartaal;117.0;0.3;2.6;10000
43;Totaal voertuigtypen;2002 4e kwartaal;117.3;0.3;2.6;10000
44;Totaal voertuigtypen;2002;116.8;;2.5;10000
45;Totaal voertuigtypen;2003 1e kwartaal;119.0;1.4;2.4;10000
46;Totaal, containervervoer;1994 1e kwartaal;100.0;;;838
47;Totaal, containervervoer;1994 2e kwartaal;100.4;0.4;;838
48;Totaal, containervervoer;1994 3e kwartaal;99.6;-0.8;;838
49;Totaal, containervervoer;1994 4e kwartaal;99.7;0.1;;838
50;Totaal, containervervoer;1994;99.9;;;838
51;Totaal, containervervoer;1995 1e kwartaal;99.9;0.2;-0.1;838
52;Totaal, containervervoer;1995 2e kwartaal;100.0;0.1;-0.4;838
53;Totaal, containervervoer;1995 3e kwartaal;100.1;0.1;0.5;838
54;Totaal, containervervoer;1995 4e kwartaal;100.2;0.1;0.5;838
55;Totaal, containervervoer;1995;100.0;;0.1;838
56;Totaal, containervervoer;1996 1e kwartaal;101.6;1.4;1.7;838
57;Totaal, containervervoer;1996 2e kwartaal;102.0;0.4;2.0;838
58;Totaal, containervervoer;1996 3e kwartaal;102.0;0.0;1.9;838
59;Totaal, containervervoer;1996 4e kwartaal;100.8;-1.2;0.6;838
60;Totaal, containervervoer;1996;101.6;;1.6;838
61;Totaal, containervervoer;1997 1e kwartaal;101.4;0.6;-0.2;838
62;Totaal, containervervoer;1997 2e kwartaal;100.8;-0.6;-1.2;838
63;Totaal, containervervoer;1997 3e kwartaal;100.2;-0.6;-1.8;838
64;Totaal, containervervoer;1997 4e kwartaal;100.2;0.0;-0.6;838
65;Totaal, containervervoer;1997;100.7;;-0.9;838
66;Totaal, containervervoer;1998 1e kwartaal;101.1;0.9;-0.3;838
67;Totaal, containervervoer;1998 2e kwartaal;100.9;-0.2;0.1;838
68;Totaal, containervervoer;1998 3e kwartaal;101.8;0.9;1.6;838
69;Totaal, containervervoer;1998 4e kwartaal;101.8;0.0;1.6;838
70;Totaal, containervervoer;1998;101.4;;0.7;838
71;Totaal, containervervoer;1999 1e kwartaal;102.9;1.1;1.8;838
72;Totaal, containervervoer;1999 2e kwartaal;103.3;0.4;2.4;838
73;Totaal, containervervoer;1999 3e kwartaal;103.3;0.0;1.5;838
74;Totaal, containervervoer;1999 4e kwartaal;103.2;-0.1;1.4;838
75;Totaal, containervervoer;1999;103.2;;1.8;838
76;Totaal, containervervoer;2000 1e kwartaal;108.0;4.7;5.0;838
77;Totaal, containervervoer;2000 2e kwartaal;108.6;0.6;5.1;838
78;Totaal, containervervoer;2000 3e kwartaal;108.7;0.1;5.2;838
79;Totaal, containervervoer;2000 4e kwartaal;109.4;0.6;6.0;838
80;Totaal, containervervoer;2000;108.7;;5.3;838
81;Totaal, containervervoer;2001 1e kwartaal;111.7;2.1;3.4;838
82;Totaal, containervervoer;2001 2e kwartaal;111.6;-0.1;2.8;838
83;Totaal, containervervoer;2001 3e kwartaal;111.5;-0.1;2.6;838
84;Totaal, containervervoer;2001 4e kwartaal;111.6;0.1;2.0;838
85;Totaal, containervervoer;2001;111.6;;2.7;838
86;Totaal, containervervoer;2002 1e kwartaal;112.3;0.6;0.5;838
87;Totaal, containervervoer;2002 2e kwartaal;112.2;-0.1;0.5;838
88;Totaal, containervervoer;2002 3e kwartaal;112.3;0.1;0.7;838
89;Totaal, containervervoer;2002 4e kwartaal;112.3;0.0;0.6;838
90;Totaal, containervervoer;2002;112.3;;0.6;838
91;Totaal, containervervoer;2003 1e kwartaal;112.7;0.4;0.4;838
92;Totaal, verhuisvervoer;1994 1e kwartaal;100.0;;;218
93;Totaal, verhuisvervoer;1994 2e kwartaal;101.5;1.5;;218
94;Totaal, verhuisvervoer;1994 3e kwartaal;103.1;1.6;;218
95;Totaal, verhuisvervoer;1994 4e kwartaal;100.3;-2.7;;218
96;Totaal, verhuisvervoer;1994;101.2;;;218
97;Totaal, verhuisvervoer;1995 1e kwartaal;100.2;-0.1;0.2;218
98;Totaal, verhuisvervoer;1995 2e kwartaal;100.8;0.6;-0.7;218
99;Totaal, verhuisvervoer;1995 3e kwartaal;102.9;2.1;-0.2;218
100;Totaal, verhuisvervoer;1995 4e kwartaal;101.9;-1.0;1.6;218
101;Totaal, verhuisvervoer;1995;101.4;;0.2;218
102;Totaal, verhuisvervoer;1996 1e kwartaal;98.7;-3.1;-1.5;218
103;Totaal, verhuisvervoer;1996 2e kwartaal;102.6;4.0;1.8;218
104;Totaal, verhuisvervoer;1996 3e kwartaal;104.0;1.4;1.1;218
105;Totaal, verhuisvervoer;1996 4e kwartaal;100.7;-3.2;-1.2;218
106;Totaal, verhuisvervoer;1996;101.5;;0.1;218
107;Totaal, verhuisvervoer;1997 1e kwartaal;102.7;2.0;4.1;218
108;Totaal, verhuisvervoer;1997 2e kwartaal;107.6;4.8;4.9;218
109;Totaal, verhuisvervoer;1997 3e kwartaal;108.4;0.7;4.2;218
110;Totaal, verhuisvervoer;1997 4e kwartaal;104.6;-3.5;3.9;218
111;Totaal, verhuisvervoer;1997;105.9;;4.3;218
