ID;AantalVoorzieningen;RegioS;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzeWijken_4;ClientenMetVoorzieningen_5;HuishoudensMetVoorzieningen_6;ClientenMetVoorzieningen_7;HuishoudensMetVoorzieningen_8
0;Totaal;Appingedam;1e halfjaar 2015;                                        ;         ;        ;;;;;
1;Totaal;Appingedam;2e halfjaar 2015;                                        ;         ;        ;;;;;
2;Totaal;Appingedam;2015;                                        ;         ;        ;;;;;
3;Totaal;Wijk 00;1e halfjaar 2015;                                        ;         ;        ;;;;;
4;Totaal;Wijk 00;2e halfjaar 2015;                                        ;         ;        ;;;;;
5;Totaal;Wijk 00;2015;                                        ;         ;        ;;;;;
6;Totaal;Bedum;1e halfjaar 2015;                                        ;         ;        ;;;;;
7;Totaal;Bedum;2e halfjaar 2015;                                        ;         ;        ;;;;;
8;Totaal;Bedum;2015;                                        ;         ;        ;;;;;
9;Totaal;Wijk 00;1e halfjaar 2015;                                        ;         ;        ;;;;;
10;Totaal;Wijk 00;2e halfjaar 2015;                                        ;         ;        ;;;;;
11;Totaal;Wijk 00;2015;                                        ;         ;        ;;;;;
12;Totaal;Bellingwedde;1e halfjaar 2015;                                        ;         ;        ;;;;;
13;Totaal;Bellingwedde;2e halfjaar 2015;                                        ;         ;        ;;;;;
14;Totaal;Bellingwedde;2015;                                        ;         ;        ;;;;;
15;Totaal;Wijk 00 Bellingwolde;1e halfjaar 2015;                                        ;         ;        ;;;;;
16;Totaal;Wijk 00 Bellingwolde;2e halfjaar 2015;                                        ;         ;        ;;;;;
17;Totaal;Wijk 00 Bellingwolde;2015;                                        ;         ;        ;;;;;
18;Totaal;Wijk 01 Oost;1e halfjaar 2015;                                        ;         ;        ;;;;;
19;Totaal;Wijk 01 Oost;2e halfjaar 2015;                                        ;         ;        ;;;;;
20;Totaal;Wijk 01 Oost;2015;                                        ;         ;        ;;;;;
21;Totaal;Wijk 02 Blijham;1e halfjaar 2015;                                        ;         ;        ;;;;;
22;Totaal;Wijk 02 Blijham;2e halfjaar 2015;                                        ;         ;        ;;;;;
23;Totaal;Wijk 02 Blijham;2015;                                        ;         ;        ;;;;;
24;Totaal;Ten Boer;1e halfjaar 2015;                                        ;         ;        ;;;;;
25;Totaal;Ten Boer;2e halfjaar 2015;                                        ;         ;        ;;;;;
26;Totaal;Ten Boer;2015;                                        ;         ;        ;;;;;
27;Totaal;Wijk 00 West;1e halfjaar 2015;                                        ;         ;        ;;;;;
28;Totaal;Wijk 00 West;2e halfjaar 2015;                                        ;         ;        ;;;;;
29;Totaal;Wijk 00 West;2015;                                        ;         ;        ;;;;;
30;Totaal;Wijk 01 Oost;1e halfjaar 2015;                                        ;         ;        ;;;;;
31;Totaal;Wijk 01 Oost;2e halfjaar 2015;                                        ;         ;        ;;;;;
32;Totaal;Wijk 01 Oost;2015;                                        ;         ;        ;;;;;
33;Totaal;Delfzijl;1e halfjaar 2015;                                        ;         ;        ;;;;;
34;Totaal;Delfzijl;2e halfjaar 2015;                                        ;         ;        ;;;;;
35;Totaal;Delfzijl;2015;                                        ;         ;        ;;;;;
36;Totaal;Wijk 00 Stad;1e halfjaar 2015;                                        ;         ;        ;;;;;
37;Totaal;Wijk 00 Stad;2e halfjaar 2015;                                        ;         ;        ;;;;;
