ID;Regions;Periods;TotalFixedCapitalFormationGross_1;AgricultureForestryAndFishing_2;MiningAndQuarrying_3;ManufacturingIndustry_4;ElectricityGasAndWaterSupply_5;Construction_6;TradeHotelsAndRestaurantsAndRepair_7;TransportStorageAndCommunication_8;FinancialIntermediation_9;PublicAdministration_10;WelfareAndOtherServices_11;DwellingStock_12;IndustrialBuildings_13;CivilEngineering_14;Transport_15;MachineryAndEquipment_16;OtherFixedCapitalFormation_17;CultivatedAssets_18;TransferCostsOfGround_19
0;The Netherlands;1995;63144.88;2439.52;1202.06;7622.15;2379.17;944.32;4417.55;6415.54;25450.72;7698.38;4575.47;16943.7;10152.42;7131.61;7431.56;11827.33;8400.83;414.3;843.12
1;The Netherlands;1996;68030.28;2483.54;1165.31;7992.88;3329.84;1301.44;4957.55;6195.01;27693.75;8670.83;4240.12;18268.74;10101.15;7725.15;7541.37;13274.43;9744.02;395.24;980.17
2;The Netherlands;1997;73372.63;2733.57;2223.07;9224.44;2031.12;1386.75;5132.71;7001.37;30764.48;8242.01;4633.1;19801.61;10541.77;7498.26;7540.92;14967.94;11572.3;446.07;1003.76
3;The Netherlands;1998;78273.46;2789.84;1551.93;9312.48;2003.89;1483.41;6009.41;8304.18;33643.27;8930.39;4244.66;20791.3;11655.8;7927.99;8597.77;14408.43;13503.59;336.25;1052.32
4;The Netherlands;1999;86361.0;3457.0;1123.0;9056.0;1914.0;1951.0;7019.0;11003.0;36673.0;9650.0;4515.0;22719.0;13074.0;8744.0;9516.0;15813.0;14893.0;462.0;1140.0
5;The Netherlands;2000;91353.24;3432.0;1047.32;9106.0;1652.0;1625.0;7064.0;11763.0;40001.0;10865.91;4797.01;24061.0;14977.02;10126.0;10146.18;14838.14;15547.9;388.0;1269.0
6;The Netherlands;2001;95708.0;3472.0;1444.0;8414.0;1437.0;1810.0;6798.0;11942.0;43152.0;12103.0;5136.0;26206.0;15860.0;11063.0;9913.0;14805.0;16247.0;326.0;1288.0
7;Extraterritorial region;1995;491.9;0.0;464.22;0.0;0.0;0.0;0.0;0.0;0.0;27.68;0.0;0.0;0.0;120.25;4.08;130.23;236.87;0.0;0.0
8;Extraterritorial region;1996;566.77;0.0;539.54;0.0;0.0;0.0;0.0;0.0;0.0;27.23;0.0;0.0;0.0;132.96;3.18;61.71;368.92;0.0;0.0
9;Extraterritorial region;1997;860.82;0.0;831.33;0.0;0.0;0.0;0.0;0.0;0.0;29.04;0.0;0.0;7.26;238.23;3.18;217.81;394.34;0.0;0.0
10;Extraterritorial region;1998;1015.9;0.0;985.04;0.0;0.0;0.0;0.0;0.0;0.0;30.86;0.0;0.0;3.63;268.23;2.93;336.95;404.15;0.0;0.0
11;Extraterritorial region;1999;563.04;0.0;527.8;0.0;0.0;0.0;0.0;0.0;0.0;35.24;0.0;0.0;0.0;102.81;3.0;166.67;290.55;0.0;0.0
12;Extraterritorial region;2000;866.01;0.0;827.0;0.0;0.0;0.0;0.0;0.0;0.0;39.01;0.0;0.0;0.0;389.0;3.38;204.79;268.84;0.0;0.0
13;Extraterritorial region;2001;1293.24;0.0;1253.0;0.0;0.0;0.0;0.0;0.0;0.0;40.24;0.0;0.0;0.0;438.0;4.26;470.93;365.09;0.0;0.0
14;North Netherlands;1995;6189.56;340.79;478.74;636.2;224.62;83.5;314.02;456.05;2407.76;753.73;494.62;1894.53;1013.29;837.22;514.59;1150.79;640.74;55.81;82.59
15;North Netherlands;1996;7529.58;313.56;363.93;702.0;1293.73;110.27;342.6;574.94;2645.99;817.26;364.84;2073.32;937.06;825.43;643.91;2152.28;762.35;40.39;94.84
16;North Netherlands;1997;7427.93;327.63;1044.6;749.19;149.29;118.89;368.47;568.13;2855.19;773.7;473.29;2160.45;936.6;719.7;606.25;1903.15;949.76;54.91;97.56
17;North Netherlands;1998;7061.65;334.54;347.67;777.47;131.84;124.25;424.35;724.91;2935.3;833.11;428.22;2192.51;941.77;785.41;684.04;1316.82;1040.94;38.4;61.77
18;North Netherlands;1999;7950.11;413.3;359.67;819.14;313.16;160.01;480.51;987.26;3036.52;922.55;457.99;2291.54;1072.67;1160.27;554.67;1620.03;1124.06;54.83;72.03
