ID;LandbouwgoederenEnDiensten;Perioden;OutputTegenAfProducentwaarde_1;OutputBasisprijzen_2;OutputTegenAfProducentwaarde_3;OutputBasisprijzen_4;OutputTegenAfProducentwaarde_5;OutputBasisprijzen_6;OutputTegenAfProducentwaarde_7;OutputBasisprijzen_8
0;Totaal bedrijfstak landbouw;1995;18569.0;18891.0;22199.0;21855.0;;;83.6;86.4
1;Totaal bedrijfstak landbouw;1996;18881.0;19172.0;22096.0;21727.0;-0.5;-0.6;85.4;88.2
2;Totaal bedrijfstak landbouw;1997;20116.0;20323.0;23079.0;22622.0;4.4;4.1;87.2;89.8
3;Totaal bedrijfstak landbouw;1998;19225.0;19416.0;22611.0;22182.0;-2.0;-1.9;85.0;87.5
4;Totaal bedrijfstak landbouw;1999;18896.0;19096.0;23542.0;23111.0;4.1;4.2;80.3;82.6
5;Totaal bedrijfstak landbouw;2000;20002.0;20198.0;23812.0;23403.0;1.1;1.3;84.0;86.3
6;Totaal bedrijfstak landbouw;2001;20684.0;20968.0;23050.0;22714.0;-3.2;-2.9;89.7;92.3
7;Totaal bedrijfstak landbouw;2002;20418.0;20781.0;23150.0;22838.0;0.4;0.5;88.2;91.0
8;Totaal bedrijfstak landbouw;2003;20444.0;20800.0;23130.0;22840.0;-0.1;0.0;88.4;91.1
9;Totaal bedrijfstak landbouw;2004;20360.0;20701.0;24103.0;23828.0;4.2;4.3;84.5;86.9
10;Totaal bedrijfstak landbouw;2005;20730.0;21174.0;24041.0;23802.0;-0.3;-0.1;86.2;89.0
11;Totaal bedrijfstak landbouw;2006;22403.0;22948.0;24217.0;24005.0;0.7;0.9;92.5;95.6
12;Totaal bedrijfstak landbouw;2007;23937.0;24066.0;24862.0;24665.0;2.7;2.8;96.3;97.6
13;Totaal bedrijfstak landbouw;2008;24749.0;24881.0;25640.0;25487.0;3.1;3.3;96.5;97.6
14;Totaal bedrijfstak landbouw;2009;23127.0;23264.0;26065.0;25945.0;1.7;1.8;88.7;89.7
15;Totaal bedrijfstak landbouw;2010;25377.0;25475.0;26333.0;26258.0;1.0;1.2;96.4;97.0
16;Totaal bedrijfstak landbouw;2011;25983.0;26021.0;26249.0;26201.0;-0.3;-0.2;99.0;99.3
17;Totaal bedrijfstak landbouw;2012;26932.0;26976.0;26151.0;26124.0;-0.4;-0.3;103.0;103.3
18;Totaal bedrijfstak landbouw;2013;28358.0;28408.0;26442.0;26441.0;1.1;1.2;107.2;107.4
19;Totaal bedrijfstak landbouw;2014;27351.0;27266.0;26803.0;26707.0;1.4;1.0;102.0;102.1
20;Totaal bedrijfstak landbouw;2015;27032.0;26933.0;27032.0;26933.0;0.9;0.8;100.0;100.0
21;Totaal bedrijfstak landbouw;2016;27181.0;27246.0;27396.0;27431.0;1.3;1.9;99.2;99.3
22;Totaal bedrijfstak landbouw;2017;28866.0;28937.0;27618.0;27652.0;0.8;0.8;104.5;104.6
