ID;GeboortePeriodeRespondent;TotaalRespondenten_1;TweeOudergezinRelatieOudersGoed_2;TweeOudergezinRelatieOudersRedelijk_3;TweeOudergezinRelatieOudersSlecht_4;EchtscheidingMeegemaakt_5
0;Totaal geboorte-periode (1945 tot 1980);7467;67;18;6;9
1;1945 tot 1950;1142;69;20;6;4
2;1950 tot 1955;1158;65;24;7;4
3;1955 tot 1960;1235;66;20;6;8
4;1960 tot 1965;1338;64;19;7;10
5;1965 tot 1970;1353;68;15;4;13
6;1970 tot 1980;1241;67;13;3;17
