ID;Geslacht;Niveau;Leerweg;Studierichting;Regio;Perioden;MboStudenten_1
50;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2015/'16;1360.0
51;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2016/'17;1190.0
52;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2017/'18;1640.0
53;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2018/'19;1670.0
54;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2019/'20;1740.0
55;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2020/'21;1900.0
56;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2021/'22;1770.0
57;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2022/'23;1900.0
58;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2023/'24;1890.0
59;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2024/'25;2040.0
60;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2015/'16;18990.0
61;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2016/'17;19400.0
62;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2017/'18;19420.0
63;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2018/'19;19790.0
64;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2019/'20;20020.0
65;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2020/'21;20120.0
66;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2021/'22;19810.0
67;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2022/'23;18820.0
68;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2023/'24;18130.0
69;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2024/'25;17490.0
70;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2015/'16;23710.0
71;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2016/'17;24430.0
72;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2017/'18;24630.0
73;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2018/'19;24990.0
