ID;Geslacht;Leeftijd;RegioIndeling2018;Perioden;TotaleBevolking_1
0;Totaal mannen en vrouwen;Totaal;Nederland;2020;17378.2
1;Totaal mannen en vrouwen;Totaal;Nederland;2021;17459.4
2;Totaal mannen en vrouwen;Totaal;Nederland;2022;17530.0
3;Totaal mannen en vrouwen;Totaal;Nederland;2023;17598.5
4;Totaal mannen en vrouwen;Totaal;Nederland;2024;17665.0
5;Totaal mannen en vrouwen;Totaal;Nederland;2025;17729.3
6;Totaal mannen en vrouwen;Totaal;Nederland;2026;17793.2
7;Totaal mannen en vrouwen;Totaal;Nederland;2027;17855.8
8;Totaal mannen en vrouwen;Totaal;Nederland;2028;17916.4
9;Totaal mannen en vrouwen;Totaal;Nederland;2029;17975.0
10;Totaal mannen en vrouwen;Totaal;Nederland;2030;18031.3
11;Totaal mannen en vrouwen;Totaal;Nederland;2031;18085.2
12;Totaal mannen en vrouwen;Totaal;Nederland;2032;18136.1
13;Totaal mannen en vrouwen;Totaal;Nederland;2033;18183.8
14;Totaal mannen en vrouwen;Totaal;Nederland;2034;18228.2
15;Totaal mannen en vrouwen;Totaal;Nederland;2035;18269.2
16;Totaal mannen en vrouwen;Totaal;Nederland;2036;18306.9
17;Totaal mannen en vrouwen;Totaal;Nederland;2037;18340.9
18;Totaal mannen en vrouwen;Totaal;Nederland;2038;18371.3
19;Totaal mannen en vrouwen;Totaal;Nederland;2039;18398.0
20;Totaal mannen en vrouwen;Totaal;Nederland;2040;18421.5
21;Totaal mannen en vrouwen;Totaal;Nederland;2041;18441.7
22;Totaal mannen en vrouwen;Totaal;Nederland;2042;18458.8
23;Totaal mannen en vrouwen;Totaal;Nederland;2043;18473.3
24;Totaal mannen en vrouwen;Totaal;Nederland;2044;18485.4
25;Totaal mannen en vrouwen;Totaal;Nederland;2045;18495.6
26;Totaal mannen en vrouwen;Totaal;Nederland;2046;18504.0
27;Totaal mannen en vrouwen;Totaal;Nederland;2047;18511.0
28;Totaal mannen en vrouwen;Totaal;Nederland;2048;18517.0
29;Totaal mannen en vrouwen;Totaal;Nederland;2049;18522.4
30;Totaal mannen en vrouwen;Totaal;Nederland;2050;18527.2
31;Totaal mannen en vrouwen;Totaal;Groningen (PV);2020;586.8
32;Totaal mannen en vrouwen;Totaal;Groningen (PV);2021;587.5
33;Totaal mannen en vrouwen;Totaal;Groningen (PV);2022;587.7
34;Totaal mannen en vrouwen;Totaal;Groningen (PV);2023;587.8
35;Totaal mannen en vrouwen;Totaal;Groningen (PV);2024;588.0
36;Totaal mannen en vrouwen;Totaal;Groningen (PV);2025;588.1
37;Totaal mannen en vrouwen;Totaal;Groningen (PV);2026;588.1
38;Totaal mannen en vrouwen;Totaal;Groningen (PV);2027;587.8
39;Totaal mannen en vrouwen;Totaal;Groningen (PV);2028;587.5
40;Totaal mannen en vrouwen;Totaal;Groningen (PV);2029;587.0
41;Totaal mannen en vrouwen;Totaal;Groningen (PV);2030;586.4
42;Totaal mannen en vrouwen;Totaal;Groningen (PV);2031;585.7
43;Totaal mannen en vrouwen;Totaal;Groningen (PV);2032;584.8
44;Totaal mannen en vrouwen;Totaal;Groningen (PV);2033;583.8
45;Totaal mannen en vrouwen;Totaal;Groningen (PV);2034;582.7
46;Totaal mannen en vrouwen;Totaal;Groningen (PV);2035;581.5
47;Totaal mannen en vrouwen;Totaal;Groningen (PV);2036;580.2
48;Totaal mannen en vrouwen;Totaal;Groningen (PV);2037;578.8
49;Totaal mannen en vrouwen;Totaal;Groningen (PV);2038;577.3
50;Totaal mannen en vrouwen;Totaal;Groningen (PV);2039;575.8
51;Totaal mannen en vrouwen;Totaal;Groningen (PV);2040;574.3
52;Totaal mannen en vrouwen;Totaal;Groningen (PV);2041;572.8
53;Totaal mannen en vrouwen;Totaal;Groningen (PV);2042;571.3
54;Totaal mannen en vrouwen;Totaal;Groningen (PV);2043;569.8
55;Totaal mannen en vrouwen;Totaal;Groningen (PV);2044;568.4
56;Totaal mannen en vrouwen;Totaal;Groningen (PV);2045;566.8
57;Totaal mannen en vrouwen;Totaal;Groningen (PV);2046;565.3
58;Totaal mannen en vrouwen;Totaal;Groningen (PV);2047;563.7
59;Totaal mannen en vrouwen;Totaal;Groningen (PV);2048;562.1
60;Totaal mannen en vrouwen;Totaal;Groningen (PV);2049;560.6
61;Totaal mannen en vrouwen;Totaal;Groningen (PV);2050;559.0
62;Totaal mannen en vrouwen;Totaal;Friesland (PV);2020;647.8
63;Totaal mannen en vrouwen;Totaal;Friesland (PV);2021;647.6
64;Totaal mannen en vrouwen;Totaal;Friesland (PV);2022;647.0
65;Totaal mannen en vrouwen;Totaal;Friesland (PV);2023;646.2
66;Totaal mannen en vrouwen;Totaal;Friesland (PV);2024;645.5
67;Totaal mannen en vrouwen;Totaal;Friesland (PV);2025;644.8
68;Totaal mannen en vrouwen;Totaal;Friesland (PV);2026;644.2
69;Totaal mannen en vrouwen;Totaal;Friesland (PV);2027;643.6
70;Totaal mannen en vrouwen;Totaal;Friesland (PV);2028;643.1
71;Totaal mannen en vrouwen;Totaal;Friesland (PV);2029;642.5
72;Totaal mannen en vrouwen;Totaal;Friesland (PV);2030;642.0
73;Totaal mannen en vrouwen;Totaal;Friesland (PV);2031;641.5
74;Totaal mannen en vrouwen;Totaal;Friesland (PV);2032;640.9
75;Totaal mannen en vrouwen;Totaal;Friesland (PV);2033;640.4
76;Totaal mannen en vrouwen;Totaal;Friesland (PV);2034;639.8
77;Totaal mannen en vrouwen;Totaal;Friesland (PV);2035;639.2
78;Totaal mannen en vrouwen;Totaal;Friesland (PV);2036;638.5
79;Totaal mannen en vrouwen;Totaal;Friesland (PV);2037;637.7
80;Totaal mannen en vrouwen;Totaal;Friesland (PV);2038;636.7
81;Totaal mannen en vrouwen;Totaal;Friesland (PV);2039;635.6
82;Totaal mannen en vrouwen;Totaal;Friesland (PV);2040;634.4
83;Totaal mannen en vrouwen;Totaal;Friesland (PV);2041;633.0
84;Totaal mannen en vrouwen;Totaal;Friesland (PV);2042;631.5
85;Totaal mannen en vrouwen;Totaal;Friesland (PV);2043;630.0
86;Totaal mannen en vrouwen;Totaal;Friesland (PV);2044;628.4
87;Totaal mannen en vrouwen;Totaal;Friesland (PV);2045;626.7
88;Totaal mannen en vrouwen;Totaal;Friesland (PV);2046;625.0
89;Totaal mannen en vrouwen;Totaal;Friesland (PV);2047;623.2
90;Totaal mannen en vrouwen;Totaal;Friesland (PV);2048;621.5
91;Totaal mannen en vrouwen;Totaal;Friesland (PV);2049;619.6
92;Totaal mannen en vrouwen;Totaal;Friesland (PV);2050;617.8
93;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2020;490.9
94;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2021;490.0
95;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2022;489.1
96;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2023;488.0
97;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2024;487.2
98;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2025;486.6
99;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2026;486.1
100;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2027;485.7
101;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2028;485.5
102;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2029;485.4
103;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2030;485.2
104;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2031;485.0
105;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2032;485.0
106;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2033;485.0
107;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2034;485.0
108;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2035;485.0
109;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2036;484.9
110;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2037;484.9
111;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2038;484.8
112;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2039;484.6
113;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2040;484.2
114;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2041;483.7
115;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2042;483.1
116;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2043;482.3
117;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2044;481.4
118;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2045;480.6
119;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2046;479.6
120;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2047;478.8
121;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2048;477.8
122;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2049;476.8
123;Totaal mannen en vrouwen;Totaal;Drenthe (PV);2050;475.8
124;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2020;1158.7
125;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2021;1161.0
126;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2022;1162.7
127;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2023;1164.2
128;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2024;1165.2
129;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2025;1166.1
130;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2026;1166.9
131;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2027;1167.7
132;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2028;1168.4
133;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2029;1168.9
134;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2030;1169.4
135;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2031;1169.8
136;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2032;1170.2
137;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2033;1170.4
138;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2034;1170.6
139;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2035;1170.5
140;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2036;1170.5
141;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2037;1170.1
142;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2038;1169.7
143;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2039;1169.0
144;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2040;1168.2
145;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2041;1167.2
146;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2042;1166.0
147;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2043;1164.7
148;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2044;1163.3
149;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2045;1161.7
150;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2046;1159.9
151;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2047;1158.1
152;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2048;1156.3
153;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2049;1154.3
154;Totaal mannen en vrouwen;Totaal;Overijssel (PV);2050;1152.4
155;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2020;419.3
156;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2021;422.7
157;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2022;425.8
158;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2023;428.9
159;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2024;432.1
160;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2025;435.4
161;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2026;438.9
162;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2027;442.5
163;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2028;446.0
164;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2029;449.2
165;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2030;452.4
166;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2031;455.7
167;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2032;459.0
168;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2033;462.4
169;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2034;465.7
170;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2035;468.8
171;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2036;471.6
172;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2037;474.2
173;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2038;476.6
174;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2039;478.8
175;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2040;480.9
176;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2041;482.8
177;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2042;484.6
178;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2043;486.2
179;Totaal mannen en vrouwen;Totaal;Flevoland (PV);2044;487.6
