ID;Sectoren;Effecten;Perioden;Koerswaarde_1;TotaalEmissie_2;EmissieOpenbaar_3;EmissieOnderhands_4
0;Totaal sectoren;Aandelen;1983;49646.0;;;
1;Totaal sectoren;Aandelen;1984;61061.0;;;
2;Totaal sectoren;Aandelen;1985;79965.0;;;
3;Totaal sectoren;Aandelen;1986;88012.0;;;
4;Totaal sectoren;Aandelen;1987;73907.0;;;
5;Totaal sectoren;Aandelen;1988;98082.0;;;
6;Totaal sectoren;Aandelen;1989;134264.0;;;
7;Totaal sectoren;Aandelen;1990;113923.0;;;
8;Totaal sectoren;Aandelen;1991;131412.0;;;
9;Totaal sectoren;Aandelen;1992;140983.0;;;
10;Totaal sectoren;Aandelen;1993;203939.0;;;
11;Totaal sectoren;Aandelen;1994;222624.0;;;
12;Totaal sectoren;Aandelen;1995;258949.0;;;
13;Totaal sectoren;Aandelen;1996;357685.0;;;
14;Totaal sectoren;Aandelen;1997;505548.0;;;
15;Totaal sectoren;Aandelen;1998;601612.0;;;
16;Totaal sectoren;Aandelen;1999;810363.0;25836.0;15544.0;10292.0
17;Totaal sectoren;Aandelen;2000;781271.0;28202.0;25200.0;3002.0
18;Totaal sectoren;Aandelen;2001;654490.0;27685.0;20740.0;6945.0
19;Totaal sectoren;Aandelen;2002;445305.0;10199.0;7218.0;2981.0
20;Totaal sectoren;Aandelen;2003;466185.0;12225.0;11409.0;816.0
21;Totaal sectoren;Aandelen;2004;491187.0;11626.0;6617.0;5009.0
22;Totaal sectoren;Aandelen;2005;604841.0;12898.0;7104.0;5794.0
23;Totaal sectoren;Aandelen;2006;718390.0;8905.0;7772.0;1133.0
24;Totaal sectoren;Aandelen;2007;672144.0;25003.0;21594.0;3409.0
25;Totaal sectoren;Aandelen;2008;288383.0;7736.0;5112.0;2624.0
26;Totaal sectoren;Aandelen;2009;383310.0;14693.0;12782.0;1911.0
27;Totaal sectoren;Aandelen;2010;423618.0;8666.0;5314.0;3352.0
28;Totaal sectoren;Aandelen;2011;393077.0;7567.0;6041.0;1526.0
29;Totaal sectoren;Aandelen;2012;437858.0;7207.0;2585.0;4622.0
