ID;Geslacht;Leeftijdsgroep;Geboortegeneratie;HeeftOoitHetOuderlijkHuisVerlaten_1;HeeftOoitOngehuwdSamengewoond_2;IsOoitGehuwd_3;HeeftOoitOnGehuwdSamengewoond_4;OoitGescheidenNaOngehuwdSamenwonen_5;OoitGescheidenNaEenHuwelijk_6;OoitGescheidenTotaal_7;HeeftOoitKinderenGekregen_8
0;Mannen;41400;1940 tot 1945;15.0;0.5;2.5;2.8;0.0;0.0;0.0;2.2
1;Mannen;41400;1945 tot 1950;18.2;1.0;3.9;4.6;0.0;0.0;0.0;2.3
2;Mannen;41400;1950 tot 1955;23.9;3.1;3.4;6.1;0.2;0.0;0.2;1.8
3;Mannen;41400;1955 tot 1960;22.8;5.2;2.0;6.8;0.2;0.0;0.3;1.3
4;Mannen;41400;1960 tot 1965;22.6;4.5;1.6;5.7;1.1;0.0;1.1;1.3
5;Mannen;41400;1965 tot 1970;22.9;4.3;0.8;4.8;0.7;0.0;0.8;0.7
6;Mannen;41400;1970 tot 1975;27.9;5.1;1.9;6.7;0.9;0.0;0.9;1.1
7;Mannen;41400;1975 tot 1980;25.0;4.1;0.8;4.6;0.4;0.0;0.5;1.3
8;Mannen;41400;1980 tot 1985;24.2;2.9;0.3;3.1;0.8;0.0;0.8;0.4
9;Mannen;41400;1985 tot 1990;21.1;2.5;0.1;2.6;0.8;0.0;0.8;0.5
10;Mannen;41500;1940 tot 1945;67.2;3.4;50.4;51.8;0.0;0.5;0.5;25.4
11;Mannen;41500;1945 tot 1950;70.6;8.8;54.6;58.9;0.9;1.1;2.1;26.6
12;Mannen;41500;1950 tot 1955;75.4;18.7;50.5;60.3;1.4;1.2;2.6;18.7
13;Mannen;41500;1955 tot 1960;75.7;30.1;37.4;56.4;3.0;1.0;3.9;14.1
14;Mannen;41500;1960 tot 1965;70.8;31.9;23.5;47.8;4.3;0.0;4.3;10.9
15;Mannen;41500;1965 tot 1970;69.2;36.5;16.5;46.0;5.4;0.6;5.9;7.6
16;Mannen;41500;1970 tot 1975;69.2;34.1;10.9;40.6;6.9;1.0;7.3;7.3
17;Mannen;41500;1975 tot 1980;68.0;34.5;7.8;39.0;7.1;0.4;7.4;7.2
18;Mannen;41500;1980 tot 1985;55.9;21.7;5.1;24.8;7.2;0.0;7.2;4.9
19;Mannen;41500;1985 tot 1990;;;;;;;;
20;Mannen;41625;1940 tot 1945;91.7;7.0;83.9;85.5;0.5;2.1;2.6;69.8
21;Mannen;41625;1945 tot 1950;92.1;14.8;80.7;85.5;2.0;3.3;5.3;63.0
22;Mannen;41625;1950 tot 1955;92.3;28.8;72.8;82.9;4.9;3.4;8.1;49.5
23;Mannen;41625;1955 tot 1960;92.0;43.4;61.7;79.8;7.8;3.3;10.9;44.8
24;Mannen;41625;1960 tot 1965;91.6;51.8;49.4;75.7;10.0;2.9;12.5;35.7
25;Mannen;41625;1965 tot 1970;92.5;60.8;44.7;77.3;13.6;2.7;15.8;30.4
26;Mannen;41625;1970 tot 1975;93.3;63.6;34.2;76.5;18.1;2.2;19.9;28.5
27;Mannen;41625;1975 tot 1980;85.0;55.2;20.8;62.5;15.8;1.9;17.6;21.4
28;Mannen;41625;1980 tot 1985;;;;;;;;
29;Mannen;41625;1985 tot 1990;;;;;;;;
30;Mannen;41421;1940 tot 1945;95.9;9.3;90.3;92.2;0.6;4.8;5.3;82.7
31;Mannen;41421;1945 tot 1950;95.5;19.1;85.5;90.7;3.5;6.2;9.2;75.8
32;Mannen;41421;1950 tot 1955;95.4;34.4;79.1;88.7;6.7;7.5;13.5;70.4
33;Mannen;41421;1955 tot 1960;96.2;50.7;74.6;88.6;11.2;6.7;17.4;67.5
34;Mannen;41421;1960 tot 1965;95.9;60.0;64.7;85.4;14.8;6.5;19.9;60.8
35;Mannen;41421;1965 tot 1970;96.4;68.1;61.9;86.4;18.7;5.8;23.6;61.4
36;Mannen;41421;1970 tot 1975;96.0;70.6;48.3;84.4;22.2;4.6;26.1;51.6
37;Mannen;41421;1975 tot 1980;;;;;;;;
38;Mannen;41421;1980 tot 1985;;;;;;;;
39;Mannen;41421;1985 tot 1990;;;;;;;;
40;Mannen;41422;1940 tot 1945;97.1;10.7;91.9;93.5;1.1;8.8;9.5;85.6
41;Mannen;41422;1945 tot 1950;96.8;21.0;87.8;92.3;4.7;10.1;14.0;81.6
42;Mannen;41422;1950 tot 1955;96.8;37.6;84.1;91.6;8.1;10.5;17.3;77.2
43;Mannen;41422;1955 tot 1960;97.4;53.8;79.9;91.3;13.0;10.9;22.7;77.0
44;Mannen;41422;1960 tot 1965;97.4;63.4;71.2;89.0;16.8;10.6;25.4;72.2
45;Mannen;41422;1965 tot 1970;97.4;70.5;66.7;89.2;20.0;9.5;27.9;69.8
46;Mannen;41422;1970 tot 1975;;;;;;;;
47;Mannen;41422;1975 tot 1980;;;;;;;;
48;Mannen;41422;1980 tot 1985;;;;;;;;
49;Mannen;41422;1985 tot 1990;;;;;;;;
50;Mannen;41423;1940 tot 1945;98.0;12.3;92.4;94.4;1.8;11.2;12.0;86.0
51;Mannen;41423;1945 tot 1950;98.0;23.6;88.9;93.6;5.1;12.6;16.7;83.1
52;Mannen;41423;1950 tot 1955;97.6;39.4;86.1;92.7;8.9;13.4;20.3;79.6
53;Mannen;41423;1955 tot 1960;98.7;55.5;82.1;92.6;14.1;15.0;26.8;79.7
54;Mannen;41423;1960 tot 1965;98.1;64.6;73.5;89.9;18.4;13.7;29.3;74.8
55;Mannen;41423;1965 tot 1970;;;;;;;;
56;Mannen;41423;1970 tot 1975;;;;;;;;
57;Mannen;41423;1975 tot 1980;;;;;;;;
58;Mannen;41423;1980 tot 1985;;;;;;;;
59;Mannen;41423;1985 tot 1990;;;;;;;;
60;Mannen;41650;1940 tot 1945;98.5;14.4;92.7;94.9;2.3;13.6;14.4;86.1
61;Mannen;41650;1945 tot 1950;98.8;25.8;89.3;94.0;5.9;15.1;19.1;83.5
62;Mannen;41650;1950 tot 1955;98.5;40.9;87.2;93.6;9.9;15.6;22.8;80.4
63;Mannen;41650;1955 tot 1960;99.2;57.3;83.0;93.2;15.0;17.9;29.9;80.2
64;Mannen;41650;1960 tot 1965;;;;;;;;
65;Mannen;41650;1965 tot 1970;;;;;;;;
66;Mannen;41650;1970 tot 1975;;;;;;;;
67;Mannen;41650;1975 tot 1980;;;;;;;;
68;Mannen;41650;1980 tot 1985;;;;;;;;
69;Mannen;41650;1985 tot 1990;;;;;;;;
70;Mannen;41424;1940 tot 1945;98.7;16.5;92.8;95.3;2.6;15.4;16.2;86.3
71;Mannen;41424;1945 tot 1950;99.3;27.7;89.7;94.4;6.2;18.0;22.0;83.8
72;Mannen;41424;1950 tot 1955;98.7;41.9;87.6;93.9;10.3;17.4;24.8;80.4
73;Mannen;41424;1955 tot 1960;;;;;;;;
74;Mannen;41424;1960 tot 1965;;;;;;;;
75;Mannen;41424;1965 tot 1970;;;;;;;;
76;Mannen;41424;1970 tot 1975;;;;;;;;
77;Mannen;41424;1975 tot 1980;;;;;;;;
78;Mannen;41424;1980 tot 1985;;;;;;;;
79;Mannen;41424;1985 tot 1990;;;;;;;;
80;Mannen;41425;1940 tot 1945;99.4;17.4;93.1;95.4;2.6;16.2;17.0;86.3
81;Mannen;41425;1945 tot 1950;99.4;27.9;90.1;94.5;6.5;18.9;23.1;83.8
82;Mannen;41425;1950 tot 1955;;;;;;;;
83;Mannen;41425;1955 tot 1960;;;;;;;;
84;Mannen;41425;1960 tot 1965;;;;;;;;
85;Mannen;41425;1965 tot 1970;;;;;;;;
86;Mannen;41425;1970 tot 1975;;;;;;;;
87;Mannen;41425;1975 tot 1980;;;;;;;;
88;Mannen;41425;1980 tot 1985;;;;;;;;
89;Mannen;41425;1985 tot 1990;;;;;;;;
