ID;BewoondeVertrekken;Gebieden;Woningen_1;Totaal_2;NietInDirectContactMetBuitenlucht_3;InDirectContactMetBuitenlucht_4;AantalBewoners_5;Pagina_6;k_1PersoonOfMinder_7;MeerDan1TM2Personen_8;MeerDan2TM3Personen_9;MeerDan3TM4Personen_10;MeerDan4TM6Personen_11;MeerDan6Personen_12;Pagina_13
0;1 bewoond vertrek;Nederland;307937;307937;1421;306516;1172014;WS 52;46915;58760;52196;45641;62548;41877;WS 98
1;1 bewoond vertrek;Groningen (prv.);34857;34857;407;34450;139250;WS 46;3822;6169;6262;5581;6466;6557;WS 94
2;1 bewoond vertrek;Friesland;48237;48237;384;47853;189013;WS 40;4482;9675;9154;8721;10301;5904;WS 88
3;1 bewoond vertrek;Drenthe;18853;18853;272;18581;87017;WS 50;907;2281;3059;3334;5639;3633;WS 98
4;1 bewoond vertrek;Overijssel;20547;20547;93;20454;84312;WS 42;2314;3064;3598;3406;5294;2871;WS 92
5;1 bewoond vertrek;Gelderland;26969;26969;56;26913;109718;WS 12;3519;4303;4537;4019;6520;4071;WS 64
6;1 bewoond vertrek;Utrecht (prv.);10522;10522;8;10514;37997;WS 28;2063;2180;1676;1344;1911;1348;WS 78
7;1 bewoond vertrek;Noordholland;46340;46340;108;46232;154447;WS 24;10896;10076;7413;5893;7426;4636;WS 74
8;1 bewoond vertrek;Zuidholland;61114;61114;73;61041;221003;WS 16;12135;12753;9452;7690;11242;7842;WS 68
9;1 bewoond vertrek;Zeeland;16240;16240;1;16239;62123;WS 26;2153;3327;3012;2425;3190;2133;WS 76
10;1 bewoond vertrek;Noordbrabant;19945;19945;16;19929;75086;WS  6;3077;4045;3472;2735;3994;2622;WS 60
11;1 bewoond vertrek;Limburg;4313;4313;3;4310;12048;WS 50;1547;887;561;493;565;260;WS 98
12;1 bewoond vertrek;"Nederland;     500 of minder inwoners";819;819;0;819;2826;WS 52;135;177;172;123;130;82;WS 98
13;1 bewoond vertrek;"Nederland;     501 -   1.000 inwoners";7887;7887;6;7881;29215;WS 52;1095;1672;1464;1271;1471;914;WS 98
14;1 bewoond vertrek;"Nederland;   1.001 -   2.000 inwoners";29388;29388;49;29339;113035;WS 52;3774;5880;5310;4549;6134;3741;WS 98
15;1 bewoond vertrek;"Nederland;   2.001 -   5.000 inwoners";77869;77869;521;77348;311124;WS 52;8969;13953;13996;12136;16992;11823;WS 98
16;1 bewoond vertrek;"Nederland;   5.001 -  10.000 inwoners";64253;64253;495;63758;258254;WS 52;7025;11484;11460;10998;13692;9594;WS 98
17;1 bewoond vertrek;"Nederland;  10.001 -  20.000 inwoners";48767;48767;146;48621;197419;WS 52;5417;8639;8391;7504;11403;7413;WS 98
18;1 bewoond vertrek;"Nederland;  20.001 -  50.000 inwoners";20360;20360;115;20245;71367;WS 52;4203;4261;3141;2640;3792;2323;WS 98
19;1 bewoond vertrek;"Nederland;  50.001 - 100.000 inwoners";9446;9446;6;9440;32501;WS 52;2249;1933;1378;1102;1754;1030;WS 98
20;1 bewoond vertrek;"Nederland; 100.001 of meer   inwoners";49148;49148;83;49065;156273;WS 52;14048;10761;6884;5318;7180;4957;WS 98
21;1 bewoond vertrek;"Groningen;   1.001 -   2.000 inwoners";1958;1958;25;1933;7235;WS 46;265;382;343;340;435;193;WS 94
22;1 bewoond vertrek;"Groningen;   2.001 -   5.000 inwoners";14311;14311;124;14187;56137;WS 46;1650;2540;2621;2393;2441;2666;WS 94
23;1 bewoond vertrek;"Groningen;   5.001 -  10.000 inwoners";9287;9287;237;9050;38745;WS 46;829;1550;1637;1471;1434;2366;WS 94
24;1 bewoond vertrek;"Groningen;  10.001 -  20.000 inwoners";4398;4398;20;4378;18349;WS 46;339;767;826;709;1080;677;WS 94
25;1 bewoond vertrek;"Groningen;  50.001 - 100.000 inwoners";4903;4903;1;4902;18784;WS 46;739;930;835;668;1076;655;WS 94
26;1 bewoond vertrek;"Friesland;     501 -   1.000 inwoners";172;172;0;172;599;WS 40;45;26;26;22;33;20;WS 88
27;1 bewoond vertrek;"Friesland;   1.001 -   2.000 inwoners";327;327;0;327;1222;WS 40;52;63;58;46;67;41;WS 88
28;1 bewoond vertrek;"Friesland;   2.001 -   5.000 inwoners";2710;2710;5;2705;10424;WS 40;307;574;494;418;559;358;WS 88
29;1 bewoond vertrek;"Friesland;   5.001 -  10.000 inwoners";19578;19578;209;19369;74962;WS 40;1787;4207;3944;4018;3766;1856;WS 88
30;1 bewoond vertrek;"Friesland;  10.001 -  20.000 inwoners";21898;21898;105;21793;88338;WS 40;1820;4063;4025;3716;5130;3144;WS 88
31;1 bewoond vertrek;"Friesland;  20.001 -  50.000 inwoners";3552;3552;65;3487;13468;WS 40;471;742;607;501;746;485;WS 88
32;1 bewoond vertrek;"Drenthe;   1.001 -   2.000 inwoners";1298;1298;0;1298;5914;WS 50;57;160;198;243;410;230;WS 98
33;1 bewoond vertrek;"Drenthe;   2.001 -   5.000 inwoners";8746;8746;258;8488;39818;WS 50;397;1009;1495;1664;2628;1553;WS 98
34;1 bewoond vertrek;"Drenthe;   5.001 -  10.000 inwoners";2476;2476;11;2465;11975;WS 50;66;270;378;436;797;529;WS 98
35;1 bewoond vertrek;"Drenthe;  10.001 -  20.000 inwoners";6333;6333;3;6330;29310;WS 50;387;842;988;991;1804;1321;WS 98
36;1 bewoond vertrek;"Overijssel;     501 -   1.000 inwoners";492;492;0;492;1925;WS 42;53;82;98;83;124;52;WS 92
37;1 bewoond vertrek;"Overijssel;   1.001 -   2.000 inwoners";1260;1260;2;1258;5044;WS 42;138;211;213;262;293;143;WS 92
38;1 bewoond vertrek;"Overijssel;   2.001 -   5.000 inwoners";5782;5782;65;5717;23662;WS 42;551;871;1081;1025;1498;756;WS 92
39;1 bewoond vertrek;"Overijssel;   5.001 -  10.000 inwoners";7833;7833;2;7831;33451;WS 42;652;1033;1422;1369;2188;1169;WS 92
40;1 bewoond vertrek;"Overijssel;  10.001 -  20.000 inwoners";2326;2326;4;2322;9602;WS 42;367;346;353;305;568;387;WS 92
41;1 bewoond vertrek;"Overijssel;  20.001 -  50.000 inwoners";2854;2854;20;2834;10628;WS 42;553;521;431;362;623;364;WS 92
42;1 bewoond vertrek;"Gelderland;     500 of minder inwoners";22;22;0;22;82;WS 12;5;2;6;3;1;5;WS 64
43;1 bewoond vertrek;"Gelderland;     501 -   1.000 inwoners";339;339;0;339;1340;WS 12;41;54;62;59;73;50;WS 64
44;1 bewoond vertrek;"Gelderland;   1.001 -   2.000 inwoners";1989;1989;2;1987;8002;WS 12;202;363;347;317;504;256;WS 64
45;1 bewoond vertrek;"Gelderland;   2.001 -   5.000 inwoners";7579;7579;9;7570;30928;WS 12;940;1157;1389;1025;1956;1112;WS 64
46;1 bewoond vertrek;"Gelderland;   5.001 -  10.000 inwoners";9069;9069;35;9034;38267;WS 12;1051;1358;1480;1498;2203;1479;WS 64
47;1 bewoond vertrek;"Gelderland;  10.001 -  20.000 inwoners";3705;3705;6;3699;15266;WS 12;460;602;601;536;918;588;WS 64
48;1 bewoond vertrek;"Gelderland;  20.001 -  50.000 inwoners";3053;3053;1;3052;11585;WS 12;523;516;496;443;646;429;WS 64
49;1 bewoond vertrek;"Gelderland;  50.001 - 100.000 inwoners";1213;1213;3;1210;4248;WS 12;297;251;156;138;219;152;WS 64
50;1 bewoond vertrek;"Utrecht;     500 of minder inwoners";186;186;0;186;603;WS 28;31;49;38;26;27;15;WS 78
51;1 bewoond vertrek;"Utrecht;     501 -   1.000 inwoners";514;514;0;514;1726;WS 28;98;116;86;86;86;42;WS 78
52;1 bewoond vertrek;"Utrecht;   1.001 -   2.000 inwoners";1760;1760;3;1757;6401;WS 28;297;390;303;221;337;212;WS 78
53;1 bewoond vertrek;"Utrecht;   2.001 -   5.000 inwoners";2733;2733;0;2733;10670;WS 28;306;605;472;377;593;380;WS 78
54;1 bewoond vertrek;"Utrecht;   5.001 -  10.000 inwoners";960;960;0;960;4122;WS 28;150;122;134;136;233;185;WS 78
55;1 bewoond vertrek;"Utrecht;  10.001 -  20.000 inwoners";636;636;0;636;2076;WS 28;175;121;96;71;101;72;WS 78
56;1 bewoond vertrek;"Utrecht; 100.001 of meer   inwoners";3733;3733;5;3728;12399;WS 28;1006;777;547;427;534;442;WS 78
57;1 bewoond vertrek;"Noordholland;     500 of minder inwoners";177;177;0;177;616;WS 24;20;40;44;28;34;11;WS 74
58;1 bewoond vertrek;"Noordholland;     501 -   1.000 inwoners";1330;1330;4;1326;4521;WS 24;198;311;270;323;133;95;WS 74
59;1 bewoond vertrek;"Noordholland;   1.001 -   2.000 inwoners";6034;6034;10;6024;21486;WS 24;784;1392;1301;904;1073;580;WS 74
60;1 bewoond vertrek;"Noordholland;   2.001 -   5.000 inwoners";7655;7655;48;7607;29142;WS 24;998;1554;1413;1226;1537;927;WS 74
61;1 bewoond vertrek;"Noordholland;   5.001 -  10.000 inwoners";2727;2727;0;2727;10396;WS 24;482;502;406;375;570;392;WS 74
62;1 bewoond vertrek;"Noordholland;  10.001 -  20.000 inwoners";2612;2612;1;2611;9880;WS 24;507;471;405;321;519;389;WS 74
63;1 bewoond vertrek;"Noordholland;  20.001 -  50.000 inwoners";1977;1977;0;1977;7092;WS 24;426;403;277;256;374;241;WS 74
64;1 bewoond vertrek;"Noordholland;  50.001 - 100.000 inwoners";1469;1469;1;1468;4100;WS 24;539;335;167;145;182;101;WS 74
65;1 bewoond vertrek;"Noordholland; 100.001 of meer   inwoners";22359;22359;44;22315;67214;WS 24;6942;5068;3130;2315;3004;1900;WS 74
66;1 bewoond vertrek;"Zuidholland;     500 of minder inwoners";162;162;0;162;604;WS 16;20;30;37;26;32;17;WS 68
67;1 bewoond vertrek;"Zuidholland;     501 -   1.000 inwoners";2260;2260;2;2258;8875;WS 16;287;448;395;290;530;310;WS 68
68;1 bewoond vertrek;"Zuidholland;   1.001 -   2.000 inwoners";7617;7617;1;7616;30714;WS 16;885;1510;1272;1129;1661;1160;WS 68
69;1 bewoond vertrek;"Zuidholland;   2.001 -   5.000 inwoners";13512;13512;10;13502;52975;WS 16;1786;2743;2338;1887;2725;2033;WS 68
70;1 bewoond vertrek;"Zuidholland;   5.001 -  10.000 inwoners";5921;5921;0;5921;23056;WS 16;862;1128;981;859;1234;857;WS 68
71;1 bewoond vertrek;"Zuidholland;  10.001 -  20.000 inwoners";2667;2667;3;2664;10024;WS 16;434;569;424;342;549;349;WS 68
72;1 bewoond vertrek;"Zuidholland;  20.001 -  50.000 inwoners";4058;4058;22;4036;12726;WS 16;1087;992;578;430;592;379;WS 68
73;1 bewoond vertrek;"Zuidholland;  50.001 - 100.000 inwoners";1861;1861;1;1860;5369;WS 16;674;417;220;151;277;122;WS 68
74;1 bewoond vertrek;"Zuidholland; 100.001 of meer   inwoners";23056;23056;34;23022;76660;WS 16;6100;4916;3207;2576;3642;2615;WS 68
75;1 bewoond vertrek;"Zeeland;     500 of minder inwoners";119;119;0;119;434;WS 26;20;25;21;19;16;18;WS 76
76;1 bewoond vertrek;"Zeeland;     501 -   1.000 inwoners";2147;2147;0;2147;8214;WS 26;212;498;427;336;399;275;WS 76
77;1 bewoond vertrek;"Zeeland;   1.001 -   2.000 inwoners";4920;4920;0;4920;19700;WS 26;489;959;944;820;1019;689;WS 76
78;1 bewoond vertrek;"Zeeland;   2.001 -   5.000 inwoners";5745;5745;0;5745;22460;WS 26;716;1105;1069;878;1184;793;WS 76
79;1 bewoond vertrek;"Zeeland;   5.001 -  10.000 inwoners";1396;1396;1;1395;4921;WS 26;270;313;239;162;247;165;WS 76
80;1 bewoond vertrek;"Zeeland;  10.001 -  20.000 inwoners";1913;1913;0;1913;6394;WS 26;446;427;312;210;325;193;WS 76
81;1 bewoond vertrek;"Noordbrabant;     500 of minder inwoners";133;133;0;133;455;WS  6;26;27;24;21;19;16;WS 60
82;1 bewoond vertrek;"Noordbrabant;     501 -   1.000 inwoners";518;518;0;518;1729;WS  6;109;113;89;60;88;59;WS 60
83;1 bewoond vertrek;"Noordbrabant;   1.001 -   2.000 inwoners";1715;1715;6;1709;5885;WS  6;387;358;287;218;273;192;WS 60
84;1 bewoond vertrek;"Noordbrabant;   2.001 -   5.000 inwoners";8679;8679;1;8678;33929;WS  6;1132;1703;1577;1204;1833;1230;WS 60
85;1 bewoond vertrek;"Noordbrabant;   5.001 -  10.000 inwoners";4376;4376;0;4376;16935;WS  6;554;868;787;641;959;567;WS 60
86;1 bewoond vertrek;"Noordbrabant;  10.001 -  20.000 inwoners";1975;1975;2;1973;7487;WS  6;323;380;331;277;382;282;WS 60
87;1 bewoond vertrek;"Noordbrabant;  20.001 -  50.000 inwoners";2549;2549;7;2542;8666;WS  6;546;596;377;314;440;276;WS 60
88;1 bewoond vertrek;"Limburg;     500 of minder inwoners";20;20;0;20;32;WS 50;13;4;2;0;1;0;WS 98
89;1 bewoond vertrek;"Limburg;     501 -   1.000 inwoners";115;115;0;115;286;WS 50;52;24;11;12;5;11;WS 98
90;1 bewoond vertrek;"Limburg;   1.001 -   2.000 inwoners";510;510;0;510;1432;WS 50;218;92;44;49;62;45;WS 98
91;1 bewoond vertrek;"Limburg;   2.001 -   5.000 inwoners";417;417;1;416;979;WS 50;186;92;47;39;38;15;WS 98
92;1 bewoond vertrek;"Limburg;   5.001 -  10.000 inwoners";630;630;0;630;1424;WS 50;322;133;52;33;61;29;WS 98
93;1 bewoond vertrek;"Limburg;  10.001 -  20.000 inwoners";304;304;2;302;693;WS 50;159;51;30;26;27;11;WS 98
94;1 bewoond vertrek;"Limburg;  20.001 -  50.000 inwoners";2317;2317;0;2317;7202;WS 50;597;491;375;334;371;149;WS 98
95;1 bewoond vertrek;Achtkarspelen, Totaal;1937;1937;32;1905;8080;WS 30;151;320;371;340;455;300;WS 80
96;1 bewoond vertrek;Achtkarspelen, Wijk Twijzel;247;247;0;247;1035;WS 30;12;42;50;44;65;34;WS 80
97;1 bewoond vertrek;Achtkarspelen, Wijk H. Opeinde;217;217;30;187;944;WS 30;12;36;39;33;60;37;WS 80
98;1 bewoond vertrek;Achtkarspelen, Wijk Lutjepost;4;4;0;4;16;WS 30;0;1;1;1;0;1;WS 80
99;1 bewoond vertrek;Achtkarspelen, Wijk Surhuisterveen;405;405;0;405;1743;WS 30;29;57;71;71;110;67;WS 80
100;1 bewoond vertrek;Achtkarspelen, Wijk Rottevalle;70;70;0;70;302;WS 30;8;5;13;16;16;12;WS 80
101;1 bewoond vertrek;Achtkarspelen, Wijk Kooten;169;169;0;169;714;WS 30;14;22;25;41;47;20;WS 80
102;1 bewoond vertrek;Achtkarspelen, Wijk Gerkeskl. Stroobos;125;125;0;125;490;WS 30;12;27;28;17;20;21;WS 80
103;1 bewoond vertrek;Achtkarspelen, Wijk Drogeham;123;123;2;121;488;WS 30;5;25;29;27;23;14;WS 80
104;1 bewoond vertrek;Achtkarspelen, Wijk Buitenpost;169;169;0;169;615;WS 30;25;35;37;22;28;22;WS 80
105;1 bewoond vertrek;Achtkarspelen, Wijk Augustinusga;134;134;0;134;533;WS 30;23;23;30;15;17;26;WS 80
106;1 bewoond vertrek;Achtkarspelen, Wijk Surhuizum;274;274;0;274;1200;WS 30;11;47;48;53;69;46;WS 80
107;1 bewoond vertrek;Alkmaar, Totaal;397;397;1;396;1209;WS 20;115;93;56;48;53;32;WS 72
108;1 bewoond vertrek;Alkmaar, Wijk A;56;56;0;56;122;WS 20;27;13;7;4;4;1;WS 72
109;1 bewoond vertrek;Alkmaar, Wijk B;55;55;1;54;140;WS 20;24;11;4;6;7;3;WS 72
110;1 bewoond vertrek;Alkmaar, Wijk C;37;37;0;37;88;WS 20;16;5;8;3;5;0;WS 72
111;1 bewoond vertrek;Alkmaar, Wijk D;157;157;0;157;522;WS 20;36;41;24;20;18;18;WS 72
112;1 bewoond vertrek;Alkmaar, Wijk E;43;43;0;43;160;WS 20;5;9;5;9;13;2;WS 72
113;1 bewoond vertrek;Alkmaar, Wijk F;49;49;0;49;177;WS 20;7;14;8;6;6;8;WS 72
114;1 bewoond vertrek;Almelo (Stad-), Totaal;202;202;0;202;723;WS 42;56;39;21;19;35;32;WS 90
