ID;Bestedingscategorie;CaribischNederland;Perioden;ConsumentenprijsindexCPI_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingscoefficient_4
0;000000 Alle bestedingen;Bonaire;2010 1e kwartaal;88.75;;;100000.0
1;000000 Alle bestedingen;Bonaire;2010 2e kwartaal;89.06;0.3;;100000.0
2;000000 Alle bestedingen;Bonaire;2010 3e kwartaal;89.44;0.4;;100000.0
3;000000 Alle bestedingen;Bonaire;2010 4e kwartaal;89.67;0.3;;100000.0
4;000000 Alle bestedingen;Bonaire;2010;89.23;;;100000.0
5;000000 Alle bestedingen;Bonaire;2011 1e kwartaal;92.45;3.1;4.2;100000.0
6;000000 Alle bestedingen;Bonaire;2011 2e kwartaal;93.52;1.2;5.0;100000.0
7;000000 Alle bestedingen;Bonaire;2011 3e kwartaal;94.6;1.2;5.8;100000.0
8;000000 Alle bestedingen;Bonaire;2011 4e kwartaal;95.36;0.8;6.3;100000.0
9;000000 Alle bestedingen;Bonaire;2011;93.98;;5.3;100000.0
10;000000 Alle bestedingen;Bonaire;2012 1e kwartaal;95.8;0.5;3.6;100000.0
11;000000 Alle bestedingen;Bonaire;2012 2e kwartaal;96.29;0.5;3.0;100000.0
12;000000 Alle bestedingen;Bonaire;2012 3e kwartaal;96.81;0.5;2.3;100000.0
13;000000 Alle bestedingen;Bonaire;2012 4e kwartaal;97.95;1.2;2.7;100000.0
14;000000 Alle bestedingen;Bonaire;2012;96.71;;2.9;100000.0
15;000000 Alle bestedingen;Bonaire;2013 1e kwartaal;98.17;0.2;2.5;100000.0
16;000000 Alle bestedingen;Bonaire;2013 2e kwartaal;97.75;-0.4;1.5;100000.0
17;000000 Alle bestedingen;Bonaire;2013 3e kwartaal;98.5;0.8;1.7;100000.0
18;000000 Alle bestedingen;Bonaire;2013 4e kwartaal;99.13;0.6;1.2;100000.0
19;000000 Alle bestedingen;Bonaire;2013;98.39;;1.7;100000.0
20;000000 Alle bestedingen;Bonaire;2014 1e kwartaal;99.45;0.3;1.3;100000.0
21;000000 Alle bestedingen;Bonaire;2014 2e kwartaal;99.87;0.4;2.2;100000.0
22;000000 Alle bestedingen;Bonaire;2014 3e kwartaal;100.01;0.1;1.5;100000.0
23;000000 Alle bestedingen;Bonaire;2014 4e kwartaal;99.98;0.0;0.9;100000.0
24;000000 Alle bestedingen;Bonaire;2014;99.83;;1.5;100000.0
25;000000 Alle bestedingen;Bonaire;2015 1e kwartaal;98.82;-1.2;-0.6;100000.0
26;000000 Alle bestedingen;Bonaire;2015 2e kwartaal;98.92;0.1;-1.0;100000.0
27;000000 Alle bestedingen;Bonaire;2015 3e kwartaal;99.08;0.2;-0.9;100000.0
