ID;Perioden;Bevolkingsomvang_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;Levendgeborenen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;2013;;;;;;;;;;;170948;1.67;142311;81.23;79.38;82.96;19.54;18.04;20.86;161334;143686;17648
1;2014;16825860.0;3845252.0;10063329.0;2917280.0;22.9;59.8;17.3;67.2;38.2;29.0;171685;1.68;143523;81.38;79.57;83.08;19.65;18.18;20.95;160402;142951;17451
2;2015;16871473.0;3820250.0;10049840.0;3001383.0;22.6;59.6;17.8;67.9;38.0;29.9;174550;1.7;144855;81.54;79.77;83.2;19.75;18.31;21.03;159824;141914;17909
3;2016;16919077.0;3803932.0;10034932.0;3080213.0;22.5;59.3;18.2;68.6;37.9;30.7;177203;1.72;146278;81.69;79.96;83.32;19.85;18.45;21.11;160075;140157;19918
4;2017;16969920.0;3790979.0;10023472.0;3155469.0;22.3;59.1;18.6;69.3;37.8;31.5;180321;1.74;147784;81.84;80.15;83.45;19.96;18.58;21.19;160439;137565;22874
5;2018;17025332.0;3780318.0;10009890.0;3235125.0;22.2;58.8;19.0;70.1;37.8;32.3;182880;1.75;149364;82.0;80.34;83.58;20.06;18.72;21.27;158769;137399;21370
6;2019;17080218.0;3765771.0;10003000.0;3311447.0;22.0;58.6;19.4;70.8;37.6;33.1;184125;1.75;151135;82.15;80.52;83.71;20.15;18.85;21.34;156504;136870;19634
7;2020;17132842.0;3750571.0;9994524.0;3387747.0;21.9;58.3;19.8;71.4;37.5;33.9;185212;1.75;152939;82.31;80.7;83.84;20.25;18.98;21.41;155394;136298;19096
8;2021;17184211.0;3731549.0;9988814.0;3463848.0;21.7;58.1;20.2;72.0;37.4;34.7;186356;1.75;154806;82.46;80.88;83.97;20.34;19.1;21.48;154314;135670;18644
9;2022;17234405.0;3717002.0;9975270.0;3542133.0;21.6;57.9;20.6;72.8;37.3;35.5;187096;1.75;156754;82.61;81.06;84.1;20.44;19.23;21.55;153235;135053;18182
10;2023;17282928.0;3704809.0;9957294.0;3620825.0;21.4;57.6;21.0;73.6;37.2;36.4;187811;1.75;158791;82.76;81.24;84.22;20.53;19.36;21.62;153182;134717;18465
11;2024;17330413.0;3694209.0;9935391.0;3700814.0;21.3;57.3;21.4;74.4;37.2;37.2;188620;1.75;160916;82.91;81.42;84.35;20.63;19.49;21.69;153204;134497;18708
12;2025;17376825.0;3691025.0;9902149.0;3783651.0;21.2;57.0;21.8;75.5;37.3;38.2;189105;1.75;163126;83.06;81.59;84.48;20.72;19.62;21.76;153277;134414;18863
13;2026;17421667.0;3694157.0;9862695.0;3864816.0;21.2;56.6;22.2;76.6;37.5;39.2;189399;1.75;165395;83.21;81.77;84.6;20.82;19.74;21.83;153385;134430;18955
14;2027;17464627.0;3699640.0;9816228.0;3948758.0;21.2;56.2;22.6;77.9;37.7;40.2;189707;1.75;167709;83.36;81.94;84.73;20.92;19.87;21.91;153466;134484;18982
15;2028;17505607.0;3708792.0;9765440.0;4031374.0;21.2;55.8;23.0;79.3;38.0;41.3;189942;1.75;170040;83.51;82.11;84.87;21.02;19.99;22.0;153538;134590;18948
16;2029;17544457.0;3714845.0;9715064.0;4114548.0;21.2;55.4;23.5;80.6;38.2;42.4;190079;1.75;172373;83.66;82.28;85.01;21.13;20.12;22.09;153655;134650;19005
17;2030;17581168.0;3721385.0;9661924.0;4197860.0;21.2;55.0;23.9;82.0;38.5;43.4;190019;1.75;174688;83.82;82.45;85.16;21.24;20.24;22.19;153712;134776;18936
18;2031;17615436.0;3728729.0;9613315.0;4273392.0;21.2;54.6;24.3;83.2;38.8;44.5;189773;1.75;176977;83.98;82.62;85.31;21.35;20.37;22.3;153773;134849;18924
19;2032;17647156.0;3739819.0;9565272.0;4342065.0;21.2;54.2;24.6;84.5;39.1;45.4;189295;1.75;179205;84.14;82.79;85.46;21.47;20.49;22.41;153805;134905;18900
20;2033;17676146.0;3754205.0;9515743.0;4406198.0;21.2;53.8;24.9;85.8;39.5;46.3;188610;1.75;181346;84.3;82.95;85.63;21.59;20.62;22.53;153896;134947;18949
21;2034;17702359.0;3771471.0;9461582.0;4469306.0;21.3;53.4;25.2;87.1;39.9;47.2;187745;1.75;183392;84.47;83.12;85.79;21.71;20.74;22.66;153979;134976;19003
22;2035;17725714.0;3787009.0;9399303.0;4539403.0;21.4;53.0;25.6;88.6;40.3;48.3;186727;1.75;185342;84.63;83.28;85.96;21.84;20.86;22.79;154029;134996;19033
23;2036;17746133.0;3798763.0;9346236.0;4601133.0;21.4;52.7;25.9;89.9;40.6;49.2;185617;1.75;187165;84.8;83.44;86.14;21.96;20.98;22.92;154136;135010;19126
24;2037;17763710.0;3806892.0;9306147.0;4650671.0;21.4;52.4;26.2;90.9;40.9;50.0;184490;1.75;188861;84.97;83.61;86.31;22.09;21.11;23.06;154187;135032;19155
25;2038;17778495.0;3810996.0;9280039.0;4687460.0;21.4;52.2;26.4;91.6;41.1;50.5;183393;1.75;190413;85.13;83.77;86.48;22.22;21.23;23.19;154234;135080;19154
26;2039;17790628.0;3811637.0;9272618.0;4706373.0;21.4;52.1;26.5;91.9;41.1;50.8;182370;1.75;191814;85.3;83.92;86.65;22.34;21.35;23.33;154298;135142;19156
27;2040;17800340.0;3810054.0;9273827.0;4716459.0;21.4;52.1;26.5;91.9;41.1;50.9;181453;1.75;193055;85.46;84.08;86.82;22.47;21.47;23.46;154412;135218;19194
28;2041;17807933.0;3806497.0;9284251.0;4717185.0;21.4;52.1;26.5;91.8;41.0;50.8;180682;1.75;194141;85.62;84.24;86.99;22.6;21.59;23.6;154481;135309;19172
29;2042;17813646.0;3801078.0;9297217.0;4715352.0;21.3;52.2;26.5;91.6;40.9;50.7;180095;1.75;195067;85.78;84.39;87.15;22.72;21.7;23.73;154490;135422;19068
30;2043;17817742.0;3794342.0;9313098.0;4710302.0;21.3;52.3;26.4;91.3;40.7;50.6;179719;1.75;195847;85.94;84.55;87.31;22.85;21.82;23.86;154557;135551;19006
31;2044;17820620.0;3786551.0;9327722.0;4706347.0;21.2;52.3;26.4;91.1;40.6;50.5;179569;1.75;196479;86.1;84.7;87.47;22.97;21.94;23.99;154581;135691;18890
32;2045;17822600.0;3777839.0;9343925.0;4700836.0;21.2;52.4;26.4;90.7;40.4;50.3;179655;1.75;197004;86.25;84.85;87.63;23.09;22.06;24.11;154641;135838;18803
33;2046;17824054.0;3768765.0;9355496.0;4699793.0;21.1;52.5;26.4;90.5;40.3;50.2;179959;1.75;197421;86.41;85.0;87.79;23.21;22.17;24.24;154674;135992;18682
34;2047;17825274.0;3759725.0;9370086.0;4695464.0;21.1;52.6;26.3;90.2;40.1;50.1;180456;1.75;197819;86.56;85.15;87.94;23.33;22.29;24.36;154774;136149;18625
35;2048;17826537.0;3750914.0;9389459.0;4686164.0;21.0;52.7;26.3;89.9;39.9;49.9;181093;1.75;198237;86.71;85.3;88.1;23.45;22.4;24.49;154837;136300;18537
36;2049;17827930.0;3742548.0;9410143.0;4675239.0;21.0;52.8;26.2;89.5;39.8;49.7;181823;1.75;198671;86.86;85.45;88.25;23.57;22.52;24.61;154901;136454;18447
37;2050;17829529.0;3734795.0;9426994.0;4667740.0;20.9;52.9;26.2;89.1;39.6;49.5;182596;1.75;199095;87.01;85.6;88.4;23.69;22.63;24.73;154943;136622;18321
38;2051;17831351.0;3727861.0;9440997.0;4662493.0;20.9;52.9;26.1;88.9;39.5;49.4;183379;1.75;199473;87.16;85.74;88.55;23.81;22.75;24.85;155005;136778;18227
