ID;Misdrijven;Regiokenmerken;Perioden;IngeschrevenRechtbankstrafzaken_1;BeslissingenDoorOpenbaarMinisterie_2;AfdoeningenDoorDeRechterIn1eAanleg_3
0;Misdrijven, totaal;Nederland;2001;236030;259625;113335
1;Misdrijven, totaal;Nederland;2002;251290;275370;118820
2;Misdrijven, totaal;Nederland;2003;270320;292575;137355
3;Misdrijven, totaal;Nederland;2004;273975;293570;136050
4;Misdrijven, totaal;Nederland;2005;266860;285770;136345
5;Misdrijven, totaal;Nederland;2006;267710;287250;137775
6;Misdrijven, totaal;Nederland;2007;272655;281600;131125
7;Misdrijven, totaal;Nederland;2008;263015;275940;131540
8;Misdrijven, totaal;Nederland;2009;232655;268235;130980
9;Misdrijven, totaal;Nederland;2010;212940;222170;113535
10;Misdrijven, totaal;Nederland;2011;232520;239405;109450
11;Misdrijven, totaal;Nederland;2012;226885;240395;104220
12;Misdrijven, totaal;Nederland;2013;210565;224330;104610
13;Misdrijven, totaal;Nederland;2014;212325;221805;102070
14;Misdrijven, totaal;Nederland;2015;191450;203875;106375
15;Misdrijven, totaal;Nederland;2016;190850;202530;94350
16;Misdrijven, totaal;Zeer sterk stedelijk;2001;67715;77255;28500
17;Misdrijven, totaal;Zeer sterk stedelijk;2002;73680;81705;22350
18;Misdrijven, totaal;Zeer sterk stedelijk;2003;78480;86285;28390
19;Misdrijven, totaal;Zeer sterk stedelijk;2004;78565;85545;27830
20;Misdrijven, totaal;Zeer sterk stedelijk;2005;77105;83520;32055
21;Misdrijven, totaal;Zeer sterk stedelijk;2006;78545;85385;40390
22;Misdrijven, totaal;Zeer sterk stedelijk;2007;79605;81955;35655
23;Misdrijven, totaal;Zeer sterk stedelijk;2008;76905;81585;36640
24;Misdrijven, totaal;Zeer sterk stedelijk;2009;75775;88060;41915
25;Misdrijven, totaal;Zeer sterk stedelijk;2010;70555;73975;36965
26;Misdrijven, totaal;Zeer sterk stedelijk;2011;76140;78840;37430
27;Misdrijven, totaal;Zeer sterk stedelijk;2012;72325;76465;34860
28;Misdrijven, totaal;Zeer sterk stedelijk;2013;68005;72020;35650
29;Misdrijven, totaal;Zeer sterk stedelijk;2014;72765;75515;34005
30;Misdrijven, totaal;Zeer sterk stedelijk;2015;67450;72240;38310
31;Misdrijven, totaal;Zeer sterk stedelijk;2016;72070;76445;35475
32;Misdrijven, totaal;Sterk stedelijk;2001;63835;69520;26870
33;Misdrijven, totaal;Sterk stedelijk;2002;70410;76370;25770
34;Misdrijven, totaal;Sterk stedelijk;2003;76260;83310;30270
35;Misdrijven, totaal;Sterk stedelijk;2004;77235;82935;31020
36;Misdrijven, totaal;Sterk stedelijk;2005;75375;81325;31570
37;Misdrijven, totaal;Sterk stedelijk;2006;75460;81030;37375
38;Misdrijven, totaal;Sterk stedelijk;2007;80690;83675;37920
39;Misdrijven, totaal;Sterk stedelijk;2008;80215;83925;39320
40;Misdrijven, totaal;Sterk stedelijk;2009;66125;76285;36085
41;Misdrijven, totaal;Sterk stedelijk;2010;60810;63325;31655
42;Misdrijven, totaal;Sterk stedelijk;2011;66525;68195;30250
43;Misdrijven, totaal;Sterk stedelijk;2012;67725;71285;29290
44;Misdrijven, totaal;Sterk stedelijk;2013;63150;66795;29475
45;Misdrijven, totaal;Sterk stedelijk;2014;61275;64020;28310
